dimension	locus	mutational effect
0	0	0.00451319
0	1	0.0712282
0	2	0.0375536
0	3	-0.0409542
0	4	-0.0204484
0	5	-0.00754127
0	6	-0.0178117
0	7	-0.0265394
8	0	-0.0197953
8	1	-0.0464822
8	2	-0.00824153
8	3	0.038017
8	4	-0.0223939
8	5	0.00112411
8	6	0.0219915
8	7	0.0357803
16	0	0.0109933
16	1	-0.000658427
16	2	0.0325328
16	3	-0.0345766
16	4	-0.0349193
16	5	-0.000435154
16	6	-0.0149224
16	7	0.0419858
24	0	0.0151562
24	1	0.066396
24	2	-0.0643026
24	3	-0.0209544
24	4	-0.00218843
24	5	0.0178483
24	6	-0.0471811
24	7	0.0352261
32	0	-0.00849471
32	1	-0.0198629
32	2	0.0491942
32	3	-0.0160965
32	4	-0.0300241
32	5	0.0171792
32	6	0.0060212
32	7	0.00208361
2000 generations ont pris 496 secondes
