dimension	locus	mutational effect
0	0	-0.0540007
0	1	0.0414552
0	2	-0.0365358
0	3	0.100547
0	4	-0.042064
0	5	-0.0355899
0	6	0.00694876
0	7	0.0192391
8	0	-0.0166889
8	1	-0.00255373
8	2	0.0209999
8	3	-0.0243771
8	4	0.00822399
8	5	-0.00368912
8	6	-0.0139286
8	7	0.0320137
16	0	-0.00653987
16	1	0.0296141
16	2	-0.030233
16	3	-0.0124681
16	4	-0.00604281
16	5	-0.0102526
16	6	0.0325857
16	7	0.00333662
24	0	0.00836283
24	1	-0.00593983
24	2	0.0198169
24	3	0.0322083
24	4	-0.000718969
24	5	-0.0285155
24	6	-0.0235956
24	7	-0.00161822
32	0	-0.00103778
32	1	-0.0176853
32	2	0.0527463
32	3	-0.0277344
32	4	-0.00450682
32	5	-0.0237909
32	6	0.0021471
32	7	0.0198618
2000 generations ont pris 989 secondes
