mutational effects read from file
dimension	locus	mutational effect
0	0	-0.100564
0	1	-0.377323
0	2	0.451006
0	3	-0.0287919
0	4	0.179611
0	5	0.213562
0	6	-0.0578557
0	7	-0.279645
8	0	-0.0120453
8	1	-0.256605
8	2	-0.30869
8	3	-0.134511
8	4	0.321601
8	5	-0.0949484
8	6	0.517498
8	7	-0.0322995
19999 generations ont pris 4930 secondes
dimension	locus	mutational effect
0	0	0
0	1	0
0	2	0
0	3	0
0	4	0
0	5	0
0	6	0
0	7	0
8	0	0
8	1	0
8	2	0
8	3	0
8	4	0
8	5	0
8	6	0
8	7	0
20000 generations ont pris 4956 secondes
dimension	locus	mutational effect
0	0	0
0	1	0
0	2	0
0	3	0
0	4	0
0	5	0
0	6	0
0	7	0
8	0	0
8	1	0
8	2	0
8	3	0
8	4	0
8	5	0
8	6	0
8	7	0
20001 generations ont pris 4959 secondes
dimension	locus	mutational effect
0	0	0
0	1	0
0	2	0
0	3	0
0	4	0
0	5	0
0	6	0
0	7	0
8	0	0
8	1	0
8	2	0
8	3	0
8	4	0
8	5	0
8	6	0
8	7	0
20002 generations ont pris 4955 secondes
dimension	locus	mutational effect
0	0	0
0	1	0
0	2	0
0	3	0
0	4	0
0	5	0
0	6	0
0	7	0
8	0	0
8	1	0
8	2	0
8	3	0
8	4	0
8	5	0
8	6	0
8	7	0
20003 generations ont pris 4957 secondes
dimension	locus	mutational effect
0	0	0
0	1	0
0	2	0
0	3	0
0	4	0
0	5	0
0	6	0
0	7	0
8	0	0
8	1	0
8	2	0
8	3	0
8	4	0
8	5	0
8	6	0
8	7	0
20004 generations ont pris 4954 secondes
