0	p2: 8	p12: 0	HI: 1	fitness: 1
1	p2: 7	p12: 0	HI: 0.875	fitness: 0.645649
2	p2: 7	p12: 1	HI: 0.9375	fitness: 0.791065
3	p2: 6	p12: 0	HI: 0.75	fitness: 0.472367
4	p2: 6	p12: 1	HI: 0.8125	fitness: 0.543691
5	p2: 6	p12: 2	HI: 0.875	fitness: 0.645649
6	p2: 5	p12: 0	HI: 0.625	fitness: 0.391606
7	p2: 5	p12: 1	HI: 0.6875	fitness: 0.423427
8	p2: 5	p12: 2	HI: 0.75	fitness: 0.472367
9	p2: 5	p12: 3	HI: 0.8125	fitness: 0.543691
10	p2: 4	p12: 0	HI: 0.5	fitness: 0.367879
11	p2: 4	p12: 1	HI: 0.5625	fitness: 0.373673
12	p2: 4	p12: 2	HI: 0.625	fitness: 0.391606
13	p2: 4	p12: 3	HI: 0.6875	fitness: 0.423427
14	p2: 4	p12: 4	HI: 0.75	fitness: 0.472367
15	p2: 3	p12: 0	HI: 0.375	fitness: 0.391606
16	p2: 3	p12: 1	HI: 0.4375	fitness: 0.373673
17	p2: 3	p12: 2	HI: 0.5	fitness: 0.367879
18	p2: 3	p12: 3	HI: 0.5625	fitness: 0.373673
19	p2: 3	p12: 4	HI: 0.625	fitness: 0.391606
20	p2: 3	p12: 5	HI: 0.6875	fitness: 0.423427
21	p2: 2	p12: 0	HI: 0.25	fitness: 0.472367
22	p2: 2	p12: 1	HI: 0.3125	fitness: 0.423427
23	p2: 2	p12: 2	HI: 0.375	fitness: 0.391606
24	p2: 2	p12: 3	HI: 0.4375	fitness: 0.373673
25	p2: 2	p12: 4	HI: 0.5	fitness: 0.367879
26	p2: 2	p12: 5	HI: 0.5625	fitness: 0.373673
27	p2: 2	p12: 6	HI: 0.625	fitness: 0.391606
28	p2: 1	p12: 0	HI: 0.125	fitness: 0.645649
29	p2: 1	p12: 1	HI: 0.1875	fitness: 0.543691
30	p2: 1	p12: 2	HI: 0.25	fitness: 0.472367
31	p2: 1	p12: 3	HI: 0.3125	fitness: 0.423427
32	p2: 1	p12: 4	HI: 0.375	fitness: 0.391606
33	p2: 1	p12: 5	HI: 0.4375	fitness: 0.373673
34	p2: 1	p12: 6	HI: 0.5	fitness: 0.367879
35	p2: 1	p12: 7	HI: 0.5625	fitness: 0.373673
36	p2: 0	p12: 0	HI: 0	fitness: 1
37	p2: 0	p12: 1	HI: 0.0625	fitness: 0.791065
38	p2: 0	p12: 2	HI: 0.125	fitness: 0.645649
39	p2: 0	p12: 3	HI: 0.1875	fitness: 0.543691
40	p2: 0	p12: 4	HI: 0.25	fitness: 0.472367
41	p2: 0	p12: 5	HI: 0.3125	fitness: 0.423427
42	p2: 0	p12: 6	HI: 0.375	fitness: 0.391606
43	p2: 0	p12: 7	HI: 0.4375	fitness: 0.373673
44	p2: 0	p12: 8	HI: 0.5	fitness: 0.367879
round: 0	nbSign: 0	last?: 0	accGen: 0
round: 1	nbSign: 48	last?: 1	accGen: 1000
1000 generations ont pris5secondes
