gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W1, d0W0.606531, d0W1, d0W1, d0W1, d0W1, d1W1, d1W0.606531, d1W1, d1W1, d1W1, d1W1, d2W1, d2W0.606531, d2W1, d2W1, d2W1, d2W1, d3W1, d3W0.606531, d3W1, d3W1, d3W1, d3W1, d4W1, d4W0.606531, d4W1, d4W1, d4W1, d4W1, d5W1, d5W0.606531, d5W1, d5W1, d5W1, d5W1, d6W1, d6W0.606531, d6W1, d6W1, d6W1, d6W1, d7W1, d7W0.606531, d7W1, d7W1, d7W1, d7W1, d8W1, d8W0.606531, d8W1, d8W1, d8W1, d8W1, d9W1, d9W0.606531, d9W1, d9W1, d9W1, d9W1, d10W1, d10W0.606531, d10W1, d10W1, d10W1, d10W1, d11W1, d11W0.606531, d11W1, d11W1, d11W1, d11W1, d12W1, d12W0.606531, d12W1, d12W1, d12W1, d12W1, d13W1, d13W0.606531, d13W1, d13W1, d13W1, d13W1, d14W1, d14W0.606531, d14W1, d14W1, d14W1, d14W1, d15W1, d15W0.606531, d15W1, d15W1, d15W1, d15W1, d16W1, d16W0.606531, d16W1, d16W1, d16W1, d16W1, d17W1, d17W0.606531, d17W1, d17W1, d17W1, d17W1, d18W1, d18W0.606531, d18W1, d18W1, d18W1, d18W1, d19W1, d19W0.606531, d19W1, d19W1, d19W1, d19W1, 
0, 1,1,1,0.9675,0.91,0.845,0.68,0.35,0.2,0.1625,0.075,0.1,0.07,0.0225,0.005,0,0,0,0,0,0.9975,0.9875,0.99,0.9825,0.9125,0.8475,0.74,0.3925,0.21,0.105,0.065,0.0275,0.0125,0.0275,0.0025,0.025,0.0275,0.04,0.0025,0,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,197,3,197,197,197,197,194,6,194,194,194,194,187,13,187,187,187,187,184,16,184,184,184,184,195,5,195,195,195,195,192,8,192,192,192,192,197,3,197,197,197,197,199,1,199,199,199,199,199,1,199,199,199,199,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,199,1,199,199,199,199,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,
100, 0.9575,0.965,0.9325,0.9375,0.9325,0.8225,0.5425,0.44,0.255,0.08,0.0675,0.015,0.0075,0.01,0,0,0,0,0,0,0.99,0.9775,0.9775,0.9325,0.92,0.805,0.645,0.4625,0.2325,0.1025,0.0225,0.0375,0.025,0.02,0.0575,0.0575,0.0225,0.0475,0.04,0.0575,200,0,200,200,200,200,198,2,198,198,198,198,200,0,200,200,200,200,200,0,200,200,200,200,194,6,194,194,194,194,194,6,194,194,194,194,177,23,177,177,177,177,179,21,179,179,179,179,191,9,191,191,191,191,195,5,195,195,195,195,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,199,1,199,199,199,199,200,0,200,200,200,200,199,1,199,199,199,199,199,1,199,199,199,199,198,2,198,198,198,198,
200, 0.9875,0.9825,0.9925,0.9675,0.9375,0.845,0.715,0.3125,0.16,0.0725,0.02,0.025,0.0425,0.0225,0.0125,0.005,0,0,0,0,0.95,0.955,0.9125,0.9525,0.935,0.8525,0.6775,0.3725,0.1125,0.0475,0,0,0,0,0,0,0,0.005,0,0.015,199,1,199,199,199,199,200,0,200,200,200,200,198,2,198,198,198,198,200,0,200,200,200,200,199,1,199,199,199,199,197,3,197,197,197,197,190,10,190,190,190,190,185,15,185,185,185,185,195,5,195,195,195,195,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,199,1,199,199,199,199,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,
300, 0.9725,0.98,0.985,0.9575,0.9025,0.915,0.7525,0.3975,0.155,0.0425,0.0175,0,0,0,0,0,0,0,0,0,0.9975,1,0.9975,0.9925,0.96,0.8975,0.7175,0.4,0.22,0.11,0.0525,0.01,0.0025,0.015,0,0.0075,0.005,0.0125,0,0,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,198,2,198,198,198,198,197,3,197,197,197,197,190,10,190,190,190,190,179,21,179,179,179,179,190,10,190,190,190,190,196,4,196,196,196,196,199,1,199,199,199,199,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,
400, 0.9925,0.9775,0.975,0.9625,0.97,0.84,0.7475,0.4775,0.3575,0.245,0.07,0.065,0.0475,0.01,0.005,0,0,0,0,0,1,1,0.9975,0.99,0.9225,0.8925,0.8075,0.545,0.3225,0.1625,0.0825,0.045,0.025,0.025,0.01,0,0,0,0,0,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,199,1,199,199,199,199,198,2,198,198,198,198,194,6,194,194,194,194,193,7,193,193,193,193,186,14,186,186,186,186,180,20,180,180,180,180,190,10,190,190,190,190,199,1,199,199,199,199,200,0,200,200,200,200,199,1,199,199,199,199,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,
500, 0.995,0.9925,0.9975,0.98,0.9425,0.8125,0.7475,0.48,0.3225,0.175,0.075,0.0325,0.015,0.0425,0.05,0.0125,0.0025,0.0025,0.0125,0,1,0.9875,1,0.96,0.905,0.8575,0.7675,0.53,0.3175,0.11,0.1125,0.0175,0,0,0,0,0,0,0,0,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,190,10,190,190,190,190,192,8,192,192,192,192,178,22,178,178,178,178,184,16,184,184,184,184,193,7,193,193,193,193,198,2,198,198,198,198,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,
600, 0.9875,0.99,0.955,0.915,0.8775,0.755,0.82,0.555,0.245,0.1375,0.015,0.0075,0.0175,0,0,0,0,0,0,0,0.9825,0.985,0.9725,0.9425,0.9225,0.87,0.7975,0.5525,0.385,0.1175,0.055,0.0025,0,0,0,0,0,0,0,0,200,0,200,200,200,200,199,1,199,199,199,199,199,1,199,199,199,199,198,2,198,198,198,198,192,8,192,192,192,192,195,5,195,195,195,195,187,13,187,187,187,187,190,10,190,190,190,190,185,15,185,185,185,185,197,3,197,197,197,197,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,
700, 0.9575,0.9575,0.9575,0.9725,0.9075,0.795,0.81,0.745,0.4775,0.1925,0.1125,0.09,0.015,0.0125,0,0.015,0.0025,0,0,0,0.905,0.9225,0.965,0.93,0.9325,0.9425,0.86,0.69,0.4425,0.19,0.0475,0.03,0.0175,0.0175,0.0075,0,0,0,0,0,199,1,199,199,199,199,199,1,199,199,199,199,199,1,199,199,199,199,196,4,196,196,196,196,199,1,199,199,199,199,195,5,195,195,195,195,194,6,194,194,194,194,182,18,182,182,182,182,186,14,186,186,186,186,191,9,191,191,191,191,200,0,200,200,200,200,196,4,196,196,196,196,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,
800, 1,1,1,1,0.98,0.965,0.84,0.7,0.415,0.1725,0.08,0.045,0.0025,0.0375,0.0225,0.05,0.025,0.0025,0,0,0.9975,0.995,1,0.995,0.9825,0.9275,0.8675,0.645,0.3475,0.1975,0.07,0.0675,0.07,0.0375,0.005,0,0,0,0,0,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,199,1,199,199,199,199,199,1,199,199,199,199,196,4,196,196,196,196,190,10,190,190,190,190,184,16,184,184,184,184,196,4,196,196,196,196,196,4,196,196,196,196,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,199,1,199,199,199,199,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,
900, 0.9675,0.995,0.99,0.97,0.9475,0.94,0.84,0.755,0.5075,0.1925,0.115,0.06,0.045,0.01,0,0,0.0075,0.0075,0.0025,0,1,0.9925,0.97,0.9675,0.9825,0.96,0.905,0.715,0.5275,0.1825,0.0925,0.12,0.07,0.0575,0.0375,0,0,0,0,0,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,199,1,199,199,199,199,199,1,199,199,199,199,196,4,196,196,196,196,197,3,197,197,197,197,189,11,189,189,189,189,179,21,179,179,179,179,192,8,192,192,192,192,190,10,190,190,190,190,199,1,199,199,199,199,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,
