gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W1, d0W0.606531, d0W0.63223, d0W1, d0W0.63223, d0W1, d1W1, d1W0.606531, d1W0.63223, d1W1, d1W0.63223, d1W1, d2W1, d2W0.606531, d2W0.63223, d2W1, d2W0.63223, d2W1, d3W1, d3W0.606531, d3W0.63223, d3W1, d3W0.63223, d3W1, d4W1, d4W0.606531, d4W0.63223, d4W1, d4W0.63223, d4W1, d5W1, d5W0.606531, d5W0.63223, d5W1, d5W0.63223, d5W1, d6W1, d6W0.606531, d6W0.63223, d6W1, d6W0.63223, d6W1, d7W1, d7W0.606531, d7W0.63223, d7W1, d7W0.63223, d7W1, d8W1, d8W0.606531, d8W0.63223, d8W1, d8W0.63223, d8W1, d9W1, d9W0.606531, d9W0.63223, d9W1, d9W0.63223, d9W1, d10W1, d10W0.606531, d10W0.63223, d10W1, d10W0.63223, d10W1, d11W1, d11W0.606531, d11W0.63223, d11W1, d11W0.63223, d11W1, d12W1, d12W0.606531, d12W0.63223, d12W1, d12W0.63223, d12W1, d13W1, d13W0.606531, d13W0.63223, d13W1, d13W0.63223, d13W1, d14W1, d14W0.606531, d14W0.63223, d14W1, d14W0.63223, d14W1, d15W1, d15W0.606531, d15W0.63223, d15W1, d15W0.63223, d15W1, d16W1, d16W0.606531, d16W0.63223, d16W1, d16W0.63223, d16W1, d17W1, d17W0.606531, d17W0.63223, d17W1, d17W0.63223, d17W1, d18W1, d18W0.606531, d18W0.63223, d18W1, d18W0.63223, d18W1, d19W1, d19W0.606531, d19W0.63223, d19W1, d19W0.63223, d19W1, 
0, 1,1,1,1,1,1,0.9875,0.9325,0.5,0.1525,0.035,0.0125,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.9925,0.9175,0.485,0.16,0.025,0.01,0,0,0,0,0,0,0,0,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,195,0,5,195,5,195,170,0,30,170,30,170,99,11,90,99,90,99,137,4,59,137,59,137,175,0,25,175,25,175,199,0,1,199,1,199,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,
100, 1,1,1,1,1,1,1,0.975,0.835,0.2475,0.0475,0.005,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.985,0.84,0.2225,0.05,0.0075,0,0,0,0,0,0,0,0,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,198,0,2,198,2,198,189,0,11,189,11,189,154,5,41,154,41,154,124,7,69,124,69,124,174,1,25,174,25,174,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,
200, 1,1,1,1,1,1,0.9825,0.8875,0.55,0.0825,0.005,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.99,0.915,0.555,0.0975,0.0125,0.005,0,0,0,0,0,0,0,0,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,195,0,5,195,5,195,166,0,34,166,34,166,98,12,90,98,90,98,169,1,30,169,30,169,196,0,4,196,4,196,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,
300, 1,1,1,1,1,0.9975,0.9825,0.9125,0.4525,0.0925,0.025,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.995,0.91,0.4975,0.0725,0.01,0,0,0,0,0,0,0,0,0,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,199,0,1,199,1,199,189,0,11,189,11,189,163,1,36,163,36,163,103,8,89,103,89,103,150,1,49,150,49,150,189,1,10,189,10,189,199,0,1,199,1,199,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,
400, 1,1,1,1,1,1,0.9775,0.8925,0.525,0.09,0.01,0.015,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.985,0.8975,0.51,0.0925,0.0075,0.005,0,0,0,0,0,0,0,0,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,195,0,5,195,5,195,163,1,36,163,36,163,110,17,73,110,73,110,162,2,36,162,36,162,194,0,6,194,6,194,194,0,6,194,6,194,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,
500, 1,1,1,1,1,1,0.9975,0.9525,0.655,0.125,0.015,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.9575,0.6625,0.1275,0.01,0,0,0,0,0,0,0,0,0,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,199,0,1,199,1,199,176,0,24,176,24,176,98,21,81,98,81,98,147,2,51,147,51,147,191,0,9,191,9,191,199,0,1,199,1,199,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,
600, 1,1,1,1,1,1,0.9975,0.9425,0.69,0.15,0.02,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.995,0.95,0.755,0.1925,0.02,0,0,0,0,0,0,0,0,0,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,199,0,1,199,1,199,179,0,21,179,21,179,124,6,70,124,70,124,152,1,47,152,47,152,193,0,7,193,7,193,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,
700, 1,1,1,1,1,1,0.9975,0.9775,0.755,0.33,0.0825,0.0125,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.9925,0.7975,0.375,0.0575,0,0,0,0,0,0,0,0,0,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,198,0,2,198,2,198,186,0,14,186,14,186,127,6,67,127,67,127,98,9,93,98,93,98,161,0,39,161,39,161,193,0,7,193,7,193,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,
800, 1,1,1,1,1,0.995,0.9925,0.9575,0.76,0.165,0.0325,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.99,0.955,0.7425,0.1575,0.03,0.0125,0.0025,0,0,0,0,0,0,0,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,199,0,1,199,1,199,194,0,6,194,6,194,181,0,19,181,19,181,127,6,67,127,67,127,133,4,63,133,63,133,188,0,12,188,12,188,193,0,7,193,7,193,196,0,4,196,4,196,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,
900, 1,1,1,1,1,1,0.98,0.98,0.87,0.37,0.0975,0.015,0.0025,0.0025,0,0,0,0,0,0,1,1,1,1,1,1,0.995,0.985,0.875,0.3725,0.1075,0.02,0.0025,0,0,0,0,0,0,0,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,197,0,3,197,3,197,194,0,6,194,6,194,159,0,41,159,41,159,99,17,84,99,84,99,150,2,48,150,48,150,188,0,12,188,12,188,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,
