gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W1, d0W0.606531, d0W0.882497, d0W1, d0W0.882497, d0W1, d1W1, d1W0.606531, d1W0.882497, d1W1, d1W0.882497, d1W1, d2W1, d2W0.606531, d2W0.882497, d2W1, d2W0.882497, d2W1, d3W1, d3W0.606531, d3W0.882497, d3W1, d3W0.882497, d3W1, d4W1, d4W0.606531, d4W0.882497, d4W1, d4W0.882497, d4W1, d5W1, d5W0.606531, d5W0.882497, d5W1, d5W0.882497, d5W1, d6W1, d6W0.606531, d6W0.882497, d6W1, d6W0.882497, d6W1, d7W1, d7W0.606531, d7W0.882497, d7W1, d7W0.882497, d7W1, d8W1, d8W0.606531, d8W0.882497, d8W1, d8W0.882497, d8W1, d9W1, d9W0.606531, d9W0.882497, d9W1, d9W0.882497, d9W1, d10W1, d10W0.606531, d10W0.882497, d10W1, d10W0.882497, d10W1, d11W1, d11W0.606531, d11W0.882497, d11W1, d11W0.882497, d11W1, d12W1, d12W0.606531, d12W0.882497, d12W1, d12W0.882497, d12W1, d13W1, d13W0.606531, d13W0.882497, d13W1, d13W0.882497, d13W1, d14W1, d14W0.606531, d14W0.882497, d14W1, d14W0.882497, d14W1, d15W1, d15W0.606531, d15W0.882497, d15W1, d15W0.882497, d15W1, d16W1, d16W0.606531, d16W0.882497, d16W1, d16W0.882497, d16W1, d17W1, d17W0.606531, d17W0.882497, d17W1, d17W0.882497, d17W1, d18W1, d18W0.606531, d18W0.882497, d18W1, d18W0.882497, d18W1, d19W1, d19W0.606531, d19W0.882497, d19W1, d19W0.882497, d19W1, 
0, 1,1,1,1,1,1,0.995,0.99,0.95,0.83,0.65,0.2675,0.0425,0.0075,0,0,0,0,0,0,1,1,1,1,1,1,1,0.98,0.9675,0.88,0.61,0.2325,0.075,0.0175,0,0.0025,0,0,0,0,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,199,0,1,199,1,199,191,0,9,191,9,191,175,1,24,175,24,175,132,2,66,132,66,132,106,14,80,106,80,106,98,9,93,98,93,98,163,0,37,163,37,163,193,0,7,193,7,193,200,0,0,200,0,200,199,0,1,199,1,199,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,
100, 1,1,1,1,1,1,1,1,0.9825,0.79,0.515,0.1775,0.0525,0.0175,0,0,0,0,0,0,1,1,1,1,1,1,1,0.995,0.965,0.85,0.52,0.225,0.0575,0.005,0,0,0,0,0,0,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,196,0,4,196,4,196,190,0,10,190,10,190,119,6,75,119,75,119,86,18,96,86,96,86,109,6,85,109,85,109,180,0,20,180,20,180,189,0,11,189,11,189,199,0,1,199,1,199,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,
200, 1,1,1,1,1,1,1,0.9875,0.9775,0.8275,0.4975,0.145,0.07,0.0025,0,0,0,0,0,0,1,1,1,1,1,0.9925,1,1,0.975,0.8425,0.4675,0.1375,0.055,0.02,0,0,0,0,0,0,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,199,0,1,199,1,199,200,0,0,200,0,200,197,0,3,197,3,197,183,1,16,183,16,183,113,10,77,113,77,113,85,23,92,85,92,85,134,4,62,134,62,134,160,1,39,160,39,160,195,0,5,195,5,195,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,
300, 1,1,1,1,1,1,1,1,0.93,0.78,0.495,0.17,0.0625,0.005,0.0025,0,0,0,0,0,1,1,1,1,1,1,0.985,0.97,0.92,0.7825,0.52,0.2425,0.055,0.0075,0,0,0,0,0,0,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,195,0,5,195,5,195,186,0,14,186,14,186,164,0,36,164,36,164,107,10,83,107,83,107,93,18,89,93,89,93,117,7,76,117,76,117,169,0,31,169,31,169,192,0,8,192,8,192,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,
400, 1,1,1,1,1,1,1,1,0.98,0.9275,0.7475,0.3575,0.1375,0.04,0.005,0,0,0,0,0,1,1,1,1,1,1,1,1,0.995,0.9575,0.7025,0.275,0.0725,0.02,0.0025,0,0,0,0,0,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,199,0,1,199,1,199,190,0,10,190,10,190,155,2,43,155,43,155,110,9,81,110,81,110,99,14,87,99,87,99,140,2,58,140,58,140,175,0,25,175,25,175,193,0,7,193,7,193,200,0,0,200,0,200,199,0,1,199,1,199,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,
500, 1,1,1,1,1,1,0.99,0.995,0.985,0.96,0.85,0.48,0.135,0.05,0.01,0.005,0,0,0,0,1,1,1,1,1,1,1,0.995,0.98,0.965,0.78,0.4225,0.15,0.065,0.01,0,0,0,0,0,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,197,0,3,197,3,197,197,0,3,197,3,197,188,1,11,188,11,188,159,2,39,159,39,159,120,6,74,120,74,120,91,19,90,91,90,91,114,5,81,114,81,114,162,1,37,162,37,162,189,0,11,189,11,189,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,
600, 1,1,1,1,1,1,1,1,0.9975,0.9625,0.805,0.595,0.2225,0.075,0.0175,0.01,0,0,0,0,1,1,1,1,1,1,0.9975,0.975,0.9775,0.945,0.8475,0.5125,0.3075,0.06,0.025,0,0,0,0,0,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,194,0,6,194,6,194,186,1,13,186,13,186,166,1,33,166,33,166,106,10,84,106,84,106,79,21,100,79,100,79,112,17,71,112,71,112,156,1,43,156,43,156,188,0,12,188,12,188,197,0,3,197,3,197,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,
700, 1,1,1,1,1,1,1,1,1,0.98,0.8575,0.53,0.1775,0.075,0.03,0.005,0,0,0,0,1,1,1,1,1,1,1,0.9825,0.9925,0.915,0.9175,0.5775,0.2475,0.0825,0.0275,0,0,0,0,0,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,199,0,1,199,1,199,193,0,7,193,7,193,199,0,1,199,1,199,174,3,23,174,23,174,135,8,57,135,57,135,89,12,99,89,99,89,108,14,78,108,78,108,150,3,47,150,47,150,170,1,29,170,29,170,196,0,4,196,4,196,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,
800, 1,1,1,1,1,1,1,0.995,0.9875,0.93,0.695,0.3575,0.0625,0.02,0,0,0,0,0,0,1,1,1,1,1,1,1,0.9975,0.98,0.895,0.67,0.3225,0.1225,0.03,0.0075,0,0,0,0,0,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,198,0,2,198,2,198,183,0,17,183,17,183,145,3,52,145,52,145,81,12,107,81,107,81,89,23,88,89,88,89,148,2,50,148,50,148,181,0,19,181,19,181,197,0,3,197,3,197,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,
900, 1,1,1,1,1,1,0.9925,0.9875,0.96,0.9225,0.82,0.4125,0.115,0.0475,0.02,0,0,0,0,0,1,1,1,1,1,1,1,0.9925,0.955,0.9525,0.8475,0.4725,0.1775,0.09,0.0225,0.0075,0,0,0,0,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,197,0,3,197,3,197,176,0,24,176,24,176,161,0,39,161,39,161,109,3,88,109,88,109,92,19,89,92,89,92,134,5,61,134,61,134,165,1,34,165,34,165,187,1,12,187,12,187,199,0,1,199,1,199,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,
