gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W1, d0W0.606531, d0W1, d0W1, d0W1, d0W1, d1W1, d1W0.606531, d1W1, d1W1, d1W1, d1W1, d2W1, d2W0.606531, d2W1, d2W1, d2W1, d2W1, d3W1, d3W0.606531, d3W1, d3W1, d3W1, d3W1, d4W1, d4W0.606531, d4W1, d4W1, d4W1, d4W1, d5W1, d5W0.606531, d5W1, d5W1, d5W1, d5W1, d6W1, d6W0.606531, d6W1, d6W1, d6W1, d6W1, d7W1, d7W0.606531, d7W1, d7W1, d7W1, d7W1, d8W1, d8W0.606531, d8W1, d8W1, d8W1, d8W1, d9W1, d9W0.606531, d9W1, d9W1, d9W1, d9W1, d10W1, d10W0.606531, d10W1, d10W1, d10W1, d10W1, d11W1, d11W0.606531, d11W1, d11W1, d11W1, d11W1, d12W1, d12W0.606531, d12W1, d12W1, d12W1, d12W1, d13W1, d13W0.606531, d13W1, d13W1, d13W1, d13W1, d14W1, d14W0.606531, d14W1, d14W1, d14W1, d14W1, d15W1, d15W0.606531, d15W1, d15W1, d15W1, d15W1, d16W1, d16W0.606531, d16W1, d16W1, d16W1, d16W1, d17W1, d17W0.606531, d17W1, d17W1, d17W1, d17W1, d18W1, d18W0.606531, d18W1, d18W1, d18W1, d18W1, d19W1, d19W0.606531, d19W1, d19W1, d19W1, d19W1, 
0, 1,1,1,1,1,1,1,0.985,0.975,0.945,0.945,0.8525,0.5925,0.3925,0.2825,0.09,0.055,0,0.05,0.0175,1,1,1,0.9925,0.9375,0.955,0.985,0.98,0.9575,0.95,0.9575,0.895,0.6775,0.3425,0.315,0.0825,0.055,0.035,0.015,0.0025,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,198,2,198,198,198,198,200,0,200,200,200,200,200,0,200,200,200,200,199,1,199,199,199,199,199,1,199,199,199,199,199,1,199,199,199,199,199,1,199,199,199,199,195,5,195,195,195,195,181,19,181,181,181,181,185,15,185,185,185,185,182,18,182,182,182,182,199,1,199,199,199,199,199,1,199,199,199,199,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,
100, 1,1,1,1,1,1,0.9975,0.9725,0.9625,0.9525,0.96,0.845,0.6175,0.4,0.185,0.0975,0.0475,0.005,0.0275,0.0475,0.985,0.9725,0.995,1,1,0.98,0.99,0.975,0.9675,0.9375,0.925,0.8575,0.6275,0.485,0.18,0.12,0.05,0.0175,0.005,0.01,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,199,1,199,199,199,199,197,3,197,197,197,197,197,3,197,197,197,197,199,1,199,199,199,199,193,7,193,193,193,193,183,17,183,183,183,183,184,16,184,184,184,184,187,13,187,187,187,187,198,2,198,198,198,198,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,
200, 1,1,1,0.9925,0.9925,0.975,0.995,0.9925,0.965,0.975,0.93,0.9,0.8375,0.585,0.37,0.165,0.0625,0.1,0.025,0.015,1,1,1,1,1,1,0.9975,1,0.985,0.91,0.8525,0.905,0.7875,0.62,0.3025,0.1525,0.0375,0.0175,0.0175,0.005,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,195,5,195,195,195,195,197,3,197,197,197,197,190,10,190,190,190,190,182,18,182,182,182,182,185,15,185,185,185,185,195,5,195,195,195,195,198,2,198,198,198,198,197,3,197,197,197,197,200,0,200,200,200,200,200,0,200,200,200,200,
300, 1,1,1,1,1,0.9975,1,0.97,0.9775,0.91,0.895,0.8575,0.735,0.5275,0.3275,0.16,0.09,0.0475,0.0425,0.035,1,1,1,1,1,1,0.99,0.9775,0.9525,0.945,0.9125,0.84,0.755,0.5725,0.3875,0.1675,0.07,0.01,0.0225,0.005,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,199,1,199,199,199,199,198,2,198,198,198,198,195,5,195,195,195,195,193,7,193,193,193,193,189,11,189,189,189,189,179,21,179,179,179,179,183,17,183,183,183,183,197,3,197,197,197,197,197,3,197,197,197,197,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,
400, 1,1,1,1,1,1,1,1,0.99,0.9675,0.95,0.9375,0.8325,0.82,0.6775,0.4025,0.1325,0.03,0.0125,0.0025,1,1,1,1,1,1,0.9975,0.9875,0.985,0.96,0.9475,0.8375,0.8175,0.7775,0.605,0.2975,0.095,0.035,0.015,0.0025,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,196,4,196,196,196,196,194,6,194,194,194,194,188,12,188,188,188,188,182,18,182,182,182,182,181,19,181,181,181,181,196,4,196,196,196,196,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,
500, 1,1,1,1,1,1,1,1,1,0.9975,0.97,0.965,0.92,0.9025,0.67,0.4125,0.21,0.18,0.07,0.055,1,1,1,1,1,0.9975,1,0.9925,0.9725,0.975,0.9475,0.9275,0.9475,0.835,0.725,0.4425,0.1725,0.0925,0.065,0.0425,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,198,2,198,198,198,198,195,5,195,195,195,195,195,5,195,195,195,195,187,13,187,187,187,187,181,19,181,181,181,181,189,11,189,189,189,189,192,8,192,192,192,192,197,3,197,197,197,197,199,1,199,199,199,199,
600, 1,1,1,1,1,1,1,1,1,0.9825,0.975,0.99,0.965,0.945,0.9175,0.71,0.32,0.185,0.105,0.03,1,1,1,1,1,1,1,1,1,1,0.9975,0.9725,0.9375,0.9025,0.8875,0.6775,0.35,0.155,0.0875,0.095,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,198,2,198,198,198,198,195,5,195,195,195,195,197,3,197,197,197,197,184,16,184,184,184,184,185,15,185,185,185,185,188,12,188,188,188,188,198,2,198,198,198,198,198,2,198,198,198,198,
700, 1,1,1,1,1,1,1,1,1,0.985,0.9375,0.9325,0.9175,0.8925,0.845,0.6825,0.4325,0.2575,0.1225,0.045,1,1,1,0.9975,0.98,0.9425,0.98,0.9975,0.9975,0.985,0.9575,0.945,0.92,0.9225,0.805,0.65,0.48,0.2925,0.115,0.06,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,199,1,199,199,199,199,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,198,2,198,198,198,198,200,0,200,200,200,200,199,1,199,199,199,199,187,13,187,187,187,187,182,18,182,182,182,182,178,22,178,178,178,178,193,7,193,193,193,193,197,3,197,197,197,197,199,1,199,199,199,199,
800, 1,0.9975,0.9975,0.995,0.99,0.97,0.9775,0.99,0.98,0.99,1,0.9775,0.8875,0.925,0.815,0.7125,0.335,0.1425,0.0775,0.065,1,1,1,1,0.965,0.935,0.9875,0.975,0.99,0.985,0.975,0.9675,0.9275,0.9275,0.9,0.6725,0.395,0.24,0.195,0.1075,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,199,1,199,199,199,199,200,0,200,200,200,200,199,1,199,199,199,199,199,1,199,199,199,199,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,196,4,196,196,196,196,198,2,198,198,198,198,194,6,194,194,194,194,188,12,188,188,188,188,182,18,182,182,182,182,193,7,193,193,193,193,192,8,192,192,192,192,196,4,196,196,196,196,
900, 0.99,0.9975,0.9975,1,1,0.9875,0.9725,0.9975,0.98,0.9875,0.9825,0.955,0.93,0.8725,0.8025,0.595,0.3625,0.155,0.1425,0.0675,0.97,0.97,0.9975,0.9675,0.9475,0.995,0.98,0.9975,0.9975,0.975,0.97,0.9375,0.9425,0.9475,0.905,0.635,0.3675,0.1825,0.1125,0.085,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,199,1,199,199,199,199,200,0,200,200,200,200,199,1,199,199,199,199,194,6,194,194,194,194,192,8,192,192,192,192,184,16,184,184,184,184,180,20,180,180,180,180,194,6,194,194,194,194,200,0,200,200,200,200,195,5,195,195,195,195,
