gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W1, d0W0.449329, d0W0.992014, d0W1, d0W0.992014, d0W0.449329, d1W1, d1W0.449329, d1W0.992014, d1W1, d1W0.992014, d1W0.449329, d2W1, d2W0.449329, d2W0.992014, d2W1, d2W0.992014, d2W0.449329, d3W1, d3W0.449329, d3W0.992014, d3W1, d3W0.992014, d3W0.449329, d4W1, d4W0.449329, d4W0.992014, d4W1, d4W0.992014, d4W0.449329, d5W1, d5W0.449329, d5W0.992014, d5W1, d5W0.992014, d5W0.449329, d6W1, d6W0.449329, d6W0.992014, d6W1, d6W0.992014, d6W0.449329, d7W1, d7W0.449329, d7W0.992014, d7W1, d7W0.992014, d7W0.449329, d8W1, d8W0.449329, d8W0.992014, d8W1, d8W0.992014, d8W0.449329, d9W1, d9W0.449329, d9W0.992014, d9W1, d9W0.992014, d9W0.449329, d10W1, d10W0.449329, d10W0.992014, d10W1, d10W0.992014, d10W0.449329, d11W1, d11W0.449329, d11W0.992014, d11W1, d11W0.992014, d11W0.449329, d12W1, d12W0.449329, d12W0.992014, d12W1, d12W0.992014, d12W0.449329, d13W1, d13W0.449329, d13W0.992014, d13W1, d13W0.992014, d13W0.449329, d14W1, d14W0.449329, d14W0.992014, d14W1, d14W0.992014, d14W0.449329, d15W1, d15W0.449329, d15W0.992014, d15W1, d15W0.992014, d15W0.449329, d16W1, d16W0.449329, d16W0.992014, d16W1, d16W0.992014, d16W0.449329, d17W1, d17W0.449329, d17W0.992014, d17W1, d17W0.992014, d17W0.449329, d18W1, d18W0.449329, d18W0.992014, d18W1, d18W0.992014, d18W0.449329, d19W1, d19W0.449329, d19W0.992014, d19W1, d19W0.992014, d19W0.449329, 
0, 1,1,0.9775,0.9975,1,1,0.9975,0.9725,0.9625,0.825,0.2125,0.085,0.0375,0.0025,0,0,0,0,0,0,0.9875,0.9825,0.9675,1,1,1,0.995,1,0.9575,0.745,0.205,0.0775,0.055,0.0125,0,0,0,0,0,0,192,0,8,192,8,0,197,0,3,197,3,0,181,0,19,181,19,0,198,0,2,198,2,0,200,0,0,200,0,0,200,0,0,200,0,0,196,0,4,196,4,0,189,2,9,189,9,2,166,4,30,166,30,4,104,22,74,104,74,22,97,39,64,97,64,39,144,9,47,144,47,9,173,0,27,173,27,0,195,0,5,195,5,0,199,0,1,199,1,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
10, 1,0.9975,1,1,1,1,1,0.9925,0.92,0.8175,0.1475,0.075,0.035,0.005,0,0,0,0,0,0,0.995,0.995,0.9875,1,1,1,0.9975,0.985,0.97,0.825,0.1725,0.0675,0.05,0.015,0.01,0,0,0,0,0,198,0,2,198,2,0,193,0,7,193,7,0,191,0,9,191,9,0,200,0,0,200,0,0,200,0,0,200,0,0,199,0,1,199,1,0,200,0,0,200,0,0,192,0,8,192,8,0,155,6,39,155,39,6,103,31,66,103,66,31,106,28,66,106,66,28,153,3,44,153,44,3,168,0,32,168,32,0,194,0,6,194,6,0,196,0,4,196,4,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
20, 1,1,1,1,1,1,0.995,0.99,0.9325,0.78,0.1325,0.05,0.0475,0.0125,0.0025,0,0,0,0,0,0.9975,0.9925,0.985,1,0.9925,1,0.9925,0.995,0.9575,0.825,0.215,0.055,0.0175,0.015,0.0025,0,0,0,0,0,200,0,0,200,0,0,196,0,4,196,4,0,192,1,7,192,7,1,199,0,1,199,1,0,198,0,2,198,2,0,200,0,0,200,0,0,197,0,3,197,3,0,187,0,13,187,13,0,170,3,27,170,27,3,102,35,63,102,63,35,117,26,57,117,57,26,158,2,40,158,40,2,178,0,22,178,22,0,188,0,12,188,12,0,199,0,1,199,1,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
30, 1,1,1,1,1,0.995,0.9875,0.985,0.95,0.7,0.195,0.09,0.055,0,0,0,0,0,0,0,1,0.9975,0.9975,1,0.995,0.995,0.9825,0.975,0.9175,0.7,0.18,0.05,0.0075,0,0,0,0,0,0,0,200,0,0,200,0,0,199,0,1,199,1,0,199,0,1,199,1,0,199,0,1,199,1,0,197,0,3,197,3,0,191,0,9,191,9,0,180,1,19,180,19,1,179,1,20,179,20,1,155,8,37,155,37,8,69,54,77,69,77,54,108,27,65,108,65,27,152,4,44,152,44,4,175,0,25,175,25,0,198,0,2,198,2,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
40, 1,1,1,1,1,1,1,0.985,0.97,0.7575,0.1825,0.075,0.035,0.005,0,0,0,0,0,0,1,1,1,1,1,1,0.9925,0.985,0.97,0.7475,0.16,0.0625,0.03,0.005,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,0,3,197,3,0,191,0,9,191,9,0,176,2,22,176,22,2,91,30,79,91,79,30,96,28,76,96,76,28,154,6,40,154,40,6,176,1,23,176,23,1,195,0,5,195,5,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
50, 1,1,1,1,1,1,1,0.9875,0.9625,0.7375,0.1875,0.055,0.025,0.0025,0,0,0,0,0,0,1,1,1,1,1,1,0.9925,0.965,0.9225,0.7475,0.1625,0.0525,0.005,0.01,0.005,0.0025,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,0,3,197,3,0,176,2,22,176,22,2,167,3,30,167,30,3,92,33,75,92,75,33,127,19,54,127,54,19,158,5,37,158,37,5,184,0,16,184,16,0,195,0,5,195,5,0,197,0,3,197,3,0,199,0,1,199,1,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
60, 1,1,1,1,1,1,1,0.9925,0.9625,0.8275,0.25,0.0525,0.025,0,0,0,0,0,0,0,1,1,1,1,1,0.9725,0.9675,0.9875,0.94,0.8175,0.2225,0.055,0.0225,0.01,0.02,0.005,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,0,3,197,3,0,185,2,13,185,13,2,189,0,11,189,11,0,163,3,34,163,34,3,116,22,62,116,62,22,89,39,72,89,72,39,163,9,28,163,28,9,185,0,15,185,15,0,197,0,3,197,3,0,193,0,7,193,7,0,198,0,2,198,2,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
70, 1,1,1,1,1,1,1,0.9925,0.9575,0.7725,0.1675,0.0475,0.0325,0.0225,0.01,0.0025,0,0,0,0,1,1,1,0.995,0.9975,0.9875,0.995,0.965,0.9475,0.81,0.235,0.0975,0.0525,0.0025,0.005,0.0025,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,196,0,4,196,4,0,193,0,7,193,7,0,196,0,4,196,4,0,180,0,20,180,20,0,166,1,33,166,33,1,122,32,46,122,46,32,106,29,65,106,65,29,159,4,37,159,37,4,163,2,35,163,35,2,193,0,7,193,7,0,193,0,7,193,7,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
80, 1,1,1,1,1,1,1,0.9975,0.9525,0.8125,0.1875,0.0275,0.0175,0.01,0,0,0,0,0,0,1,1,1,0.9925,1,0.9725,0.98,0.975,0.9325,0.825,0.19,0.0525,0.0475,0.02,0.0075,0.005,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,0,3,197,3,0,200,0,0,200,0,0,191,0,9,191,9,0,189,0,11,189,11,0,185,0,15,185,15,0,153,2,45,153,45,2,108,29,63,108,63,29,119,17,64,119,64,17,164,3,33,164,33,3,176,0,24,176,24,0,185,2,13,185,13,2,198,0,2,198,2,0,199,0,1,199,1,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
90, 1,1,1,1,1,1,0.9975,0.96,0.965,0.8075,0.295,0.09,0.015,0.0075,0,0,0,0,0,0,1,1,1,1,1,0.995,0.9825,0.9775,0.9575,0.8675,0.2325,0.05,0.0175,0.0075,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,0,1,199,1,0,200,0,0,200,0,0,194,1,5,194,5,1,191,0,9,191,9,0,176,0,24,176,24,0,169,5,26,169,26,5,114,26,60,114,60,26,81,37,82,81,82,37,164,2,34,164,34,2,187,0,13,187,13,0,192,0,8,192,8,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
