gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0W1, d0W0.367879, d0W0.472367, d0W1, d0W0.472367, d0W0.367879, d1W1, d1W0.367879, d1W0.472367, d1W1, d1W0.472367, d1W0.367879, d2W1, d2W0.367879, d2W0.472367, d2W1, d2W0.472367, d2W0.367879, d3W1, d3W0.367879, d3W0.472367, d3W1, d3W0.472367, d3W0.367879, d4W1, d4W0.367879, d4W0.472367, d4W1, d4W0.472367, d4W0.367879, d5W1, d5W0.367879, d5W0.472367, d5W1, d5W0.472367, d5W0.367879, d6W1, d6W0.367879, d6W0.472367, d6W1, d6W0.472367, d6W0.367879, d7W1, d7W0.367879, d7W0.472367, d7W1, d7W0.472367, d7W0.367879, 
0, 1,1,1,0.99,0.0175,0,0,0,1,1,1,0.99,0.0175,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,0,1,199,1,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
10, 1,1,1,0.995,0.0125,0,0,0,1,1,1,0.99,0.0075,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,1,0,199,0,1,194,2,4,194,4,2,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
20, 1,1,1,0.99,0.01,0,0,0,1,1,1,0.99,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,1,0,199,0,1,199,0,1,199,1,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
30, 1,1,1,0.995,0.02,0,0,0,1,1,1,0.995,0.0225,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,2,1,197,1,2,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
40, 1,1,1,0.9725,0.0175,0,0,0,1,1,1,0.975,0.015,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,198,1,1,198,1,1,196,4,0,196,0,4,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
50, 1,1,1,0.9825,0.0125,0,0,0,1,1,1,0.9925,0.015,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,189,6,5,189,5,6,191,7,2,191,2,7,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
60, 1,1,1,0.975,0.0175,0,0,0,1,1,1,0.975,0.02,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,195,3,2,195,2,3,194,5,1,194,1,5,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
70, 1,1,1,0.985,0.005,0,0,0,1,1,1,0.985,0.0025,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,198,1,1,198,1,1,196,3,1,196,1,3,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
80, 1,1,1,0.995,0.015,0,0,0,1,1,1,0.99,0.02,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,196,3,1,196,1,3,194,4,2,194,2,4,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
90, 1,1,0.995,0.995,0.01,0,0,0,1,1,0.9975,0.995,0.01,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,1,0,199,0,1,200,0,0,200,0,0,199,1,0,199,0,1,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
