gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0l2, d1l2, d2l2, d3l2, d4l2, d5l2, d6l2, d7l2, d0l3, d1l3, d2l3, d3l3, d4l3, d5l3, d6l3, d7l3, d0l4, d1l4, d2l4, d3l4, d4l4, d5l4, d6l4, d7l4, d0l5, d1l5, d2l5, d3l5, d4l5, d5l5, d6l5, d7l5, d0l6, d1l6, d2l6, d3l6, d4l6, d5l6, d6l6, d7l6, d0l7, d1l7, d2l7, d3l7, d4l7, d5l7, d6l7, d7l7, d0W1, d0W0.999998, d0W1, d0W0.990027, d0W0.999639, d0W0.999998, d0W0.700421, d0W0.915307, d0W0.990027, d0W0.999639, d0W0.367879, d0W0.459661, d0W0.700421, d0W0.915307, d0W0.990027, d0W0.700421, d0W0.459661, d0W0.367879, d0W0.459661, d0W0.700421, d0W0.915307, d0W0.990027, d0W0.915307, d0W0.700421, d0W0.459661, d0W0.367879, d0W0.459661, d0W0.700421, d0W0.999998, d0W0.999639, d0W0.990027, d0W0.915307, d0W0.700421, d0W0.459661, d0W0.367879, d0W0.459661, d0W1, d0W1, d0W0.999998, d0W0.999639, d0W0.990027, d0W0.915307, d0W0.700421, d0W0.459661, d0W0.367879, d1W1, d1W0.999998, d1W1, d1W0.990027, d1W0.999639, d1W0.999998, d1W0.700421, d1W0.915307, d1W0.990027, d1W0.999639, d1W0.367879, d1W0.459661, d1W0.700421, d1W0.915307, d1W0.990027, d1W0.700421, d1W0.459661, d1W0.367879, d1W0.459661, d1W0.700421, d1W0.915307, d1W0.990027, d1W0.915307, d1W0.700421, d1W0.459661, d1W0.367879, d1W0.459661, d1W0.700421, d1W0.999998, d1W0.999639, d1W0.990027, d1W0.915307, d1W0.700421, d1W0.459661, d1W0.367879, d1W0.459661, d1W1, d1W1, d1W0.999998, d1W0.999639, d1W0.990027, d1W0.915307, d1W0.700421, d1W0.459661, d1W0.367879, d2W1, d2W0.999998, d2W1, d2W0.990027, d2W0.999639, d2W0.999998, d2W0.700421, d2W0.915307, d2W0.990027, d2W0.999639, d2W0.367879, d2W0.459661, d2W0.700421, d2W0.915307, d2W0.990027, d2W0.700421, d2W0.459661, d2W0.367879, d2W0.459661, d2W0.700421, d2W0.915307, d2W0.990027, d2W0.915307, d2W0.700421, d2W0.459661, d2W0.367879, d2W0.459661, d2W0.700421, d2W0.999998, d2W0.999639, d2W0.990027, d2W0.915307, d2W0.700421, d2W0.459661, d2W0.367879, d2W0.459661, d2W1, d2W1, d2W0.999998, d2W0.999639, d2W0.990027, d2W0.915307, d2W0.700421, d2W0.459661, d2W0.367879, d3W1, d3W0.999998, d3W1, d3W0.990027, d3W0.999639, d3W0.999998, d3W0.700421, d3W0.915307, d3W0.990027, d3W0.999639, d3W0.367879, d3W0.459661, d3W0.700421, d3W0.915307, d3W0.990027, d3W0.700421, d3W0.459661, d3W0.367879, d3W0.459661, d3W0.700421, d3W0.915307, d3W0.990027, d3W0.915307, d3W0.700421, d3W0.459661, d3W0.367879, d3W0.459661, d3W0.700421, d3W0.999998, d3W0.999639, d3W0.990027, d3W0.915307, d3W0.700421, d3W0.459661, d3W0.367879, d3W0.459661, d3W1, d3W1, d3W0.999998, d3W0.999639, d3W0.990027, d3W0.915307, d3W0.700421, d3W0.459661, d3W0.367879, d4W1, d4W0.999998, d4W1, d4W0.990027, d4W0.999639, d4W0.999998, d4W0.700421, d4W0.915307, d4W0.990027, d4W0.999639, d4W0.367879, d4W0.459661, d4W0.700421, d4W0.915307, d4W0.990027, d4W0.700421, d4W0.459661, d4W0.367879, d4W0.459661, d4W0.700421, d4W0.915307, d4W0.990027, d4W0.915307, d4W0.700421, d4W0.459661, d4W0.367879, d4W0.459661, d4W0.700421, d4W0.999998, d4W0.999639, d4W0.990027, d4W0.915307, d4W0.700421, d4W0.459661, d4W0.367879, d4W0.459661, d4W1, d4W1, d4W0.999998, d4W0.999639, d4W0.990027, d4W0.915307, d4W0.700421, d4W0.459661, d4W0.367879, d5W1, d5W0.999998, d5W1, d5W0.990027, d5W0.999639, d5W0.999998, d5W0.700421, d5W0.915307, d5W0.990027, d5W0.999639, d5W0.367879, d5W0.459661, d5W0.700421, d5W0.915307, d5W0.990027, d5W0.700421, d5W0.459661, d5W0.367879, d5W0.459661, d5W0.700421, d5W0.915307, d5W0.990027, d5W0.915307, d5W0.700421, d5W0.459661, d5W0.367879, d5W0.459661, d5W0.700421, d5W0.999998, d5W0.999639, d5W0.990027, d5W0.915307, d5W0.700421, d5W0.459661, d5W0.367879, d5W0.459661, d5W1, d5W1, d5W0.999998, d5W0.999639, d5W0.990027, d5W0.915307, d5W0.700421, d5W0.459661, d5W0.367879, d6W1, d6W0.999998, d6W1, d6W0.990027, d6W0.999639, d6W0.999998, d6W0.700421, d6W0.915307, d6W0.990027, d6W0.999639, d6W0.367879, d6W0.459661, d6W0.700421, d6W0.915307, d6W0.990027, d6W0.700421, d6W0.459661, d6W0.367879, d6W0.459661, d6W0.700421, d6W0.915307, d6W0.990027, d6W0.915307, d6W0.700421, d6W0.459661, d6W0.367879, d6W0.459661, d6W0.700421, d6W0.999998, d6W0.999639, d6W0.990027, d6W0.915307, d6W0.700421, d6W0.459661, d6W0.367879, d6W0.459661, d6W1, d6W1, d6W0.999998, d6W0.999639, d6W0.990027, d6W0.915307, d6W0.700421, d6W0.459661, d6W0.367879, d7W1, d7W0.999998, d7W1, d7W0.990027, d7W0.999639, d7W0.999998, d7W0.700421, d7W0.915307, d7W0.990027, d7W0.999639, d7W0.367879, d7W0.459661, d7W0.700421, d7W0.915307, d7W0.990027, d7W0.700421, d7W0.459661, d7W0.367879, d7W0.459661, d7W0.700421, d7W0.915307, d7W0.990027, d7W0.915307, d7W0.700421, d7W0.459661, d7W0.367879, d7W0.459661, d7W0.700421, d7W0.999998, d7W0.999639, d7W0.990027, d7W0.915307, d7W0.700421, d7W0.459661, d7W0.367879, d7W0.459661, d7W1, d7W1, d7W0.999998, d7W0.999639, d7W0.990027, d7W0.915307, d7W0.700421, d7W0.459661, d7W0.367879, 
0, 1,1,1,0.9775,0.1975,0.02,0,0,0.815,0.8325,0.47,0.4875,0.02,0.0025,0,0,0.7,0.8975,0.99,0.9475,0.135,0.27,0.265,0.21,1,1,0.985,0.8775,0.045,0,0,0,0.95,0.8825,1,0.9425,0.0375,0.0125,0.005,0,1,1,0.9375,0.71,0.025,0,0,0,1,1,0.9925,0.915,0.205,0.16,0.07,0.0225,1,1,0.9775,0.8425,0.035,0.005,0,0,52,58,78,2,10,58,0,0,2,10,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,58,10,2,0,0,0,0,0,52,78,58,10,2,0,0,0,0,92,33,68,0,7,33,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,7,0,0,0,0,0,0,92,68,33,7,0,0,0,0,0,27,63,93,1,16,63,0,0,1,16,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,63,16,1,0,0,0,0,0,27,93,63,16,1,0,0,0,0,9,63,42,18,47,63,8,9,18,47,2,2,8,9,18,8,2,2,2,8,9,18,9,8,2,2,2,8,63,47,18,9,8,2,2,2,9,42,63,47,18,9,8,2,2,45,57,69,4,17,57,1,1,4,17,4,2,1,1,4,1,2,4,2,1,1,4,1,1,2,4,2,1,57,17,4,1,1,2,4,2,45,69,57,17,4,1,1,2,4,73,39,82,2,4,39,0,0,2,4,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,39,4,2,0,0,0,0,0,73,82,39,4,2,0,0,0,0,92,21,85,0,2,21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0,0,0,0,0,0,92,85,21,2,0,0,0,0,0,108,9,83,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,108,83,9,0,0,0,0,0,0,
10, 1,1,1,0.985,0.1675,0.015,0,0,0.7475,0.8475,0.575,0.6125,0.005,0,0,0,0.67,0.9775,1,0.9525,0.1925,0.2025,0.35,0.245,1,1,1,0.8775,0.02,0,0,0,0.985,0.9275,0.9825,0.94,0.1,0.02,0,0,1,1,0.98,0.655,0,0,0,0,1,1,0.985,0.8775,0.31,0.205,0.0975,0.045,1,1,0.985,0.8975,0.02,0,0,0,51,50,82,1,16,50,0,0,1,16,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,50,16,1,0,0,0,0,0,51,82,50,16,1,0,0,0,0,121,15,64,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,121,64,15,0,0,0,0,0,0,59,41,93,2,5,41,0,0,2,5,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,41,5,2,0,0,0,0,0,59,93,41,5,2,0,0,0,0,10,65,38,23,52,65,3,7,23,52,0,2,3,7,23,3,2,0,2,3,7,23,7,3,2,0,2,3,65,52,23,7,3,2,0,2,10,38,65,52,23,7,3,2,0,40,55,63,10,29,55,1,1,10,29,0,1,1,1,10,1,1,0,1,1,1,10,1,1,1,0,1,1,55,29,10,1,1,1,0,1,40,63,55,29,10,1,1,1,0,77,30,88,1,4,30,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,30,4,1,0,0,0,0,0,77,88,30,4,1,0,0,0,0,72,37,86,1,4,37,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,37,4,1,0,0,0,0,0,72,86,37,4,1,0,0,0,0,111,17,72,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,111,72,17,0,0,0,0,0,0,
20, 1,1,0.9975,0.975,0.2125,0.0025,0,0,0.8025,0.8425,0.6925,0.58,0,0,0,0,0.7075,0.9625,1,0.91,0.2325,0.205,0.485,0.2575,1,1,1,0.86,0.0175,0,0,0,0.9725,0.9775,0.98,0.9375,0.1025,0.0375,0,0,1,1,0.985,0.6575,0.005,0,0,0,1,1,1,0.87,0.3875,0.1675,0.075,0.005,1,1,0.9875,0.9075,0.005,0,0,0,60,38,94,0,7,38,0,1,0,7,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,38,7,0,1,0,0,0,0,60,94,38,7,0,1,0,0,0,132,9,59,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,132,59,9,0,0,0,0,0,0,98,29,73,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,98,73,29,0,0,0,0,0,0,12,49,35,29,56,49,5,10,29,56,2,2,5,10,29,5,2,2,2,5,10,29,10,5,2,2,2,5,49,56,29,10,5,2,2,2,12,35,49,56,29,10,5,2,2,19,76,52,13,39,76,0,1,13,39,0,0,0,1,13,0,0,0,0,0,1,13,1,0,0,0,0,0,76,39,13,1,0,0,0,0,19,52,76,39,13,1,0,0,0,81,30,84,0,5,30,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,0,0,0,0,0,0,81,84,30,5,0,0,0,0,0,44,65,83,0,8,65,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,8,0,0,0,0,0,0,44,83,65,8,0,0,0,0,0,106,12,82,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,106,82,12,0,0,0,0,0,0,
30, 1,1,0.995,0.9875,0.185,0.005,0,0,0.82,0.9,0.8325,0.545,0,0,0,0,0.8375,0.9625,0.99,0.89,0.175,0.145,0.4525,0.325,1,1,0.9925,0.9,0.04,0,0,0,1,0.98,0.9975,0.9675,0.0475,0.0225,0,0,1,1,0.9775,0.64,0,0,0,0,1,1,0.985,0.895,0.35,0.145,0.0525,0,1,1,0.9925,0.9225,0.0025,0,0,0,77,30,84,0,9,30,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,9,0,0,0,0,0,0,77,84,30,9,0,0,0,0,0,141,7,52,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,141,52,7,0,0,0,0,0,0,112,20,65,1,2,20,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,20,2,1,0,0,0,0,0,112,65,20,2,1,0,0,0,0,9,54,35,24,59,54,4,11,24,59,1,3,4,11,24,4,3,1,3,4,11,24,11,4,3,1,3,4,54,59,24,11,4,3,1,3,9,35,54,59,24,11,4,3,1,21,65,64,7,41,65,0,2,7,41,0,0,0,2,7,0,0,0,0,0,2,7,2,0,0,0,0,0,65,41,7,2,0,0,0,0,21,64,65,41,7,2,0,0,0,101,22,72,0,5,22,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,0,0,0,0,0,0,101,72,22,5,0,0,0,0,0,53,55,88,0,4,55,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,4,0,0,0,0,0,0,53,88,55,4,0,0,0,0,0,94,25,81,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,94,81,25,0,0,0,0,0,0,
40, 1,1,1,0.9675,0.0975,0.02,0,0,0.7925,0.95,0.7825,0.555,0.005,0,0,0,0.8175,0.98,0.9875,0.915,0.2475,0.1875,0.3725,0.4375,1,1,1,0.9325,0.0825,0.0075,0,0,1,0.95,1,0.975,0.0375,0.01,0,0,1,0.9975,0.9325,0.7025,0.015,0,0,0,1,1,0.9875,0.9375,0.28,0.0775,0.04,0,1,1,1,0.92,0.02,0,0,0,90,27,76,0,7,27,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,7,0,0,0,0,0,0,90,76,27,7,0,0,0,0,0,155,2,43,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,155,43,2,0,0,0,0,0,0,86,28,85,0,1,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,0,0,0,0,0,86,85,28,1,0,0,0,0,0,20,68,48,18,37,68,3,3,18,37,0,3,3,3,18,3,3,0,3,3,3,18,3,3,3,0,3,3,68,37,18,3,3,3,0,3,20,48,68,37,18,3,3,3,0,37,60,65,10,26,60,1,1,10,26,0,0,1,1,10,1,0,0,0,1,1,10,1,1,0,0,0,1,60,26,10,1,1,0,0,0,37,65,60,26,10,1,1,0,0,99,24,74,1,2,24,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,24,2,1,0,0,0,0,0,99,74,24,2,1,0,0,0,0,66,29,96,0,9,29,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,9,0,0,0,0,0,0,66,96,29,9,0,0,0,0,0,61,36,103,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,61,103,36,0,0,0,0,0,0,
50, 1,1,1,0.9325,0.075,0.0525,0,0,0.81,0.8975,0.7825,0.5725,0,0,0,0,0.745,0.9875,0.9575,0.92,0.2975,0.175,0.2925,0.4675,1,1,1,0.97,0,0.035,0.01,0,1,0.995,0.9875,0.9925,0.015,0,0,0,1,0.995,0.92,0.635,0.015,0,0,0,1,1,1,0.9825,0.4425,0.1075,0.065,0.0025,1,1,1,0.94,0.06,0,0,0,71,39,79,0,11,39,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,11,0,0,0,0,0,0,71,79,39,11,0,0,0,0,0,156,5,39,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,156,39,5,0,0,0,0,0,0,99,18,78,0,5,18,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,0,0,0,0,0,0,99,78,18,5,0,0,0,0,0,15,57,49,20,50,57,0,6,20,50,1,2,0,6,20,0,2,1,2,0,6,20,6,0,2,1,2,0,57,50,20,6,0,2,1,2,15,49,57,50,20,6,0,2,1,24,61,63,11,37,61,1,3,11,37,0,0,1,3,11,1,0,0,0,1,3,11,3,1,0,0,0,1,61,37,11,3,1,0,0,0,24,63,61,37,11,3,1,0,0,93,37,61,2,7,37,0,0,2,7,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,37,7,2,0,0,0,0,0,93,61,37,7,2,0,0,0,0,74,39,85,0,2,39,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,2,0,0,0,0,0,0,74,85,39,2,0,0,0,0,0,64,49,87,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,64,87,49,0,0,0,0,0,0,
60, 1,1,1,0.9775,0.09,0.0475,0,0,0.825,0.8,0.8025,0.6125,0.0025,0,0,0,0.6875,0.96,0.975,0.9425,0.2825,0.19,0.24,0.355,1,1,1,0.955,0.01,0,0,0,1,1,0.995,0.985,0.015,0,0,0,1,1,0.895,0.725,0.0125,0,0,0,1,1,1,0.9725,0.265,0.15,0.06,0.0175,1,1,1,0.915,0.045,0,0,0,68,42,76,0,14,42,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,14,0,0,0,0,0,0,68,76,42,14,0,0,0,0,0,121,15,64,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,121,64,15,0,0,0,0,0,0,91,21,84,1,3,21,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,21,3,1,0,0,0,0,0,91,84,21,3,1,0,0,0,0,23,67,63,7,39,67,0,1,7,39,0,0,0,1,7,0,0,0,0,0,1,7,1,0,0,0,0,0,67,39,7,1,0,0,0,0,23,63,67,39,7,1,0,0,0,42,56,71,5,23,56,1,0,5,23,1,1,1,0,5,1,1,1,1,1,0,5,0,1,1,1,1,1,56,23,5,0,1,1,1,1,42,71,56,23,5,0,1,1,1,92,30,68,1,9,30,0,0,1,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,30,9,1,0,0,0,0,0,92,68,30,9,1,0,0,0,0,100,26,72,0,2,26,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,0,0,0,0,0,0,100,72,26,2,0,0,0,0,0,73,32,94,0,1,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,0,0,0,0,0,73,94,32,1,0,0,0,0,0,
70, 1,1,1,0.97,0.24,0.03,0.0025,0,0.7275,0.8225,0.8875,0.7325,0.015,0,0,0,0.78,0.9375,0.9875,0.98,0.25,0.175,0.2375,0.3325,1,1,1,0.98,0.01,0,0,0,1,1,1,0.9525,0.0425,0.0025,0,0,1,1,0.905,0.72,0.035,0,0,0,1,1,1,0.9775,0.25,0.165,0.09,0.0425,1,1,1,0.95,0.055,0.0025,0,0,68,39,83,3,7,39,0,0,3,7,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,39,7,3,0,0,0,0,0,68,83,39,7,3,0,0,0,0,131,8,60,0,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,131,60,8,1,0,0,0,0,0,118,11,70,0,1,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,118,70,11,1,0,0,0,0,0,33,64,70,9,17,64,0,2,9,17,0,5,0,2,9,0,5,0,5,0,2,9,2,0,5,0,5,0,64,17,9,2,0,5,0,5,33,70,64,17,9,2,0,5,0,31,51,70,7,36,51,0,2,7,36,0,3,0,2,7,0,3,0,3,0,2,7,2,0,3,0,3,0,51,36,7,2,0,3,0,3,31,70,51,36,7,2,0,3,0,86,24,84,0,5,24,0,1,0,5,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,24,5,0,1,0,0,0,0,86,84,24,5,0,1,0,0,0,97,18,79,0,6,18,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,0,0,0,0,0,0,97,79,18,6,0,0,0,0,0,82,32,85,0,1,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,0,0,0,0,0,82,85,32,1,0,0,0,0,0,
80, 1,1,0.9725,0.9425,0.1675,0.015,0.0025,0,0.7125,0.855,0.84,0.635,0.025,0,0,0,0.795,0.9575,1,0.95,0.2375,0.18,0.245,0.27,1,1,1,0.9425,0.0075,0,0,0,1,1,1,0.945,0.0425,0,0,0,1,1,0.8825,0.73,0.0625,0,0,0,1,1,0.9825,0.955,0.2925,0.15,0.11,0.03,1,1,1,0.94,0.06,0.015,0,0,71,36,81,0,12,36,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,12,0,0,0,0,0,0,71,81,36,12,0,0,0,0,0,119,11,70,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,119,70,11,0,0,0,0,0,0,114,25,60,0,1,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0,114,60,25,1,0,0,0,0,0,33,46,66,14,34,46,0,5,14,34,2,0,0,5,14,0,0,2,0,0,5,14,5,0,0,2,0,0,46,34,14,5,0,0,2,0,33,66,46,34,14,5,0,0,2,29,55,64,14,32,55,1,2,14,32,3,0,1,2,14,1,0,3,0,1,2,14,2,1,0,3,0,1,55,32,14,2,1,0,3,0,29,64,55,32,14,2,1,0,3,100,22,76,0,2,22,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,0,0,0,0,0,100,76,22,2,0,0,0,0,0,83,29,82,0,6,29,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,6,0,0,0,0,0,0,83,82,29,6,0,0,0,0,0,88,15,97,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,88,97,15,0,0,0,0,0,0,
90, 1,1,0.9925,0.97,0.1175,0.045,0,0,0.7175,0.89,0.875,0.5875,0.065,0,0,0,0.8425,0.9475,1,0.96,0.2925,0.1425,0.2325,0.3025,1,1,1,0.96,0.01,0.0025,0,0,1,1,0.9975,0.8875,0.035,0,0,0,1,1,0.835,0.765,0.07,0,0,0,1,1,0.995,0.945,0.2925,0.135,0.135,0.0525,1,1,0.995,0.915,0.1475,0.01,0,0,74,38,79,0,9,38,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,9,0,0,0,0,0,0,74,79,38,9,0,0,0,0,0,139,5,56,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,139,56,5,0,0,0,0,0,0,106,23,66,0,5,23,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5,0,0,0,0,0,0,106,66,23,5,0,0,0,0,0,20,56,59,16,41,56,1,5,16,41,1,1,1,5,16,1,1,1,1,1,5,16,5,1,1,1,1,1,56,41,16,5,1,1,1,1,20,59,56,41,16,5,1,1,1,29,50,52,19,36,50,3,5,19,36,2,4,3,5,19,3,4,2,4,3,5,19,5,3,4,2,4,3,50,36,19,5,3,4,2,4,29,52,50,36,19,5,3,4,2,92,24,82,0,2,24,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,0,0,0,0,0,0,92,82,24,2,0,0,0,0,0,89,24,84,0,3,24,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0,0,0,0,0,0,89,84,24,3,0,0,0,0,0,98,22,80,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,98,80,22,0,0,0,0,0,0,
