gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0l2, d1l2, d2l2, d3l2, d4l2, d5l2, d6l2, d7l2, d0l3, d1l3, d2l3, d3l3, d4l3, d5l3, d6l3, d7l3, d0l4, d1l4, d2l4, d3l4, d4l4, d5l4, d6l4, d7l4, d0l5, d1l5, d2l5, d3l5, d4l5, d5l5, d6l5, d7l5, d0l6, d1l6, d2l6, d3l6, d4l6, d5l6, d6l6, d7l6, d0l7, d1l7, d2l7, d3l7, d4l7, d5l7, d6l7, d7l7, d0W1, d0W0.999998, d0W1, d0W0.990027, d0W0.999639, d0W0.999998, d0W0.700421, d0W0.915307, d0W0.990027, d0W0.999639, d0W0.367879, d0W0.459661, d0W0.700421, d0W0.915307, d0W0.990027, d0W0.700421, d0W0.459661, d0W0.367879, d0W0.459661, d0W0.700421, d0W0.915307, d0W0.990027, d0W0.915307, d0W0.700421, d0W0.459661, d0W0.367879, d0W0.459661, d0W0.700421, d0W0.999998, d0W0.999639, d0W0.990027, d0W0.915307, d0W0.700421, d0W0.459661, d0W0.367879, d0W0.459661, d0W1, d0W1, d0W0.999998, d0W0.999639, d0W0.990027, d0W0.915307, d0W0.700421, d0W0.459661, d0W0.367879, d1W1, d1W0.999998, d1W1, d1W0.990027, d1W0.999639, d1W0.999998, d1W0.700421, d1W0.915307, d1W0.990027, d1W0.999639, d1W0.367879, d1W0.459661, d1W0.700421, d1W0.915307, d1W0.990027, d1W0.700421, d1W0.459661, d1W0.367879, d1W0.459661, d1W0.700421, d1W0.915307, d1W0.990027, d1W0.915307, d1W0.700421, d1W0.459661, d1W0.367879, d1W0.459661, d1W0.700421, d1W0.999998, d1W0.999639, d1W0.990027, d1W0.915307, d1W0.700421, d1W0.459661, d1W0.367879, d1W0.459661, d1W1, d1W1, d1W0.999998, d1W0.999639, d1W0.990027, d1W0.915307, d1W0.700421, d1W0.459661, d1W0.367879, d2W1, d2W0.999998, d2W1, d2W0.990027, d2W0.999639, d2W0.999998, d2W0.700421, d2W0.915307, d2W0.990027, d2W0.999639, d2W0.367879, d2W0.459661, d2W0.700421, d2W0.915307, d2W0.990027, d2W0.700421, d2W0.459661, d2W0.367879, d2W0.459661, d2W0.700421, d2W0.915307, d2W0.990027, d2W0.915307, d2W0.700421, d2W0.459661, d2W0.367879, d2W0.459661, d2W0.700421, d2W0.999998, d2W0.999639, d2W0.990027, d2W0.915307, d2W0.700421, d2W0.459661, d2W0.367879, d2W0.459661, d2W1, d2W1, d2W0.999998, d2W0.999639, d2W0.990027, d2W0.915307, d2W0.700421, d2W0.459661, d2W0.367879, d3W1, d3W0.999998, d3W1, d3W0.990027, d3W0.999639, d3W0.999998, d3W0.700421, d3W0.915307, d3W0.990027, d3W0.999639, d3W0.367879, d3W0.459661, d3W0.700421, d3W0.915307, d3W0.990027, d3W0.700421, d3W0.459661, d3W0.367879, d3W0.459661, d3W0.700421, d3W0.915307, d3W0.990027, d3W0.915307, d3W0.700421, d3W0.459661, d3W0.367879, d3W0.459661, d3W0.700421, d3W0.999998, d3W0.999639, d3W0.990027, d3W0.915307, d3W0.700421, d3W0.459661, d3W0.367879, d3W0.459661, d3W1, d3W1, d3W0.999998, d3W0.999639, d3W0.990027, d3W0.915307, d3W0.700421, d3W0.459661, d3W0.367879, d4W1, d4W0.999998, d4W1, d4W0.990027, d4W0.999639, d4W0.999998, d4W0.700421, d4W0.915307, d4W0.990027, d4W0.999639, d4W0.367879, d4W0.459661, d4W0.700421, d4W0.915307, d4W0.990027, d4W0.700421, d4W0.459661, d4W0.367879, d4W0.459661, d4W0.700421, d4W0.915307, d4W0.990027, d4W0.915307, d4W0.700421, d4W0.459661, d4W0.367879, d4W0.459661, d4W0.700421, d4W0.999998, d4W0.999639, d4W0.990027, d4W0.915307, d4W0.700421, d4W0.459661, d4W0.367879, d4W0.459661, d4W1, d4W1, d4W0.999998, d4W0.999639, d4W0.990027, d4W0.915307, d4W0.700421, d4W0.459661, d4W0.367879, d5W1, d5W0.999998, d5W1, d5W0.990027, d5W0.999639, d5W0.999998, d5W0.700421, d5W0.915307, d5W0.990027, d5W0.999639, d5W0.367879, d5W0.459661, d5W0.700421, d5W0.915307, d5W0.990027, d5W0.700421, d5W0.459661, d5W0.367879, d5W0.459661, d5W0.700421, d5W0.915307, d5W0.990027, d5W0.915307, d5W0.700421, d5W0.459661, d5W0.367879, d5W0.459661, d5W0.700421, d5W0.999998, d5W0.999639, d5W0.990027, d5W0.915307, d5W0.700421, d5W0.459661, d5W0.367879, d5W0.459661, d5W1, d5W1, d5W0.999998, d5W0.999639, d5W0.990027, d5W0.915307, d5W0.700421, d5W0.459661, d5W0.367879, d6W1, d6W0.999998, d6W1, d6W0.990027, d6W0.999639, d6W0.999998, d6W0.700421, d6W0.915307, d6W0.990027, d6W0.999639, d6W0.367879, d6W0.459661, d6W0.700421, d6W0.915307, d6W0.990027, d6W0.700421, d6W0.459661, d6W0.367879, d6W0.459661, d6W0.700421, d6W0.915307, d6W0.990027, d6W0.915307, d6W0.700421, d6W0.459661, d6W0.367879, d6W0.459661, d6W0.700421, d6W0.999998, d6W0.999639, d6W0.990027, d6W0.915307, d6W0.700421, d6W0.459661, d6W0.367879, d6W0.459661, d6W1, d6W1, d6W0.999998, d6W0.999639, d6W0.990027, d6W0.915307, d6W0.700421, d6W0.459661, d6W0.367879, d7W1, d7W0.999998, d7W1, d7W0.990027, d7W0.999639, d7W0.999998, d7W0.700421, d7W0.915307, d7W0.990027, d7W0.999639, d7W0.367879, d7W0.459661, d7W0.700421, d7W0.915307, d7W0.990027, d7W0.700421, d7W0.459661, d7W0.367879, d7W0.459661, d7W0.700421, d7W0.915307, d7W0.990027, d7W0.915307, d7W0.700421, d7W0.459661, d7W0.367879, d7W0.459661, d7W0.700421, d7W0.999998, d7W0.999639, d7W0.990027, d7W0.915307, d7W0.700421, d7W0.459661, d7W0.367879, d7W0.459661, d7W1, d7W1, d7W0.999998, d7W0.999639, d7W0.990027, d7W0.915307, d7W0.700421, d7W0.459661, d7W0.367879, 
0, 1,1,1,0.9875,0.005,0,0,0,1,0.945,0.9425,0.71,0.0025,0,0,0,1,1,0.9925,0.71,0.0025,0,0,0,1,0.9875,0.955,0.8025,0.005,0,0,0,1,1,1,0.9875,0.01,0.245,0.0225,0.0725,1,1,1,0.9875,0.1775,0.0025,0,0,1,1,1,0.955,0.1,0.0125,0,0,1,0.9925,0.8175,0.88,0.7025,0.185,0.0025,0.115,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,181,1,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,181,18,1,0,0,0,0,0,0,111,10,74,0,5,10,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,111,74,10,5,0,0,0,0,0,20,61,58,20,34,61,0,6,20,34,0,1,0,6,20,0,1,0,1,0,6,20,6,0,1,0,1,0,61,34,20,6,0,1,0,1,20,58,61,34,20,6,0,1,0,8,91,55,4,39,91,0,0,4,39,1,2,0,0,4,0,2,1,2,0,0,4,0,0,2,1,2,0,91,39,4,0,0,2,1,2,8,55,91,39,4,0,0,2,1,63,34,91,0,12,34,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,12,0,0,0,0,0,0,63,91,34,12,0,0,0,0,0,187,2,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,187,11,2,0,0,0,0,0,0,143,11,45,0,1,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,143,45,11,1,0,0,0,0,0,
10, 1,1,1,0.9475,0.01,0.0025,0,0,1,0.98,0.9325,0.6975,0.0075,0.0025,0,0,1,1,0.9375,0.78,0.01,0,0,0,1,1,0.99,0.85,0.01,0.0025,0,0,1,1,1,0.9775,0.055,0.2075,0.0425,0.02,1,1,1,0.985,0.08,0.0075,0,0,1,1,1,0.9925,0.125,0.025,0,0,1,0.9925,0.72,0.965,0.49,0.16,0.03,0.04,198,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,2,0,0,0,0,0,0,0,187,3,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,187,10,3,0,0,0,0,0,0,94,29,71,1,5,29,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,29,5,1,0,0,0,0,0,94,71,29,5,1,0,0,0,0,25,61,67,10,29,61,1,2,10,29,2,3,1,2,10,1,3,2,3,1,2,10,2,1,3,2,3,1,61,29,10,2,1,3,2,3,25,67,61,29,10,2,1,3,2,28,69,81,4,14,69,0,4,4,14,0,0,0,4,4,0,0,0,0,0,4,4,4,0,0,0,0,0,69,14,4,4,0,0,0,0,28,81,69,14,4,4,0,0,0,83,28,81,2,6,28,0,0,2,6,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,28,6,2,0,0,0,0,0,83,81,28,6,2,0,0,0,0,180,2,18,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,180,18,2,0,0,0,0,0,0,177,1,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,177,22,1,0,0,0,0,0,0,
20, 1,1,1,0.9775,0.0275,0,0,0,0.995,0.955,0.9075,0.71,0.0025,0,0,0,1,0.9975,0.96,0.7475,0.005,0,0,0,1,1,0.9725,0.775,0.01,0,0,0,1,1,1,0.9875,0.0725,0.2625,0.035,0.0175,1,1,0.9975,0.9725,0.0725,0.005,0,0,1,1,0.9975,0.975,0.0775,0.03,0,0,1,0.9725,0.795,0.9675,0.4025,0.205,0.02,0.0225,199,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,1,0,0,0,0,0,0,0,164,1,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,164,35,1,0,0,0,0,0,0,96,27,69,1,7,27,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,27,7,1,0,0,0,0,0,96,69,27,7,1,0,0,0,0,31,60,55,14,32,60,2,2,14,32,3,1,2,2,14,2,1,3,1,2,2,14,2,2,1,3,1,2,60,32,14,2,2,1,3,1,31,55,60,32,14,2,2,1,3,45,48,84,3,19,48,1,0,3,19,0,0,1,0,3,1,0,0,0,1,0,3,0,1,0,0,0,1,48,19,3,0,1,0,0,0,45,84,48,19,3,0,1,0,0,61,54,76,0,9,54,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,9,0,0,0,0,0,0,61,76,54,9,0,0,0,0,0,181,2,17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,181,17,2,0,0,0,0,0,0,186,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,14,0,0,0,0,0,0,0,
30, 1,1,1,0.9275,0.0275,0,0,0,0.9975,0.97,0.8525,0.6725,0.015,0,0,0,1,0.9975,0.8625,0.8075,0.02,0,0,0,1,1,1,0.825,0.005,0,0,0,1,1,1,0.99,0.1625,0.205,0.0375,0,1,1,1,0.98,0.0825,0.0075,0,0,1,1,1,0.9625,0.12,0.03,0.0025,0,1,0.9675,0.69,0.99,0.4575,0.2,0.0225,0.02,199,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,1,0,0,0,0,0,0,0,175,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,25,0,0,0,0,0,0,0,45,56,83,3,13,56,0,0,3,13,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,56,13,3,0,0,0,0,0,45,83,56,13,3,0,0,0,0,30,64,58,20,25,64,1,2,20,25,0,0,1,2,20,1,0,0,0,1,2,20,2,1,0,0,0,1,64,25,20,2,1,0,0,0,30,58,64,25,20,2,1,0,0,28,64,59,10,33,64,1,4,10,33,0,1,1,4,10,1,1,0,1,1,4,10,4,1,1,0,1,1,64,33,10,4,1,1,0,1,28,59,64,33,10,4,1,1,0,75,40,77,1,7,40,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,40,7,1,0,0,0,0,0,75,77,40,7,1,0,0,0,0,173,3,24,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,173,24,3,0,0,0,0,0,0,193,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,7,0,0,0,0,0,0,0,
40, 1,1,1,1,0.025,0,0,0,1,0.9925,0.885,0.68,0.0075,0,0,0,1,0.965,0.85,0.74,0.0175,0,0,0,1,1,0.995,0.825,0.02,0,0,0,1,1,1,0.96,0.2375,0.115,0,0,1,1,1,0.9325,0.1675,0.04,0,0,1,1,1,0.9375,0.075,0.0025,0.035,0.0025,1,0.995,0.73,0.995,0.565,0.18,0.065,0.045,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,181,1,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,181,18,1,0,0,0,0,0,0,55,50,82,2,11,50,0,0,2,11,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,50,11,2,0,0,0,0,0,55,82,50,11,2,0,0,0,0,26,66,58,7,37,66,3,1,7,37,1,1,3,1,7,3,1,1,1,3,1,7,1,3,1,1,1,3,66,37,7,1,3,1,1,1,26,58,66,37,7,1,3,1,1,11,83,41,6,47,83,5,1,6,47,4,2,5,1,6,5,2,4,2,5,1,6,1,5,2,4,2,5,83,47,6,1,5,2,4,2,11,41,83,47,6,1,5,2,4,99,20,79,1,1,20,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,20,1,1,0,0,0,0,0,99,79,20,1,1,0,0,0,0,161,3,36,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,161,36,3,0,0,0,0,0,0,189,1,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,189,10,1,0,0,0,0,0,0,
50, 1,1,1,0.98,0.05,0,0,0,1,0.98,0.815,0.4475,0.0125,0,0,0,1,0.975,0.8775,0.6475,0.0225,0.0025,0,0,1,1,1,0.9325,0.02,0,0,0,1,1,1,0.975,0.3175,0.085,0.025,0,1,1,1,0.915,0.1425,0.0125,0,0,1,1,0.9975,0.915,0.1475,0.0075,0.0375,0.005,1,0.9775,0.675,0.985,0.5775,0.2075,0.0875,0.0575,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,171,1,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,171,28,1,0,0,0,0,0,0,42,58,80,0,19,58,0,1,0,19,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,58,19,0,1,0,0,0,0,42,80,58,19,0,1,0,0,0,8,74,43,13,46,74,3,9,13,46,2,2,3,9,13,3,2,2,2,3,9,13,9,3,2,2,2,3,74,46,13,9,3,2,2,2,8,43,74,46,13,9,3,2,2,7,80,37,25,40,80,2,8,25,40,0,1,2,8,25,2,1,0,1,2,8,25,8,2,1,0,1,2,80,40,25,8,2,1,0,1,7,37,80,40,25,8,2,1,0,104,21,73,1,1,21,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,21,1,1,0,0,0,0,0,104,73,21,1,1,0,0,0,0,145,2,51,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,145,51,2,2,0,0,0,0,0,178,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,22,0,0,0,0,0,0,0,
60, 1,1,1,0.95,0.03,0,0,0,1,0.975,0.7925,0.6325,0.015,0,0,0,1,0.9875,0.895,0.68,0.0275,0,0,0,1,1,1,0.9675,0.0175,0,0,0,1,1,1,0.91,0.2725,0.0325,0.0475,0.04,1,1,0.9975,0.9075,0.13,0.0225,0,0,1,1,0.99,0.9175,0.14,0,0.0275,0,0.9925,0.9225,0.8225,0.9925,0.575,0.2275,0.175,0.0025,198,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,2,0,0,0,0,0,0,0,160,2,38,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,160,38,2,0,0,0,0,0,0,67,30,90,2,11,30,0,0,2,11,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,30,11,2,0,0,0,0,0,67,90,30,11,2,0,0,0,0,30,51,56,15,39,51,2,5,15,39,1,1,2,5,15,2,1,1,1,2,5,15,5,2,1,1,1,2,51,39,15,5,2,1,1,1,30,56,51,39,15,5,2,1,1,11,79,44,14,44,79,1,5,14,44,1,1,1,5,14,1,1,1,1,1,5,14,5,1,1,1,1,1,79,44,14,5,1,1,1,1,11,44,79,44,14,5,1,1,1,106,22,71,0,1,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,106,71,22,1,0,0,0,0,0,111,12,76,0,1,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,111,76,12,1,0,0,0,0,0,184,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,16,0,0,0,0,0,0,0,
70, 1,1,0.99,0.9275,0.0625,0,0,0,1,0.9925,0.7325,0.63,0.01,0,0,0,1,1,0.84,0.67,0.015,0,0,0,1,1,0.99,0.9675,0.005,0,0,0,1,1,0.99,0.895,0.2275,0.0125,0.055,0.075,1,1,0.9925,0.9,0.0975,0.025,0,0,1,1,0.9525,0.865,0.0675,0,0.0025,0,1,0.9075,0.82,0.9925,0.605,0.3325,0.2175,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,173,1,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,173,26,1,0,0,0,0,0,0,49,43,79,4,23,43,0,2,4,23,0,0,0,2,4,0,0,0,0,0,2,4,2,0,0,0,0,0,43,23,4,2,0,0,0,0,49,79,43,23,4,2,0,0,0,11,65,46,22,41,65,3,9,22,41,3,0,3,9,22,3,0,3,0,3,9,22,9,3,0,3,0,3,65,41,22,9,3,0,3,0,11,46,65,41,22,9,3,0,3,14,64,54,15,47,64,1,5,15,47,0,0,1,5,15,1,0,0,0,1,5,15,5,1,0,0,0,1,64,47,15,5,1,0,0,0,14,54,64,47,15,5,1,0,0,84,28,87,0,1,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,0,0,0,0,0,84,87,28,1,0,0,0,0,0,112,21,66,0,1,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,112,66,21,1,0,0,0,0,0,167,1,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,167,32,1,0,0,0,0,0,0,
80, 1,1,0.99,0.9675,0.0275,0,0,0,1,0.9925,0.5525,0.695,0.005,0,0,0,1,1,0.88,0.7625,0.0125,0,0,0,1,1,0.995,0.945,0.0125,0,0,0,1,1,1,0.9425,0.1425,0.0275,0.075,0.04,1,1,0.9475,0.88,0.06,0.0125,0,0,1,1,0.985,0.885,0.015,0,0,0,0.9825,0.93,0.795,0.9775,0.575,0.4375,0.185,0.005,196,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,4,0,0,0,0,0,0,0,159,1,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,159,40,1,0,0,0,0,0,0,29,70,66,7,27,70,0,1,7,27,0,0,0,1,7,0,0,0,0,0,1,7,1,0,0,0,0,0,70,27,7,1,0,0,0,0,29,66,70,27,7,1,0,0,0,20,76,57,8,35,76,1,2,8,35,0,1,1,2,8,1,1,0,1,1,2,8,2,1,1,0,1,1,76,35,8,2,1,1,0,1,20,57,76,35,8,2,1,1,0,25,64,68,8,32,64,0,0,8,32,2,1,0,0,8,0,1,2,1,0,0,8,0,0,1,2,1,0,64,32,8,0,0,1,2,1,25,68,64,32,8,0,0,1,2,51,48,101,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,51,101,48,0,0,0,0,0,0,113,21,66,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,113,66,21,0,0,0,0,0,0,178,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,22,0,0,0,0,0,0,0,
90, 1,1,0.94,0.97,0.0425,0,0,0,0.9975,0.97,0.5525,0.625,0.01,0,0,0,1,0.9975,0.92,0.7675,0.0175,0,0,0,1,1,1,0.9775,0.04,0,0,0,1,1,0.9975,0.99,0.19,0.0275,0.125,0.0075,1,1,0.9075,0.8875,0.0475,0.0025,0,0,1,1,0.995,0.9275,0.0225,0,0,0,0.925,0.9275,0.7675,0.96,0.435,0.5775,0.285,0.0525,174,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,26,0,0,0,0,0,0,0,159,3,38,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,159,38,3,0,0,0,0,0,0,18,69,61,11,40,69,0,1,11,40,0,0,0,1,11,0,0,0,0,0,1,11,1,0,0,0,0,0,69,40,11,1,0,0,0,0,18,61,69,40,11,1,0,0,0,25,52,77,8,36,52,0,1,8,36,0,1,0,1,8,0,1,0,1,0,1,8,1,0,1,0,1,0,52,36,8,1,0,1,0,1,25,77,52,36,8,1,0,1,0,43,64,76,7,8,64,0,0,7,8,1,1,0,0,7,0,1,1,1,0,0,7,0,0,1,1,1,0,64,8,7,0,0,1,1,1,43,76,64,8,7,0,0,1,1,39,76,81,0,4,76,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,4,0,0,0,0,0,0,39,81,76,4,0,0,0,0,0,79,25,93,0,3,25,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,0,0,0,0,0,0,79,93,25,3,0,0,0,0,0,180,2,18,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,180,18,2,0,0,0,0,0,0,
