gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0W1, d0W0.606531, d0W0.860708, d0W1, d0W0.860708, d0W0.860708, d1W1, d1W0.606531, d1W0.860708, d1W1, d1W0.860708, d1W0.860708, d2W1, d2W0.606531, d2W0.860708, d2W1, d2W0.860708, d2W0.860708, d3W1, d3W0.606531, d3W0.860708, d3W1, d3W0.860708, d3W0.860708, d4W1, d4W0.606531, d4W0.860708, d4W1, d4W0.860708, d4W0.860708, d5W1, d5W0.606531, d5W0.860708, d5W1, d5W0.860708, d5W0.860708, d6W1, d6W0.606531, d6W0.860708, d6W1, d6W0.860708, d6W0.860708, d7W1, d7W0.606531, d7W0.860708, d7W1, d7W0.860708, d7W0.860708, 
0, 0.995,1,0.9425,0.77,0.3025,0.065,0.01,0.0025,0.9925,0.975,0.9225,0.8025,0.3325,0.1,0.045,0.0075,200,0,0,200,0,0,191,0,9,191,9,9,163,0,37,163,37,37,86,7,107,86,107,107,71,13,116,71,116,116,158,1,41,158,41,41,180,0,20,180,20,20,194,0,6,194,6,6,
10, 0.9975,0.9975,0.945,0.7675,0.2825,0.095,0.0175,0.0025,0.995,1,0.925,0.7375,0.3325,0.0775,0.01,0.0025,196,0,4,196,4,4,196,0,4,196,4,4,156,1,43,156,43,43,80,7,113,80,113,113,68,11,121,68,121,121,149,1,50,149,50,50,193,0,7,193,7,7,198,0,2,198,2,2,
20, 0.99,0.9675,0.9225,0.6625,0.2175,0.09,0.0125,0.02,1,0.9925,0.955,0.6975,0.285,0.0675,0.0125,0,193,0,7,193,7,7,183,0,17,183,17,17,168,0,32,168,32,32,69,12,119,69,119,119,80,13,107,80,107,107,155,1,44,155,44,44,184,0,16,184,16,16,195,0,5,195,5,5,
30, 0.9925,0.9975,0.9325,0.755,0.4025,0.055,0.015,0.005,1,0.9925,0.9525,0.7525,0.355,0.09,0.0225,0.005,197,0,3,197,3,3,191,0,9,191,9,9,165,1,34,165,34,34,75,4,121,75,121,121,64,10,126,64,126,126,156,1,43,156,43,43,192,0,8,192,8,8,196,0,4,196,4,4,
40, 0.9775,0.975,0.975,0.885,0.4525,0.14,0.0175,0.01,0.995,0.9825,0.9675,0.8275,0.485,0.16,0.01,0.01,191,0,9,191,9,9,185,1,14,185,14,14,168,0,32,168,32,32,117,3,80,117,80,80,46,18,136,46,136,136,127,2,71,127,71,71,180,1,19,180,19,19,192,1,7,192,7,7,
50, 0.985,0.9925,0.94,0.8275,0.3675,0.1525,0.0225,0.005,1,0.9975,0.98,0.8075,0.4025,0.0925,0.0075,0.0025,193,0,7,193,7,7,197,0,3,197,3,3,181,0,19,181,19,19,118,4,78,118,78,78,55,12,133,55,133,133,143,2,55,143,55,55,194,1,5,194,5,5,197,0,3,197,3,3,
60, 0.9825,0.9975,0.95,0.8025,0.5,0.1125,0.03,0.02,1,0.9925,0.9575,0.7925,0.5025,0.1475,0.0225,0.01,194,0,6,194,6,6,193,0,7,193,7,7,176,1,23,176,23,23,93,3,104,93,104,104,38,26,136,38,136,136,131,1,68,131,68,68,176,0,24,176,24,24,187,0,13,187,13,13,
70, 1,1,0.965,0.81,0.41,0.11,0.0225,0.0075,0.9925,0.9975,0.965,0.8375,0.505,0.1025,0.03,0.02,195,0,5,195,5,5,200,0,0,200,0,0,177,1,22,177,22,22,108,6,86,108,86,86,36,21,143,36,143,143,141,2,57,141,57,57,183,0,17,183,17,17,187,0,13,187,13,13,
80, 1,0.9675,0.95,0.8575,0.485,0.0825,0.025,0.005,0.9975,0.9925,0.9575,0.8575,0.525,0.0875,0.015,0,198,0,2,198,2,2,191,0,9,191,9,9,173,0,27,173,27,27,123,2,75,123,75,75,54,14,132,54,132,132,143,2,55,143,55,55,189,0,11,189,11,11,199,0,1,199,1,1,
90, 0.99,0.97,0.9625,0.8525,0.5525,0.165,0.0425,0,0.9975,0.9925,0.9725,0.85,0.5,0.1325,0.0475,0.0025,192,0,8,192,8,8,187,0,13,187,13,13,169,0,31,169,31,31,126,3,71,126,71,71,38,13,149,38,149,149,125,5,70,125,70,70,169,0,31,169,31,31,196,0,4,196,4,4,
