gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0l2, d1l2, d2l2, d3l2, d4l2, d5l2, d6l2, d7l2, d0l3, d1l3, d2l3, d3l3, d4l3, d5l3, d6l3, d7l3, d0l4, d1l4, d2l4, d3l4, d4l4, d5l4, d6l4, d7l4, d0l5, d1l5, d2l5, d3l5, d4l5, d5l5, d6l5, d7l5, d0l6, d1l6, d2l6, d3l6, d4l6, d5l6, d6l6, d7l6, d0l7, d1l7, d2l7, d3l7, d4l7, d5l7, d6l7, d7l7, d0W1, d0W0.467799, d0W0.481596, d0W0.45578, d0W0.460421, d0W0.467799, d0W0.450778, d0W0.45273, d0W0.45578, d0W0.460421, d0W0.449329, d0W0.449683, d0W0.450778, d0W0.45273, d0W0.45578, d0W0.450778, d0W0.449683, d0W0.449329, d0W0.449683, d0W0.450778, d0W0.45273, d0W0.45578, d0W0.45273, d0W0.450778, d0W0.449683, d0W0.449329, d0W0.449683, d0W0.450778, d0W0.467799, d0W0.460421, d0W0.45578, d0W0.45273, d0W0.450778, d0W0.449683, d0W0.449329, d0W0.449683, d0W1, d0W0.481596, d0W0.467799, d0W0.460421, d0W0.45578, d0W0.45273, d0W0.450778, d0W0.449683, d0W0.449329, d1W1, d1W0.467799, d1W0.481596, d1W0.45578, d1W0.460421, d1W0.467799, d1W0.450778, d1W0.45273, d1W0.45578, d1W0.460421, d1W0.449329, d1W0.449683, d1W0.450778, d1W0.45273, d1W0.45578, d1W0.450778, d1W0.449683, d1W0.449329, d1W0.449683, d1W0.450778, d1W0.45273, d1W0.45578, d1W0.45273, d1W0.450778, d1W0.449683, d1W0.449329, d1W0.449683, d1W0.450778, d1W0.467799, d1W0.460421, d1W0.45578, d1W0.45273, d1W0.450778, d1W0.449683, d1W0.449329, d1W0.449683, d1W1, d1W0.481596, d1W0.467799, d1W0.460421, d1W0.45578, d1W0.45273, d1W0.450778, d1W0.449683, d1W0.449329, d2W1, d2W0.467799, d2W0.481596, d2W0.45578, d2W0.460421, d2W0.467799, d2W0.450778, d2W0.45273, d2W0.45578, d2W0.460421, d2W0.449329, d2W0.449683, d2W0.450778, d2W0.45273, d2W0.45578, d2W0.450778, d2W0.449683, d2W0.449329, d2W0.449683, d2W0.450778, d2W0.45273, d2W0.45578, d2W0.45273, d2W0.450778, d2W0.449683, d2W0.449329, d2W0.449683, d2W0.450778, d2W0.467799, d2W0.460421, d2W0.45578, d2W0.45273, d2W0.450778, d2W0.449683, d2W0.449329, d2W0.449683, d2W1, d2W0.481596, d2W0.467799, d2W0.460421, d2W0.45578, d2W0.45273, d2W0.450778, d2W0.449683, d2W0.449329, d3W1, d3W0.467799, d3W0.481596, d3W0.45578, d3W0.460421, d3W0.467799, d3W0.450778, d3W0.45273, d3W0.45578, d3W0.460421, d3W0.449329, d3W0.449683, d3W0.450778, d3W0.45273, d3W0.45578, d3W0.450778, d3W0.449683, d3W0.449329, d3W0.449683, d3W0.450778, d3W0.45273, d3W0.45578, d3W0.45273, d3W0.450778, d3W0.449683, d3W0.449329, d3W0.449683, d3W0.450778, d3W0.467799, d3W0.460421, d3W0.45578, d3W0.45273, d3W0.450778, d3W0.449683, d3W0.449329, d3W0.449683, d3W1, d3W0.481596, d3W0.467799, d3W0.460421, d3W0.45578, d3W0.45273, d3W0.450778, d3W0.449683, d3W0.449329, d4W1, d4W0.467799, d4W0.481596, d4W0.45578, d4W0.460421, d4W0.467799, d4W0.450778, d4W0.45273, d4W0.45578, d4W0.460421, d4W0.449329, d4W0.449683, d4W0.450778, d4W0.45273, d4W0.45578, d4W0.450778, d4W0.449683, d4W0.449329, d4W0.449683, d4W0.450778, d4W0.45273, d4W0.45578, d4W0.45273, d4W0.450778, d4W0.449683, d4W0.449329, d4W0.449683, d4W0.450778, d4W0.467799, d4W0.460421, d4W0.45578, d4W0.45273, d4W0.450778, d4W0.449683, d4W0.449329, d4W0.449683, d4W1, d4W0.481596, d4W0.467799, d4W0.460421, d4W0.45578, d4W0.45273, d4W0.450778, d4W0.449683, d4W0.449329, d5W1, d5W0.467799, d5W0.481596, d5W0.45578, d5W0.460421, d5W0.467799, d5W0.450778, d5W0.45273, d5W0.45578, d5W0.460421, d5W0.449329, d5W0.449683, d5W0.450778, d5W0.45273, d5W0.45578, d5W0.450778, d5W0.449683, d5W0.449329, d5W0.449683, d5W0.450778, d5W0.45273, d5W0.45578, d5W0.45273, d5W0.450778, d5W0.449683, d5W0.449329, d5W0.449683, d5W0.450778, d5W0.467799, d5W0.460421, d5W0.45578, d5W0.45273, d5W0.450778, d5W0.449683, d5W0.449329, d5W0.449683, d5W1, d5W0.481596, d5W0.467799, d5W0.460421, d5W0.45578, d5W0.45273, d5W0.450778, d5W0.449683, d5W0.449329, d6W1, d6W0.467799, d6W0.481596, d6W0.45578, d6W0.460421, d6W0.467799, d6W0.450778, d6W0.45273, d6W0.45578, d6W0.460421, d6W0.449329, d6W0.449683, d6W0.450778, d6W0.45273, d6W0.45578, d6W0.450778, d6W0.449683, d6W0.449329, d6W0.449683, d6W0.450778, d6W0.45273, d6W0.45578, d6W0.45273, d6W0.450778, d6W0.449683, d6W0.449329, d6W0.449683, d6W0.450778, d6W0.467799, d6W0.460421, d6W0.45578, d6W0.45273, d6W0.450778, d6W0.449683, d6W0.449329, d6W0.449683, d6W1, d6W0.481596, d6W0.467799, d6W0.460421, d6W0.45578, d6W0.45273, d6W0.450778, d6W0.449683, d6W0.449329, d7W1, d7W0.467799, d7W0.481596, d7W0.45578, d7W0.460421, d7W0.467799, d7W0.450778, d7W0.45273, d7W0.45578, d7W0.460421, d7W0.449329, d7W0.449683, d7W0.450778, d7W0.45273, d7W0.45578, d7W0.450778, d7W0.449683, d7W0.449329, d7W0.449683, d7W0.450778, d7W0.45273, d7W0.45578, d7W0.45273, d7W0.450778, d7W0.449683, d7W0.449329, d7W0.449683, d7W0.450778, d7W0.467799, d7W0.460421, d7W0.45578, d7W0.45273, d7W0.450778, d7W0.449683, d7W0.449329, d7W0.449683, d7W1, d7W0.481596, d7W0.467799, d7W0.460421, d7W0.45578, d7W0.45273, d7W0.450778, d7W0.449683, d7W0.449329, 
0, 1,1,0.99,0.9025,0.1425,0.03,0,0,1,1,0.995,0.92,0.1475,0.0025,0,0,1,0.9975,1,0.895,0.1375,0.015,0,0,1,1,0.9875,0.9025,0.145,0.02,0,0,1,1,0.99,0.92,0.1375,0.005,0,0,1,1,0.9925,0.9075,0.155,0.0125,0,0,1,0.995,0.9775,0.9125,0.1425,0.015,0,0,1,1,0.9975,0.9,0.1425,0.0125,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,184,1,5,1,0,1,3,3,1,0,3,0,3,3,1,3,0,3,0,3,3,1,3,3,0,3,0,3,1,0,1,3,3,0,3,0,184,5,1,0,1,3,3,0,3,127,10,16,6,4,10,2,7,6,4,27,1,2,7,6,2,1,27,1,2,7,6,7,2,1,27,1,2,10,4,6,7,2,1,27,1,127,16,10,4,6,7,2,1,27,143,7,7,7,11,7,5,8,7,11,12,0,5,8,7,5,0,12,0,5,8,7,8,5,0,12,0,5,7,11,7,8,5,0,12,0,143,7,7,11,7,8,5,0,12,190,3,3,0,1,3,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,3,1,0,1,1,1,0,1,190,3,3,1,0,1,1,1,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,
10, 1,1,0.9825,0.8525,0.12,0,0,0,1,0.995,0.99,0.8625,0.125,0.0075,0,0,1,1,0.98,0.835,0.1175,0.0075,0,0,1,1,0.99,0.8575,0.12,0.005,0,0,1,1,0.9825,0.8525,0.1175,0.0075,0,0,1,1,0.985,0.85,0.1075,0.0025,0,0,1,1,0.9925,0.8675,0.095,0.0075,0,0,1,1,0.99,0.875,0.12,0.01,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,198,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,2,0,0,0,0,0,0,0,176,4,8,2,3,4,1,4,2,3,2,0,1,4,2,1,0,2,0,1,4,2,4,1,0,2,0,1,4,3,2,4,1,0,2,0,176,8,4,3,2,4,1,0,2,96,19,20,12,14,19,9,10,12,14,16,4,9,10,12,9,4,16,4,9,10,12,10,9,4,16,4,9,19,14,12,10,9,4,16,4,96,20,19,14,12,10,9,4,16,142,10,11,5,8,10,6,1,5,8,14,3,6,1,5,6,3,14,3,6,1,5,1,6,3,14,3,6,10,8,5,1,6,3,14,3,142,11,10,8,5,1,6,3,14,196,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,196,3,0,0,0,1,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,
20, 1,1,0.9975,0.905,0.1375,0.0075,0,0,1,1,0.99,0.8775,0.1275,0.0075,0,0,1,0.995,0.995,0.89,0.125,0.0075,0,0,1,1,0.9975,0.8725,0.1425,0.0025,0,0,1,1,0.9925,0.8875,0.115,0.005,0,0,1,1,0.985,0.8825,0.1225,0.005,0,0,1,1,0.995,0.8825,0.12,0.0075,0,0,1,1,1,0.885,0.125,0.0025,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,198,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,2,0,0,0,0,0,0,0,187,1,10,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,187,10,1,1,0,1,0,0,0,136,9,7,4,7,9,4,3,4,7,26,4,4,3,4,4,4,26,4,4,3,4,3,4,4,26,4,4,9,7,4,3,4,4,26,4,136,7,9,7,4,3,4,4,26,147,7,16,4,10,7,1,5,4,10,9,1,1,5,4,1,1,9,1,1,5,4,5,1,1,9,1,1,7,10,4,5,1,1,9,1,147,16,7,10,4,5,1,1,9,188,2,7,0,0,2,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,2,0,0,1,1,1,0,1,188,7,2,0,0,1,1,1,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,
30, 1,1,1,0.9325,0.1375,0.005,0,0,1,1,1,0.9325,0.1725,0.01,0,0,1,1,1,0.9325,0.135,0,0.0025,0,1,1,1,0.9325,0.145,0,0.0025,0,1,0.9975,1,0.9325,0.14,0.0025,0.0025,0,1,1,1,0.93,0.15,0,0,0,1,1,0.9975,0.94,0.1675,0.0025,0,0,1,1,0.9925,0.9125,0.1375,0.005,0.0025,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,191,0,7,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,191,7,0,1,0,0,0,0,1,148,9,23,4,2,9,2,1,4,2,10,1,2,1,4,2,1,10,1,2,1,4,1,2,1,10,1,2,9,2,4,1,2,1,10,1,148,23,9,2,4,1,2,1,10,123,6,22,6,10,6,1,4,6,10,25,3,1,4,6,1,3,25,3,1,4,6,4,1,3,25,3,1,6,10,6,4,1,3,25,3,123,22,6,10,6,4,1,3,25,190,1,5,3,0,1,0,0,3,0,0,1,0,0,3,0,1,0,1,0,0,3,0,0,1,0,1,0,1,0,3,0,0,1,0,1,190,5,1,0,3,0,0,1,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,
40, 1,0.9975,0.9975,0.89,0.1525,0.0025,0,0,1,1,0.995,0.8975,0.1825,0.0175,0,0.0025,1,1,1,0.88,0.15,0.015,0,0,1,1,0.995,0.885,0.14,0.0125,0,0,1,1,1,0.9225,0.16,0.0075,0,0,1,0.9975,0.9975,0.8925,0.14,0.015,0,0,1,1,1,0.91,0.1825,0.005,0,0.005,1,1,0.9925,0.91,0.1675,0.01,0,0,199,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,1,0,0,0,0,0,0,0,199,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,199,0,1,0,0,0,0,0,0,194,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,194,2,2,2,0,0,0,0,0,140,14,12,11,7,14,3,2,11,7,9,2,3,2,11,3,2,9,2,3,2,11,2,3,2,9,2,3,14,7,11,2,3,2,9,2,140,12,14,7,11,2,3,2,9,111,18,16,9,15,18,1,8,9,15,12,10,1,8,9,1,10,12,10,1,8,9,8,1,10,12,10,1,18,15,9,8,1,10,12,10,111,16,18,15,9,8,1,10,12,178,6,8,2,1,6,1,2,2,1,2,0,1,2,2,1,0,2,0,1,2,2,2,1,0,2,0,1,6,1,2,2,1,0,2,0,178,8,6,1,2,2,1,0,2,199,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,199,0,1,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,
50, 1,1,0.995,0.865,0.09,0.0025,0,0,1,1,0.995,0.845,0.0825,0.0025,0,0,1,1,0.9975,0.8425,0.11,0.005,0,0,1,0.9975,0.995,0.8425,0.0875,0,0,0,1,0.9975,0.99,0.87,0.09,0,0,0,1,1,0.99,0.86,0.08,0,0,0,1,1,0.985,0.84,0.1075,0.0025,0,0,1,1,0.99,0.85,0.085,0.0025,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,184,2,8,1,1,2,1,2,1,1,1,0,1,2,1,1,0,1,0,1,2,1,2,1,0,1,0,1,2,1,1,2,1,0,1,0,184,8,2,1,1,2,1,0,1,114,15,14,12,12,15,4,6,12,12,20,3,4,6,12,4,3,20,3,4,6,12,6,4,3,20,3,4,15,12,12,6,4,3,20,3,114,14,15,12,12,6,4,3,20,162,7,12,4,2,7,1,3,4,2,9,0,1,3,4,1,0,9,0,1,3,4,3,1,0,9,0,1,7,2,4,3,1,0,9,0,162,12,7,2,4,3,1,0,9,192,2,3,0,2,2,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,2,2,0,0,0,1,0,1,192,3,2,2,0,0,0,1,0,199,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,199,0,0,1,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,
60, 1,0.9975,0.9925,0.84,0.085,0.0075,0,0,1,1,0.995,0.8475,0.09,0.005,0,0,1,1,0.99,0.8475,0.0975,0.005,0,0,1,1,0.9925,0.8425,0.085,0.0025,0,0,1,1,0.9925,0.8475,0.0675,0.0025,0,0,1,1,0.99,0.8425,0.075,0.005,0,0,1,1,0.985,0.8275,0.065,0.0025,0,0,1,1,0.9925,0.8475,0.0825,0.0025,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,196,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,196,3,1,0,0,0,0,0,0,190,3,4,1,2,3,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,1,0,0,0,0,0,190,4,3,2,1,0,0,0,0,127,15,26,4,7,15,1,2,4,7,16,2,1,2,4,1,2,16,2,1,2,4,2,1,2,16,2,1,15,7,4,2,1,2,16,2,127,26,15,7,4,2,1,2,16,132,13,21,5,11,13,2,5,5,11,6,5,2,5,5,2,5,6,5,2,5,5,5,2,5,6,5,2,13,11,5,5,2,5,6,5,132,21,13,11,5,5,2,5,6,195,1,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,195,3,1,0,0,1,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,
70, 1,1,0.9775,0.9025,0.1225,0.0025,0,0,1,1,0.985,0.88,0.1275,0.0025,0,0,1,1,0.9875,0.8775,0.15,0.005,0,0,1,1,0.985,0.87,0.14,0.005,0,0,1,1,0.9825,0.8775,0.135,0.0025,0,0,1,1,0.99,0.8725,0.1225,0.0025,0,0,1,1,0.9875,0.86,0.1275,0.0025,0,0,1,1,0.9825,0.895,0.1225,0.0025,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,194,2,2,1,0,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0,194,2,2,0,1,1,0,0,0,127,12,19,4,9,12,9,6,4,9,11,3,9,6,4,9,3,11,3,9,6,4,6,9,3,11,3,9,12,9,4,6,9,3,11,3,127,19,12,9,4,6,9,3,11,157,10,15,5,3,10,1,4,5,3,5,0,1,4,5,1,0,5,0,1,4,5,4,1,0,5,0,1,10,3,5,4,1,0,5,0,157,15,10,3,5,4,1,0,5,196,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,196,3,1,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,
80, 1,1,1,0.8625,0.1225,0.0075,0,0,1,1,1,0.8775,0.105,0.02,0,0,1,1,1,0.8725,0.1075,0.015,0.0025,0,1,1,0.9925,0.8775,0.0975,0.0125,0,0,1,1,0.995,0.8775,0.1,0.015,0,0,1,1,0.995,0.8825,0.11,0.0225,0.0025,0,1,1,0.9975,0.8775,0.125,0.0275,0.0025,0,1,1,0.995,0.875,0.13,0.0225,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,199,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,1,0,0,0,0,0,0,0,194,3,1,1,0,3,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,3,0,1,0,0,1,0,1,194,1,3,0,1,0,0,1,0,155,12,6,1,5,12,3,6,1,5,11,1,3,6,1,3,1,11,1,3,6,1,6,3,1,11,1,3,12,5,1,6,3,1,11,1,155,6,12,5,1,6,3,1,11,127,16,16,2,6,16,7,5,2,6,15,6,7,5,2,7,6,15,6,7,5,2,5,7,6,15,6,7,16,6,2,5,7,6,15,6,127,16,16,6,2,5,7,6,15,185,3,4,4,3,3,0,1,4,3,0,0,0,1,4,0,0,0,0,0,1,4,1,0,0,0,0,0,3,3,4,1,0,0,0,0,185,4,3,3,4,1,0,0,0,199,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,199,0,0,1,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,
90, 1,1,0.9975,0.88,0.1275,0.005,0.0025,0,1,1,0.9975,0.9025,0.1725,0.0025,0,0,1,1,0.9975,0.8725,0.1775,0.0075,0.0025,0,1,1,0.9975,0.88,0.17,0.0075,0.0025,0,1,1,0.985,0.88,0.16,0.0025,0,0,1,1,1,0.89,0.1775,0.01,0,0,1,1,0.995,0.87,0.1425,0.005,0.0025,0,1,1,1,0.8875,0.15,0.0125,0.0025,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,199,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,1,0,0,0,0,0,0,0,191,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,9,0,0,0,0,0,0,0,152,11,10,6,7,11,1,5,6,7,5,3,1,5,6,1,3,5,3,1,5,6,5,1,3,5,3,1,11,7,6,5,1,3,5,3,152,10,11,7,6,5,1,3,5,111,16,19,7,11,16,8,10,7,11,12,6,8,10,7,8,6,12,6,8,10,7,10,8,6,12,6,8,16,11,7,10,8,6,12,6,111,19,16,11,7,10,8,6,12,188,1,7,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,188,7,1,1,1,1,1,0,0,199,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,1,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,
