gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0l2, d1l2, d2l2, d3l2, d4l2, d5l2, d6l2, d7l2, d8l2, d9l2, d10l2, d11l2, d12l2, d13l2, d14l2, d15l2, d16l2, d17l2, d18l2, d19l2, d0l3, d1l3, d2l3, d3l3, d4l3, d5l3, d6l3, d7l3, d8l3, d9l3, d10l3, d11l3, d12l3, d13l3, d14l3, d15l3, d16l3, d17l3, d18l3, d19l3, d0l4, d1l4, d2l4, d3l4, d4l4, d5l4, d6l4, d7l4, d8l4, d9l4, d10l4, d11l4, d12l4, d13l4, d14l4, d15l4, d16l4, d17l4, d18l4, d19l4, d0l5, d1l5, d2l5, d3l5, d4l5, d5l5, d6l5, d7l5, d8l5, d9l5, d10l5, d11l5, d12l5, d13l5, d14l5, d15l5, d16l5, d17l5, d18l5, d19l5, d0l6, d1l6, d2l6, d3l6, d4l6, d5l6, d6l6, d7l6, d8l6, d9l6, d10l6, d11l6, d12l6, d13l6, d14l6, d15l6, d16l6, d17l6, d18l6, d19l6, d0l7, d1l7, d2l7, d3l7, d4l7, d5l7, d6l7, d7l7, d8l7, d9l7, d10l7, d11l7, d12l7, d13l7, d14l7, d15l7, d16l7, d17l7, d18l7, d19l7, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, d8W, d9W, d10W, d11W, d12W, d13W, d14W, d15W, d16W, d17W, d18W, d19W, 
0, 1,1,1,1,1,0.9955,0.9905,0.955,0.892,0.72,0.288,0.163,0.1055,0.073,0.09,0.0495,0.034,0.0285,0.0225,0.0315,0.755,0.7535,0.7605,0.7725,0.7685,0.744,0.707,0.627,0.5375,0.5225,0.408,0.318,0.315,0.367,0.302,0.308,0.2415,0.249,0.2285,0.2495,1,1,1,1,1,1,1,0.9995,0.9785,0.8495,0.1325,0.01,0.0005,0,0,0,0,0,0,0,0.9635,0.9725,0.9595,0.9565,0.939,0.912,0.862,0.845,0.8165,0.69,0.409,0.351,0.342,0.3685,0.3035,0.2415,0.2575,0.303,0.2635,0.2585,1,1,0.999,0.9915,0.9775,0.9575,0.97,0.929,0.877,0.734,0.3665,0.261,0.2105,0.148,0.144,0.154,0.1395,0.1345,0.0975,0.0985,0.6425,0.6685,0.7465,0.746,0.728,0.661,0.669,0.712,0.7175,0.7185,0.5865,0.596,0.5595,0.5075,0.4935,0.537,0.543,0.516,0.5265,0.5335,1,1,1,1,1,1,1,0.9995,0.985,0.8375,0.132,0.01,0,0,0,0,0,0,0,0,1,1,1,1,0.9975,0.998,0.99,0.978,0.931,0.7645,0.3255,0.226,0.1675,0.117,0.102,0.078,0.0625,0.064,0.06,0.058,0.998373,0.998373,0.998373,0.998373,0.998373,0.998373,0.998373,0.998373,0.998373,0.998373,0.998373,0.998373,0.998373,0.998373,0.998373,0.998373,0.998373,0.998373,0.998373,0.998373,
100, 1,1,1,0.997,0.9945,0.9855,0.9695,0.9465,0.905,0.7225,0.251,0.168,0.0855,0.0815,0.0425,0.027,0.0595,0.0495,0.0565,0.095,0.7435,0.7685,0.777,0.7425,0.722,0.72,0.7795,0.7115,0.6615,0.5925,0.4345,0.3975,0.422,0.349,0.366,0.3035,0.29,0.2945,0.282,0.282,1,1,1,1,1,1,1,0.9995,0.988,0.857,0.1275,0.0065,0,0,0,0,0,0,0,0,0.9625,0.982,0.9565,0.949,0.926,0.883,0.7965,0.7425,0.681,0.58,0.4325,0.4075,0.3215,0.3155,0.282,0.284,0.2545,0.273,0.252,0.2655,1,0.997,0.997,0.992,0.9905,0.979,0.937,0.9175,0.877,0.7215,0.328,0.203,0.175,0.1465,0.114,0.095,0.14,0.1225,0.1205,0.133,0.626,0.644,0.602,0.623,0.6125,0.638,0.6385,0.693,0.724,0.7115,0.654,0.584,0.5705,0.5555,0.5635,0.608,0.593,0.585,0.615,0.6155,1,1,1,1,1,1,1,0.9995,0.9865,0.8585,0.126,0.0075,0,0,0,0,0,0,0,0,1,1,1,1,1,0.994,0.9865,0.9775,0.9215,0.7635,0.3365,0.161,0.1305,0.122,0.0985,0.098,0.0915,0.082,0.1035,0.1225,0.998451,0.998451,0.998451,0.998451,0.998451,0.998451,0.998451,0.998451,0.998451,0.998451,0.998451,0.998451,0.998451,0.998451,0.998451,0.998451,0.998451,0.998451,0.998451,0.998451,
200, 1,0.9995,0.9995,1,0.9905,0.9875,0.9785,0.9455,0.874,0.731,0.3375,0.2375,0.1685,0.125,0.103,0.085,0.067,0.085,0.0815,0.0935,0.8195,0.807,0.794,0.7525,0.79,0.721,0.718,0.6735,0.6565,0.5985,0.4625,0.407,0.392,0.3795,0.336,0.39,0.312,0.2805,0.2645,0.2645,1,1,1,1,1,1,1,0.9995,0.9905,0.879,0.1355,0.011,0.0005,0,0,0,0,0,0,0,0.922,0.918,0.92,0.899,0.8735,0.833,0.782,0.7565,0.717,0.615,0.399,0.36,0.3455,0.335,0.3445,0.2515,0.2855,0.2345,0.2535,0.282,1,0.999,0.9955,0.9935,0.9795,0.9635,0.951,0.927,0.889,0.7675,0.362,0.2135,0.1755,0.1275,0.1,0.12,0.1335,0.133,0.125,0.1315,0.5845,0.5455,0.603,0.608,0.625,0.623,0.685,0.6915,0.667,0.594,0.5765,0.5195,0.5195,0.5035,0.529,0.567,0.578,0.5435,0.5975,0.576,1,1,1,1,1,1,1,0.9995,0.9915,0.8715,0.1385,0.0125,0.0005,0,0,0,0,0,0,0,1,1,1,1,1,0.9985,0.9905,0.9745,0.93,0.7805,0.3085,0.171,0.1215,0.069,0.0835,0.092,0.0825,0.051,0.042,0.06,0.998291,0.998291,0.998291,0.998291,0.998291,0.998291,0.998291,0.998291,0.998291,0.998291,0.998291,0.998291,0.998291,0.998291,0.998291,0.998291,0.998291,0.998291,0.998291,0.998291,
300, 1,0.9975,1,0.9965,0.9975,0.995,0.978,0.955,0.933,0.793,0.4005,0.236,0.1995,0.137,0.1305,0.1135,0.0825,0.0775,0.055,0.0495,0.8645,0.8275,0.829,0.7785,0.766,0.766,0.716,0.6495,0.613,0.598,0.5185,0.495,0.455,0.4255,0.384,0.373,0.332,0.3195,0.271,0.261,1,1,1,1,1,1,1,1,0.993,0.8755,0.1415,0.0045,0,0,0,0,0,0,0,0,0.8725,0.887,0.8655,0.8985,0.875,0.9085,0.9055,0.8625,0.7735,0.671,0.498,0.4195,0.456,0.3915,0.3015,0.303,0.2035,0.2525,0.288,0.2525,1,0.9975,0.991,0.9965,0.9925,0.9655,0.9345,0.9235,0.834,0.675,0.381,0.232,0.182,0.131,0.121,0.1395,0.118,0.098,0.075,0.0975,0.5315,0.572,0.5695,0.6365,0.6635,0.6395,0.606,0.6215,0.5675,0.53,0.5065,0.504,0.4745,0.493,0.4855,0.475,0.584,0.5635,0.5625,0.5275,1,1,1,1,1,1,1,0.9995,0.9915,0.866,0.1375,0.011,0.0005,0,0,0,0,0,0,0,1,1,1,0.9995,0.994,0.99,0.988,0.974,0.9335,0.719,0.316,0.21,0.1365,0.1015,0.0735,0.0485,0.0395,0.0525,0.032,0.0355,0.998075,0.998075,0.998075,0.998075,0.998075,0.998075,0.998075,0.998075,0.998075,0.998075,0.998075,0.998075,0.998075,0.998075,0.998075,0.998075,0.998075,0.998075,0.998075,0.998075,
400, 1,1,1,0.9995,0.996,0.994,0.9945,0.9705,0.914,0.7675,0.312,0.1865,0.1485,0.115,0.102,0.074,0.11,0.083,0.092,0.079,0.911,0.915,0.867,0.8375,0.805,0.737,0.739,0.76,0.7195,0.6545,0.435,0.406,0.371,0.315,0.2865,0.257,0.2435,0.312,0.2575,0.2625,1,1,1,1,1,1,1,0.9985,0.988,0.8615,0.109,0.0065,0,0,0,0,0,0,0,0,0.8965,0.906,0.9125,0.9145,0.921,0.9355,0.9125,0.903,0.8355,0.8135,0.5635,0.4815,0.406,0.36,0.343,0.3055,0.2555,0.2185,0.2155,0.1975,0.9995,0.997,0.997,0.9955,0.99,0.976,0.9645,0.9285,0.8975,0.782,0.453,0.303,0.2395,0.224,0.182,0.1535,0.102,0.1145,0.0825,0.0795,0.567,0.559,0.5625,0.5345,0.539,0.515,0.5815,0.57,0.5475,0.558,0.445,0.4785,0.4835,0.4785,0.433,0.379,0.4315,0.466,0.485,0.507,1,1,1,1,1,1,1,0.9995,0.983,0.869,0.1125,0.0105,0,0,0,0,0,0,0,0,1,1,0.9985,0.9985,0.9995,0.9985,0.9935,0.976,0.934,0.7405,0.293,0.2,0.1685,0.094,0.061,0.0665,0.0635,0.032,0.0205,0.0265,0.99866,0.99866,0.99866,0.99866,0.99866,0.99866,0.99866,0.99866,0.99866,0.99866,0.99866,0.99866,0.99866,0.99866,0.99866,0.99866,0.99866,0.99866,0.99866,0.99866,
500, 1,1,1,1,0.9985,0.993,0.988,0.972,0.9145,0.7575,0.313,0.1615,0.1165,0.083,0.0725,0.045,0.07,0.066,0.0685,0.064,0.84,0.8475,0.858,0.877,0.8575,0.8045,0.7475,0.7385,0.722,0.664,0.4215,0.3425,0.338,0.363,0.3265,0.332,0.325,0.259,0.2575,0.2665,1,1,1,1,1,1,1,1,0.991,0.8655,0.109,0.009,0.0005,0,0,0,0,0,0,0,0.9115,0.901,0.9335,0.9595,0.9535,0.9465,0.941,0.9425,0.892,0.818,0.657,0.5805,0.491,0.425,0.3995,0.354,0.294,0.312,0.344,0.34,0.995,0.9935,0.9965,0.987,0.9735,0.962,0.9295,0.9075,0.83,0.7385,0.381,0.2905,0.2485,0.233,0.2155,0.173,0.1575,0.1405,0.1705,0.134,0.6145,0.6235,0.6375,0.614,0.623,0.614,0.595,0.539,0.526,0.5525,0.5415,0.5655,0.5745,0.543,0.497,0.4605,0.406,0.437,0.464,0.457,1,1,1,1,1,1,1,1,0.994,0.8745,0.1085,0.0075,0,0,0,0,0,0,0,0,1,1,1,1,0.999,0.9925,0.9845,0.9635,0.894,0.762,0.2825,0.1875,0.147,0.091,0.0445,0.037,0.035,0.0265,0.03,0.0395,0.998045,0.998045,0.998045,0.998045,0.998045,0.998045,0.998045,0.998045,0.998045,0.998045,0.998045,0.998045,0.998045,0.998045,0.998045,0.998045,0.998045,0.998045,0.998045,0.998045,
600, 1,1,1,0.9975,0.991,0.9955,0.991,0.986,0.934,0.8075,0.315,0.198,0.1285,0.072,0.0865,0.079,0.047,0.0595,0.0785,0.073,0.8185,0.834,0.8555,0.836,0.8315,0.8245,0.7755,0.7435,0.723,0.6305,0.478,0.3985,0.35,0.341,0.3335,0.3295,0.2975,0.332,0.337,0.3245,1,1,1,1,1,1,1,0.9995,0.9885,0.8405,0.1155,0.006,0,0,0,0,0,0,0,0,0.9605,0.974,0.956,0.933,0.935,0.9445,0.9025,0.858,0.837,0.7965,0.627,0.546,0.486,0.4385,0.38,0.387,0.3705,0.403,0.3755,0.356,0.998,0.995,0.981,0.9775,0.959,0.9535,0.942,0.9235,0.833,0.6555,0.378,0.266,0.2145,0.1945,0.1905,0.142,0.117,0.115,0.072,0.078,0.5905,0.63,0.66,0.593,0.538,0.5355,0.5165,0.481,0.494,0.483,0.516,0.5745,0.522,0.5345,0.5035,0.4675,0.4885,0.532,0.524,0.5045,1,1,1,1,1,1,1,0.9995,0.989,0.8225,0.1075,0.014,0.0005,0,0,0,0,0,0,0,1,1,1,0.999,0.9975,0.9895,0.9885,0.962,0.92,0.728,0.302,0.202,0.1655,0.1,0.057,0.038,0.0205,0.021,0.0105,0.0145,0.998588,0.998588,0.998588,0.998588,0.998588,0.998588,0.998588,0.998588,0.998588,0.998588,0.998588,0.998588,0.998588,0.998588,0.998588,0.998588,0.998588,0.998588,0.998588,0.998588,
700, 1,1,1,1,1,0.999,0.988,0.988,0.932,0.774,0.3525,0.203,0.1355,0.096,0.0835,0.0925,0.07,0.0765,0.0865,0.09,0.8645,0.878,0.8835,0.871,0.881,0.8835,0.8675,0.86,0.8125,0.705,0.4405,0.364,0.416,0.3915,0.3995,0.3755,0.3505,0.284,0.279,0.264,1,1,1,1,1,1,1,1,0.995,0.859,0.1375,0.0105,0.0005,0,0,0,0,0,0,0,0.968,0.9735,0.985,0.9815,0.9555,0.913,0.876,0.909,0.8505,0.723,0.554,0.479,0.5005,0.4595,0.392,0.3625,0.4305,0.4615,0.381,0.3945,0.9995,1,0.999,0.996,0.9675,0.96,0.9445,0.923,0.8975,0.748,0.3715,0.2955,0.226,0.177,0.17,0.159,0.14,0.1,0.102,0.104,0.6635,0.644,0.628,0.593,0.5945,0.5155,0.5045,0.5095,0.4965,0.4995,0.5145,0.528,0.4965,0.5045,0.51,0.513,0.528,0.5195,0.532,0.5335,1,1,1,1,1,1,1,0.999,0.9905,0.853,0.1285,0.0065,0,0,0,0,0,0,0,0,1,1,1,1,0.9975,0.9975,0.9825,0.966,0.919,0.7815,0.3205,0.1695,0.15,0.095,0.0715,0.0525,0.046,0.0175,0.006,0.001,0.998967,0.998967,0.998967,0.998967,0.998967,0.998967,0.998967,0.998967,0.998967,0.998967,0.998967,0.998967,0.998967,0.998967,0.998967,0.998967,0.998967,0.998967,0.998967,0.998967,
800, 1,1,1,0.995,0.9995,0.9965,0.9915,0.9875,0.9415,0.747,0.2895,0.1385,0.119,0.111,0.0725,0.0515,0.032,0.0455,0.0685,0.067,0.9445,0.95,0.93,0.9165,0.864,0.8165,0.796,0.7665,0.726,0.5985,0.471,0.383,0.3755,0.366,0.377,0.349,0.366,0.3965,0.3635,0.3925,1,1,1,1,1,1,1,0.9995,0.981,0.841,0.1375,0.005,0.0015,0,0,0,0,0,0,0,0.9655,0.96,0.9485,0.9485,0.937,0.911,0.846,0.774,0.7445,0.712,0.577,0.515,0.4865,0.4775,0.481,0.3935,0.369,0.467,0.428,0.4055,0.997,0.996,0.9925,0.987,0.9665,0.9475,0.8935,0.8725,0.7725,0.6105,0.399,0.284,0.1975,0.1965,0.195,0.163,0.152,0.103,0.09,0.099,0.5165,0.5505,0.5325,0.557,0.5085,0.531,0.51,0.4585,0.4555,0.4575,0.514,0.4875,0.4945,0.4845,0.5015,0.528,0.5315,0.5595,0.4975,0.456,1,1,1,1,1,1,1,1,0.985,0.8335,0.1385,0.008,0.0015,0,0,0,0,0,0,0,1,1,1,1,0.9995,0.998,0.99,0.954,0.8875,0.7415,0.309,0.171,0.105,0.084,0.085,0.054,0.042,0.0345,0.028,0.0175,0.999242,0.999242,0.999242,0.999242,0.999242,0.999242,0.999242,0.999242,0.999242,0.999242,0.999242,0.999242,0.999242,0.999242,0.999242,0.999242,0.999242,0.999242,0.999242,0.999242,
900, 1,1,0.9995,0.9995,0.9985,0.995,0.982,0.966,0.9075,0.7785,0.3645,0.2375,0.1625,0.1405,0.0855,0.051,0.0515,0.033,0.0395,0.0345,0.9045,0.9185,0.91,0.891,0.9,0.8405,0.843,0.8445,0.781,0.6855,0.503,0.461,0.3885,0.355,0.313,0.3115,0.2695,0.315,0.307,0.3375,1,1,1,1,1,1,1,0.9995,0.992,0.8665,0.17,0.0085,0.002,0,0,0,0,0,0,0,0.968,0.969,0.968,0.9355,0.91,0.8725,0.867,0.8555,0.788,0.7555,0.597,0.5185,0.4525,0.4765,0.418,0.4255,0.4205,0.408,0.406,0.4465,0.999,1,1,0.996,0.983,0.973,0.9275,0.8825,0.8265,0.7485,0.336,0.227,0.209,0.1735,0.191,0.191,0.1905,0.1765,0.1485,0.162,0.624,0.6475,0.6125,0.598,0.6075,0.535,0.513,0.528,0.5435,0.527,0.5175,0.578,0.5565,0.537,0.58,0.518,0.532,0.5405,0.5305,0.5515,1,1,1,1,1,1,1,0.9995,0.9915,0.864,0.167,0.0105,0.0005,0,0,0,0,0,0,0,1,1,1,1,0.9965,0.9945,0.981,0.9575,0.91,0.782,0.369,0.2135,0.132,0.079,0.052,0.025,0.021,0.0195,0.021,0.0145,0.999246,0.999246,0.999246,0.999246,0.999246,0.999246,0.999246,0.999246,0.999246,0.999246,0.999246,0.999246,0.999246,0.999246,0.999246,0.999246,0.999246,0.999246,0.999246,0.999246,
