gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0l2, d1l2, d2l2, d3l2, d4l2, d5l2, d6l2, d7l2, d8l2, d9l2, d10l2, d11l2, d12l2, d13l2, d14l2, d15l2, d16l2, d17l2, d18l2, d19l2, d0l3, d1l3, d2l3, d3l3, d4l3, d5l3, d6l3, d7l3, d8l3, d9l3, d10l3, d11l3, d12l3, d13l3, d14l3, d15l3, d16l3, d17l3, d18l3, d19l3, d0l4, d1l4, d2l4, d3l4, d4l4, d5l4, d6l4, d7l4, d8l4, d9l4, d10l4, d11l4, d12l4, d13l4, d14l4, d15l4, d16l4, d17l4, d18l4, d19l4, d0l5, d1l5, d2l5, d3l5, d4l5, d5l5, d6l5, d7l5, d8l5, d9l5, d10l5, d11l5, d12l5, d13l5, d14l5, d15l5, d16l5, d17l5, d18l5, d19l5, d0l6, d1l6, d2l6, d3l6, d4l6, d5l6, d6l6, d7l6, d8l6, d9l6, d10l6, d11l6, d12l6, d13l6, d14l6, d15l6, d16l6, d17l6, d18l6, d19l6, d0l7, d1l7, d2l7, d3l7, d4l7, d5l7, d6l7, d7l7, d8l7, d9l7, d10l7, d11l7, d12l7, d13l7, d14l7, d15l7, d16l7, d17l7, d18l7, d19l7, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, d8W, d9W, d10W, d11W, d12W, d13W, d14W, d15W, d16W, d17W, d18W, d19W, 
0, 1,1,1,1,1,1,1,1,0.9965,0.8845,0.133,0.006,0.0005,0,0,0,0,0,0,0,1,1,0.9995,0.9955,0.999,0.999,0.993,0.99,0.97,0.822,0.266,0.169,0.081,0.0805,0.0755,0.0355,0.061,0.062,0.0685,0.0555,0.996,0.9975,0.998,0.9985,0.9925,0.9965,0.991,0.981,0.9335,0.8255,0.362,0.251,0.258,0.2125,0.1515,0.1195,0.1255,0.1015,0.091,0.0855,1,1,1,1,1,1,0.9965,0.9815,0.954,0.7985,0.241,0.114,0.0665,0.051,0.0695,0.0745,0.048,0.034,0.039,0.0355,1,1,1,1,1,1,1,0.9995,0.9925,0.876,0.132,0.009,0.0005,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.992,0.8785,0.135,0.0065,0.001,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.9995,0.9945,0.8795,0.1325,0.0065,0.0005,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.999,0.983,0.8565,0.241,0.11,0.082,0.0585,0.0615,0.0375,0.05,0.0425,0.0525,0.0495,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,0.999909,
100, 1,1,1,1,1,1,1,1,0.9875,0.8745,0.1545,0.005,0,0,0,0,0,0,0,0,1,1,1,1,0.9985,0.995,0.9935,0.9825,0.9595,0.856,0.2695,0.146,0.1175,0.111,0.084,0.052,0.0605,0.06,0.0535,0.0535,1,1,1,0.9955,0.9855,0.9885,0.9715,0.945,0.931,0.7685,0.3285,0.2635,0.2205,0.186,0.1495,0.1225,0.108,0.115,0.1195,0.151,1,1,1,1,0.9995,0.999,0.996,0.9885,0.957,0.802,0.266,0.114,0.0865,0.046,0.018,0.0185,0.0185,0.017,0.011,0.0185,1,1,1,1,1,1,1,1,0.9875,0.879,0.153,0.0075,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.989,0.872,0.158,0.005,0.0005,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.987,0.875,0.1515,0.007,0.0005,0,0,0,0,0,0,0,1,1,1,1,1,1,0.9985,0.9975,0.986,0.8505,0.323,0.1515,0.076,0.0605,0.0465,0.042,0.0255,0.0065,0.0095,0.0165,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
200, 1,1,1,1,1,1,1,1,0.9955,0.879,0.12,0.012,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.997,0.992,0.974,0.856,0.274,0.1765,0.131,0.1125,0.0865,0.0915,0.0765,0.0645,0.0635,0.0545,0.999,0.9945,0.999,0.992,0.989,0.993,0.9805,0.9575,0.9445,0.812,0.3355,0.201,0.1785,0.1255,0.126,0.1285,0.089,0.1015,0.07,0.059,1,1,0.999,0.996,0.9995,0.997,0.993,0.9755,0.9555,0.852,0.2955,0.145,0.1105,0.09,0.071,0.07,0.049,0.03,0.019,0.026,1,1,1,1,1,1,1,0.9995,0.996,0.8845,0.116,0.0075,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.9995,0.9935,0.8845,0.1195,0.0115,0.0005,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.9935,0.8865,0.119,0.0135,0.001,0,0,0,0,0,0,0,1,1,1,1,1,1,0.9985,0.989,0.986,0.876,0.2435,0.1435,0.121,0.103,0.0665,0.0395,0.0305,0.036,0.0375,0.0275,0.999985,0.999985,0.999985,0.999985,0.999985,0.999985,0.999985,0.999985,0.999985,0.999985,0.999985,0.999985,0.999985,0.999985,0.999985,0.999985,0.999985,0.999985,0.999985,0.999985,
300, 1,1,1,1,1,1,1,1,0.9915,0.839,0.136,0.013,0.001,0,0,0,0,0,0,0,1,1,1,1,1,1,0.999,0.994,0.9675,0.8305,0.256,0.1335,0.1005,0.0635,0.076,0.0815,0.081,0.0575,0.054,0.0575,0.9975,0.997,1,0.9995,0.995,0.997,0.9945,0.977,0.959,0.843,0.387,0.2775,0.168,0.1295,0.0915,0.07,0.0995,0.0965,0.077,0.083,1,1,1,1,0.999,1,0.9965,0.982,0.9555,0.8145,0.3045,0.21,0.1645,0.1205,0.0585,0.046,0.026,0.0175,0.018,0.003,1,1,1,1,1,1,1,1,0.993,0.843,0.1235,0.0085,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.9885,0.845,0.127,0.01,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.9895,0.8395,0.1205,0.017,0.001,0,0,0,0,0,0,0,1,1,1,1,1,0.9995,0.996,0.991,0.972,0.8175,0.234,0.103,0.0555,0.051,0.039,0.035,0.028,0.033,0.042,0.027,0.999954,0.999954,0.999954,0.999954,0.999954,0.999954,0.999954,0.999954,0.999954,0.999954,0.999954,0.999954,0.999954,0.999954,0.999954,0.999954,0.999954,0.999954,0.999954,0.999954,
400, 1,1,1,1,1,1,1,1,0.99,0.8745,0.1255,0.0055,0.001,0,0,0,0,0,0,0,1,1,1,1,0.9995,0.9965,0.998,0.995,0.9595,0.835,0.2325,0.104,0.086,0.0745,0.075,0.063,0.061,0.0775,0.0705,0.06,0.999,1,0.9955,0.998,0.9945,0.9895,0.9815,0.9695,0.9125,0.8145,0.3605,0.239,0.1795,0.1855,0.1385,0.096,0.1075,0.107,0.097,0.0845,1,1,1,1,1,0.998,0.9975,0.978,0.9505,0.824,0.239,0.1255,0.073,0.0865,0.0895,0.0425,0.025,0.0125,0.006,0.0075,1,1,1,1,1,1,1,1,0.9895,0.8785,0.1265,0.008,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.9995,0.986,0.878,0.131,0.007,0.001,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.9875,0.871,0.125,0.011,0,0,0,0,0,0,0,0,1,1,1,1,1,0.999,0.9945,0.9905,0.9605,0.828,0.2655,0.109,0.09,0.0475,0.03,0.0475,0.039,0.0405,0.043,0.0485,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,0.99997,
500, 1,1,1,1,1,1,1,1,0.986,0.8335,0.1085,0.012,0,0,0,0,0,0,0,0,1,1,1,1,0.9995,0.9965,0.99,0.986,0.952,0.794,0.242,0.1565,0.0765,0.0735,0.086,0.083,0.0895,0.098,0.0605,0.0555,0.9985,0.9865,0.9905,0.997,0.9855,0.988,0.9755,0.973,0.935,0.793,0.316,0.181,0.197,0.1435,0.1475,0.0865,0.0805,0.091,0.0635,0.0695,1,1,1,0.9995,0.995,1,0.994,0.984,0.9305,0.766,0.253,0.145,0.0905,0.064,0.0395,0.0305,0.038,0.015,0.008,0.015,1,1,1,1,1,1,1,0.9995,0.985,0.8355,0.1175,0.0105,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.9845,0.8215,0.1235,0.012,0.0005,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.982,0.8305,0.1175,0.0105,0.0005,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.999,0.973,0.844,0.286,0.162,0.119,0.0845,0.059,0.0405,0.0105,0.0285,0.0135,0.007,0.999985,0.999985,0.999985,0.999985,0.999985,0.999985,0.999985,0.999985,0.999985,0.999985,0.999985,0.999985,0.999985,0.999985,0.999985,0.999985,0.999985,0.999985,0.999985,0.999985,
600, 1,1,1,1,1,1,1,1,0.9925,0.8565,0.1215,0.0145,0,0,0,0,0,0,0,0,1,1,1,1,1,0.9995,0.9965,0.988,0.9685,0.8255,0.272,0.1585,0.111,0.097,0.0725,0.067,0.085,0.077,0.0645,0.047,0.987,0.9815,0.9975,0.9995,0.997,0.9985,0.994,0.9805,0.945,0.83,0.354,0.18,0.1515,0.134,0.1295,0.107,0.103,0.1,0.104,0.134,1,1,1,1,0.9985,0.9975,0.995,0.9855,0.9625,0.835,0.318,0.197,0.106,0.066,0.0445,0.037,0.007,0.0075,0.0025,0.006,1,1,1,1,1,1,1,1,0.9885,0.8535,0.1225,0.0105,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.9905,0.8575,0.1225,0.013,0.0005,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.9915,0.851,0.1165,0.009,0,0,0,0,0,0,0,0,1,1,1,1,1,0.9985,0.9965,0.995,0.9685,0.8405,0.2415,0.129,0.092,0.0675,0.034,0.0405,0.048,0.035,0.045,0.0325,0.999651,0.999651,0.999651,0.999651,0.999651,0.999651,0.999651,0.999651,0.999651,0.999651,0.999651,0.999651,0.999651,0.999651,0.999651,0.999651,0.999651,0.999651,0.999651,0.999651,
700, 1,1,1,1,1,1,1,1,0.992,0.881,0.1645,0.0105,0.0005,0,0,0,0,0,0,0,1,1,1,1,1,1,0.9975,0.9995,0.9825,0.8735,0.3415,0.1585,0.078,0.0615,0.062,0.0495,0.052,0.031,0.0315,0.0265,1,1,1,0.9995,0.9915,0.9945,0.9875,0.981,0.9645,0.8605,0.43,0.241,0.202,0.1665,0.1425,0.188,0.1725,0.1575,0.127,0.0965,1,1,1,1,1,0.9995,1,0.988,0.9565,0.842,0.3345,0.2025,0.1175,0.0905,0.063,0.0495,0.031,0.048,0.035,0.034,1,1,1,1,1,1,1,0.999,0.991,0.8715,0.175,0.014,0.001,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.9995,0.9915,0.8735,0.166,0.012,0.001,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.999,0.989,0.8705,0.1635,0.009,0.0015,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.9955,0.973,0.8685,0.282,0.11,0.064,0.052,0.0345,0.044,0.0325,0.0265,0.025,0.0235,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
800, 1,1,1,1,1,1,1,0.9995,0.989,0.889,0.134,0.009,0,0,0,0,0,0,0,0,1,1,1,1,1,0.9995,0.995,0.99,0.965,0.8685,0.2825,0.159,0.0865,0.081,0.0695,0.1025,0.076,0.073,0.055,0.038,0.9995,0.996,0.995,0.998,0.992,0.9675,0.96,0.9565,0.9465,0.8555,0.413,0.306,0.23,0.231,0.16,0.192,0.1695,0.167,0.137,0.1105,1,1,1,1,1,1,0.9975,0.987,0.9695,0.856,0.3165,0.166,0.1555,0.1095,0.0655,0.0525,0.0505,0.062,0.053,0.048,1,1,1,1,1,1,1,0.999,0.99,0.884,0.142,0.013,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.999,0.9905,0.8875,0.149,0.012,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.999,0.988,0.8815,0.14,0.012,0.0015,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.9905,0.9775,0.848,0.259,0.095,0.0775,0.0735,0.0615,0.0125,0.017,0.0065,0.004,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
900, 1,1,1,1,1,1,1,1,0.9965,0.873,0.1185,0.008,0,0,0,0,0,0,0,0,1,1,0.998,0.9985,0.9995,1,0.994,0.988,0.9785,0.861,0.2855,0.118,0.092,0.0575,0.0735,0.0585,0.053,0.053,0.027,0.0275,1,1,1,0.999,0.999,0.989,0.9845,0.972,0.9525,0.86,0.3735,0.2375,0.211,0.187,0.1855,0.155,0.1275,0.105,0.0885,0.075,1,1,1,1,1,0.999,0.995,0.9875,0.952,0.8485,0.2865,0.1355,0.078,0.093,0.052,0.052,0.035,0.0405,0.038,0.0295,1,1,1,1,1,1,1,1,0.995,0.8815,0.1175,0.011,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.9925,0.8745,0.113,0.01,0.0015,0.0005,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.996,0.8785,0.1205,0.006,0,0,0,0,0,0,0,0,1,1,1,1,0.9985,0.999,0.999,0.9935,0.9865,0.864,0.267,0.149,0.093,0.07,0.051,0.0345,0.033,0.0205,0.016,0.0135,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
