gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0l2, d1l2, d2l2, d3l2, d4l2, d5l2, d6l2, d7l2, d8l2, d9l2, d10l2, d11l2, d12l2, d13l2, d14l2, d15l2, d16l2, d17l2, d18l2, d19l2, d0l3, d1l3, d2l3, d3l3, d4l3, d5l3, d6l3, d7l3, d8l3, d9l3, d10l3, d11l3, d12l3, d13l3, d14l3, d15l3, d16l3, d17l3, d18l3, d19l3, d0l4, d1l4, d2l4, d3l4, d4l4, d5l4, d6l4, d7l4, d8l4, d9l4, d10l4, d11l4, d12l4, d13l4, d14l4, d15l4, d16l4, d17l4, d18l4, d19l4, d0l5, d1l5, d2l5, d3l5, d4l5, d5l5, d6l5, d7l5, d8l5, d9l5, d10l5, d11l5, d12l5, d13l5, d14l5, d15l5, d16l5, d17l5, d18l5, d19l5, d0l6, d1l6, d2l6, d3l6, d4l6, d5l6, d6l6, d7l6, d8l6, d9l6, d10l6, d11l6, d12l6, d13l6, d14l6, d15l6, d16l6, d17l6, d18l6, d19l6, d0l7, d1l7, d2l7, d3l7, d4l7, d5l7, d6l7, d7l7, d8l7, d9l7, d10l7, d11l7, d12l7, d13l7, d14l7, d15l7, d16l7, d17l7, d18l7, d19l7, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, d8W, d9W, d10W, d11W, d12W, d13W, d14W, d15W, d16W, d17W, d18W, d19W, 
0, 1,1,1,1,1,1,0.9985,0.993,0.948,0.804,0.3725,0.223,0.1505,0.1045,0.074,0.0415,0.0285,0.03,0.0265,0.023,1,1,1,1,1,1,1,0.999,0.988,0.8525,0.144,0.01,0,0,0,0,0,0,0,0,0.983,0.974,0.9825,0.9705,0.946,0.9265,0.8955,0.9225,0.8805,0.808,0.593,0.5565,0.4815,0.395,0.298,0.2535,0.242,0.2715,0.216,0.229,0.0775,0.0795,0.0915,0.078,0.1015,0.074,0.067,0.074,0.062,0.0645,0.0285,0.0265,0.039,0.018,0.014,0.01,0.005,0.0005,0.015,0.016,0.048,0.068,0.084,0.085,0.0885,0.071,0.0255,0.022,0.0135,0.014,0.0185,0.0245,0.0205,0.0145,0.021,0.0145,0.0215,0.017,0.024,0.0225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9985,0.9995,1,0.998,0.981,0.971,0.9525,0.9035,0.823,0.6095,0.3505,0.2425,0.2175,0.175,0.133,0.1185,0.083,0.0755,0.0465,0.041,1,1,1,1,0.9985,0.9955,0.9965,0.9725,0.939,0.7875,0.316,0.176,0.126,0.0765,0.077,0.0575,0.0435,0.0265,0.015,0.026,0.999297,0.999297,0.999297,0.999297,0.999297,0.999297,0.999297,0.999297,0.999297,0.999297,0.999297,0.999297,0.999297,0.999297,0.999297,0.999297,0.999297,0.999297,0.999297,0.999297,
100, 1,1,1,1,1,1,0.9955,0.975,0.9195,0.774,0.341,0.192,0.131,0.0925,0.0685,0.062,0.05,0.044,0.0325,0.0285,1,1,1,1,1,1,1,1,0.99,0.8595,0.135,0.0125,0.0005,0,0,0,0,0,0,0,0.991,0.986,0.989,0.9875,0.9745,0.975,0.9555,0.937,0.905,0.802,0.5815,0.5225,0.5055,0.4965,0.4325,0.3185,0.3385,0.3045,0.267,0.2985,0.1115,0.092,0.0825,0.103,0.1135,0.087,0.0555,0.037,0.045,0.02,0.015,0.0075,0.007,0.0175,0.015,0.031,0.0275,0.0155,0.0075,0.007,0.0985,0.1105,0.066,0.0665,0.0585,0.08,0.046,0.055,0.055,0.0465,0.035,0.0245,0.019,0.026,0.014,0.0175,0.0305,0.047,0.0565,0.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.9995,0.998,0.988,0.971,0.9505,0.9035,0.8145,0.6845,0.4585,0.3575,0.262,0.1865,0.1635,0.11,0.082,0.081,0.062,0.076,1,1,1,1,0.9995,0.9955,0.9855,0.968,0.94,0.803,0.3835,0.2665,0.1745,0.11,0.081,0.055,0.0285,0.0135,0.0165,0.0165,0.999626,0.999626,0.999626,0.999626,0.999626,0.999626,0.999626,0.999626,0.999626,0.999626,0.999626,0.999626,0.999626,0.999626,0.999626,0.999626,0.999626,0.999626,0.999626,0.999626,
200, 1,1,1,1,0.999,0.999,0.994,0.983,0.928,0.7905,0.347,0.2105,0.121,0.0785,0.0645,0.0445,0.0345,0.0335,0.0265,0.015,1,1,1,1,1,1,1,0.9995,0.9935,0.8455,0.1125,0.0055,0,0,0,0,0,0,0,0,0.996,0.9865,0.971,0.9845,0.9745,0.942,0.9105,0.872,0.806,0.7075,0.5615,0.469,0.483,0.459,0.468,0.388,0.3645,0.307,0.296,0.2725,0.0525,0.0515,0.0475,0.0655,0.069,0.0385,0.0385,0.0115,0.014,0.0055,0.0225,0.0315,0.0355,0.0705,0.0635,0.0405,0.062,0.0315,0.0225,0.0285,0.062,0.045,0.0645,0.054,0.046,0.0615,0.0475,0.03,0.0225,0.0275,0.0215,0.014,0.0265,0.027,0.055,0.0435,0.0375,0.03,0.028,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.998,0.9955,0.984,0.9855,0.9775,0.9535,0.9215,0.862,0.6815,0.411,0.313,0.241,0.2015,0.174,0.142,0.127,0.1665,0.1485,0.178,1,1,1,1,0.9995,0.9995,0.998,0.9805,0.9425,0.763,0.3255,0.2325,0.191,0.116,0.083,0.0265,0.017,0.0195,0.0125,0.009,0.999586,0.999586,0.999586,0.999586,0.999586,0.999586,0.999586,0.999586,0.999586,0.999586,0.999586,0.999586,0.999586,0.999586,0.999586,0.999586,0.999586,0.999586,0.999586,0.999586,
300, 1,1,1,1,0.998,0.995,0.9905,0.969,0.9105,0.804,0.3555,0.19,0.1125,0.0795,0.0665,0.0525,0.032,0.019,0.019,0.0085,1,1,1,1,1,1,1,0.999,0.992,0.872,0.1205,0.005,0,0,0,0,0,0,0,0,0.989,0.9915,0.9835,0.948,0.965,0.9335,0.888,0.8505,0.822,0.7845,0.652,0.5855,0.5875,0.515,0.4875,0.4665,0.4145,0.395,0.3595,0.331,0.0465,0.052,0.0745,0.067,0.0605,0.037,0.02,0.0255,0.017,0.024,0.013,0.009,0.0185,0.033,0.044,0.0295,0.022,0.0375,0.0465,0.065,0.019,0.033,0.034,0.027,0.014,0.008,0.0245,0.037,0.0445,0.0545,0.0415,0.035,0.0475,0.049,0.0455,0.0375,0.0405,0.047,0.049,0.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.9995,0.9955,0.991,0.992,0.979,0.9295,0.869,0.754,0.37,0.252,0.226,0.1745,0.135,0.1,0.1,0.086,0.1215,0.109,1,1,0.999,0.998,0.9995,1,0.992,0.976,0.929,0.79,0.3745,0.206,0.144,0.1,0.062,0.0465,0.053,0.037,0.0325,0.029,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,
400, 1,1,1,1,0.9995,0.9965,0.991,0.976,0.931,0.7765,0.3125,0.181,0.1185,0.0915,0.0625,0.036,0.0205,0.0165,0.034,0.021,1,1,1,1,1,1,1,0.9995,0.9875,0.8605,0.121,0.0125,0.004,0,0,0,0,0,0,0,0.9885,0.986,0.979,0.954,0.954,0.9165,0.92,0.8865,0.824,0.7235,0.562,0.51,0.47,0.45,0.4765,0.4645,0.445,0.3595,0.3665,0.399,0.038,0.0325,0.0335,0.0315,0.029,0.0165,0.034,0.06,0.048,0.0555,0.062,0.0515,0.0415,0.034,0.0385,0.0385,0.0355,0.024,0.0245,0.009,0.0155,0.017,0.0215,0.029,0.0295,0.018,0.0215,0.0185,0.031,0.059,0.0265,0.027,0.0175,0.041,0.0705,0.0735,0.068,0.065,0.044,0.0405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9985,0.996,0.9915,0.9905,0.993,0.951,0.885,0.8225,0.6805,0.3795,0.2615,0.2235,0.191,0.1595,0.132,0.0845,0.0635,0.0635,0.091,1,1,1,1,1,0.999,0.985,0.9705,0.9095,0.753,0.3175,0.2255,0.155,0.086,0.071,0.0575,0.0395,0.0295,0.011,0.01,0.999549,0.999549,0.999549,0.999549,0.999549,0.999549,0.999549,0.999549,0.999549,0.999549,0.999549,0.999549,0.999549,0.999549,0.999549,0.999549,0.999549,0.999549,0.999549,0.999549,
500, 1,1,1,0.997,0.999,0.997,0.9895,0.9625,0.9085,0.711,0.302,0.1795,0.16,0.085,0.0835,0.058,0.028,0.033,0.027,0.024,1,1,1,1,1,1,1,1,0.9905,0.8365,0.1195,0.0105,0.001,0,0,0,0,0,0,0,0.964,0.962,0.952,0.934,0.9475,0.9415,0.9135,0.8715,0.7845,0.6985,0.575,0.561,0.474,0.464,0.4315,0.3955,0.369,0.4095,0.436,0.3755,0.052,0.048,0.0315,0.0505,0.044,0.0355,0.0205,0.016,0.01,0.0095,0.0065,0.0155,0.0275,0.0295,0.0285,0.0165,0.0285,0.0255,0.0245,0.036,0.027,0.0385,0.06,0.049,0.0835,0.0565,0.059,0.0395,0.043,0.034,0.0475,0.041,0.0655,0.052,0.053,0.0635,0.07,0.045,0.0355,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.999,0.997,0.9965,0.9925,0.9835,0.942,0.885,0.8425,0.6845,0.4005,0.2645,0.247,0.1855,0.1825,0.1735,0.161,0.1215,0.094,0.086,1,1,1,1,1,0.9945,0.9855,0.968,0.9465,0.7825,0.3435,0.184,0.139,0.0725,0.0835,0.0535,0.031,0.0375,0.035,0.051,0.999262,0.999262,0.999262,0.999262,0.999262,0.999262,0.999262,0.999262,0.999262,0.999262,0.999262,0.999262,0.999262,0.999262,0.999262,0.999262,0.999262,0.999262,0.999262,0.999262,
600, 1,1,1,1,0.999,0.999,0.995,0.9865,0.951,0.825,0.341,0.199,0.134,0.089,0.075,0.045,0.037,0.0295,0.0405,0.0635,1,1,1,1,1,1,1,0.9995,0.991,0.851,0.136,0.008,0.002,0,0,0,0,0,0,0,0.9695,0.9475,0.946,0.9355,0.921,0.907,0.859,0.831,0.806,0.714,0.5675,0.4815,0.4895,0.458,0.4575,0.443,0.4475,0.4385,0.3705,0.3705,0.068,0.064,0.0585,0.036,0.06,0.049,0.0225,0.009,0.0145,0.023,0.077,0.098,0.104,0.043,0.0325,0.0295,0.0365,0.039,0.0245,0.0215,0.074,0.0805,0.0775,0.0575,0.0635,0.071,0.076,0.059,0.0325,0.023,0.0405,0.0395,0.067,0.056,0.0545,0.0465,0.0245,0.03,0.028,0.0455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.9985,0.987,0.985,0.964,0.9255,0.815,0.688,0.3895,0.25,0.1885,0.1585,0.1705,0.174,0.182,0.1685,0.183,0.1565,1,1,1,0.999,0.999,0.999,0.9905,0.9645,0.895,0.74,0.3085,0.2015,0.133,0.103,0.0785,0.048,0.027,0.0265,0.039,0.0465,0.999221,0.999221,0.999221,0.999221,0.999221,0.999221,0.999221,0.999221,0.999221,0.999221,0.999221,0.999221,0.999221,0.999221,0.999221,0.999221,0.999221,0.999221,0.999221,0.999221,
700, 1,1,1,1,0.9975,0.9975,0.991,0.97,0.9155,0.7455,0.3285,0.1395,0.1135,0.1055,0.0715,0.042,0.0415,0.031,0.053,0.04,1,1,1,1,1,1,1,1,0.989,0.83,0.1085,0.009,0.001,0,0,0,0,0,0,0,0.9455,0.9515,0.93,0.9455,0.919,0.8995,0.8875,0.845,0.7625,0.712,0.541,0.448,0.432,0.3715,0.3545,0.3285,0.2925,0.297,0.2685,0.27,0.059,0.0805,0.0685,0.0665,0.052,0.04,0.041,0.048,0.0635,0.0505,0.075,0.092,0.095,0.0565,0.053,0.0435,0.0595,0.0615,0.044,0.03,0.077,0.0745,0.048,0.051,0.0575,0.052,0.0605,0.052,0.0355,0.0455,0.0475,0.0635,0.0855,0.087,0.082,0.077,0.085,0.055,0.0375,0.0185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.9985,0.9855,0.975,0.9525,0.9115,0.835,0.666,0.333,0.285,0.2425,0.1685,0.137,0.1225,0.115,0.118,0.0825,0.0815,1,1,1,1,0.999,0.9975,0.989,0.9725,0.9075,0.7065,0.3025,0.1515,0.1175,0.0945,0.085,0.082,0.0855,0.0875,0.0705,0.0665,0.998957,0.998957,0.998957,0.998957,0.998957,0.998957,0.998957,0.998957,0.998957,0.998957,0.998957,0.998957,0.998957,0.998957,0.998957,0.998957,0.998957,0.998957,0.998957,0.998957,
800, 0.9995,0.999,0.999,0.996,0.998,0.986,0.977,0.945,0.8705,0.776,0.394,0.251,0.1745,0.1415,0.143,0.1215,0.075,0.065,0.042,0.047,1,1,1,1,1,1,1,0.9985,0.9885,0.879,0.1455,0.0145,0.001,0,0,0,0,0,0,0,0.967,0.957,0.947,0.9595,0.9735,0.956,0.9245,0.8575,0.8185,0.7735,0.611,0.479,0.423,0.4505,0.3935,0.346,0.3195,0.293,0.2825,0.269,0.1305,0.1245,0.125,0.0985,0.065,0.081,0.1015,0.081,0.0795,0.092,0.0645,0.067,0.066,0.0775,0.101,0.1035,0.07,0.081,0.098,0.0735,0.1105,0.0915,0.0715,0.067,0.0585,0.0555,0.039,0.0305,0.0325,0.085,0.119,0.141,0.1185,0.1075,0.056,0.045,0.0725,0.0505,0.048,0.0465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.998,0.991,0.995,0.9845,0.944,0.849,0.717,0.5515,0.4105,0.2785,0.206,0.1375,0.093,0.103,0.062,0.1005,0.0885,0.097,1,1,1,1,1,0.999,0.9855,0.958,0.92,0.7475,0.322,0.189,0.1065,0.0705,0.026,0.024,0.0385,0.0485,0.101,0.0665,0.999094,0.999094,0.999094,0.999094,0.999094,0.999094,0.999094,0.999094,0.999094,0.999094,0.999094,0.999094,0.999094,0.999094,0.999094,0.999094,0.999094,0.999094,0.999094,0.999094,
900, 1,1,1,1,0.9985,0.9975,0.9885,0.976,0.9415,0.784,0.347,0.2045,0.1265,0.1245,0.0775,0.059,0.0565,0.048,0.064,0.05,1,1,1,1,1,1,1,0.9995,0.9905,0.847,0.1245,0.0125,0,0,0,0,0,0,0,0,0.99,0.9785,0.967,0.9575,0.944,0.9165,0.9035,0.865,0.812,0.673,0.5025,0.419,0.3885,0.4065,0.362,0.3055,0.2915,0.325,0.2725,0.268,0.088,0.144,0.1425,0.1145,0.0985,0.1235,0.112,0.097,0.0775,0.0585,0.0385,0.0455,0.0625,0.0575,0.056,0.069,0.0625,0.0495,0.0585,0.089,0.051,0.046,0.0495,0.068,0.0595,0.0725,0.0665,0.075,0.068,0.0805,0.037,0.048,0.0465,0.065,0.0815,0.0695,0.0525,0.0415,0.0315,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.999,0.998,0.97,0.9655,0.9495,0.887,0.763,0.6125,0.3445,0.2695,0.2365,0.169,0.1215,0.1305,0.1455,0.151,0.137,0.124,1,1,1,1,0.9985,0.994,0.9905,0.965,0.914,0.7495,0.315,0.1685,0.115,0.0765,0.0745,0.063,0.0415,0.049,0.057,0.0405,0.999579,0.999579,0.999579,0.999579,0.999579,0.999579,0.999579,0.999579,0.999579,0.999579,0.999579,0.999579,0.999579,0.999579,0.999579,0.999579,0.999579,0.999579,0.999579,0.999579,
