0	0	0.265397
0	1	-0.265397
2	0	-0.207859
2	1	0.207859
4	0	0.0153347
4	1	-0.0153347
6	0	-0.0398202
6	1	0.0398202
8	0	-0.0482961
8	1	0.0482961
round: 0	nbSign: 0	last?: 0	accGen: 0
round: 1	nbSign: 3	last?: 0	accGen: 1000
round: 2	nbSign: 7	last?: 0	accGen: 2000
round: 3	nbSign: 11	last?: 0	accGen: 3000
round: 4	nbSign: 16	last?: 0	accGen: 4000
round: 5	nbSign: 22	last?: 0	accGen: 5000
round: 6	nbSign: 26	last?: 0	accGen: 6000
round: 7	nbSign: 31	last?: 0	accGen: 7000
round: 8	nbSign: 36	last?: 0	accGen: 8000
round: 9	nbSign: 40	last?: 0	accGen: 9000
round: 10	nbSign: 46	last?: 0	accGen: 10000
round: 11	nbSign: 50	last?: 0	accGen: 11000
round: 12	nbSign: 58	last?: 0	accGen: 12000
round: 13	nbSign: 64	last?: 0	accGen: 13000
round: 14	nbSign: 68	last?: 0	accGen: 14000
round: 15	nbSign: 74	last?: 0	accGen: 15000
round: 16	nbSign: 84	last?: 0	accGen: 16000
round: 17	nbSign: 94	last?: 0	accGen: 17000
round: 18	nbSign: 104	last?: 1	accGen: 18000
1000 generations ont pris1328secondes
