gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, 
0, 1,1,0.8425,0.565,0.3425,0.2375,0.37,0.43,0.84,0.765,0.74,0.3675,0.3475,0.1375,0,0,1,1,1,1,1,1,1,1,
10, 1,0.9925,0.95,0.6575,0.37,0.2075,0.2675,0.4325,0.87,0.83,0.7625,0.18,0.4125,0.1375,0,0,1,1,1,1,1,1,1,1,
20, 1,0.995,0.95,0.65,0.3625,0.2975,0.2575,0.495,0.8725,0.8,0.8025,0.2025,0.27,0.14,0,0,1,1,1,1,1,1,1,1,
30, 1,0.99,0.9075,0.655,0.32,0.2775,0.0825,0.4325,0.895,0.85,0.8525,0.3375,0.31,0.1125,0.0025,0,1,1,1,1,1,1,1,1,
40, 0.9975,0.99,0.7825,0.735,0.42,0.2925,0.085,0.575,0.8725,0.835,0.88,0.2625,0.22,0.095,0,0,1,1,1,1,1,1,1,1,
50, 1,0.97,0.7525,0.8175,0.4575,0.3125,0.05,0.5425,0.8625,0.8575,0.9075,0.2375,0.2025,0.1475,0.01,0,1,1,1,1,1,1,1,1,
60, 1,0.965,0.82,0.8875,0.5775,0.4225,0.0825,0.5625,0.8975,0.8875,0.8725,0.2275,0.105,0.23,0.005,0,1,1,1,1,1,1,1,1,
70, 1,0.95,0.8125,0.8825,0.63,0.455,0.0975,0.55,0.8125,0.905,0.85,0.355,0.2,0.1625,0.0075,0,1,1,1,1,1,1,1,1,
80, 1,0.96,0.765,0.9625,0.61,0.505,0.105,0.555,0.855,0.92,0.875,0.36,0.25,0.1525,0.0875,0.0025,1,1,1,1,1,1,1,1,
90, 1,0.9325,0.76,0.88,0.5375,0.6125,0.22,0.3925,0.875,0.9175,0.9425,0.355,0.2575,0.1775,0.105,0.0275,1,1,1,1,1,1,1,1,
