gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0l2, d1l2, d2l2, d3l2, d4l2, d5l2, d6l2, d7l2, d0l3, d1l3, d2l3, d3l3, d4l3, d5l3, d6l3, d7l3, d0l4, d1l4, d2l4, d3l4, d4l4, d5l4, d6l4, d7l4, d0l5, d1l5, d2l5, d3l5, d4l5, d5l5, d6l5, d7l5, d0l6, d1l6, d2l6, d3l6, d4l6, d5l6, d6l6, d7l6, d0l7, d1l7, d2l7, d3l7, d4l7, d5l7, d6l7, d7l7, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, 
0, 1,1,0.95,0.6425,0.5625,0.0225,0.0125,0,0.94,0.7325,0.72,0.6325,0.77,0.5175,0.36,0.1325,0.3675,0.5875,0.57,0.325,0.675,0.395,0.2325,0.23,0.97,0.74,0.525,0.4375,0.17,0.4,0.445,0.165,1,1,1,0.8975,0.3475,0.0925,0.0225,0.02,1,1,0.9925,0.695,0.4875,0.3475,0.0525,0.0675,0.88,0.7825,0.855,0.815,0.8175,0.345,0.1325,0.1075,0.9475,0.9825,0.9075,0.6,0.465,0.575,0.2075,0.075,1,1,1,1,1,1,1,1,
10, 1,0.9925,0.7725,0.7725,0.46,0.04,0.0025,0,0.865,0.6575,0.59,0.74,0.8525,0.525,0.3375,0.2625,0.4075,0.6075,0.5625,0.22,0.4925,0.57,0.24,0.1825,0.9625,0.73,0.47,0.5525,0.2175,0.38,0.4575,0.125,1,1,0.995,0.81,0.3325,0.065,0.0275,0.0375,1,1,0.995,0.725,0.4975,0.42,0.08,0.0725,0.875,0.685,0.7925,0.9675,0.775,0.35,0.185,0.0775,0.9025,0.935,0.9175,0.61,0.5125,0.61,0.225,0.07,1,1,1,1,1,1,1,1,
20, 1,0.995,0.68,0.805,0.5425,0.0625,0.0025,0,0.845,0.77,0.5025,0.7675,0.865,0.6075,0.305,0.2575,0.4425,0.7,0.6,0.2225,0.61,0.5,0.255,0.19,0.9475,0.7,0.2,0.64,0.2475,0.225,0.3175,0.1825,1,1,0.9975,0.82,0.355,0.095,0.0175,0.0225,1,1,0.9975,0.8825,0.4825,0.4325,0.105,0.035,0.885,0.6625,0.69,0.9675,0.79,0.41,0.24,0.0575,0.9475,0.9675,0.9225,0.62,0.585,0.48,0.225,0.085,1,1,1,1,1,1,1,1,
30, 1,0.9875,0.725,0.7775,0.6525,0.0375,0.0375,0,0.94,0.785,0.4325,0.7225,0.785,0.625,0.4575,0.26,0.44,0.7725,0.575,0.2125,0.49,0.585,0.22,0.13,0.98,0.685,0.215,0.6225,0.2325,0.1675,0.345,0.23,1,1,1,0.7825,0.425,0.1525,0.0025,0.0775,1,1,0.995,0.9375,0.7275,0.3925,0.1225,0.0775,0.88,0.5925,0.7375,0.935,0.7425,0.49,0.13,0.125,0.975,0.9925,0.9,0.55,0.575,0.385,0.275,0.0675,1,1,1,1,1,1,1,1,
40, 1,0.98,0.8225,0.7725,0.5925,0.0625,0.0125,0,0.84,0.7875,0.5075,0.72,0.79,0.515,0.4975,0.26,0.4475,0.79,0.5525,0.1075,0.4325,0.34,0.2075,0.1725,0.95,0.5875,0.2425,0.6,0.2,0.12,0.305,0.2075,1,1,0.995,0.7,0.3675,0.14,0,0.0375,1,0.9875,1,0.9275,0.7575,0.325,0.04,0.045,0.845,0.6,0.8275,0.95,0.885,0.5225,0.095,0.185,0.9375,1,0.885,0.5325,0.6,0.3975,0.2925,0.155,1,1,1,1,1,1,1,1,
50, 0.9975,0.9425,0.8325,0.795,0.705,0.0675,0,0,0.79,0.705,0.5425,0.8125,0.7225,0.65,0.5775,0.205,0.405,0.885,0.5275,0.125,0.325,0.29,0.155,0.2025,0.9725,0.5525,0.355,0.525,0.365,0.0725,0.4025,0.255,1,1,0.9825,0.6575,0.4475,0.0975,0.0025,0.0325,1,0.9825,0.9825,0.97,0.7925,0.3425,0.0725,0.0225,0.8775,0.6025,0.7425,0.9075,0.8675,0.565,0.1125,0.1675,0.9825,0.9975,0.8725,0.5525,0.4775,0.505,0.2525,0.15,1,1,1,1,1,1,1,1,
60, 1,0.96,0.9125,0.875,0.555,0.0275,0,0,0.7,0.7075,0.6325,0.775,0.8275,0.5825,0.6,0.2175,0.4025,0.745,0.525,0.1475,0.375,0.335,0.1675,0.2325,0.9375,0.6225,0.28,0.5725,0.3575,0.0525,0.3875,0.25,1,1,0.9625,0.72,0.595,0.105,0,0.0175,1,0.99,1,0.9025,0.735,0.3775,0.11,0.08,0.945,0.5675,0.765,0.8575,0.895,0.5325,0.1675,0.16,0.9325,0.9975,0.845,0.41,0.43,0.575,0.22,0.085,1,1,1,1,1,1,1,1,
70, 1,0.985,0.9075,0.82,0.585,0.13,0,0,0.6225,0.6125,0.4475,0.745,0.84,0.67,0.61,0.38,0.49,0.7525,0.6075,0.3075,0.36,0.44,0.26,0.2925,0.8325,0.6,0.29,0.56,0.345,0.0475,0.39,0.2675,1,1,0.99,0.615,0.685,0.1025,0,0.0025,1,1,0.97,0.9,0.7625,0.315,0.1075,0.05,0.9225,0.6125,0.6325,0.89,0.87,0.55,0.2675,0.15,0.93,1,0.845,0.46,0.495,0.545,0.21,0.2575,1,1,1,1,1,1,1,1,
80, 0.9625,0.9625,0.87,0.8025,0.685,0.1,0.005,0,0.7275,0.5425,0.5725,0.76,0.9,0.645,0.67,0.3775,0.4975,0.67,0.61,0.3325,0.2975,0.4325,0.2175,0.295,0.815,0.4675,0.385,0.5275,0.25,0.0125,0.41,0.275,1,1,0.975,0.6175,0.6825,0.2,0,0,1,0.995,0.985,0.9225,0.8125,0.31,0.0475,0.0675,0.8775,0.5975,0.71,0.8275,0.89,0.55,0.2125,0.155,0.8625,0.9825,0.8225,0.5275,0.46,0.53,0.2025,0.2525,1,1,1,1,1,1,1,1,
90, 0.9775,0.9625,0.7275,0.8025,0.7475,0.0925,0.03,0,0.7225,0.4075,0.61,0.7175,0.825,0.74,0.5775,0.345,0.4975,0.6425,0.585,0.245,0.27,0.4425,0.2875,0.3125,0.7875,0.645,0.335,0.545,0.29,0.0125,0.4725,0.3275,1,0.98,0.9225,0.7225,0.605,0.23,0.0325,0,1,1,1,0.95,0.8225,0.41,0.15,0.185,0.88,0.5925,0.735,0.7825,0.86,0.5675,0.19,0.22,0.825,0.9175,0.87,0.5925,0.4625,0.41,0.2925,0.4575,1,1,1,1,1,1,1,1,
