gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, d8W, d9W, d10W, d11W, d12W, d13W, d14W, d15W, d16W, d17W, d18W, d19W, 
0, 1,1,1,1,0.998,0.9885,0.99,0.967,0.9435,0.8845,0.7795,0.6135,0.438,0.277,0.1725,0.1025,0.0505,0.022,0.0105,0.0135,1,0.9995,0.999,0.9955,0.9915,0.989,0.9865,0.965,0.9375,0.861,0.789,0.6615,0.482,0.261,0.1805,0.087,0.0425,0.031,0.0115,0.016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
100, 1,1,1,0.9965,0.999,0.993,0.985,0.9805,0.943,0.891,0.7575,0.6455,0.457,0.2745,0.1455,0.092,0.038,0.021,0.0205,0.012,1,0.998,0.9985,0.9975,0.987,0.9825,0.9675,0.9565,0.947,0.8535,0.7305,0.623,0.4505,0.25,0.1725,0.092,0.0685,0.0335,0.0125,0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
200, 1,1,1,0.9995,1,0.998,0.991,0.9725,0.9295,0.8635,0.7795,0.65,0.481,0.3155,0.1855,0.121,0.063,0.0355,0.009,0.0115,0.998,0.997,0.998,0.999,0.9975,0.984,0.9915,0.959,0.905,0.87,0.729,0.598,0.4665,0.303,0.1825,0.097,0.0535,0.034,0.012,0.0125,0.999895,0.999895,0.999895,0.999895,0.999895,0.999895,0.999895,0.999895,0.999895,0.999895,0.999895,0.999895,0.999895,0.999895,0.999895,0.999895,0.999895,0.999895,0.999895,0.999895,
300, 1,1,0.9995,0.9985,0.9965,0.989,0.9755,0.952,0.9035,0.857,0.781,0.589,0.4725,0.275,0.1555,0.0905,0.036,0.015,0.0075,0.0075,1,1,1,1,1,0.9965,0.995,0.9775,0.95,0.879,0.7875,0.663,0.442,0.28,0.174,0.07,0.0335,0.0185,0.0095,0.0065,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
400, 1,0.9995,0.999,0.997,0.9925,0.9925,0.975,0.9515,0.871,0.819,0.7125,0.4995,0.319,0.1805,0.0875,0.0355,0.027,0.0075,0.0105,0.0035,1,1,1,0.9995,1,0.9965,0.982,0.957,0.9355,0.8525,0.702,0.5355,0.3245,0.187,0.1115,0.062,0.027,0.0135,0.0075,0.0125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
500, 1,1,1,0.999,0.993,0.993,0.974,0.929,0.8685,0.716,0.5955,0.465,0.2675,0.156,0.0735,0.0415,0.0175,0.0025,0.0025,0,1,1,1,0.9975,0.9905,0.98,0.964,0.93,0.884,0.7475,0.636,0.4335,0.287,0.1895,0.12,0.0835,0.0285,0.0195,0.006,0.003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
600, 1,0.9995,0.9985,0.9915,0.979,0.974,0.9415,0.9115,0.8265,0.706,0.5625,0.38,0.3055,0.213,0.115,0.0415,0.013,0.0065,0.0005,0.0005,0.999,0.999,0.997,0.991,0.978,0.967,0.9415,0.9235,0.8135,0.743,0.5965,0.4575,0.318,0.1815,0.116,0.0455,0.0245,0.0065,0.003,0.0005,0.999974,0.999974,0.999974,0.999974,0.999974,0.999974,0.999974,0.999974,0.999974,0.999974,0.999974,0.999974,0.999974,0.999974,0.999974,0.999974,0.999974,0.999974,0.999974,0.999974,
700, 0.993,0.9925,0.996,1,0.998,0.998,0.986,0.96,0.8965,0.784,0.639,0.406,0.251,0.157,0.0505,0.0245,0.0225,0.012,0.0055,0.005,1,1,0.9995,0.991,0.9885,0.9745,0.974,0.9365,0.8925,0.739,0.591,0.391,0.2475,0.144,0.0555,0.0245,0.0295,0.0175,0.014,0.0035,0.999631,0.999631,0.999631,0.999631,0.999631,0.999631,0.999631,0.999631,0.999631,0.999631,0.999631,0.999631,0.999631,0.999631,0.999631,0.999631,0.999631,0.999631,0.999631,0.999631,
800, 0.9895,0.9985,0.9895,0.991,0.9875,0.9665,0.965,0.9445,0.885,0.8075,0.65,0.4325,0.276,0.139,0.061,0.017,0.005,0.0025,0,0.001,1,0.9975,0.9985,0.9915,0.9815,0.9835,0.9625,0.931,0.8745,0.718,0.5605,0.402,0.243,0.134,0.048,0.0285,0.012,0.0125,0.006,0.006,0.999552,0.999552,0.999552,0.999552,0.999552,0.999552,0.999552,0.999552,0.999552,0.999552,0.999552,0.999552,0.999552,0.999552,0.999552,0.999552,0.999552,0.999552,0.999552,0.999552,
900, 1,1,0.9985,0.997,0.9815,0.963,0.941,0.911,0.817,0.682,0.4955,0.357,0.2775,0.114,0.0685,0.033,0.012,0.0045,0.0005,0,0.994,0.9955,0.9995,0.9945,0.991,0.986,0.9785,0.9225,0.8245,0.658,0.5475,0.3995,0.222,0.135,0.0695,0.0355,0.0175,0.0055,0.0015,0.0055,0.999578,0.999578,0.999578,0.999578,0.999578,0.999578,0.999578,0.999578,0.999578,0.999578,0.999578,0.999578,0.999578,0.999578,0.999578,0.999578,0.999578,0.999578,0.999578,0.999578,
