gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, d8W, d9W, d10W, d11W, d12W, d13W, d14W, d15W, d16W, d17W, d18W, d19W, 
0, 0.305,0.3215,0.325,0.355,0.34525,0.37125,0.357,0.33275,0.3405,0.3565,0.39175,0.38125,0.38375,0.38575,0.38075,0.43275,0.42425,0.4185,0.40975,0.4295,0.4915,0.48125,0.45875,0.4475,0.44325,0.475,0.47875,0.49275,0.5075,0.48675,0.4905,0.4625,0.46575,0.4635,0.46875,0.486,0.506,0.495,0.488,0.441,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
100, 0.26825,0.27025,0.2915,0.30875,0.2905,0.3135,0.322,0.31225,0.3625,0.406,0.42,0.39775,0.37975,0.37925,0.402,0.411,0.38975,0.384,0.385,0.34625,0.47175,0.477,0.44875,0.45475,0.484,0.47825,0.464,0.5185,0.495,0.49075,0.48125,0.436,0.47,0.4595,0.518,0.50175,0.51,0.51675,0.5475,0.54775,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
200, 0.21225,0.24,0.20675,0.234,0.24175,0.319,0.3335,0.3545,0.3525,0.3625,0.397,0.43925,0.42225,0.418,0.38725,0.416,0.379,0.353,0.34825,0.33125,0.413,0.3855,0.39675,0.3755,0.372,0.36825,0.40125,0.458,0.458,0.46625,0.49075,0.51775,0.50275,0.4985,0.474,0.48975,0.513,0.5305,0.55575,0.5425,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
300, 0.195,0.2015,0.2355,0.25325,0.285,0.3345,0.362,0.38075,0.38975,0.3845,0.3835,0.39825,0.40225,0.40975,0.40625,0.40425,0.36675,0.42575,0.4055,0.395,0.34525,0.3495,0.37875,0.34625,0.355,0.368,0.319,0.373,0.408,0.43675,0.46925,0.4645,0.47325,0.43325,0.43075,0.444,0.437,0.44375,0.444,0.45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
400, 0.23325,0.2595,0.25425,0.276,0.27975,0.305,0.3195,0.30125,0.3495,0.34575,0.37675,0.38,0.36525,0.397,0.38425,0.40325,0.4035,0.44725,0.47125,0.48825,0.274,0.26225,0.28875,0.283,0.34275,0.37725,0.37625,0.38825,0.4015,0.4345,0.44475,0.441,0.41325,0.447,0.44625,0.4285,0.47525,0.50425,0.4885,0.48975,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
500, 0.2125,0.25725,0.28775,0.29525,0.30525,0.31275,0.3415,0.34,0.35475,0.3685,0.4135,0.42275,0.4125,0.402,0.406,0.38825,0.39575,0.416,0.461,0.47975,0.34025,0.332,0.313,0.332,0.3505,0.35325,0.40025,0.4255,0.407,0.458,0.44025,0.43675,0.44,0.44475,0.4425,0.47975,0.46375,0.4535,0.45175,0.42125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
600, 0.2375,0.279,0.3145,0.3075,0.34075,0.3635,0.415,0.392,0.37275,0.37475,0.40875,0.42775,0.42475,0.40575,0.39925,0.4155,0.459,0.47975,0.47625,0.46775,0.3375,0.34875,0.38875,0.3585,0.363,0.4195,0.43425,0.436,0.45325,0.44675,0.435,0.45925,0.47275,0.446,0.4475,0.45475,0.4945,0.50525,0.50925,0.5055,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
700, 0.24625,0.23175,0.2445,0.28325,0.269,0.30425,0.31825,0.32225,0.3595,0.37875,0.4165,0.41575,0.422,0.43325,0.4245,0.4605,0.4445,0.4235,0.4125,0.39925,0.36975,0.3435,0.35725,0.37025,0.3785,0.3575,0.351,0.378,0.39025,0.37125,0.42075,0.462,0.492,0.49175,0.47975,0.51325,0.55225,0.51975,0.45375,0.4845,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
800, 0.275,0.309,0.29775,0.281,0.2935,0.29075,0.3075,0.33825,0.34,0.37075,0.3675,0.39225,0.34575,0.39575,0.4265,0.4155,0.42275,0.4355,0.448,0.449,0.39875,0.37725,0.36925,0.40125,0.399,0.36525,0.3415,0.34625,0.32175,0.3675,0.40025,0.4225,0.4175,0.42325,0.43025,0.4315,0.42925,0.42225,0.41975,0.42625,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
900, 0.31125,0.2875,0.29,0.3035,0.29275,0.29825,0.30475,0.3295,0.36425,0.4255,0.43825,0.4305,0.42625,0.43175,0.44525,0.4645,0.45475,0.4275,0.44475,0.46825,0.3965,0.379,0.32175,0.3435,0.357,0.36925,0.38675,0.32775,0.339,0.3875,0.3835,0.38525,0.40825,0.4325,0.439,0.44825,0.46175,0.45075,0.52175,0.5085,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
