gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0l2, d1l2, d2l2, d3l2, d4l2, d5l2, d6l2, d7l2, d8l2, d9l2, d10l2, d11l2, d12l2, d13l2, d14l2, d15l2, d16l2, d17l2, d18l2, d19l2, d0l3, d1l3, d2l3, d3l3, d4l3, d5l3, d6l3, d7l3, d8l3, d9l3, d10l3, d11l3, d12l3, d13l3, d14l3, d15l3, d16l3, d17l3, d18l3, d19l3, d0l4, d1l4, d2l4, d3l4, d4l4, d5l4, d6l4, d7l4, d8l4, d9l4, d10l4, d11l4, d12l4, d13l4, d14l4, d15l4, d16l4, d17l4, d18l4, d19l4, d0l5, d1l5, d2l5, d3l5, d4l5, d5l5, d6l5, d7l5, d8l5, d9l5, d10l5, d11l5, d12l5, d13l5, d14l5, d15l5, d16l5, d17l5, d18l5, d19l5, d0l6, d1l6, d2l6, d3l6, d4l6, d5l6, d6l6, d7l6, d8l6, d9l6, d10l6, d11l6, d12l6, d13l6, d14l6, d15l6, d16l6, d17l6, d18l6, d19l6, d0l7, d1l7, d2l7, d3l7, d4l7, d5l7, d6l7, d7l7, d8l7, d9l7, d10l7, d11l7, d12l7, d13l7, d14l7, d15l7, d16l7, d17l7, d18l7, d19l7, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, d8W, d9W, d10W, d11W, d12W, d13W, d14W, d15W, d16W, d17W, d18W, d19W, 
0, 1,1,1,1,1,1,0.99925,0.996,0.94375,0.663,0.24275,0.032,0.0045,0.0005,0,0,0,0,0,0,1,1,1,1,1,1,0.99975,0.9965,0.9415,0.6825,0.2405,0.04075,0.00225,0,0,0,0,0,0,0,1,1,1,1,1,1,0.9995,0.9945,0.946,0.689,0.26975,0.04225,0.00375,0.00025,0,0,0,0,0,0,1,1,1,1,1,1,0.99925,0.9935,0.944,0.683,0.27275,0.048,0.00475,0,0,0,0,0,0,0,1,1,1,1,1,1,0.99925,0.9935,0.948,0.7025,0.27425,0.03375,0.0065,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.99575,0.95025,0.71,0.253,0.045,0.0055,0.00025,0,0,0,0,0,0,1,1,1,1,1,1,0.99925,0.99275,0.943,0.675,0.2855,0.0405,0.00475,0.0005,0,0,0,0,0,0,1,1,1,1,1,1,0.9995,0.99275,0.94675,0.65375,0.25625,0.04025,0.005,0.0015,0.00025,0,0,0,0,0,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,
100, 1,1,1,1,1,1,0.99975,0.9955,0.956,0.67075,0.25375,0.04025,0.00275,0.0005,0,0,0,0,0,0,1,1,1,1,0.99975,1,0.99925,0.9915,0.94625,0.6785,0.262,0.03625,0.00375,0,0.00075,0.0005,0,0,0,0,1,1,1,1,1,1,0.9995,0.9915,0.945,0.6515,0.2595,0.0525,0.00575,0.001,0,0,0,0,0,0,1,1,1,1,1,1,0.999,0.992,0.943,0.67175,0.2595,0.04,0.00475,0.00075,0.00025,0,0,0,0,0,1,1,1,1,1,1,0.99925,0.995,0.95325,0.66825,0.258,0.04525,0.00375,0.0005,0,0,0,0,0,0,1,1,1,1,1,1,0.99925,0.99375,0.9465,0.66375,0.269,0.04175,0.00425,0,0,0,0,0,0,0,1,1,1,1,1,1,0.9995,0.9945,0.94575,0.6855,0.25475,0.0405,0.0055,0.0005,0,0,0,0,0,0,1,1,1,1,1,1,0.999,0.99425,0.951,0.65475,0.2625,0.052,0.005,0,0.00025,0,0,0,0,0,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,
200, 1,1,1,1,1,1,1,0.996,0.9615,0.69075,0.282,0.04625,0.005,0.00025,0,0,0,0,0,0,1,1,1,1,1,1,0.99975,0.99675,0.95975,0.678,0.288,0.04775,0.00575,0.0005,0,0,0,0,0,0,1,1,1,1,1,0.99925,0.9995,0.99775,0.95575,0.68725,0.288,0.0625,0.0065,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.99675,0.9505,0.7165,0.29125,0.04975,0.0045,0,0,0,0,0,0,0,1,1,1,1,1,1,0.99925,0.99775,0.956,0.70325,0.31375,0.04625,0.00725,0.00075,0,0,0,0,0,0,1,1,1,1,1,0.99975,0.99925,0.9955,0.95275,0.71325,0.29925,0.04125,0.00325,0.00025,0,0,0,0,0,0,1,1,1,1,1,0.99975,0.99975,0.996,0.951,0.67225,0.288,0.05,0.0045,0,0,0,0,0,0,0,1,1,1,1,1,1,0.99775,0.9945,0.95125,0.7125,0.30775,0.04975,0.0075,0.00025,0,0,0,0,0,0,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,
300, 1,1,1,1,1,1,0.9995,0.996,0.95625,0.7085,0.272,0.0415,0.003,0.00075,0,0,0,0,0,0,1,1,1,1,1,0.9995,0.99925,0.9925,0.95225,0.7005,0.26425,0.046,0.00425,0.00025,0,0,0,0,0,0,1,1,1,1,1,1,0.9995,0.993,0.94725,0.7095,0.28775,0.0525,0.00475,0,0,0,0,0,0,0,1,1,1,1,1,1,0.99975,0.99475,0.9425,0.66375,0.29125,0.0495,0.00575,0.0005,0.00025,0,0,0,0,0,1,1,1,1,1,1,1,0.992,0.952,0.6945,0.281,0.04775,0.0055,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.9935,0.9495,0.699,0.2825,0.0405,0.00375,0.00025,0,0,0,0,0,0,1,1,1,1,1,1,0.99975,0.99475,0.9395,0.676,0.2875,0.05175,0.008,0.00075,0,0,0,0,0,0,1,1,1,1,1,1,0.99975,0.9925,0.94525,0.674,0.28175,0.04825,0.0085,0.00075,0,0,0,0,0,0,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,
400, 1,1,1,1,1,1,1,0.9965,0.9525,0.6825,0.27625,0.041,0.0035,0,0,0,0,0,0,0,1,1,1,1,1,1,0.999,0.99725,0.9555,0.68525,0.2775,0.03675,0.006,0,0,0,0,0,0,0,1,1,1,1,1,1,0.99875,0.996,0.94725,0.6555,0.26775,0.03875,0.0065,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.994,0.95625,0.70525,0.28,0.04475,0.006,0.0005,0,0,0,0,0,0,1,1,1,1,1,1,0.99925,0.9925,0.95125,0.6955,0.2805,0.0395,0.00125,0.00075,0.0005,0,0,0,0,0,1,1,1,1,1,1,0.99925,0.98975,0.95325,0.685,0.26025,0.0385,0.0015,0.0005,0,0,0,0,0,0,1,1,1,1,1,1,0.9995,0.9945,0.94675,0.668,0.2775,0.0395,0.00575,0.00025,0,0,0,0,0,0,1,1,1,1,1,0.99925,1,0.99325,0.939,0.65525,0.2565,0.0335,0.0035,0.00025,0,0,0,0,0,0,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,
500, 1,1,1,1,1,1,1,0.99425,0.9455,0.662,0.23675,0.0395,0.00375,0,0,0,0,0,0,0,1,1,1,1,1,0.99975,0.9985,0.9925,0.94875,0.67225,0.25525,0.042,0.006,0.0005,0,0,0,0,0,0,1,1,1,1,1,0.99975,0.99925,0.9945,0.9495,0.66175,0.26375,0.05175,0.0035,0.0005,0,0.00025,0,0,0,0,1,1,1,1,1,1,0.9995,0.99525,0.94375,0.6935,0.2755,0.0475,0.00425,0.00075,0,0,0,0,0,0,1,1,1,1,1,1,0.9995,0.993,0.9455,0.683,0.27075,0.04475,0.004,0.0005,0,0,0,0,0,0,1,1,1,1,1,1,0.99975,0.996,0.9425,0.6785,0.27375,0.052,0.0065,0.0005,0,0,0,0,0,0,1,1,1,1,1,0.99975,0.99925,0.99175,0.94325,0.6925,0.2755,0.05,0.005,0.00075,0,0,0,0,0,0,1,1,1,1,1,0.99925,0.9995,0.99175,0.93175,0.659,0.24975,0.04425,0.00375,0,0,0,0,0,0,0,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,
600, 1,1,1,1,1,1,0.9995,0.9965,0.95175,0.6735,0.279,0.0485,0.00575,0,0,0,0,0,0,0,1,1,1,1,1,1,0.99975,0.9945,0.95125,0.69525,0.31075,0.05025,0.00625,0.00125,0,0,0,0,0,0,1,1,1,1,1,1,0.9985,0.99475,0.9555,0.69525,0.2885,0.05325,0.00675,0,0,0,0,0,0,0,1,1,1,1,1,1,0.99925,0.995,0.94525,0.65525,0.31325,0.0585,0.00825,0.0015,0,0,0,0,0,0,1,1,1,1,1,1,0.99925,0.997,0.94675,0.65575,0.27525,0.05275,0.00525,0.00075,0,0,0,0,0,0,1,1,1,1,1,1,0.999,0.9925,0.94775,0.675,0.29075,0.05,0.00575,0.001,0,0,0,0,0,0,1,1,1,1,1,0.99975,0.99925,0.9925,0.94175,0.6665,0.28075,0.05225,0.00475,0.0005,0,0,0,0,0,0,1,1,1,1,1,1,0.99825,0.99475,0.94575,0.68675,0.29375,0.0495,0.006,0.00025,0,0,0,0,0,0,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,
700, 1,1,1,1,1,1,0.99975,0.99475,0.94725,0.6965,0.29125,0.044,0.006,0.00025,0,0,0,0,0,0,1,1,1,1,1,1,1,0.99425,0.95375,0.67325,0.29775,0.044,0.008,0.00075,0,0,0,0,0,0,1,1,1,1,1,1,1,0.99675,0.94675,0.6765,0.31,0.06675,0.00775,0.002,0.0005,0,0,0,0,0,1,1,1,1,1,1,0.999,0.9955,0.9455,0.7,0.3065,0.049,0.0045,0.00025,0,0,0,0,0,0,1,1,1,1,1,1,0.99975,0.9975,0.9515,0.707,0.304,0.049,0.009,0,0,0,0,0,0,0,1,1,1,1,1,1,0.99875,0.99325,0.9475,0.6795,0.3055,0.04775,0.00575,0.0005,0,0,0,0,0,0,1,1,1,1,1,0.9995,0.99825,0.995,0.94025,0.67525,0.31475,0.05,0.008,0.001,0.00025,0,0,0,0,0,1,1,1,1,1,1,1,0.993,0.94525,0.68325,0.28325,0.04675,0.0075,0.0005,0,0,0,0,0,0,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,
800, 1,1,1,1,1,1,1,0.9955,0.96325,0.737,0.29075,0.0435,0.00425,0.0005,0,0,0,0,0,0,1,1,1,1,1,1,0.99925,0.9955,0.955,0.73475,0.3315,0.05325,0.00625,0,0,0,0,0,0,0,1,1,1,1,0.99975,1,0.99975,0.99475,0.95375,0.716,0.3085,0.046,0.0075,0.00125,0,0,0,0,0,0,1,1,1,1,1,0.99975,0.9995,0.99475,0.9555,0.707,0.29175,0.05025,0.0055,0.001,0,0,0,0,0,0,1,1,1,1,1,1,0.99925,0.992,0.93975,0.7365,0.28,0.04425,0.00375,0.00125,0.00025,0,0,0,0,0,1,1,1,1,1,1,0.9995,0.99525,0.95225,0.7335,0.2945,0.04375,0.00375,0.00025,0,0,0,0,0,0,1,1,1,1,1,1,1,0.99475,0.9555,0.68975,0.2945,0.04475,0.0035,0.00225,0.00025,0,0,0,0,0,1,1,1,1,1,1,0.9995,0.9935,0.947,0.73025,0.30375,0.05,0.007,0.0015,0.00025,0,0,0,0,0,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,
900, 1,1,1,1,1,0.9995,1,0.99625,0.95575,0.7165,0.28575,0.03525,0.0025,0,0,0,0,0,0,0,1,1,1,1,1,1,0.99975,0.99625,0.96425,0.723,0.27925,0.03625,0.00275,0,0,0,0,0,0,0,1,1,1,1,1,0.99975,1,0.99475,0.95525,0.73475,0.31,0.03875,0.00475,0,0,0,0,0,0,0,1,1,1,1,1,1,0.9995,0.997,0.95475,0.71525,0.3055,0.0465,0.00625,0.00075,0.00075,0.00025,0,0,0,0,1,1,1,1,1,1,0.99975,0.9965,0.95425,0.71725,0.2955,0.039,0.0035,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.99525,0.95875,0.74675,0.32425,0.05825,0.003,0,0,0,0,0,0,0,1,1,1,1,1,0.9995,1,0.996,0.9565,0.71025,0.302,0.0575,0.007,0.0005,0,0,0,0,0,0,1,1,1,1,1,1,0.9995,0.99375,0.95525,0.71125,0.29775,0.04425,0.0045,0.00075,0.0005,0,0,0,0,0,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,0.994947,
