gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, d8W, d9W, d10W, d11W, d12W, d13W, d14W, d15W, d16W, d17W, d18W, d19W, 
0, 0.99975,0.9995,0.99775,0.99,0.96375,0.87575,0.6835,0.4355,0.20175,0.0805,0.025,0.00425,0.001,0.00025,0.00025,0,0,0,0,0,1,0.99975,0.9985,0.99175,0.95725,0.876,0.682,0.43425,0.204,0.0815,0.0195,0.0035,0.0015,0.00025,0,0,0,0,0,0,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,
100, 1,0.99975,0.997,0.98475,0.9485,0.8515,0.65425,0.412,0.197,0.06925,0.021,0.0055,0.0015,0,0,0,0,0,0,0,1,0.999,0.9975,0.98825,0.95375,0.85375,0.65925,0.4035,0.19275,0.0675,0.017,0.00475,0.001,0,0,0,0,0,0,0,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,
200, 0.99975,0.99925,0.9965,0.987,0.95475,0.861,0.7,0.445,0.23675,0.083,0.02325,0.00625,0.00225,0.0005,0.00025,0,0,0,0,0,0.9995,0.99925,0.9975,0.988,0.954,0.86425,0.696,0.43325,0.2355,0.08,0.02425,0.004,0.00075,0.00025,0,0,0,0,0,0,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,
300, 0.99975,0.9995,0.99725,0.99,0.96475,0.88925,0.70875,0.482,0.24225,0.098,0.02975,0.008,0.002,0.0005,0,0,0,0,0,0,0.99975,0.99925,0.99775,0.98925,0.967,0.88125,0.7125,0.4755,0.23875,0.087,0.02325,0.008,0.001,0,0,0,0,0,0,0,0.999191,0.999191,0.999191,0.999191,0.999191,0.999191,0.999191,0.999191,0.999191,0.999191,0.999191,0.999191,0.999191,0.999191,0.999191,0.999191,0.999191,0.999191,0.999191,0.999191,
400, 1,1,0.9975,0.992,0.9715,0.894,0.7275,0.493,0.2615,0.09625,0.03825,0.00675,0.00125,0.00075,0,0,0,0,0,0,1,1,0.99825,0.98975,0.96825,0.892,0.72,0.497,0.25775,0.10975,0.03475,0.00875,0.00075,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
500, 0.99975,0.99975,0.99825,0.9915,0.966,0.8925,0.73575,0.507,0.26775,0.105,0.03175,0.01125,0.00075,0,0,0,0,0,0,0,1,0.99975,0.999,0.991,0.96425,0.89675,0.743,0.51025,0.27,0.1065,0.03625,0.0095,0.0025,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
600, 1,0.99975,0.99925,0.9905,0.96975,0.912,0.77075,0.54925,0.2945,0.13225,0.039,0.00825,0.0015,0,0.00025,0,0,0,0,0,1,1,0.99975,0.9925,0.97125,0.9015,0.7725,0.548,0.2995,0.12525,0.0395,0.01075,0.00175,0.0005,0,0,0,0,0,0,0.999461,0.999461,0.999461,0.999461,0.999461,0.999461,0.999461,0.999461,0.999461,0.999461,0.999461,0.999461,0.999461,0.999461,0.999461,0.999461,0.999461,0.999461,0.999461,0.999461,
700, 0.99975,1,0.99925,0.9955,0.96625,0.892,0.7305,0.50625,0.257,0.10625,0.038,0.01025,0.0015,0.0005,0,0,0,0,0,0,0.99975,0.99975,0.9995,0.9945,0.96475,0.8995,0.746,0.5065,0.245,0.1035,0.03275,0.01025,0.001,0.0005,0,0.00025,0,0,0,0,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,
800, 0.9995,0.9995,0.9975,0.9895,0.9705,0.88475,0.69125,0.438,0.22175,0.092,0.026,0.008,0.002,0.00075,0,0,0,0,0,0,0.999,0.99825,0.99725,0.99025,0.96125,0.87575,0.69425,0.42875,0.229,0.0805,0.025,0.0055,0.00225,0.001,0,0,0,0,0,0,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,
900, 0.99975,0.99925,0.998,0.9885,0.9515,0.872,0.69375,0.436,0.20525,0.08125,0.0285,0.01225,0.00275,0.0005,0.00075,0,0,0,0,0,1,0.9995,0.99725,0.99,0.955,0.86575,0.6845,0.427,0.216,0.0865,0.0315,0.01075,0.0035,0.00075,0.00075,0.00025,0.00025,0,0,0,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,
