gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, d8W, d9W, d10W, d11W, d12W, d13W, d14W, d15W, d16W, d17W, d18W, d19W, 
0, 1,1,1,1,1,1,1,0.9975,0.985,0.915,0.4475,0.1425,0.0225,0.0025,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.9825,0.9175,0.575,0.22,0.0325,0.01,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
100, 1,1,1,1,1,1,1,1,0.985,0.8525,0.485,0.0975,0.01,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.9975,0.9975,0.88,0.545,0.0925,0.01,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
200, 1,1,1,1,1,1,1,0.9975,0.9525,0.8,0.4025,0.1125,0.0225,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.9825,0.8175,0.4375,0.0775,0.03,0.0025,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
300, 1,1,1,1,1,1,1,1,0.9725,0.8725,0.445,0.11,0.0225,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.99,0.82,0.4425,0.1175,0.015,0.0025,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
400, 1,1,1,1,1,1,0.9975,1,0.9925,0.905,0.5625,0.1575,0.015,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.9925,0.875,0.5525,0.175,0.0425,0.0025,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
500, 1,1,1,1,1,1,1,1,0.97,0.855,0.6075,0.125,0.0075,0.0025,0,0,0,0,0,0,1,1,1,1,1,1,1,0.9875,0.9725,0.8875,0.57,0.1225,0.0125,0.005,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
600, 1,1,1,1,1,1,1,1,0.9875,0.8625,0.52,0.1425,0.0125,0.005,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.99,0.85,0.4925,0.1775,0.02,0.0025,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
700, 1,1,1,1,1,1,1,0.9925,0.9825,0.8975,0.5725,0.1425,0.03,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.9925,0.9,0.54,0.18,0.035,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
800, 1,1,1,1,1,1,1,1,0.995,0.9425,0.665,0.1475,0.0275,0.025,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.9825,0.965,0.6925,0.185,0.0525,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
900, 1,1,1,1,1,1,1,1,0.985,0.8225,0.485,0.175,0.03,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.995,0.97,0.8125,0.5275,0.1425,0.03,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
