gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, d8W, d9W, d10W, d11W, d12W, d13W, d14W, d15W, d16W, d17W, d18W, d19W, 
0, 1,1,1,1,1,1,0.9975,0.9675,0.795,0.445,0.0675,0.01,0.0025,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.9825,0.85,0.415,0.0875,0.0125,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
100, 1,1,1,1,1,1,1,0.94,0.76,0.3175,0.085,0.0075,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.98,0.845,0.26,0.055,0.005,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
200, 1,1,1,1,1,1,1,0.9825,0.845,0.39,0.13,0.0425,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.97,0.81,0.405,0.1125,0.035,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
300, 1,1,1,1,1,1,0.9975,0.9925,0.8825,0.4575,0.1,0.015,0.005,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.985,0.8625,0.405,0.11,0.0075,0.01,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
400, 1,1,1,1,1,1,0.9975,0.9525,0.8075,0.3375,0.07,0.0075,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.9525,0.805,0.355,0.0975,0.01,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
500, 1,1,1,1,1,1,0.9975,0.9825,0.8825,0.54,0.14,0.0175,0.005,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.915,0.535,0.1775,0.03,0.0025,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
600, 1,1,1,1,1,1,0.99,0.9825,0.8525,0.405,0.06,0.01,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.9825,0.845,0.395,0.055,0.01,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
700, 1,1,1,1,1,1,1,0.9625,0.7625,0.3575,0.0925,0.01,0.0025,0,0,0,0,0,0,0,1,1,1,1,1,1,0.9975,0.985,0.8375,0.355,0.1025,0.0125,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
800, 1,1,1,1,1,1,0.9875,0.9425,0.72,0.25,0.07,0.015,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.985,0.91,0.7175,0.27,0.0375,0.005,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
900, 1,1,1,1,1,1,0.9925,0.9775,0.8175,0.29,0.0675,0.02,0.0025,0,0,0,0,0,0,0,1,1,1,1,1,1,0.9925,0.9775,0.765,0.32,0.0525,0.005,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
