gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, d8W, d9W, d10W, d11W, d12W, d13W, d14W, d15W, d16W, d17W, d18W, d19W, 
0, 1,1,1,1,1,0.9975,0.9975,0.8575,0.2375,0.02,0.0025,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.9975,0.8425,0.265,0.0125,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
100, 1,1,1,1,1,1,0.9725,0.805,0.295,0.0125,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.965,0.7525,0.3,0.035,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
200, 1,1,1,1,1,0.9925,0.95,0.72,0.165,0.0075,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.9925,0.9325,0.6725,0.1575,0.025,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
300, 1,1,1,1,1,0.9875,0.98,0.7275,0.2275,0.02,0.0025,0,0,0,0,0,0,0,0,0,1,1,1,1,0.9975,0.9975,0.96,0.735,0.22,0.0275,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
400, 1,1,1,1,1,0.9975,0.9225,0.63,0.1375,0.0125,0.0025,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.9925,0.9375,0.69,0.17,0.01,0.0025,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
500, 1,1,1,1,1,0.9925,0.9525,0.65,0.145,0.015,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.9625,0.6725,0.1425,0.03,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
600, 1,1,1,1,1,0.9925,0.96,0.795,0.2975,0.0325,0.0025,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.9925,0.9725,0.79,0.335,0.0275,0.005,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
700, 1,1,1,1,1,1,0.965,0.7325,0.1825,0.015,0.0075,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.9925,0.9625,0.7425,0.2,0.01,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
800, 1,1,1,1,1,0.9975,0.9625,0.705,0.1625,0.015,0.0025,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.9775,0.745,0.1875,0.035,0.0025,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
900, 1,1,1,1,1,1,0.9675,0.6625,0.175,0.03,0.0025,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.9575,0.73,0.1825,0.03,0.005,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
