gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, d8W, d9W, d10W, d11W, d12W, d13W, d14W, d15W, d16W, d17W, d18W, d19W, 
0, 0.72,0.7175,0.7675,0.7375,0.7675,0.775,0.74,0.745,0.7825,0.6375,0.625,0.6275,0.63,0.67,0.6675,0.56,0.455,0.42,0.395,0.4675,0.7775,0.755,0.7575,0.7825,0.765,0.7875,0.6325,0.7125,0.805,0.825,0.7775,0.725,0.72,0.5825,0.5825,0.595,0.62,0.56,0.6175,0.515,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
100, 0.8925,0.89,0.935,0.9125,0.895,0.89,0.925,0.8575,0.7925,0.73,0.7575,0.7825,0.67,0.6775,0.6725,0.6,0.48,0.4325,0.3675,0.2475,0.79,0.7275,0.7475,0.7825,0.765,0.625,0.6975,0.7075,0.6775,0.6675,0.7025,0.785,0.71,0.6325,0.66,0.5625,0.645,0.655,0.6525,0.64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
200, 0.85,0.945,0.9325,0.92,0.9175,0.8425,0.93,0.895,0.8425,0.8475,0.82,0.68,0.6025,0.6075,0.705,0.6925,0.635,0.5475,0.5075,0.515,0.935,0.82,0.75,0.755,0.72,0.755,0.675,0.685,0.6625,0.6775,0.7025,0.5975,0.5425,0.545,0.5125,0.6425,0.5775,0.545,0.695,0.645,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
300, 0.975,0.9525,0.9325,0.89,0.8275,0.7725,0.8225,0.85,0.94,0.8775,0.7675,0.7325,0.675,0.675,0.6825,0.63,0.545,0.3975,0.41,0.3725,0.6775,0.68,0.77,0.745,0.76,0.655,0.59,0.6175,0.57,0.4975,0.6125,0.4675,0.57,0.59,0.535,0.5,0.605,0.6975,0.5925,0.655,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
400, 0.9325,0.955,0.9425,0.8875,0.81,0.7775,0.845,0.915,0.95,0.905,0.945,0.76,0.7475,0.6975,0.6875,0.65,0.48,0.405,0.34,0.39,0.7025,0.7625,0.6325,0.6775,0.5575,0.5675,0.5625,0.47,0.5825,0.595,0.54,0.5475,0.605,0.6075,0.6975,0.7075,0.4625,0.4125,0.3475,0.265,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
500, 0.775,0.7825,0.83,0.8075,0.7775,0.83,0.7925,0.79,0.805,0.7725,0.745,0.8775,0.8675,0.765,0.69,0.5175,0.5425,0.415,0.36,0.38,0.735,0.5625,0.6225,0.585,0.675,0.6475,0.6825,0.6,0.615,0.5125,0.505,0.5375,0.535,0.515,0.64,0.62,0.49,0.5325,0.47,0.465,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
600, 0.78,0.6975,0.7925,0.8875,0.8575,0.8975,0.9025,0.9125,0.9,0.88,0.825,0.8175,0.7875,0.71,0.5475,0.645,0.405,0.2875,0.29,0.3125,0.505,0.465,0.4425,0.4675,0.6025,0.5825,0.55,0.495,0.5375,0.5175,0.485,0.5675,0.6575,0.55,0.5825,0.565,0.63,0.58,0.4525,0.5025,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
700, 0.7975,0.8075,0.8675,0.8875,0.88,0.8775,0.9125,0.88,0.89,0.9325,0.93,0.9225,0.855,0.78,0.7375,0.7275,0.535,0.395,0.4075,0.3175,0.4975,0.6075,0.5525,0.615,0.6375,0.585,0.52,0.4325,0.47,0.6475,0.525,0.6325,0.6925,0.66,0.605,0.6225,0.7475,0.66,0.7125,0.6775,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
800, 0.9325,0.96,0.94,0.96,0.945,0.9375,0.97,0.9,0.87,0.8325,0.8125,0.835,0.8,0.82,0.7425,0.7875,0.6725,0.55,0.53,0.3975,0.42,0.5175,0.5475,0.5825,0.6,0.575,0.545,0.585,0.535,0.5175,0.655,0.6675,0.655,0.685,0.775,0.785,0.6325,0.6275,0.7275,0.725,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
900, 0.955,0.92,0.98,0.9675,0.955,0.9125,0.965,0.96,0.9425,0.9,0.795,0.8325,0.8025,0.7725,0.6025,0.6075,0.575,0.535,0.5675,0.5025,0.44,0.545,0.535,0.4575,0.55,0.5325,0.5925,0.5775,0.625,0.6,0.7475,0.8125,0.7,0.775,0.6825,0.6925,0.9025,0.8875,0.85,0.8325,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
