gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, d8W, d9W, d10W, d11W, d12W, d13W, d14W, d15W, d16W, d17W, d18W, d19W, 
0, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2625,0.2375,0.255,0.2625,0.27,0.3525,0.4125,0.535,0.58,0.665,0.665,0.5025,0.49,0.515,0.5325,0.4925,0.47,0.4,0.3375,0.34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
100, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2175,0.205,0.2425,0.2825,0.4125,0.3325,0.29,0.2625,0.3125,0.3675,0.36,0.325,0.3375,0.2425,0.3425,0.3075,0.3225,0.325,0.345,0.3775,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
200, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.36,0.4125,0.3575,0.465,0.2925,0.2875,0.33,0.26,0.2775,0.2,0.2775,0.3475,0.2425,0.285,0.2825,0.2125,0.295,0.3825,0.4425,0.46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
300, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5975,0.5025,0.59,0.315,0.2425,0.325,0.22,0.1,0.1025,0.07,0.1275,0.1575,0.16,0.1825,0.2275,0.22,0.275,0.37,0.465,0.525,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
400, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3775,0.3525,0.3525,0.365,0.365,0.3425,0.3075,0.29,0.165,0.1425,0.1575,0.0975,0.075,0.0575,0.0525,0.055,0.1025,0.1025,0.3275,0.3125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
500, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4925,0.3775,0.31,0.3,0.2525,0.245,0.295,0.3625,0.365,0.2425,0.2275,0.205,0.2,0.1225,0.105,0.135,0.0825,0.1275,0.095,0.0625,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
600, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.27,0.2875,0.345,0.355,0.465,0.4025,0.36,0.255,0.2475,0.22,0.155,0.2,0.33,0.2025,0.115,0.2125,0.22,0.1925,0.195,0.2475,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
700, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4425,0.4275,0.4575,0.395,0.2725,0.44,0.495,0.46,0.345,0.2525,0.1925,0.0725,0.175,0.1525,0.2075,0.17,0.185,0.235,0.17,0.23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
800, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5075,0.4575,0.3425,0.285,0.1875,0.1075,0.165,0.25,0.325,0.2225,0.24,0.2225,0.2125,0.295,0.1675,0.195,0.2575,0.2325,0.215,0.3125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
900, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.315,0.2375,0.225,0.1925,0.2175,0.165,0.12,0.1325,0.1525,0.2275,0.11,0.165,0.225,0.2425,0.195,0.255,0.3225,0.3375,0.2025,0.21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
