gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0l2, d1l2, d2l2, d3l2, d4l2, d5l2, d6l2, d7l2, d8l2, d9l2, d10l2, d11l2, d12l2, d13l2, d14l2, d15l2, d16l2, d17l2, d18l2, d19l2, d0l3, d1l3, d2l3, d3l3, d4l3, d5l3, d6l3, d7l3, d8l3, d9l3, d10l3, d11l3, d12l3, d13l3, d14l3, d15l3, d16l3, d17l3, d18l3, d19l3, d0l4, d1l4, d2l4, d3l4, d4l4, d5l4, d6l4, d7l4, d8l4, d9l4, d10l4, d11l4, d12l4, d13l4, d14l4, d15l4, d16l4, d17l4, d18l4, d19l4, d0l5, d1l5, d2l5, d3l5, d4l5, d5l5, d6l5, d7l5, d8l5, d9l5, d10l5, d11l5, d12l5, d13l5, d14l5, d15l5, d16l5, d17l5, d18l5, d19l5, d0l6, d1l6, d2l6, d3l6, d4l6, d5l6, d6l6, d7l6, d8l6, d9l6, d10l6, d11l6, d12l6, d13l6, d14l6, d15l6, d16l6, d17l6, d18l6, d19l6, d0l7, d1l7, d2l7, d3l7, d4l7, d5l7, d6l7, d7l7, d8l7, d9l7, d10l7, d11l7, d12l7, d13l7, d14l7, d15l7, d16l7, d17l7, d18l7, d19l7, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, d8W, d9W, d10W, d11W, d12W, d13W, d14W, d15W, d16W, d17W, d18W, d19W, 
0, 0.845,0.8425,0.925,0.88,0.8325,0.7475,0.8175,0.8525,0.7875,0.7875,0.735,0.7425,0.75,0.7575,0.71,0.7425,0.72,0.6775,0.745,0.8025,0.86,0.84,0.8825,0.86,0.8725,0.88,0.9625,0.9175,0.86,0.775,0.72,0.785,0.845,0.9075,0.8125,0.79,0.77,0.8,0.635,0.6275,0.2775,0.41,0.3075,0.455,0.345,0.4,0.3825,0.48,0.4875,0.4225,0.3,0.235,0.145,0.085,0.1775,0.1225,0.145,0.075,0.12,0.175,0.4225,0.34,0.435,0.465,0.335,0.2075,0.2325,0.2,0.19,0.2725,0.2825,0.3825,0.465,0.4025,0.3675,0.455,0.41,0.3675,0.2925,0.3375,0.7425,0.795,0.7325,0.7375,0.7125,0.56,0.5675,0.55,0.3475,0.435,0.4575,0.4175,0.51,0.495,0.34,0.4725,0.6075,0.52,0.42,0.4425,0.625,0.6525,0.465,0.4725,0.5025,0.44,0.5525,0.475,0.3625,0.2725,0.225,0.315,0.3925,0.4575,0.31,0.2375,0.3725,0.25,0.1225,0.1475,0.58,0.6275,0.5575,0.4825,0.3675,0.295,0.28,0.325,0.3675,0.435,0.5125,0.68,0.705,0.515,0.5025,0.58,0.4475,0.515,0.5675,0.525,0.305,0.2875,0.2,0.1925,0.2525,0.32,0.3375,0.3125,0.19,0.2725,0.305,0.2475,0.195,0.255,0.25,0.235,0.2175,0.15,0.0925,0.1,0.998835,0.998835,0.998835,0.998835,0.998835,0.998835,0.998835,0.998835,0.998835,0.998835,0.998835,0.998835,0.998835,0.998835,0.998835,0.998835,0.998835,0.998835,0.998835,0.998835,
100, 0.9175,0.9125,0.815,0.79,0.8175,0.86,0.7775,0.8225,0.8775,0.7925,0.74,0.75,0.75,0.745,0.8225,0.8675,0.895,0.8425,0.7925,0.765,0.6825,0.6825,0.6375,0.71,0.7475,0.8175,0.7775,0.75,0.745,0.8075,0.88,0.915,0.8,0.85,0.835,0.9175,0.9125,0.865,0.805,0.8275,0.3125,0.2875,0.1975,0.235,0.25,0.33,0.39,0.3325,0.4175,0.5725,0.485,0.415,0.39,0.36,0.2825,0.2575,0.1525,0.115,0.1425,0.1825,0.4025,0.4525,0.27,0.2825,0.3425,0.39,0.3175,0.3675,0.275,0.255,0.23,0.2625,0.3225,0.2575,0.315,0.245,0.2425,0.15,0.21,0.2025,0.55,0.6325,0.61,0.7075,0.68,0.6375,0.7125,0.6525,0.575,0.4825,0.4,0.4325,0.365,0.395,0.505,0.4975,0.555,0.5725,0.5375,0.5525,0.4775,0.52,0.5025,0.49,0.4375,0.4325,0.3275,0.4225,0.3025,0.3875,0.3925,0.4075,0.4575,0.4575,0.3775,0.385,0.33,0.225,0.2225,0.19,0.575,0.565,0.465,0.3875,0.41,0.45,0.435,0.515,0.6825,0.5025,0.6325,0.65,0.6575,0.6075,0.615,0.5375,0.645,0.65,0.635,0.6,0.33,0.295,0.375,0.3425,0.3175,0.3525,0.325,0.2525,0.2575,0.265,0.225,0.16,0.205,0.1125,0.13,0.14,0.1775,0.2325,0.285,0.295,0.998825,0.998825,0.998825,0.998825,0.998825,0.998825,0.998825,0.998825,0.998825,0.998825,0.998825,0.998825,0.998825,0.998825,0.998825,0.998825,0.998825,0.998825,0.998825,0.998825,
200, 0.7575,0.7375,0.7675,0.6825,0.7625,0.7675,0.825,0.815,0.815,0.795,0.8075,0.7275,0.74,0.7425,0.775,0.785,0.81,0.7475,0.6425,0.6875,0.72,0.655,0.6825,0.705,0.795,0.8775,0.9025,0.835,0.8575,0.8075,0.7625,0.7625,0.75,0.81,0.81,0.925,0.82,0.78,0.855,0.7525,0.445,0.2375,0.3225,0.2775,0.2225,0.28,0.2525,0.3175,0.3325,0.2925,0.27,0.195,0.235,0.3025,0.31,0.34,0.25,0.245,0.155,0.175,0.075,0.1375,0.21,0.2525,0.36,0.4625,0.475,0.4625,0.44,0.405,0.2675,0.29,0.285,0.3925,0.3925,0.3,0.285,0.3225,0.3825,0.3325,0.5425,0.615,0.6125,0.66,0.71,0.5175,0.4125,0.3875,0.3,0.3375,0.48,0.5075,0.4875,0.6875,0.58,0.515,0.5525,0.625,0.625,0.5775,0.4225,0.5675,0.61,0.5675,0.615,0.49,0.4725,0.3875,0.4125,0.3175,0.34,0.35,0.385,0.3975,0.37,0.3925,0.27,0.2075,0.25,0.2075,0.4225,0.4025,0.4525,0.4925,0.5275,0.525,0.4975,0.56,0.455,0.4625,0.5175,0.625,0.66,0.6825,0.635,0.6525,0.715,0.6425,0.7325,0.68,0.415,0.36,0.3225,0.3175,0.345,0.37,0.2975,0.23,0.19,0.155,0.08,0.1625,0.1475,0.0825,0.0825,0.11,0.15,0.06,0.0475,0.1,0.999067,0.999067,0.999067,0.999067,0.999067,0.999067,0.999067,0.999067,0.999067,0.999067,0.999067,0.999067,0.999067,0.999067,0.999067,0.999067,0.999067,0.999067,0.999067,0.999067,
300, 0.8725,0.8725,0.8825,0.8125,0.8725,0.8825,0.8575,0.8575,0.7925,0.7675,0.85,0.8475,0.8125,0.8,0.785,0.8175,0.7725,0.68,0.755,0.7625,0.825,0.7875,0.7275,0.7975,0.8675,0.8775,0.85,0.8825,0.855,0.74,0.8375,0.8275,0.7025,0.78,0.805,0.825,0.8675,0.9075,0.955,0.9675,0.19,0.13,0.1,0.0375,0.1875,0.22,0.25,0.245,0.22,0.14,0.1325,0.1125,0.19,0.16,0.2075,0.2975,0.435,0.4325,0.24,0.19,0.4425,0.44,0.5675,0.375,0.2325,0.2775,0.385,0.34,0.55,0.5425,0.4175,0.5075,0.4825,0.55,0.525,0.485,0.5325,0.4625,0.4025,0.375,0.7375,0.7425,0.735,0.7425,0.5675,0.5175,0.39,0.4,0.3275,0.4025,0.445,0.3475,0.445,0.4,0.3925,0.5725,0.455,0.43,0.5125,0.51,0.7125,0.67,0.7025,0.7075,0.635,0.395,0.3925,0.3925,0.52,0.55,0.53,0.465,0.3875,0.285,0.19,0.1,0.12,0.1625,0.26,0.2775,0.3775,0.3875,0.4375,0.4975,0.65,0.515,0.5075,0.45,0.5275,0.51,0.575,0.6075,0.635,0.64,0.655,0.6325,0.68,0.73,0.835,0.78,0.4425,0.4325,0.385,0.4125,0.37,0.3575,0.27,0.2175,0.2575,0.1725,0.1925,0.2,0.0575,0.06,0.1,0.18,0.1175,0.15,0.1375,0.1825,0.998748,0.998748,0.998748,0.998748,0.998748,0.998748,0.998748,0.998748,0.998748,0.998748,0.998748,0.998748,0.998748,0.998748,0.998748,0.998748,0.998748,0.998748,0.998748,0.998748,
400, 0.785,0.8025,0.7425,0.6975,0.7325,0.7525,0.7875,0.7925,0.795,0.78,0.8,0.7775,0.695,0.555,0.6725,0.8125,0.7975,0.6675,0.66,0.7175,0.7375,0.7425,0.7825,0.855,0.8875,0.8525,0.9,0.9225,0.83,0.825,0.82,0.87,0.8825,0.8775,0.87,0.89,0.8625,0.8225,0.845,0.905,0.29,0.195,0.345,0.3575,0.2825,0.2075,0.245,0.295,0.115,0.13,0.1525,0.235,0.14,0.155,0.19,0.255,0.3775,0.3875,0.4225,0.4275,0.4625,0.4675,0.4425,0.4025,0.32,0.4875,0.5,0.435,0.4475,0.535,0.5675,0.45,0.5125,0.485,0.51,0.3475,0.305,0.2825,0.32,0.3275,0.535,0.5275,0.5025,0.6075,0.6825,0.6775,0.5475,0.4625,0.55,0.5225,0.48,0.2825,0.3875,0.46,0.36,0.41,0.5475,0.6825,0.7075,0.625,0.765,0.76,0.665,0.64,0.675,0.72,0.6675,0.64,0.6525,0.505,0.4625,0.4125,0.235,0.2775,0.225,0.195,0.18,0.24,0.3175,0.24,0.645,0.5475,0.4,0.46,0.4725,0.4575,0.435,0.395,0.3675,0.385,0.5125,0.485,0.5075,0.555,0.63,0.585,0.515,0.49,0.5775,0.485,0.5075,0.455,0.47,0.3925,0.3975,0.3425,0.3525,0.32,0.3225,0.295,0.3125,0.2425,0.1675,0.1425,0.15,0.1025,0.0675,0.075,0.03,0.025,0.998483,0.998483,0.998483,0.998483,0.998483,0.998483,0.998483,0.998483,0.998483,0.998483,0.998483,0.998483,0.998483,0.998483,0.998483,0.998483,0.998483,0.998483,0.998483,0.998483,
500, 0.7525,0.84,0.7275,0.805,0.8025,0.73,0.705,0.735,0.7475,0.5925,0.63,0.6225,0.64,0.7175,0.6675,0.79,0.7075,0.8625,0.6875,0.715,0.8375,0.875,0.8,0.845,0.7475,0.775,0.7975,0.8225,0.8975,0.8,0.84,0.8275,0.8525,0.87,0.9,0.8475,0.8675,0.9,0.8975,0.9125,0.27,0.28,0.35,0.2775,0.21,0.2125,0.06,0.19,0.1725,0.17,0.1525,0.125,0.12,0.1325,0.06,0.1125,0.155,0.2,0.14,0.1475,0.4275,0.465,0.525,0.51,0.6075,0.4725,0.45,0.465,0.555,0.585,0.65,0.59,0.555,0.545,0.56,0.405,0.375,0.4275,0.4,0.345,0.6025,0.5,0.4725,0.58,0.5225,0.53,0.5025,0.5475,0.5975,0.51,0.465,0.405,0.385,0.4,0.4325,0.46,0.3375,0.4125,0.495,0.615,0.82,0.8075,0.7875,0.725,0.6725,0.655,0.655,0.6175,0.6725,0.4775,0.2925,0.265,0.2625,0.255,0.2225,0.305,0.2925,0.3875,0.51,0.4925,0.6725,0.595,0.5575,0.6,0.555,0.515,0.4475,0.495,0.495,0.4975,0.485,0.53,0.5875,0.5475,0.4825,0.62,0.6925,0.705,0.6825,0.6725,0.4875,0.5125,0.4125,0.4575,0.34,0.29,0.3825,0.235,0.3025,0.305,0.2425,0.2225,0.305,0.1975,0.12,0.105,0.0375,0.105,0.0375,0.0475,0.998474,0.998474,0.998474,0.998474,0.998474,0.998474,0.998474,0.998474,0.998474,0.998474,0.998474,0.998474,0.998474,0.998474,0.998474,0.998474,0.998474,0.998474,0.998474,0.998474,
600, 0.63,0.72,0.7125,0.765,0.81,0.895,0.905,0.855,0.735,0.785,0.645,0.7125,0.6725,0.6275,0.665,0.7325,0.785,0.7525,0.8525,0.8525,0.7525,0.7175,0.6775,0.6575,0.7375,0.6275,0.7425,0.7725,0.725,0.7575,0.8275,0.75,0.6925,0.675,0.76,0.855,0.915,0.8275,0.94,0.9225,0.2575,0.2525,0.2875,0.3675,0.26,0.1575,0.16,0.125,0.095,0.1675,0.1775,0.055,0.055,0.05,0.16,0.145,0.2475,0.29,0.275,0.3175,0.57,0.525,0.585,0.615,0.5475,0.56,0.49,0.51,0.4675,0.59,0.605,0.645,0.65,0.57,0.535,0.4525,0.3675,0.2825,0.2225,0.2725,0.56,0.555,0.5875,0.4925,0.4675,0.505,0.57,0.58,0.4975,0.355,0.3425,0.2925,0.3,0.4025,0.465,0.4125,0.6175,0.54,0.46,0.465,0.8275,0.825,0.715,0.62,0.59,0.5875,0.635,0.6575,0.43,0.3275,0.255,0.2325,0.2275,0.2975,0.235,0.1625,0.2,0.2225,0.315,0.305,0.2725,0.205,0.2825,0.36,0.5025,0.4625,0.4325,0.395,0.595,0.55,0.5875,0.535,0.58,0.6125,0.5775,0.52,0.48,0.49,0.52,0.6175,0.5525,0.605,0.51,0.4425,0.45,0.3325,0.425,0.335,0.3875,0.405,0.3475,0.37,0.285,0.2975,0.33,0.26,0.2125,0.1025,0.0625,0.0375,0.998978,0.998978,0.998978,0.998978,0.998978,0.998978,0.998978,0.998978,0.998978,0.998978,0.998978,0.998978,0.998978,0.998978,0.998978,0.998978,0.998978,0.998978,0.998978,0.998978,
700, 0.885,0.8675,0.765,0.835,0.9,0.715,0.7525,0.79,0.775,0.7975,0.85,0.7575,0.6975,0.8075,0.82,0.805,0.895,0.915,0.9175,0.8525,0.725,0.725,0.6725,0.645,0.7725,0.7375,0.7525,0.765,0.6375,0.6475,0.535,0.6375,0.74,0.7275,0.835,0.82,0.9075,0.9275,0.93,0.925,0.2975,0.245,0.21,0.1375,0.1325,0.1725,0.1575,0.145,0.11,0.2075,0.14,0.095,0.1075,0.1175,0.13,0.2275,0.265,0.2775,0.2025,0.2625,0.4125,0.395,0.4225,0.5825,0.585,0.61,0.6,0.5725,0.5225,0.44,0.5025,0.525,0.465,0.49,0.4925,0.385,0.2975,0.285,0.44,0.3325,0.665,0.5975,0.5875,0.5,0.46,0.4875,0.3475,0.4725,0.4575,0.335,0.355,0.26,0.2575,0.3525,0.255,0.25,0.3275,0.4175,0.535,0.485,0.595,0.6725,0.6825,0.6725,0.5825,0.605,0.5525,0.4575,0.48,0.3575,0.2975,0.2775,0.3125,0.1825,0.155,0.275,0.325,0.1875,0.24,0.3475,0.295,0.27,0.3,0.3625,0.565,0.5325,0.5825,0.585,0.6125,0.66,0.7975,0.7575,0.6675,0.6925,0.7175,0.61,0.4975,0.44,0.3275,0.345,0.38,0.45,0.405,0.4625,0.5775,0.535,0.385,0.4025,0.4075,0.3325,0.265,0.11,0.145,0.185,0.2325,0.1925,0.185,0.1475,0.185,0.2775,0.998761,0.998761,0.998761,0.998761,0.998761,0.998761,0.998761,0.998761,0.998761,0.998761,0.998761,0.998761,0.998761,0.998761,0.998761,0.998761,0.998761,0.998761,0.998761,0.998761,
800, 0.655,0.6025,0.7875,0.8325,0.8425,0.78,0.73,0.8325,0.76,0.84,0.7225,0.7375,0.63,0.71,0.6675,0.6675,0.595,0.63,0.6025,0.685,0.845,0.8825,0.8275,0.765,0.8375,0.8,0.8525,0.8625,0.8675,0.8725,0.7525,0.6975,0.8,0.8075,0.8025,0.705,0.7075,0.74,0.7675,0.75,0.44,0.39,0.3675,0.3,0.2275,0.2725,0.14,0.16,0.1775,0.1375,0.185,0.1575,0.165,0.14,0.15,0.1375,0.1025,0.07,0.055,0.115,0.43,0.4325,0.4525,0.5275,0.5225,0.4975,0.3975,0.4075,0.34,0.37,0.4475,0.445,0.465,0.3825,0.3825,0.3375,0.2875,0.305,0.28,0.2925,0.6125,0.6275,0.645,0.5525,0.4375,0.435,0.375,0.27,0.26,0.34,0.3025,0.3325,0.4075,0.4675,0.39,0.41,0.4975,0.425,0.43,0.4575,0.84,0.815,0.7225,0.6175,0.595,0.6575,0.5875,0.4425,0.3525,0.39,0.3875,0.41,0.3475,0.4325,0.33,0.3475,0.2475,0.3225,0.255,0.31,0.4175,0.4275,0.51,0.3975,0.4825,0.4875,0.545,0.505,0.4775,0.4675,0.4525,0.495,0.6,0.6125,0.6575,0.64,0.5575,0.5225,0.4575,0.5175,0.6675,0.645,0.67,0.5675,0.545,0.5525,0.585,0.54,0.4575,0.395,0.3125,0.23,0.16,0.2475,0.2925,0.2625,0.2125,0.23,0.165,0.2075,0.999089,0.999089,0.999089,0.999089,0.999089,0.999089,0.999089,0.999089,0.999089,0.999089,0.999089,0.999089,0.999089,0.999089,0.999089,0.999089,0.999089,0.999089,0.999089,0.999089,
900, 0.8,0.8325,0.725,0.8075,0.6925,0.745,0.8175,0.84,0.775,0.6075,0.67,0.6175,0.72,0.7275,0.72,0.775,0.77,0.7325,0.73,0.7075,0.6525,0.655,0.6775,0.68,0.6775,0.735,0.725,0.715,0.795,0.795,0.755,0.6875,0.645,0.55,0.5375,0.57,0.6975,0.8125,0.7475,0.8225,0.47,0.3675,0.2675,0.315,0.3875,0.275,0.19,0.2125,0.2625,0.2525,0.1325,0.1625,0.0625,0.0775,0.085,0.05,0.105,0.1175,0.07,0.0225,0.345,0.425,0.435,0.44,0.345,0.32,0.3925,0.365,0.2625,0.415,0.3425,0.3025,0.3725,0.28,0.28,0.3025,0.255,0.2025,0.16,0.1875,0.565,0.415,0.46,0.565,0.5925,0.495,0.5175,0.4725,0.41,0.4675,0.3575,0.415,0.5275,0.5675,0.53,0.43,0.345,0.34,0.395,0.47,0.7,0.6275,0.7875,0.7675,0.5825,0.515,0.465,0.535,0.415,0.435,0.335,0.36,0.305,0.33,0.28,0.2275,0.2375,0.2825,0.2975,0.3625,0.4475,0.425,0.3875,0.395,0.4875,0.485,0.5,0.555,0.4625,0.4125,0.43,0.605,0.5975,0.63,0.5275,0.31,0.3475,0.3225,0.37,0.375,0.535,0.495,0.475,0.5375,0.33,0.3025,0.23,0.27,0.3925,0.305,0.31,0.345,0.2325,0.24,0.195,0.22,0.2925,0.3825,0.355,0.2825,0.998821,0.998821,0.998821,0.998821,0.998821,0.998821,0.998821,0.998821,0.998821,0.998821,0.998821,0.998821,0.998821,0.998821,0.998821,0.998821,0.998821,0.998821,0.998821,0.998821,
