gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0l2, d1l2, d2l2, d3l2, d4l2, d5l2, d6l2, d7l2, d8l2, d9l2, d10l2, d11l2, d12l2, d13l2, d14l2, d15l2, d16l2, d17l2, d18l2, d19l2, d0l3, d1l3, d2l3, d3l3, d4l3, d5l3, d6l3, d7l3, d8l3, d9l3, d10l3, d11l3, d12l3, d13l3, d14l3, d15l3, d16l3, d17l3, d18l3, d19l3, d0l4, d1l4, d2l4, d3l4, d4l4, d5l4, d6l4, d7l4, d8l4, d9l4, d10l4, d11l4, d12l4, d13l4, d14l4, d15l4, d16l4, d17l4, d18l4, d19l4, d0l5, d1l5, d2l5, d3l5, d4l5, d5l5, d6l5, d7l5, d8l5, d9l5, d10l5, d11l5, d12l5, d13l5, d14l5, d15l5, d16l5, d17l5, d18l5, d19l5, d0l6, d1l6, d2l6, d3l6, d4l6, d5l6, d6l6, d7l6, d8l6, d9l6, d10l6, d11l6, d12l6, d13l6, d14l6, d15l6, d16l6, d17l6, d18l6, d19l6, d0l7, d1l7, d2l7, d3l7, d4l7, d5l7, d6l7, d7l7, d8l7, d9l7, d10l7, d11l7, d12l7, d13l7, d14l7, d15l7, d16l7, d17l7, d18l7, d19l7, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, d8W, d9W, d10W, d11W, d12W, d13W, d14W, d15W, d16W, d17W, d18W, d19W, 
0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175,0.005,0.0025,0.01,0.035,0.085,0.175,0.375,0.42,0.4575,0.4825,0.61,0.6025,0.52,0.43,0.475,0.34,0.27,0.365,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365,0.4375,0.35,0.3375,0.3375,0.375,0.34,0.2575,0.395,0.5125,0.375,0.29,0.38,0.2075,0.2375,0.19,0.13,0.105,0.05,0.0525,0.999981,0.999981,0.999981,0.999981,0.999981,0.999981,0.999981,0.999981,0.999981,0.999981,0.999981,0.999981,0.999981,0.999981,0.999981,0.999981,0.999981,0.999981,0.999981,0.999981,
100, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0725,0.05,0.1125,0.0725,0.155,0.345,0.4625,0.445,0.4825,0.44,0.525,0.5525,0.565,0.4725,0.3825,0.305,0.335,0.3275,0.2725,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0.48,0.41,0.2175,0.185,0.1025,0.1975,0.2,0.285,0.3675,0.3225,0.39,0.335,0.3075,0.25,0.19,0.155,0.1825,0.0825,0.1275,0.999983,0.999983,0.999983,0.999983,0.999983,0.999983,0.999983,0.999983,0.999983,0.999983,0.999983,0.999983,0.999983,0.999983,0.999983,0.999983,0.999983,0.999983,0.999983,0.999983,
200, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1825,0.21,0.18,0.105,0.155,0.16,0.2325,0.2925,0.225,0.3125,0.36,0.5525,0.5025,0.49,0.4575,0.4825,0.4,0.43,0.36,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6025,0.5825,0.5675,0.52,0.535,0.4225,0.3675,0.395,0.315,0.3325,0.2725,0.255,0.28,0.1675,0.115,0.175,0.17,0.2575,0.19,0.21,0.999987,0.999987,0.999987,0.999987,0.999987,0.999987,0.999987,0.999987,0.999987,0.999987,0.999987,0.999987,0.999987,0.999987,0.999987,0.999987,0.999987,0.999987,0.999987,0.999987,
300, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.1525,0.2025,0.2175,0.2125,0.1675,0.2725,0.3125,0.3625,0.32,0.33,0.42,0.5625,0.385,0.5,0.5275,0.5425,0.575,0.6525,0.6075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0.56,0.6225,0.665,0.5575,0.455,0.3875,0.305,0.27,0.195,0.14,0.2325,0.16,0.2075,0.2425,0.1825,0.1375,0.09,0.0975,0.0775,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,
400, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1825,0.175,0.2375,0.275,0.4,0.3125,0.3475,0.3325,0.2275,0.255,0.3675,0.2425,0.2575,0.2775,0.255,0.3125,0.615,0.6,0.3625,0.3325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0.615,0.5875,0.4475,0.535,0.54,0.335,0.36,0.525,0.425,0.32,0.2375,0.2375,0.1125,0.13,0.165,0.0575,0.175,0.1875,0.1275,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,
500, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1875,0.125,0.16,0.1775,0.2975,0.2725,0.25,0.2325,0.21,0.2375,0.1875,0.22,0.22,0.2725,0.285,0.2375,0.31,0.34,0.3125,0.4075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.605,0.715,0.6775,0.61,0.575,0.5475,0.47,0.435,0.41,0.5,0.49,0.2475,0.265,0.1625,0.17,0.115,0.075,0.0825,0.06,0.11,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,0.999986,
600, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5825,0.535,0.5125,0.405,0.31,0.1825,0.1975,0.15,0.2275,0.1925,0.08,0.1975,0.1825,0.1625,0.2475,0.3,0.355,0.345,0.265,0.2775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0.8075,0.805,0.63,0.4,0.47,0.4175,0.5425,0.5075,0.37,0.3175,0.32,0.13,0.1375,0.075,0.0925,0.0675,0.0825,0.2125,0.1225,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,0.999998,
700, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3625,0.3675,0.29,0.26,0.45,0.4625,0.4475,0.4325,0.335,0.24,0.2725,0.275,0.2275,0.2525,0.36,0.22,0.1575,0.1375,0.135,0.1525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.545,0.5575,0.5025,0.59,0.5775,0.5975,0.505,0.4475,0.35,0.375,0.3975,0.265,0.2825,0.2925,0.1775,0.1625,0.2475,0.155,0.18,0.135,0.999992,0.999992,0.999992,0.999992,0.999992,0.999992,0.999992,0.999992,0.999992,0.999992,0.999992,0.999992,0.999992,0.999992,0.999992,0.999992,0.999992,0.999992,0.999992,0.999992,
800, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345,0.335,0.2625,0.4025,0.3675,0.4325,0.3575,0.225,0.1575,0.1375,0.17,0.1875,0.28,0.1825,0.195,0.23,0.305,0.2825,0.145,0.1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285,0.3725,0.3425,0.445,0.47,0.46,0.4575,0.4525,0.505,0.3975,0.35,0.295,0.2425,0.275,0.2225,0.22,0.305,0.3,0.26,0.2575,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,
900, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0.585,0.5875,0.605,0.44,0.2925,0.28,0.3,0.285,0.3275,0.2225,0.1775,0.15,0.105,0.105,0.21,0.2475,0.285,0.2175,0.1625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.545,0.465,0.3425,0.365,0.3475,0.3675,0.3375,0.3225,0.385,0.4275,0.4225,0.3525,0.25,0.195,0.1475,0.2175,0.3225,0.345,0.265,0.2475,0.999995,0.999995,0.999995,0.999995,0.999995,0.999995,0.999995,0.999995,0.999995,0.999995,0.999995,0.999995,0.999995,0.999995,0.999995,0.999995,0.999995,0.999995,0.999995,0.999995,
