gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, 
0, 1,1,1,0.985,0.04,0,0,0,1,1,1,0.9875,0.0375,0,0,0,1,1,1,1,1,1,1,1,
10, 1,1,1,0.9525,0.0225,0,0,0,1,1,1,0.9675,0.0325,0,0,0,1,1,1,1,1,1,1,1,
20, 1,1,1,0.955,0.025,0,0,0,1,1,1,0.96,0.0175,0,0,0,1,1,1,1,1,1,1,1,
30, 1,1,0.9875,0.965,0.015,0,0,0,1,1,0.9975,0.965,0.015,0,0,0,1,1,1,1,1,1,1,1,
40, 1,1,1,0.94,0.075,0,0,0,1,1,1,0.935,0.08,0,0,0,1,1,1,1,1,1,1,1,
50, 1,1,1,0.9675,0.0225,0.0025,0,0,1,1,1,0.9625,0.04,0,0,0,1,1,1,1,1,1,1,1,
60, 1,1,1,0.96,0.02,0,0,0,1,1,1,0.9625,0.0275,0,0,0,1,1,1,1,1,1,1,1,
70, 1,1,1,0.96,0.0025,0,0,0,1,1,1,0.96,0.0025,0,0,0,1,1,1,1,1,1,1,1,
80, 1,1,1,0.94,0.0225,0,0,0,1,1,1,0.92,0.02,0,0,0,1,1,1,1,1,1,1,1,
90, 1,1,1,0.965,0.01,0,0,0,1,1,1,0.95,0.0075,0,0,0,1,1,1,1,1,1,1,1,
