gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, 
0, 1,0.99,0.9425,0.855,0.5375,0.04,0,0,1,1,1,0.94,0.45,0.14,0.01,0.01,1,1,1,1,1,1,1,1,
10, 1,0.9975,0.965,0.9025,0.4825,0.08,0,0,1,1,1,0.9575,0.5875,0.1625,0.005,0.005,1,1,1,1,1,1,1,1,
20, 1,0.995,0.8675,0.965,0.3975,0.0625,0.0025,0,1,1,1,0.9575,0.5,0.15,0.0075,0,1,1,1,1,1,1,1,1,
30, 1,1,0.8525,0.955,0.26,0.035,0,0,1,1,1,0.9425,0.535,0.1525,0.0025,0,1,1,1,1,1,1,1,1,
40, 1,1,0.9375,0.96,0.2875,0.01,0,0,1,1,0.995,0.89,0.41,0.2025,0.01,0,1,1,1,1,1,1,1,1,
50, 1,1,0.98,0.9675,0.2925,0.0175,0,0,1,1,0.99,0.885,0.415,0.2,0.0025,0,1,1,1,1,1,1,1,1,
60, 1,1,0.98,0.9775,0.4075,0.01,0,0,0.995,1,1,0.9075,0.5625,0.2625,0.0075,0,0.999822,0.999822,0.999822,0.999822,0.999822,0.999822,0.999822,0.999822,
70, 1,1,1,0.9375,0.5975,0.0225,0,0,0.9475,1,1,0.785,0.4825,0.31,0.015,0,0.998136,0.998136,0.998136,0.998136,0.998136,0.998136,0.998136,0.998136,
80, 1,1,1,0.9525,0.68,0.07,0.0025,0,0.9325,0.9925,0.985,0.7125,0.6225,0.2625,0.0425,0,0.997249,0.997249,0.997249,0.997249,0.997249,0.997249,0.997249,0.997249,
90, 1,1,1,0.9975,0.685,0.0475,0.035,0,0.955,0.9925,0.9725,0.83,0.635,0.43,0.06,0,0.998136,0.998136,0.998136,0.998136,0.998136,0.998136,0.998136,0.998136,
