gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, 
0, 1,1,0.99,0.73,0.0625,0,0,0,1,1,0.9625,0.7925,0.0725,0.0125,0,0,1,1,1,1,1,1,1,1,
10, 1,0.995,0.97,0.665,0.0275,0.005,0,0,1,0.9975,0.97,0.805,0.03,0.0075,0,0,1,1,1,1,1,1,1,1,
20, 1,0.945,0.94,0.75,0.04,0,0,0,1,1,0.955,0.815,0.02,0,0,0,1,1,1,1,1,1,1,1,
30, 1,1,0.9325,0.795,0.0225,0,0,0,1,1,0.9825,0.885,0.0275,0,0,0,1,1,1,1,1,1,1,1,
40, 1,1,0.8925,0.8025,0.09,0,0,0,1,1,0.9925,0.7425,0.0525,0,0,0,1,1,1,1,1,1,1,1,
50, 1,1,0.99,0.8775,0.19,0,0,0,1,1,0.9825,0.675,0.07,0,0,0,1,1,1,1,1,1,1,1,
60, 1,1,0.9975,0.91,0.0775,0,0,0,1,1,0.995,0.7775,0.0375,0,0,0,1,1,1,1,1,1,1,1,
70, 1,1,0.9875,0.915,0.06,0.005,0,0,1,1,0.9925,0.82,0.0225,0,0,0,1,1,1,1,1,1,1,1,
80, 1,1,0.9975,0.9625,0.1275,0.015,0,0,1,1,0.9925,0.89,0.0725,0,0,0,1,1,1,1,1,1,1,1,
90, 1,1,0.995,0.8875,0.0475,0.0025,0,0,1,1,1,0.8675,0.0225,0,0,0,1,1,1,1,1,1,1,1,
