gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0l2, d1l2, d2l2, d3l2, d4l2, d5l2, d6l2, d7l2, d0l3, d1l3, d2l3, d3l3, d4l3, d5l3, d6l3, d7l3, d0l4, d1l4, d2l4, d3l4, d4l4, d5l4, d6l4, d7l4, d0l5, d1l5, d2l5, d3l5, d4l5, d5l5, d6l5, d7l5, d0l6, d1l6, d2l6, d3l6, d4l6, d5l6, d6l6, d7l6, d0l7, d1l7, d2l7, d3l7, d4l7, d5l7, d6l7, d7l7, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, 
0, 1,1,0.965,0.4625,0.12,0.135,0.125,0.2025,1,1,0.9125,0.6,0.7,0.5475,0.2275,0.0425,0.9925,0.985,0.8425,0.485,0.3225,0.2025,0.0725,0.035,0.9575,0.9375,0.84,0.33,0.22,0.0075,0.015,0.145,1,1,0.895,0.6475,0.27,0.0125,0,0,1,1,0.9375,0.7475,0.1575,0.0775,0.0275,0,1,0.9975,0.845,0.6475,0.4525,0.1275,0.055,0,1,0.9925,0.9825,0.7275,0.605,0.335,0.0125,0,0.999705,0.999705,0.999705,0.999705,0.999705,0.999705,0.999705,0.999705,
10, 1,0.9975,0.8675,0.515,0.1475,0.115,0.06,0.1925,1,1,0.875,0.51,0.5925,0.49,0.175,0.015,0.9775,0.99,0.7625,0.5475,0.26,0.1125,0.0225,0.0275,0.9,0.92,0.7725,0.285,0.1575,0.01,0.045,0.0325,1,0.9575,0.9475,0.6825,0.2225,0.0125,0,0,1,0.945,0.9525,0.7025,0.17,0.045,0.01,0,0.9975,0.985,0.855,0.52,0.485,0.2175,0.0425,0,1,1,0.9825,0.78,0.7875,0.335,0.0275,0.045,0.999254,0.999254,0.999254,0.999254,0.999254,0.999254,0.999254,0.999254,
20, 1,1,0.965,0.65,0.195,0.2175,0.1,0.1775,1,1,0.91,0.575,0.62,0.505,0.1275,0.0025,1,0.985,0.76,0.675,0.3325,0.12,0.0925,0.0025,0.9175,0.95,0.625,0.265,0.1375,0.0275,0.08,0.01,0.9875,0.8875,0.88,0.6975,0.2025,0,0,0,0.9975,0.9675,0.9025,0.7125,0.3025,0.085,0.035,0,1,0.995,0.7925,0.605,0.525,0.2225,0.0925,0.0025,1,1,0.93,0.7325,0.825,0.2225,0.0125,0.0275,0.999316,0.999316,0.999316,0.999316,0.999316,0.999316,0.999316,0.999316,
30, 1,1,0.9775,0.605,0.2,0.135,0.1,0.1675,1,1,0.8475,0.4125,0.5625,0.41,0.13,0.0075,1,0.9875,0.7375,0.69,0.3975,0.1225,0.075,0.0075,0.8925,0.94,0.71,0.2025,0.1475,0.035,0.07,0.02,0.955,0.8625,0.905,0.6375,0.255,0.0325,0,0,0.9975,0.9475,0.9375,0.73,0.2,0.06,0.035,0.01,1,1,0.8225,0.6775,0.315,0.2075,0.01,0.0275,1,1,0.8525,0.84,0.82,0.1825,0.095,0.0425,0.999312,0.999312,0.999312,0.999312,0.999312,0.999312,0.999312,0.999312,
40, 1,1,0.9625,0.46,0.1575,0.1075,0.125,0.085,1,0.9975,0.83,0.565,0.6875,0.46,0.2875,0.0125,1,0.9975,0.735,0.545,0.3725,0.2025,0.06,0.0025,0.935,0.9225,0.67,0.33,0.2,0.05,0.115,0.0075,0.965,0.8575,0.85,0.7925,0.2925,0.08,0.0075,0,0.9925,0.95,0.9725,0.565,0.185,0.065,0.015,0.0175,1,0.995,0.795,0.665,0.355,0.135,0.05,0.02,1,1,0.79,0.8575,0.845,0.23,0.055,0.0625,0.999539,0.999539,0.999539,0.999539,0.999539,0.999539,0.999539,0.999539,
50, 1,0.9975,0.935,0.4525,0.34,0.0675,0.1925,0.1475,0.99,0.9775,0.8425,0.535,0.7675,0.3475,0.2575,0.0525,1,0.9825,0.595,0.5925,0.3475,0.2975,0.0775,0.0025,0.7875,0.8425,0.7125,0.445,0.1825,0.0875,0.055,0,0.96,0.8825,0.805,0.8625,0.48,0.1225,0.0075,0,0.985,0.9525,0.925,0.59,0.14,0.0475,0.015,0.0075,1,0.9925,0.84,0.7675,0.31,0.1575,0.0475,0.05,1,1,0.83,0.805,0.735,0.255,0.105,0.025,0.998395,0.998395,0.998395,0.998395,0.998395,0.998395,0.998395,0.998395,
60, 1,0.97,0.9475,0.6625,0.335,0.1075,0.0425,0.0775,0.9675,0.99,0.75,0.615,0.75,0.25,0.3275,0.0325,1,0.98,0.7025,0.35,0.3275,0.2675,0.025,0,0.905,0.72,0.695,0.505,0.1875,0.1675,0.0475,0,0.9275,0.78,0.795,0.7475,0.505,0.1275,0,0.01,0.99,0.97,0.9775,0.695,0.125,0.0125,0.02,0.0275,1,0.9875,0.8425,0.6675,0.2225,0.165,0.0525,0.0225,1,1,0.855,0.845,0.6275,0.1675,0.15,0.055,0.999417,0.999417,0.999417,0.999417,0.999417,0.999417,0.999417,0.999417,
70, 1,0.9875,0.905,0.63,0.315,0.1475,0.005,0.0775,0.9975,0.995,0.6975,0.395,0.755,0.185,0.3375,0.09,1,0.94,0.595,0.455,0.22,0.16,0.0175,0,0.93,0.725,0.675,0.4775,0.225,0.18,0.0425,0,0.8775,0.84,0.7525,0.7675,0.6375,0.21,0.0025,0.0625,0.9825,0.9625,0.9925,0.7175,0.1075,0.0125,0.05,0.0225,1,0.9925,0.8575,0.5975,0.25,0.0975,0.0025,0.06,1,0.9975,0.7625,0.715,0.6925,0.1875,0.1375,0.0775,0.999607,0.999607,0.999607,0.999607,0.999607,0.999607,0.999607,0.999607,
80, 1,1,0.935,0.5825,0.4275,0.1675,0,0.09,1,0.9925,0.7225,0.485,0.725,0.1675,0.4125,0.145,1,0.9,0.4625,0.4375,0.175,0.075,0.0025,0,0.8475,0.7725,0.64,0.665,0.2975,0.225,0,0,0.83,0.685,0.8,0.655,0.5025,0.235,0.0275,0.08,0.9575,0.985,0.99,0.695,0.155,0,0.085,0.005,1,1,0.83,0.7,0.2175,0.06,0,0.0225,1,0.9925,0.77,0.6825,0.685,0.19,0.18,0.03,0.99872,0.99872,0.99872,0.99872,0.99872,0.99872,0.99872,0.99872,
90, 1,0.9825,0.875,0.4875,0.5325,0.2,0.005,0.0775,1,0.975,0.695,0.445,0.6675,0.1875,0.525,0.13,0.9925,0.9175,0.475,0.635,0.085,0.055,0,0,0.9825,0.78,0.6625,0.76,0.225,0.2175,0,0,0.8375,0.8,0.7325,0.635,0.49,0.1425,0.0125,0.03,0.975,0.98,0.985,0.5425,0.0925,0.02,0.0425,0,0.99,0.9925,0.87,0.6825,0.18,0.075,0,0.085,1,0.99,0.705,0.715,0.52,0.235,0.1125,0.0875,0.999774,0.999774,0.999774,0.999774,0.999774,0.999774,0.999774,0.999774,
