gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0W, d0W, d0W, d0W, d0W, d0W, d1W, d1W, d1W, d1W, d1W, d1W, d2W, d2W, d2W, d2W, d2W, d2W, d3W, d3W, d3W, d3W, d3W, d3W, d4W, d4W, d4W, d4W, d4W, d4W, d5W, d5W, d5W, d5W, d5W, d5W, d6W, d6W, d6W, d6W, d6W, d6W, d7W, d7W, d7W, d7W, d7W, d7W, 
0, 0.8125,0.8375,0.685,0.73,0.6125,0.6875,0.715,0.705,0.6875,0.6725,0.7125,0.62,0.62,0.54,0.6625,0.685,0.999668,0.999668,0.999668,0.999668,0.999668,0.999668,0.999668,0.999668,
10, 0.89,0.8425,0.7675,0.735,0.625,0.6275,0.735,0.68,0.73,0.715,0.605,0.5725,0.6075,0.5875,0.66,0.73,0.999678,0.999678,0.999678,0.999678,0.999678,0.999678,0.999678,0.999678,
20, 0.85,0.7375,0.8625,0.7625,0.6625,0.6525,0.6525,0.7425,0.725,0.6825,0.6125,0.615,0.545,0.5525,0.605,0.645,0.999716,0.999716,0.999716,0.999716,0.999716,0.999716,0.999716,0.999716,
30, 0.8625,0.9275,0.8,0.7625,0.7175,0.7325,0.6525,0.7275,0.7275,0.7225,0.655,0.6825,0.57,0.6225,0.6375,0.5875,0.999662,0.999662,0.999662,0.999662,0.999662,0.999662,0.999662,0.999662,
40, 0.9375,0.9375,0.8775,0.81,0.705,0.755,0.655,0.675,0.75,0.6925,0.7175,0.61,0.6375,0.605,0.6775,0.71,0.999742,0.999742,0.999742,0.999742,0.999742,0.999742,0.999742,0.999742,
50, 0.9725,0.91,0.945,0.85,0.76,0.6975,0.755,0.785,0.7475,0.6575,0.5825,0.5425,0.595,0.705,0.615,0.6925,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,0.99973,
60, 0.9675,0.93,0.95,0.8475,0.8075,0.755,0.7875,0.765,0.67,0.665,0.6175,0.6925,0.64,0.6625,0.635,0.6375,0.999684,0.999684,0.999684,0.999684,0.999684,0.999684,0.999684,0.999684,
70, 0.935,0.93,0.9325,0.96,0.8825,0.79,0.8275,0.7075,0.62,0.59,0.565,0.705,0.645,0.5475,0.645,0.5875,0.999595,0.999595,0.999595,0.999595,0.999595,0.999595,0.999595,0.999595,
80, 0.8975,0.885,0.9075,0.975,0.9325,0.845,0.8175,0.7725,0.5275,0.5175,0.6375,0.7625,0.6125,0.525,0.535,0.56,0.999492,0.999492,0.999492,0.999492,0.999492,0.999492,0.999492,0.999492,
90, 0.935,0.935,0.95,0.965,0.9575,0.9025,0.82,0.7925,0.6225,0.645,0.6975,0.62,0.6275,0.51,0.6,0.485,0.999627,0.999627,0.999627,0.999627,0.999627,0.999627,0.999627,0.999627,
