gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0l2, d1l2, d2l2, d3l2, d4l2, d5l2, d6l2, d7l2, d0l3, d1l3, d2l3, d3l3, d4l3, d5l3, d6l3, d7l3, d0l4, d1l4, d2l4, d3l4, d4l4, d5l4, d6l4, d7l4, d0l5, d1l5, d2l5, d3l5, d4l5, d5l5, d6l5, d7l5, d0l6, d1l6, d2l6, d3l6, d4l6, d5l6, d6l6, d7l6, d0l7, d1l7, d2l7, d3l7, d4l7, d5l7, d6l7, d7l7, d0l8, d1l8, d2l8, d3l8, d4l8, d5l8, d6l8, d7l8, d0l9, d1l9, d2l9, d3l9, d4l9, d5l9, d6l9, d7l9, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, 
0, 1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.895,0.8925,0.915,0.91,0.925,0.93,0.95,0.9425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.04,0.0425,0.0425,0.0625,0.1025,0.11,0.105,0.1175,1,1,1,1,1,1,1,1,0.998922,0.998922,0.998922,0.998922,0.998922,0.998922,0.998922,0.998922,
10, 1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.93,0.9225,0.9125,0.895,0.91,0.935,0.935,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.035,0.0475,0.03,0.0525,0.07,0.0725,0.11,0.0775,1,1,1,1,1,1,1,1,0.999193,0.999193,0.999193,0.999193,0.999193,0.999193,0.999193,0.999193,
20, 1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.8975,0.8875,0.92,0.9025,0.945,0.9525,0.965,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0525,0.055,0.085,0.1025,0.0925,0.0825,0.095,0.115,1,1,1,1,1,1,1,1,0.99818,0.99818,0.99818,0.99818,0.99818,0.99818,0.99818,0.99818,
30, 1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.92,0.935,0.9175,0.9325,0.9475,0.965,0.97,0.9825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0475,0.0525,0.09,0.0575,0.0525,0.0875,0.085,0.115,1,1,1,1,1,1,1,1,0.998926,0.998926,0.998926,0.998926,0.998926,0.998926,0.998926,0.998926,
40, 1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.9625,0.9475,0.9275,0.96,0.965,0.95,0.9725,0.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.08,0.05,0.0575,0.0675,0.0825,0.0775,0.0675,0.0575,1,1,1,1,1,1,1,1,0.999206,0.999206,0.999206,0.999206,0.999206,0.999206,0.999206,0.999206,
50, 1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.9325,0.9375,0.94,0.95,0.9625,0.9825,0.98,0.9975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.08,0.0875,0.1175,0.0525,0.04,0.03,0.045,0.0325,1,1,1,1,1,1,1,1,0.998988,0.998988,0.998988,0.998988,0.998988,0.998988,0.998988,0.998988,
60, 1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.895,0.86,0.935,0.9475,0.9475,0.985,0.9875,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.08,0.1,0.075,0.075,0.0925,0.105,0.0775,0.1075,1,1,1,1,1,1,1,1,0.998429,0.998429,0.998429,0.998429,0.998429,0.998429,0.998429,0.998429,
70, 1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.91,0.9125,0.9325,0.9775,0.9775,0.9775,0.975,0.9825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1025,0.095,0.1025,0.0925,0.075,0.07,0.08,0.08,1,1,1,1,1,1,1,1,0.998263,0.998263,0.998263,0.998263,0.998263,0.998263,0.998263,0.998263,
80, 1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.9175,0.9425,0.955,0.98,0.9875,0.965,0.9425,0.9825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1075,0.0575,0.0875,0.125,0.0725,0.08,0.07,0.07,1,1,1,1,1,1,1,1,0.999158,0.999158,0.999158,0.999158,0.999158,0.999158,0.999158,0.999158,
90, 1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.96,0.9375,0.935,0.9625,0.9675,0.975,0.9525,0.9625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.155,0.1175,0.095,0.135,0.0875,0.07,0.0925,0.0625,1,1,1,1,1,1,1,1,0.999035,0.999035,0.999035,0.999035,0.999035,0.999035,0.999035,0.999035,
