gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0l5, d1l5, d0l6, d1l6, d0l7, d1l7, d0l8, d1l8, d0l9, d1l9, d0l10, d1l10, d0l11, d1l11, d0l12, d1l12, d0l13, d1l13, d0l14, d1l14, d0l15, d1l15, d0l16, d1l16, d0l17, d1l17, d0l18, d1l18, d0l19, d1l19, d0W1, d0W0.974546, d0W0.952823, d0W0.934833, d0W0.920574, d0W0.910048, d0W0.903254, d0W0.900192, d0W0.900862, d0W0.905263, d0W0.913397, d0W0.925263, d0W0.940862, d0W0.960192, d0W0.983254, d0W1.01005, d0W1.04057, d0W1.07483, d0W1.11282, d0W1.15455, d0W1.2, d1W1, d1W0.974546, d1W0.952823, d1W0.934833, d1W0.920574, d1W0.910048, d1W0.903254, d1W0.900192, d1W0.900862, d1W0.905263, d1W0.913397, d1W0.925263, d1W0.940862, d1W0.960192, d1W0.983254, d1W1.01005, d1W1.04057, d1W1.07483, d1W1.11282, d1W1.15455, d1W1.2, 
0, 1,0.235,1,0.225,0.9925,0.5925,1,0.3025,1,0.415,0.98,0.1425,1,0.2925,1,0.3575,1,0.1025,0.9775,0.3425,1,0.2025,1,0.0675,1,0.2125,1,0.2925,0.9975,0.1725,0.9925,0.1575,0.9925,0.045,0.99,0.085,0.9725,0.2375,0.995,0.6075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,34,161,39,61,61,22,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
100, 0.975,0.0575,0.9875,0.2625,1,0.47,0.97,0.3025,0.9925,0.2525,1,0.0425,1,0.295,1,0.37,0.9825,0.03,0.985,0.1875,0.985,0.165,1,0.0125,0.9925,0.22,0.9175,0.23,0.985,0.0675,0.98,0.0925,0.9875,0.07,0.965,0.1,0.9875,0.2575,1,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,11,16,59,110,78,72,37,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
200, 0.99,0.38,0.9775,0.365,1,0.8725,0.995,0.16,0.99,0.0675,0.925,0.2525,0.9875,0.205,1,0.595,0.98,0.03,0.9725,0.0325,0.995,0.1325,1,0.3475,0.9725,0.165,0.93,0.1525,0.905,0.0775,0.9825,0.04,0.9825,0.0625,0.99,0.1875,0.99,0.045,0.995,0.315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,27,76,90,13,61,73,42,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
300, 1,0.43,1,0.295,1,0.5225,0.9875,0.2475,1,0.0775,1,0.26,0.9975,0.37,0.9925,0.33,0.9875,0.2075,0.96,0.1425,0.995,0.0525,0.9925,0.4,0.9975,0.07,0.995,0.2475,0.9925,0.05,0.98,0.0375,0.99,0.01,0.985,0.305,0.9875,0.015,1,0.105,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,6,36,152,44,62,61,25,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
400, 1,0.3725,0.9975,0.2975,0.9975,0.1275,0.9975,0.28,1,0.2675,0.99,0.325,1,0.3,0.9875,0.2575,1,0.2825,0.9625,0.14,0.9675,0.0475,1,0.325,0.9975,0.0275,0.9975,0.1375,1,0.185,0.99,0.1575,0.98,0.1,0.9975,0.125,0.9975,0.05,0.9975,0.13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,167,71,68,44,12,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
500, 1,0.4225,0.9975,0.4775,0.995,0.045,0.995,0.3975,0.99,0.2725,0.975,0.23,0.9925,0.375,0.9925,0.185,0.9925,0.2675,0.9975,0.31,0.9975,0.225,0.9925,0.1275,0.995,0.1275,0.995,0.0875,0.9675,0.35,0.99,0.19,0.9925,0.145,0.995,0.195,0.9575,0.4675,0.9525,0.08,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,49,144,39,74,55,22,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600, 0.99,0.21,0.995,0.465,0.9825,0.015,0.985,0.255,0.9775,0.025,0.9925,0.64,0.9925,0.245,0.985,0.3025,0.985,0.0875,0.96,0.0675,0.98,0.1725,0.995,0.3225,0.9825,0.0225,1,0.2725,1,0.2875,0.975,0.3675,0.9725,0.0425,0.9675,0.405,1,0.37,0.9775,0.065,0,0,0,0,0,0,1,0,0,2,0,1,2,1,0,0,2,2,7,36,146,38,65,53,26,10,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
700, 1,0.0425,1,0.4275,0.995,0.1275,0.995,0.125,1,0.115,1,0.0825,0.9975,0.3425,1,0.085,1,0.1275,1,0.2475,0.9975,0.2675,0.985,0.14,1,0.0775,1,0.1,1,0.31,1,0.285,0.995,0.075,1,0.5175,0.9975,0.1275,0.995,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,189,72,68,46,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
800, 0.9925,0.015,1,0.4775,1,0.255,0.995,0.1475,0.99,0.135,0.9725,0.045,1,0.895,1,0.52,0.995,0.025,0.99,0.105,1,0.4225,1,0.295,1,0.33,0.9925,0.1675,0.99,0.04,0.9975,0.2025,1,0.1,0.9975,0.2775,1,0.04,1,0.135,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,12,183,10,64,75,32,10,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
900, 0.975,0.1275,0.995,0.4975,0.9925,0.5675,0.995,0.1575,0.9975,0.555,0.9925,0.1875,0.9975,0.6675,0.9925,0.225,0.995,0.1425,0.9925,0.17,0.98,0.4075,0.9925,0.0075,0.9925,0.0275,0.9875,0.2325,0.9925,0.0375,0.985,0.085,0.9875,0.1275,0.9725,0.2175,0.955,0.0975,0.995,0.2575,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,31,164,22,55,71,38,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
