gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.205744, d0W0.00861561, d0W0.408616, d0W1.40574, d0W3, d1W1, d1W0.205744, d1W0.00861561, d1W0.408616, d1W1.40574, d1W3, 
0, 0.995,0.11,0.995,0.0675,1,0.0775,0.9925,0.03,0.995,0.0775,1,0,0,0,0,199,193,6,0,0,0,1,
100, 1,0.0575,1,0.0875,1,0.1325,1,0.13,1,0.0675,0,0,0,0,0,200,194,5,0,0,0,1,
200, 1,0.1175,1,0.0575,1,0.0875,1,0.085,1,0.0625,0,0,0,0,0,200,192,8,0,0,0,0,
300, 1,0.0625,1,0.0575,1,0.0675,1,0.11,1,0.1025,1,0,0,0,0,199,195,5,0,0,0,0,
400, 1,0.0825,1,0.005,1,0.0725,1,0.0275,1,0.07,0,0,0,0,0,200,195,5,0,0,0,0,
500, 0.995,0.0475,0.995,0.0575,0.995,0.045,0.995,0.095,0.995,0.04,1,0,0,0,0,199,197,2,1,0,0,0,
600, 1,0.0675,1,0.045,1,0.1025,1,0.075,1,0.0775,0,0,0,0,0,200,194,6,0,0,0,0,
700, 1,0.0575,1,0.12,1,0.0625,1,0.0925,1,0.055,0,0,0,0,0,200,192,6,1,0,0,1,
800, 0.995,0.0475,0.995,0.085,0.9975,0.03,0.995,0.0575,0.995,0.0675,0,0,0,0,0,200,190,10,0,0,0,0,
900, 1,0.045,1,0.1225,1,0.095,1,0.1275,1,0.0475,0,0,0,0,0,200,189,9,1,1,0,0,
