gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0l5, d1l5, d0l6, d1l6, d0l7, d1l7, d0l8, d1l8, d0l9, d1l9, d0W1, d0W0.952823, d0W0.920574, d0W0.903254, d0W0.900862, d0W0.913397, d0W0.940862, d0W0.983254, d0W1.04057, d0W1.11282, d0W1.2, d1W1, d1W0.952823, d1W0.920574, d1W0.903254, d1W0.900862, d1W0.913397, d1W0.940862, d1W0.983254, d1W1.04057, d1W1.11282, d1W1.2, 
0, 0.9975,0.03,0.995,0.05,0.9975,0.0175,0.95,0.0175,1,0.0175,0.9875,0.135,0.9825,0.0125,0.9675,0.045,0.9875,0.1275,0.9975,0.035,3,0,0,0,0,0,0,0,1,47,149,192,8,0,0,0,0,0,0,0,0,0,
100, 0.99,0.2375,1,0.085,1,0.005,0.9675,0.1825,1,0.275,0.9925,0.17,0.99,0.01,1,0.06,1,0.0075,1,0.245,0,0,0,0,0,0,0,0,1,20,179,152,42,6,0,0,0,0,0,0,0,0,
200, 1,0.17,0.9525,0.0475,0.9975,0.075,0.9975,0.105,1,0.155,1,0.1375,1,0.0575,1,0.29,0.9575,0.0475,1,0.045,0,0,0,0,0,0,0,0,4,29,167,175,24,0,0,0,0,0,0,0,0,1,
300, 1,0.2975,1,0.0575,1,0.07,1,0.2525,1,0.15,1,0.005,1,0.1825,1,0.31,1,0.01,0.9775,0.005,0,0,0,0,0,0,0,0,0,8,192,146,46,8,0,0,0,0,0,0,0,0,
400, 1,0.265,1,0.1,1,0.23,1,0.0625,1,0.225,1,0.0625,1,0.2325,0.9875,0.1075,0.9875,0.0475,1,0.16,0,0,0,0,0,0,0,0,0,7,193,152,42,5,0,0,0,0,0,0,0,1,
500, 0.9925,0.275,0.98,0.0625,0.9925,0.115,0.9575,0.2125,0.9675,0.1925,0.995,0.0175,0.975,0.095,0.98,0.02,0.9975,0.2275,0.9925,0.2125,0,0,0,0,0,0,1,4,7,39,149,147,46,7,0,0,0,0,0,0,0,0,
600, 0.9975,0.1875,0.9925,0.065,0.985,0.02,1,0.48,0.9675,0.1025,0.99,0.015,0.9975,0.1025,0.995,0.14,0.9925,0.3425,0.995,0.2525,0,0,2,0,0,0,0,1,6,26,165,126,61,9,3,1,0,0,0,0,0,0,
700, 0.99,0.105,0.985,0.1675,0.955,0.09,0.99,0.155,0.9975,0.4025,0.995,0.0175,0.9825,0.095,0.995,0.65,0.9975,0.495,0.995,0.225,0,0,0,0,0,0,0,1,4,24,171,57,86,52,5,0,0,0,0,0,0,0,
800, 1,0.1625,0.9925,0.2775,1,0.0825,1,0.0275,1,0.305,0.99,0.05,1,0.1675,0.99,0.53,1,0.085,1,0.1675,0,0,0,0,0,0,0,0,0,11,189,108,76,14,1,0,0,0,0,0,0,1,
900, 1,0.505,1,0.43,1,0.0275,1,0.1225,1,0.1,1,0.2025,0.995,0.1225,1,0.2025,1,0.125,1,0.115,0,0,0,0,0,0,0,0,0,4,196,101,81,17,0,0,0,0,0,0,0,1,
