gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0W1, d0W0.900798, d0W0.967464, d0W1.2, d1W1, d1W0.900798, d1W0.967464, d1W1.2, 
0, 0.99,0.015,0.995,0.26,0.995,0.0575,1,0,1,198,181,18,1,0,
100, 0.98,0.1475,0.995,0.195,0.9975,0.15,0,1,4,195,186,13,1,0,
200, 1,0.1075,0.995,0.0525,1,0.09,1,2,5,192,195,5,0,0,
300, 0.985,0.0675,0.9825,0.1575,0.98,0.165,2,6,4,188,190,10,0,0,
400, 0.9875,0.1325,0.9875,0.1275,0.99,0.1275,1,0,0,199,188,12,0,0,
500, 1,0.2075,0.9775,0.115,1,0.1425,0,0,3,197,186,14,0,0,
600, 0.9925,0.1125,0.9925,0.1275,0.9925,0.095,1,0,0,199,186,14,0,0,
700, 0.9875,0.0825,0.985,0.2,0.9875,0.12,3,0,2,195,190,8,0,2,
800, 1,0.1,0.9925,0.095,1,0.065,0,0,3,197,193,7,0,0,
900, 1,0.27,0.9875,0.285,1,0.2575,0,0,6,194,162,35,3,0,
