gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.920574, d0W0.900862, d0W0.940862, d0W1.04057, d0W1.2, d1W1, d1W0.920574, d1W0.900862, d1W0.940862, d1W1.04057, d1W1.2, 
0, 1,0.1225,0.995,0.1025,0.9825,0.1425,1,0.155,1,0.1,0,0,0,0,12,188,181,17,2,0,0,0,
100, 0.985,0.055,0.995,0.16,0.995,0.1375,0.995,0.165,0.9975,0.3325,0,0,0,0,6,194,164,31,4,0,0,1,
200, 0.985,0.0075,1,0.2225,0.995,0.0275,0.9925,0.1725,0.9925,0.2125,0,0,0,1,9,190,178,21,0,0,0,1,
300, 0.98,0.035,0.9925,0.21,0.9875,0.06,0.975,0.265,0.99,0.0575,0,0,0,2,28,170,179,20,1,0,0,0,
400, 0.985,0.15,0.99,0.165,0.9975,0.2625,0.985,0.145,0.9875,0.0725,1,1,0,2,14,182,173,27,0,0,0,0,
500, 1,0.3025,1,0.195,0.995,0.0725,1,0.08,0.99,0.05,0,0,0,0,8,192,164,35,1,0,0,0,
600, 0.9875,0.225,0.9925,0.2975,0.99,0.1225,0.9875,0.1425,0.98,0.0075,1,1,0,0,13,185,171,25,4,0,0,0,
700, 0.9825,0.0625,0.9925,0.1925,0.9925,0.2275,0.9925,0.24,0.9875,0.29,1,0,0,1,27,171,172,28,0,0,0,0,
800, 1,0.0575,0.99,0.13,1,0.195,1,0.24,0.99,0.2125,0,0,0,1,13,186,178,22,0,0,0,0,
900, 0.9725,0.155,0.9875,0.2225,0.99,0.0075,0.99,0.0775,0.9925,0.1725,0,0,0,0,5,195,178,21,1,0,0,0,
