gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.602872, d0W0.504308, d0W0.704308, d0W1.20287, d0W2, d1W1, d1W0.602872, d1W0.504308, d1W0.704308, d1W1.20287, d1W2, 
0, 0.9825,0.1675,0.9925,0.2275,0.9825,0.2025,0.98,0.1475,0.9825,0.245,1,0,0,1,1,197,178,16,1,0,0,5,
100, 0.99,0.215,0.9875,0.205,0.99,0.215,0.995,0.2125,0.9925,0.175,1,1,0,1,3,194,167,27,3,0,0,3,
200, 0.985,0.19,0.99,0.3525,0.9825,0.1525,0.9925,0.2475,0.9825,0.2325,2,0,0,1,0,197,159,36,4,1,0,0,
300, 1,0.255,0.9975,0.2175,0.9975,0.2,0.9975,0.21,0.9975,0.33,2,1,0,0,1,196,157,32,7,1,1,2,
400, 0.995,0.16,0.9925,0.27,0.995,0.185,1,0.295,0.9975,0.2825,2,0,0,1,3,194,162,26,11,0,0,1,
500, 0.995,0.135,0.995,0.1525,0.995,0.1575,0.995,0.155,0.99,0.19,0,3,5,5,2,185,177,21,1,0,0,1,
600, 0.975,0.2575,0.99,0.29,0.9775,0.195,0.9725,0.2375,0.985,0.2675,4,1,0,1,1,193,164,30,4,0,0,2,
700, 0.9775,0.16,0.9825,0.1875,0.98,0.2775,0.975,0.19,0.9825,0.1775,1,1,1,1,0,196,169,22,6,2,0,1,
800, 0.98,0.26,0.9725,0.15,0.9775,0.1925,0.9875,0.18,0.9875,0.205,3,4,1,1,0,191,165,30,4,0,0,1,
900, 0.995,0.2375,0.99,0.22,0.99,0.225,0.9925,0.1775,0.9925,0.2275,0,0,0,0,1,199,161,32,5,2,0,0,
