0	p2: 8	p12: 0	HI: 1	fitness: 1
1	p2: 7	p12: 0	HI: 0.875	fitness: 0.803523
2	p2: 7	p12: 1	HI: 0.9375	fitness: 0.889418
3	p2: 6	p12: 0	HI: 0.75	fitness: 0.687289
4	p2: 6	p12: 1	HI: 0.8125	fitness: 0.737354
5	p2: 6	p12: 2	HI: 0.875	fitness: 0.803523
6	p2: 5	p12: 0	HI: 0.625	fitness: 0.625784
7	p2: 5	p12: 1	HI: 0.6875	fitness: 0.650712
8	p2: 5	p12: 2	HI: 0.75	fitness: 0.687289
9	p2: 5	p12: 3	HI: 0.8125	fitness: 0.737354
10	p2: 4	p12: 0	HI: 0.5	fitness: 0.606531
11	p2: 4	p12: 1	HI: 0.5625	fitness: 0.611288
12	p2: 4	p12: 2	HI: 0.625	fitness: 0.625784
13	p2: 4	p12: 3	HI: 0.6875	fitness: 0.650712
14	p2: 4	p12: 4	HI: 0.75	fitness: 0.687289
15	p2: 3	p12: 0	HI: 0.375	fitness: 0.625784
16	p2: 3	p12: 1	HI: 0.4375	fitness: 0.611288
17	p2: 3	p12: 2	HI: 0.5	fitness: 0.606531
18	p2: 3	p12: 3	HI: 0.5625	fitness: 0.611288
19	p2: 3	p12: 4	HI: 0.625	fitness: 0.625784
20	p2: 3	p12: 5	HI: 0.6875	fitness: 0.650712
21	p2: 2	p12: 0	HI: 0.25	fitness: 0.687289
22	p2: 2	p12: 1	HI: 0.3125	fitness: 0.650712
23	p2: 2	p12: 2	HI: 0.375	fitness: 0.625784
24	p2: 2	p12: 3	HI: 0.4375	fitness: 0.611288
25	p2: 2	p12: 4	HI: 0.5	fitness: 0.606531
26	p2: 2	p12: 5	HI: 0.5625	fitness: 0.611288
27	p2: 2	p12: 6	HI: 0.625	fitness: 0.625784
28	p2: 1	p12: 0	HI: 0.125	fitness: 0.803523
29	p2: 1	p12: 1	HI: 0.1875	fitness: 0.737354
30	p2: 1	p12: 2	HI: 0.25	fitness: 0.687289
31	p2: 1	p12: 3	HI: 0.3125	fitness: 0.650712
32	p2: 1	p12: 4	HI: 0.375	fitness: 0.625784
33	p2: 1	p12: 5	HI: 0.4375	fitness: 0.611288
34	p2: 1	p12: 6	HI: 0.5	fitness: 0.606531
35	p2: 1	p12: 7	HI: 0.5625	fitness: 0.611288
36	p2: 0	p12: 0	HI: 0	fitness: 1
37	p2: 0	p12: 1	HI: 0.0625	fitness: 0.889418
38	p2: 0	p12: 2	HI: 0.125	fitness: 0.803523
39	p2: 0	p12: 3	HI: 0.1875	fitness: 0.737354
40	p2: 0	p12: 4	HI: 0.25	fitness: 0.687289
41	p2: 0	p12: 5	HI: 0.3125	fitness: 0.650712
42	p2: 0	p12: 6	HI: 0.375	fitness: 0.625784
43	p2: 0	p12: 7	HI: 0.4375	fitness: 0.611288
44	p2: 0	p12: 8	HI: 0.5	fitness: 0.606531
round: 0	nbSign: 0	last?: 0	accGen: 0
round: 1	nbSign: 41	last?: 1	accGen: 1000
1000 generations ont pris99secondes
