0	p2: 8	p12: 0	HI: 1	fitness: 1
1	p2: 7	p12: 0	HI: 0.875	fitness: 0.999998
2	p2: 7	p12: 1	HI: 0.9375	fitness: 1
3	p2: 6	p12: 0	HI: 0.75	fitness: 0.990027
4	p2: 6	p12: 1	HI: 0.8125	fitness: 0.999639
5	p2: 6	p12: 2	HI: 0.875	fitness: 0.999998
6	p2: 5	p12: 0	HI: 0.625	fitness: 0.700421
7	p2: 5	p12: 1	HI: 0.6875	fitness: 0.915307
8	p2: 5	p12: 2	HI: 0.75	fitness: 0.990027
9	p2: 5	p12: 3	HI: 0.8125	fitness: 0.999639
10	p2: 4	p12: 0	HI: 0.5	fitness: 0.367879
11	p2: 4	p12: 1	HI: 0.5625	fitness: 0.459661
12	p2: 4	p12: 2	HI: 0.625	fitness: 0.700421
13	p2: 4	p12: 3	HI: 0.6875	fitness: 0.915307
14	p2: 4	p12: 4	HI: 0.75	fitness: 0.990027
15	p2: 3	p12: 0	HI: 0.375	fitness: 0.700421
16	p2: 3	p12: 1	HI: 0.4375	fitness: 0.459661
17	p2: 3	p12: 2	HI: 0.5	fitness: 0.367879
18	p2: 3	p12: 3	HI: 0.5625	fitness: 0.459661
19	p2: 3	p12: 4	HI: 0.625	fitness: 0.700421
20	p2: 3	p12: 5	HI: 0.6875	fitness: 0.915307
21	p2: 2	p12: 0	HI: 0.25	fitness: 0.990027
22	p2: 2	p12: 1	HI: 0.3125	fitness: 0.915307
23	p2: 2	p12: 2	HI: 0.375	fitness: 0.700421
24	p2: 2	p12: 3	HI: 0.4375	fitness: 0.459661
25	p2: 2	p12: 4	HI: 0.5	fitness: 0.367879
26	p2: 2	p12: 5	HI: 0.5625	fitness: 0.459661
27	p2: 2	p12: 6	HI: 0.625	fitness: 0.700421
28	p2: 1	p12: 0	HI: 0.125	fitness: 0.999998
29	p2: 1	p12: 1	HI: 0.1875	fitness: 0.999639
30	p2: 1	p12: 2	HI: 0.25	fitness: 0.990027
31	p2: 1	p12: 3	HI: 0.3125	fitness: 0.915307
32	p2: 1	p12: 4	HI: 0.375	fitness: 0.700421
33	p2: 1	p12: 5	HI: 0.4375	fitness: 0.459661
34	p2: 1	p12: 6	HI: 0.5	fitness: 0.367879
35	p2: 1	p12: 7	HI: 0.5625	fitness: 0.459661
36	p2: 0	p12: 0	HI: 0	fitness: 1
37	p2: 0	p12: 1	HI: 0.0625	fitness: 1
38	p2: 0	p12: 2	HI: 0.125	fitness: 0.999998
39	p2: 0	p12: 3	HI: 0.1875	fitness: 0.999639
40	p2: 0	p12: 4	HI: 0.25	fitness: 0.990027
41	p2: 0	p12: 5	HI: 0.3125	fitness: 0.915307
42	p2: 0	p12: 6	HI: 0.375	fitness: 0.700421
43	p2: 0	p12: 7	HI: 0.4375	fitness: 0.459661
44	p2: 0	p12: 8	HI: 0.5	fitness: 0.367879
round: 0	nbSign: 0	last?: 0	accGen: 0
round: 1	nbSign: 47	last?: 1	accGen: 1000
1000 generations ont pris6secondes
