0	p2: 8	p12: 0	HI: 1	fitness: 1
1	p2: 7	p12: 0	HI: 0.875	fitness: 0.467799
2	p2: 7	p12: 1	HI: 0.9375	fitness: 0.481596
3	p2: 6	p12: 0	HI: 0.75	fitness: 0.45578
4	p2: 6	p12: 1	HI: 0.8125	fitness: 0.460421
5	p2: 6	p12: 2	HI: 0.875	fitness: 0.467799
6	p2: 5	p12: 0	HI: 0.625	fitness: 0.450778
7	p2: 5	p12: 1	HI: 0.6875	fitness: 0.45273
8	p2: 5	p12: 2	HI: 0.75	fitness: 0.45578
9	p2: 5	p12: 3	HI: 0.8125	fitness: 0.460421
10	p2: 4	p12: 0	HI: 0.5	fitness: 0.449329
11	p2: 4	p12: 1	HI: 0.5625	fitness: 0.449683
12	p2: 4	p12: 2	HI: 0.625	fitness: 0.450778
13	p2: 4	p12: 3	HI: 0.6875	fitness: 0.45273
14	p2: 4	p12: 4	HI: 0.75	fitness: 0.45578
15	p2: 3	p12: 0	HI: 0.375	fitness: 0.450778
16	p2: 3	p12: 1	HI: 0.4375	fitness: 0.449683
17	p2: 3	p12: 2	HI: 0.5	fitness: 0.449329
18	p2: 3	p12: 3	HI: 0.5625	fitness: 0.449683
19	p2: 3	p12: 4	HI: 0.625	fitness: 0.450778
20	p2: 3	p12: 5	HI: 0.6875	fitness: 0.45273
21	p2: 2	p12: 0	HI: 0.25	fitness: 0.45578
22	p2: 2	p12: 1	HI: 0.3125	fitness: 0.45273
23	p2: 2	p12: 2	HI: 0.375	fitness: 0.450778
24	p2: 2	p12: 3	HI: 0.4375	fitness: 0.449683
25	p2: 2	p12: 4	HI: 0.5	fitness: 0.449329
26	p2: 2	p12: 5	HI: 0.5625	fitness: 0.449683
27	p2: 2	p12: 6	HI: 0.625	fitness: 0.450778
28	p2: 1	p12: 0	HI: 0.125	fitness: 0.467799
29	p2: 1	p12: 1	HI: 0.1875	fitness: 0.460421
30	p2: 1	p12: 2	HI: 0.25	fitness: 0.45578
31	p2: 1	p12: 3	HI: 0.3125	fitness: 0.45273
32	p2: 1	p12: 4	HI: 0.375	fitness: 0.450778
33	p2: 1	p12: 5	HI: 0.4375	fitness: 0.449683
34	p2: 1	p12: 6	HI: 0.5	fitness: 0.449329
35	p2: 1	p12: 7	HI: 0.5625	fitness: 0.449683
36	p2: 0	p12: 0	HI: 0	fitness: 1
37	p2: 0	p12: 1	HI: 0.0625	fitness: 0.481596
38	p2: 0	p12: 2	HI: 0.125	fitness: 0.467799
39	p2: 0	p12: 3	HI: 0.1875	fitness: 0.460421
40	p2: 0	p12: 4	HI: 0.25	fitness: 0.45578
41	p2: 0	p12: 5	HI: 0.3125	fitness: 0.45273
42	p2: 0	p12: 6	HI: 0.375	fitness: 0.450778
43	p2: 0	p12: 7	HI: 0.4375	fitness: 0.449683
44	p2: 0	p12: 8	HI: 0.5	fitness: 0.449329
round: 0	nbSign: 0	last?: 0	accGen: 0
round: 1	nbSign: 44	last?: 1	accGen: 1000
1000 generations ont pris84secondes
