gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W1, d0W0.606531, d0W0.63223, d0W1, d0W0.63223, d0W1, d1W1, d1W0.606531, d1W0.63223, d1W1, d1W0.63223, d1W1, d2W1, d2W0.606531, d2W0.63223, d2W1, d2W0.63223, d2W1, d3W1, d3W0.606531, d3W0.63223, d3W1, d3W0.63223, d3W1, d4W1, d4W0.606531, d4W0.63223, d4W1, d4W0.63223, d4W1, d5W1, d5W0.606531, d5W0.63223, d5W1, d5W0.63223, d5W1, d6W1, d6W0.606531, d6W0.63223, d6W1, d6W0.63223, d6W1, d7W1, d7W0.606531, d7W0.63223, d7W1, d7W0.63223, d7W1, d8W1, d8W0.606531, d8W0.63223, d8W1, d8W0.63223, d8W1, d9W1, d9W0.606531, d9W0.63223, d9W1, d9W0.63223, d9W1, d10W1, d10W0.606531, d10W0.63223, d10W1, d10W0.63223, d10W1, d11W1, d11W0.606531, d11W0.63223, d11W1, d11W0.63223, d11W1, d12W1, d12W0.606531, d12W0.63223, d12W1, d12W0.63223, d12W1, d13W1, d13W0.606531, d13W0.63223, d13W1, d13W0.63223, d13W1, d14W1, d14W0.606531, d14W0.63223, d14W1, d14W0.63223, d14W1, d15W1, d15W0.606531, d15W0.63223, d15W1, d15W0.63223, d15W1, d16W1, d16W0.606531, d16W0.63223, d16W1, d16W0.63223, d16W1, d17W1, d17W0.606531, d17W0.63223, d17W1, d17W0.63223, d17W1, d18W1, d18W0.606531, d18W0.63223, d18W1, d18W0.63223, d18W1, d19W1, d19W0.606531, d19W0.63223, d19W1, d19W0.63223, d19W1, 
0, 1,1,1,0.999,0.992,0.977,0.92825,0.832,0.67375,0.4695,0.26275,0.11175,0.0405,0.01525,0.00625,0.001,0,0,0,0,0.99975,0.99975,0.99975,0.99875,0.99225,0.9755,0.93275,0.83425,0.67575,0.47625,0.25975,0.10775,0.0385,0.01325,0.0055,0.00125,0.001,0.00075,0,0,1998,0,2,1998,2,1998,1998,0,2,1998,2,1998,1998,0,2,1998,2,1998,1993,0,7,1993,7,1993,1956,0,44,1956,44,1956,1857,2,141,1857,141,1857,1674,15,311,1674,311,1674,1380,38,582,1380,582,1380,1134,86,780,1134,780,1134,1054,101,845,1054,845,1054,1231,57,712,1231,712,1231,1535,16,449,1535,449,1535,1753,5,242,1753,242,1753,1906,2,92,1906,92,1906,1975,0,25,1975,25,1975,1993,0,7,1993,7,1993,1998,0,2,1998,2,1998,1999,0,1,1999,1,1999,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,
100, 1,0.99975,0.99975,0.998,0.993,0.9835,0.95425,0.88225,0.74375,0.53925,0.335,0.162,0.0575,0.02225,0.0045,0.0005,0.0005,0,0,0,1,1,0.999,0.9985,0.99375,0.9895,0.95175,0.87275,0.7495,0.5335,0.325,0.16025,0.06,0.02175,0.00525,0.00075,0.00025,0.0005,0,0,2000,0,0,2000,0,2000,1999,0,1,1999,1,1999,1999,0,1,1999,1,1999,1984,0,16,1984,16,1984,1963,0,37,1963,37,1963,1916,0,84,1916,84,1916,1743,5,252,1743,252,1743,1503,26,471,1503,471,1503,1215,72,713,1215,713,1215,1064,92,844,1064,844,1064,1145,67,788,1145,788,1145,1388,45,567,1388,567,1388,1688,8,304,1688,304,1688,1878,0,122,1878,122,1878,1961,0,39,1961,39,1961,1986,0,14,1986,14,1986,1996,0,4,1996,4,1996,1997,0,3,1997,3,1997,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,
200, 1,1,0.9995,0.99825,0.9965,0.98375,0.95425,0.884,0.73725,0.54625,0.3335,0.165,0.0645,0.02375,0.00725,0.0035,0.00125,0.00025,0,0,1,1,0.99925,0.999,0.9965,0.984,0.95275,0.87325,0.7565,0.55225,0.3275,0.15875,0.0645,0.02075,0.0065,0.0025,0.00125,0,0,0,2000,0,0,2000,0,2000,1999,0,1,1999,1,1999,1995,0,5,1995,5,1995,1987,0,13,1987,13,1987,1975,0,25,1975,25,1975,1892,1,107,1892,107,1892,1764,7,229,1764,229,1764,1494,29,477,1494,477,1494,1223,52,725,1223,725,1223,1076,90,834,1076,834,1076,1146,62,792,1146,792,1146,1386,62,552,1386,552,1386,1684,6,310,1684,310,1684,1865,2,133,1865,133,1865,1953,1,46,1953,46,1953,1985,0,15,1985,15,1985,1995,0,5,1995,5,1995,1998,0,2,1998,2,1998,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,
300, 1,0.99975,0.999,0.999,0.99675,0.98525,0.947,0.8625,0.706,0.51425,0.29975,0.14675,0.06375,0.0175,0.0055,0.00225,0.0005,0,0,0,1,1,0.99975,0.99775,0.994,0.9805,0.94825,0.85725,0.69675,0.5045,0.30125,0.142,0.05725,0.0185,0.00425,0.00175,0.0005,0,0,0,1999,0,1,1999,1,1999,2000,0,0,2000,0,2000,1997,0,3,1997,3,1997,1990,0,10,1990,10,1990,1965,0,35,1965,35,1965,1900,0,100,1900,100,1900,1718,3,279,1718,279,1718,1451,29,520,1451,520,1451,1174,89,737,1174,737,1174,1068,105,827,1068,827,1068,1196,66,738,1196,738,1196,1395,37,568,1395,568,1395,1708,12,280,1708,280,1708,1894,0,106,1894,106,1894,1953,0,47,1953,47,1953,1980,0,20,1980,20,1980,1995,0,5,1995,5,1995,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,
400, 1,1,1,0.99875,0.992,0.9745,0.9315,0.8295,0.666,0.4595,0.26125,0.11875,0.04075,0.01225,0.00225,0.00075,0,0.00025,0,0,1,0.99975,0.99975,0.99825,0.99125,0.96975,0.93275,0.833,0.666,0.452,0.2675,0.1215,0.04275,0.01375,0.003,0.00075,0,0,0,0,2000,0,0,2000,0,2000,1999,0,1,1999,1,1999,1997,0,3,1997,3,1997,1982,0,18,1982,18,1982,1948,3,49,1948,49,1948,1838,2,160,1838,160,1838,1614,14,372,1614,372,1614,1362,37,601,1362,601,1362,1125,90,785,1125,785,1125,1079,87,834,1079,834,1079,1245,66,689,1245,689,1245,1500,26,474,1500,474,1500,1775,2,223,1775,223,1775,1911,0,89,1911,89,1911,1973,0,27,1973,27,1973,1996,0,4,1996,4,1996,1999,0,1,1999,1,1999,1999,0,1,1999,1,1999,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,
500, 1,1,1,0.998,0.99225,0.96775,0.90825,0.79725,0.6195,0.41375,0.209,0.0905,0.03325,0.00725,0.00175,0.00075,0,0,0,0,0.9995,0.99975,0.99875,0.9965,0.993,0.972,0.90875,0.7755,0.5875,0.398,0.20425,0.077,0.0245,0.00825,0.00175,0.00075,0.00025,0.00025,0,0,1999,0,1,1999,1,1999,1999,0,1,1999,1,1999,1993,0,7,1993,7,1993,1983,0,17,1983,17,1983,1931,0,69,1931,69,1931,1820,3,177,1820,177,1820,1602,11,387,1602,387,1602,1292,47,661,1292,661,1292,1048,71,881,1048,881,1048,1079,64,857,1079,857,1079,1283,44,673,1283,673,1283,1596,14,390,1596,390,1596,1829,1,170,1829,170,1829,1942,0,58,1942,58,1942,1985,0,15,1985,15,1985,1988,0,12,1988,12,1988,1998,0,2,1998,2,1998,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,
600, 1,1,0.99775,0.99525,0.98475,0.96075,0.8815,0.7625,0.56575,0.35475,0.18725,0.07575,0.027,0.00625,0.0015,0.00025,0.00025,0.00025,0,0,1,0.9995,0.999,0.99625,0.98775,0.962,0.8875,0.7685,0.558,0.351,0.18675,0.07475,0.0295,0.007,0.00075,0.001,0.0005,0,0,0,1999,0,1,1999,1,1999,1999,0,1,1999,1,1999,1989,0,11,1989,11,1989,1965,0,35,1965,35,1965,1909,1,90,1909,90,1909,1771,9,220,1771,220,1771,1542,16,442,1542,442,1542,1215,65,720,1215,720,1215,1085,88,827,1085,827,1085,1129,66,805,1129,805,1129,1327,44,629,1327,629,1327,1620,20,360,1620,360,1620,1841,1,158,1841,158,1841,1944,0,56,1944,56,1944,1986,0,14,1986,14,1986,1993,0,7,1993,7,1993,1997,0,3,1997,3,1997,1999,0,1,1999,1,1999,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,
700, 1,0.99925,0.99975,0.99775,0.989,0.96625,0.9205,0.8015,0.6065,0.393,0.2125,0.0735,0.0335,0.00675,0.00175,0.0005,0,0,0,0,1,0.99975,0.99825,0.997,0.9905,0.9725,0.9145,0.797,0.60675,0.404,0.2195,0.08225,0.03175,0.00825,0.00225,0.0005,0.00025,0,0,0,1999,0,1,1999,1,1999,1998,0,2,1998,2,1998,1995,0,5,1995,5,1995,1981,0,19,1981,19,1981,1942,0,58,1942,58,1942,1834,6,160,1834,160,1834,1601,12,387,1601,387,1601,1325,45,630,1325,630,1325,1123,78,799,1123,799,1123,1072,88,840,1072,840,1072,1319,51,630,1319,630,1319,1644,13,343,1644,343,1644,1835,2,163,1835,163,1835,1948,0,52,1948,52,1948,1987,0,13,1987,13,1987,1997,0,3,1997,3,1997,1999,0,1,1999,1,1999,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,
800, 1,1,0.998,0.9955,0.988,0.9675,0.903,0.798,0.597,0.3915,0.214,0.093,0.032,0.01025,0.0035,0,0,0,0,0,1,0.9995,0.99925,0.99675,0.991,0.9695,0.90075,0.78925,0.6025,0.389,0.21,0.08775,0.02525,0.009,0.00275,0.00025,0,0,0,0,1998,0,2,1998,2,1998,1999,0,1,1999,1,1999,1995,0,5,1995,5,1995,1974,0,26,1974,26,1974,1938,0,62,1938,62,1938,1804,4,192,1804,192,1804,1604,31,365,1604,365,1604,1264,70,666,1264,666,1264,1073,83,844,1073,844,1073,1114,80,806,1114,806,1114,1276,49,675,1276,675,1276,1569,19,412,1569,412,1569,1838,2,160,1838,160,1838,1941,1,58,1941,58,1941,1982,0,18,1982,18,1982,1996,0,4,1996,4,1996,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,
900, 1,1,1,0.99725,0.98775,0.96375,0.89375,0.77775,0.60775,0.37275,0.188,0.07125,0.02525,0.00775,0.0035,0.00025,0,0,0,0,0.99975,0.9995,0.99925,0.9965,0.9885,0.96075,0.888,0.7725,0.6135,0.375,0.18375,0.07525,0.027,0.00675,0.0025,0.00075,0.00025,0,0,0,2000,0,0,2000,0,2000,1999,0,1,1999,1,1999,1992,0,8,1992,8,1992,1972,0,28,1972,28,1972,1920,0,80,1920,80,1920,1790,6,204,1790,204,1790,1587,20,393,1587,393,1587,1285,49,666,1285,666,1285,1072,99,829,1072,829,1072,1109,93,798,1109,798,1109,1317,49,634,1317,634,1317,1602,15,383,1602,383,1602,1833,0,167,1833,167,1833,1935,0,65,1935,65,1935,1976,0,24,1976,24,1976,1993,0,7,1993,7,1993,1998,0,2,1998,2,1998,1999,0,1,1999,1,1999,1999,0,1,1999,1,1999,2000,0,0,2000,0,2000,
