gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W1, d0W0.606531, d0W0.63223, d0W1, d0W0.63223, d0W1, d1W1, d1W0.606531, d1W0.63223, d1W1, d1W0.63223, d1W1, d2W1, d2W0.606531, d2W0.63223, d2W1, d2W0.63223, d2W1, d3W1, d3W0.606531, d3W0.63223, d3W1, d3W0.63223, d3W1, d4W1, d4W0.606531, d4W0.63223, d4W1, d4W0.63223, d4W1, d5W1, d5W0.606531, d5W0.63223, d5W1, d5W0.63223, d5W1, d6W1, d6W0.606531, d6W0.63223, d6W1, d6W0.63223, d6W1, d7W1, d7W0.606531, d7W0.63223, d7W1, d7W0.63223, d7W1, d8W1, d8W0.606531, d8W0.63223, d8W1, d8W0.63223, d8W1, d9W1, d9W0.606531, d9W0.63223, d9W1, d9W0.63223, d9W1, d10W1, d10W0.606531, d10W0.63223, d10W1, d10W0.63223, d10W1, d11W1, d11W0.606531, d11W0.63223, d11W1, d11W0.63223, d11W1, d12W1, d12W0.606531, d12W0.63223, d12W1, d12W0.63223, d12W1, d13W1, d13W0.606531, d13W0.63223, d13W1, d13W0.63223, d13W1, d14W1, d14W0.606531, d14W0.63223, d14W1, d14W0.63223, d14W1, d15W1, d15W0.606531, d15W0.63223, d15W1, d15W0.63223, d15W1, d16W1, d16W0.606531, d16W0.63223, d16W1, d16W0.63223, d16W1, d17W1, d17W0.606531, d17W0.63223, d17W1, d17W0.63223, d17W1, d18W1, d18W0.606531, d18W0.63223, d18W1, d18W0.63223, d18W1, d19W1, d19W0.606531, d19W0.63223, d19W1, d19W0.63223, d19W1, 
0, 0.992,0.977,0.935,0.84,0.68,0.4415,0.268,0.123,0.057,0.017,0.004,0.0035,0,0.0005,0,0,0,0,0,0,0.9905,0.973,0.929,0.843,0.69,0.434,0.264,0.1335,0.0535,0.012,0.005,0.002,0.0005,0,0,0,0,0,0,0,963,0,37,963,37,963,931,2,67,931,67,931,851,3,146,851,146,851,698,22,280,698,280,698,575,39,386,575,386,575,552,53,395,552,395,552,572,36,392,572,392,572,708,10,282,708,282,708,880,1,119,880,119,880,948,0,52,948,52,948,976,0,24,976,24,976,998,0,2,998,2,998,998,0,2,998,2,998,999,0,1,999,1,999,999,0,1,999,1,999,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,
100, 0.978,0.97,0.9305,0.83,0.6515,0.4455,0.248,0.132,0.051,0.016,0.004,0.001,0.0005,0,0,0,0,0,0,0,0.9735,0.9725,0.9235,0.829,0.67,0.434,0.269,0.1235,0.0445,0.013,0.0035,0.002,0.0005,0,0,0,0,0,0,0,932,1,67,932,67,932,906,2,92,906,92,906,835,7,158,835,158,835,679,19,302,679,302,679,552,45,403,552,403,552,521,60,419,521,419,521,591,34,375,591,375,591,746,20,234,746,234,746,882,3,115,882,115,882,959,0,41,959,41,959,994,0,6,994,6,994,994,0,6,994,6,994,1000,0,0,1000,0,1000,999,0,1,999,1,999,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,
200, 0.988,0.977,0.9175,0.796,0.6115,0.405,0.221,0.1,0.032,0.0065,0.001,0,0,0,0,0,0,0,0,0,0.9815,0.977,0.9275,0.803,0.5955,0.4175,0.2325,0.089,0.0355,0.0115,0.0025,0.0005,0,0,0,0,0,0,0,0,946,0,54,946,54,946,932,1,67,932,67,932,800,5,195,800,195,800,661,25,314,661,314,661,541,44,415,541,415,541,586,42,372,586,372,586,639,29,332,639,332,639,790,8,202,790,202,790,904,2,94,904,94,904,975,0,25,975,25,975,995,0,5,995,5,995,999,0,1,999,1,999,999,0,1,999,1,999,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,
300, 0.981,0.959,0.9065,0.8005,0.6455,0.422,0.2145,0.115,0.039,0.0155,0.006,0.001,0,0,0,0,0,0,0,0,0.9705,0.9595,0.9085,0.813,0.647,0.4185,0.2065,0.11,0.0385,0.0135,0.003,0,0,0,0,0,0,0,0,0,931,1,68,931,68,931,890,5,105,890,105,890,719,16,265,719,265,719,622,34,344,622,344,622,528,42,430,528,430,528,557,46,397,557,397,557,632,35,333,632,333,632,781,8,211,781,211,781,906,3,91,906,91,906,958,1,41,958,41,958,988,0,12,988,12,988,997,0,3,997,3,997,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,
400, 0.9775,0.9625,0.9115,0.7685,0.5745,0.37,0.219,0.1015,0.04,0.016,0.0065,0.0005,0.0005,0,0,0,0,0,0,0,0.983,0.965,0.92,0.7755,0.581,0.3655,0.211,0.1035,0.045,0.0175,0.005,0,0,0,0,0,0,0,0,0,940,0,60,940,60,940,900,0,100,900,100,900,783,13,204,783,204,783,631,31,338,631,338,631,524,48,428,524,428,524,533,48,419,533,419,533,609,32,359,609,359,609,776,14,210,776,210,776,906,0,94,906,94,906,963,0,37,963,37,963,979,0,21,979,21,979,997,0,3,997,3,997,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,
500, 0.962,0.93,0.845,0.7045,0.4855,0.277,0.149,0.0495,0.0205,0.009,0.004,0,0,0,0,0,0,0,0,0,0.9655,0.9235,0.848,0.729,0.468,0.2615,0.132,0.0485,0.0175,0.0075,0.0045,0.001,0,0.0005,0,0,0,0,0,0,865,1,134,865,134,865,846,4,150,846,150,846,714,21,265,714,265,714,565,31,404,565,404,565,503,33,464,503,464,503,567,42,391,567,391,567,715,13,272,715,272,715,832,5,163,832,163,832,942,0,58,942,58,942,972,0,28,972,28,972,996,0,4,996,4,996,996,0,4,996,4,996,1000,0,0,1000,0,1000,999,0,1,999,1,999,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,
600, 0.931,0.9035,0.8095,0.6285,0.4425,0.2145,0.0995,0.0365,0.014,0.002,0,0,0,0,0,0,0,0,0,0,0.9365,0.9045,0.8235,0.641,0.4185,0.207,0.0865,0.032,0.0055,0.001,0.001,0,0,0,0,0,0,0,0,0,812,7,181,812,181,812,790,4,206,790,206,790,667,23,310,667,310,667,550,36,414,550,414,550,526,53,421,526,421,526,635,22,343,635,343,635,769,8,223,769,223,769,907,3,90,907,90,907,970,0,30,970,30,970,990,0,10,990,10,990,993,0,7,993,7,993,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,
700, 0.913,0.8655,0.7795,0.6115,0.385,0.214,0.0815,0.031,0.0075,0.001,0.001,0,0,0,0,0,0,0,0,0,0.9035,0.868,0.76,0.593,0.3625,0.1915,0.0815,0.0285,0.008,0.0015,0,0,0,0,0,0,0,0,0,0,752,9,239,752,239,752,728,18,254,728,254,728,640,34,326,640,326,640,533,43,424,533,424,533,521,64,415,521,415,521,665,20,315,665,315,665,776,9,215,776,215,776,932,4,64,932,64,932,972,1,27,972,27,972,995,0,5,995,5,995,998,0,2,998,2,998,999,0,1,999,1,999,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,
800, 0.9185,0.8895,0.793,0.6465,0.394,0.2035,0.096,0.039,0.013,0.0025,0.0005,0,0,0,0.0005,0,0,0,0,0,0.9395,0.9005,0.783,0.6095,0.3955,0.202,0.0965,0.0325,0.015,0.0025,0.001,0.0005,0,0,0,0,0,0,0,0,801,9,190,801,190,801,735,15,250,735,250,735,611,27,362,611,362,611,535,51,414,535,414,535,527,46,427,527,427,527,611,36,353,611,353,611,768,10,222,768,222,768,888,1,111,888,111,888,954,0,46,954,46,954,989,0,11,989,11,989,995,0,5,995,5,995,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,999,0,1,999,1,999,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,
900, 0.707,0.64,0.5285,0.3255,0.18,0.0695,0.0225,0.0065,0.004,0.001,0.003,0,0,0,0,0,0,0,0,0,0.726,0.6665,0.52,0.328,0.1835,0.0775,0.0245,0.01,0.0035,0.0005,0,0,0,0,0,0,0,0,0,0,495,58,447,495,447,495,536,54,410,536,410,536,501,60,439,501,439,501,527,49,424,527,424,527,647,36,317,647,317,647,841,8,151,841,151,841,927,0,73,927,73,927,969,0,31,969,31,969,989,0,11,989,11,989,997,0,3,997,3,997,995,0,5,995,5,995,999,0,1,999,1,999,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,
