gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W1, d0W0.367879, d0W0.399715, d0W1, d0W0.399715, d0W1, d1W1, d1W0.367879, d1W0.399715, d1W1, d1W0.399715, d1W1, d2W1, d2W0.367879, d2W0.399715, d2W1, d2W0.399715, d2W1, d3W1, d3W0.367879, d3W0.399715, d3W1, d3W0.399715, d3W1, d4W1, d4W0.367879, d4W0.399715, d4W1, d4W0.399715, d4W1, d5W1, d5W0.367879, d5W0.399715, d5W1, d5W0.399715, d5W1, d6W1, d6W0.367879, d6W0.399715, d6W1, d6W0.399715, d6W1, d7W1, d7W0.367879, d7W0.399715, d7W1, d7W0.399715, d7W1, d8W1, d8W0.367879, d8W0.399715, d8W1, d8W0.399715, d8W1, d9W1, d9W0.367879, d9W0.399715, d9W1, d9W0.399715, d9W1, d10W1, d10W0.367879, d10W0.399715, d10W1, d10W0.399715, d10W1, d11W1, d11W0.367879, d11W0.399715, d11W1, d11W0.399715, d11W1, d12W1, d12W0.367879, d12W0.399715, d12W1, d12W0.399715, d12W1, d13W1, d13W0.367879, d13W0.399715, d13W1, d13W0.399715, d13W1, d14W1, d14W0.367879, d14W0.399715, d14W1, d14W0.399715, d14W1, d15W1, d15W0.367879, d15W0.399715, d15W1, d15W0.399715, d15W1, d16W1, d16W0.367879, d16W0.399715, d16W1, d16W0.399715, d16W1, d17W1, d17W0.367879, d17W0.399715, d17W1, d17W0.399715, d17W1, d18W1, d18W0.367879, d18W0.399715, d18W1, d18W0.399715, d18W1, d19W1, d19W0.367879, d19W0.399715, d19W1, d19W0.399715, d19W1, 
0, 1,1,1,1,1,1,0.99975,0.99825,0.97325,0.81875,0.184,0.01525,0.002,0.00025,0.00025,0,0,0,0,0,1,1,1,1,1,1,1,0.99775,0.9735,0.8115,0.18125,0.016,0.00175,0.0005,0,0,0,0,0,0,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,1999,0,1,1999,1,1999,1989,0,11,1989,11,1989,1885,2,113,1885,113,1885,1493,24,483,1493,483,1493,1492,19,489,1492,489,1492,1913,0,87,1913,87,1913,1993,0,7,1993,7,1993,1998,0,2,1998,2,1998,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,
100, 1,1,1,1,1,1,0.99975,0.997,0.977,0.79725,0.18575,0.0225,0.001,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.998,0.9795,0.7845,0.17825,0.02025,0.0005,0,0,0,0,0,0,0,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,1987,0,13,1987,13,1987,1877,0,123,1877,123,1877,1478,22,500,1478,500,1478,1576,28,396,1576,396,1576,1909,1,90,1909,90,1909,1988,0,12,1988,12,1988,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,
200, 1,1,1,1,1,1,1,0.9985,0.9745,0.7805,0.18875,0.01975,0.001,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.9995,0.97525,0.77525,0.18475,0.019,0.00225,0.00025,0,0,0,0,0,0,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,1991,0,9,1991,9,1991,1891,2,107,1891,107,1891,1452,29,519,1452,519,1452,1517,15,468,1517,468,1517,1906,2,92,1906,92,1906,1992,0,8,1992,8,1992,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,
300, 1,1,1,1,1,1,1,0.997,0.97825,0.7865,0.19825,0.02025,0.0025,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.99925,0.97925,0.79975,0.19875,0.021,0.003,0.0005,0,0,0,0,0,0,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,1998,0,2,1998,2,1998,1994,0,6,1994,6,1994,1913,3,84,1913,84,1913,1436,25,539,1436,539,1436,1482,24,494,1482,494,1482,1905,0,95,1905,95,1905,1984,1,15,1984,15,1984,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,
400, 1,1,1,1,1,1,1,0.998,0.97625,0.805,0.21275,0.0215,0.00025,0.00025,0,0,0,0,0,0,1,1,1,1,1,1,0.99975,0.999,0.9775,0.803,0.203,0.02675,0.0015,0,0,0,0,0,0,0,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,1993,0,7,1993,7,1993,1905,0,95,1905,95,1905,1455,33,512,1455,512,1455,1486,21,493,1486,493,1486,1917,1,82,1917,82,1917,1996,0,4,1996,4,1996,1999,0,1,1999,1,1999,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,
500, 1,1,1,1,1,1,1,0.99825,0.9755,0.7955,0.205,0.0255,0.0035,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.999,0.97925,0.80625,0.202,0.02625,0.00325,0,0,0,0,0,0,0,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,1999,0,1,1999,1,1999,1989,0,11,1989,11,1989,1895,1,104,1895,104,1895,1478,26,496,1478,496,1478,1491,18,491,1491,491,1491,1910,2,88,1910,88,1910,1984,1,15,1984,15,1984,1999,0,1,1999,1,1999,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,
600, 1,1,1,1,1,1,0.99975,0.99725,0.9735,0.75725,0.17325,0.019,0.0005,0,0,0,0,0,0,0,1,1,1,1,1,1,0.9995,0.99775,0.973,0.765,0.16475,0.0225,0.0005,0,0,0,0,0,0,0,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,1999,0,1,1999,1,1999,1988,0,12,1988,12,1988,1885,1,114,1885,114,1885,1484,22,494,1484,494,1484,1515,28,457,1515,457,1515,1919,0,81,1919,81,1919,1997,0,3,1997,3,1997,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,
700, 1,1,1,1,1,1,1,0.99875,0.979,0.81025,0.199,0.0185,0.0025,0.0005,0,0,0,0,0,0,1,1,1,1,1,1,1,0.999,0.9775,0.81075,0.19625,0.0165,0.0005,0.0005,0,0,0,0,0,0,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,1993,0,7,1993,7,1993,1930,2,68,1930,68,1930,1502,12,486,1502,486,1502,1452,20,528,1452,528,1452,1918,1,81,1918,81,1918,1975,0,25,1975,25,1975,1993,0,7,1993,7,1993,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,
800, 1,1,1,1,1,1,1,0.99825,0.9815,0.815,0.23975,0.025,0.002,0.00025,0,0,0,0,0,0,1,1,1,1,1,1,1,0.997,0.9805,0.81525,0.23175,0.0235,0.00175,0,0,0,0,0,0,0,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,1999,0,1,1999,1,1999,1982,0,18,1982,18,1982,1918,1,81,1918,81,1918,1539,14,447,1539,447,1539,1410,40,550,1410,550,1410,1917,2,81,1917,81,1917,1989,0,11,1989,11,1989,1999,0,1,1999,1,1999,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,
900, 1,1,1,1,1,1,1,0.99875,0.9745,0.77325,0.204,0.0255,0.0025,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.999,0.97375,0.78425,0.217,0.024,0.00125,0,0,0,0,0,0,0,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,1989,0,11,1989,11,1989,1893,3,104,1893,104,1893,1460,25,515,1460,515,1460,1435,24,541,1435,541,1435,1923,0,77,1923,77,1923,1986,0,14,1986,14,1986,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,
