gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W1, d0W0.606531, d0W0.882497, d0W1, d0W0.882497, d0W1, d1W1, d1W0.606531, d1W0.882497, d1W1, d1W0.882497, d1W1, d2W1, d2W0.606531, d2W0.882497, d2W1, d2W0.882497, d2W1, d3W1, d3W0.606531, d3W0.882497, d3W1, d3W0.882497, d3W1, d4W1, d4W0.606531, d4W0.882497, d4W1, d4W0.882497, d4W1, d5W1, d5W0.606531, d5W0.882497, d5W1, d5W0.882497, d5W1, d6W1, d6W0.606531, d6W0.882497, d6W1, d6W0.882497, d6W1, d7W1, d7W0.606531, d7W0.882497, d7W1, d7W0.882497, d7W1, d8W1, d8W0.606531, d8W0.882497, d8W1, d8W0.882497, d8W1, d9W1, d9W0.606531, d9W0.882497, d9W1, d9W0.882497, d9W1, d10W1, d10W0.606531, d10W0.882497, d10W1, d10W0.882497, d10W1, d11W1, d11W0.606531, d11W0.882497, d11W1, d11W0.882497, d11W1, d12W1, d12W0.606531, d12W0.882497, d12W1, d12W0.882497, d12W1, d13W1, d13W0.606531, d13W0.882497, d13W1, d13W0.882497, d13W1, d14W1, d14W0.606531, d14W0.882497, d14W1, d14W0.882497, d14W1, d15W1, d15W0.606531, d15W0.882497, d15W1, d15W0.882497, d15W1, d16W1, d16W0.606531, d16W0.882497, d16W1, d16W0.882497, d16W1, d17W1, d17W0.606531, d17W0.882497, d17W1, d17W0.882497, d17W1, d18W1, d18W0.606531, d18W0.882497, d18W1, d18W0.882497, d18W1, d19W1, d19W0.606531, d19W0.882497, d19W1, d19W0.882497, d19W1, 
0, 1,0.99975,0.99975,0.995,0.9655,0.883,0.6425,0.265,0.08025,0.01875,0.0015,0.00025,0.00025,0.0005,0,0,0,0,0,0,1,1,0.99925,0.9945,0.96925,0.88125,0.63775,0.2745,0.086,0.0235,0.0055,0.0025,0.00075,0.00025,0,0,0,0,0,0,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,1997,0,3,1997,3,1997,1978,0,22,1978,22,1978,1793,3,204,1793,204,1793,1396,35,569,1396,569,1396,938,138,924,938,924,938,1025,101,874,1025,874,1025,1514,27,459,1514,459,1514,1842,4,154,1842,154,1842,1969,0,31,1969,31,1969,1991,0,9,1991,9,1991,1996,0,4,1996,4,1996,1997,0,3,1997,3,1997,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,
100, 1,0.9995,0.99675,0.99125,0.965,0.85475,0.5395,0.24325,0.08425,0.016,0.0025,0.0005,0.001,0,0,0,0,0,0,0,0.9995,0.996,0.9975,0.988,0.957,0.83425,0.5495,0.25375,0.06975,0.01425,0.0045,0.00225,0.00075,0,0,0,0,0,0,0,1999,0,1,1999,1,1999,1987,0,13,1987,13,1987,1962,0,38,1962,38,1962,1917,1,82,1917,82,1917,1741,7,252,1741,252,1741,1283,44,673,1283,673,1283,870,162,968,870,968,870,1121,87,792,1121,792,1121,1610,12,378,1610,378,1610,1866,4,130,1866,130,1866,1968,0,32,1968,32,1968,1993,0,7,1993,7,1993,1994,0,6,1994,6,1994,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,
200, 0.9995,0.99975,0.99625,0.99,0.96775,0.84125,0.53175,0.206,0.072,0.015,0.00325,0.00025,0,0,0,0,0,0,0,0,0.9995,0.99875,0.99875,0.9945,0.965,0.87025,0.54525,0.21875,0.058,0.012,0.003,0,0.0005,0.00075,0,0,0,0,0,0,1996,0,4,1996,4,1996,1991,0,9,1991,9,1991,1984,0,16,1984,16,1984,1949,0,51,1949,51,1949,1763,4,233,1763,233,1763,1356,44,600,1356,600,1356,888,164,948,888,948,888,1179,69,752,1179,752,1179,1636,11,353,1636,353,1636,1915,1,84,1915,84,1915,1975,0,25,1975,25,1975,1995,0,5,1995,5,1995,1998,0,2,1998,2,1998,1999,0,1,1999,1,1999,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,
300, 1,1,0.99675,0.98875,0.95575,0.815,0.531,0.18625,0.06475,0.011,0.0025,0,0,0,0,0,0,0,0,0,0.9995,1,0.999,0.99,0.95425,0.81275,0.5195,0.19575,0.05725,0.01275,0.00125,0.0005,0.00025,0,0,0,0,0,0,0,1999,0,1,1999,1,1999,2000,0,0,2000,0,2000,1981,0,19,1981,19,1981,1938,1,61,1938,61,1938,1733,8,259,1733,259,1733,1225,52,723,1225,723,1225,890,170,940,890,940,890,1147,78,775,1147,775,1147,1649,6,345,1649,345,1649,1918,1,81,1918,81,1918,1987,0,13,1987,13,1987,1997,0,3,1997,3,1997,1995,0,5,1995,5,1995,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,
400, 1,0.99925,0.99825,0.99025,0.959,0.87325,0.6255,0.24925,0.07,0.01125,0.0015,0.00025,0,0,0,0,0,0,0,0,1,0.99975,0.996,0.988,0.959,0.87475,0.61275,0.2625,0.074,0.01875,0.0055,0.001,0,0,0,0,0,0,0,0,1998,0,2,1998,2,1998,1996,0,4,1996,4,1996,1969,1,30,1969,30,1969,1924,0,76,1924,76,1924,1727,4,269,1727,269,1727,1367,42,591,1367,591,1367,951,126,923,951,923,951,1055,117,828,1055,828,1055,1597,13,390,1597,390,1597,1898,2,100,1898,100,1898,1973,0,27,1973,27,1973,1998,0,2,1998,2,1998,1999,0,1,1999,1,1999,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,
500, 1,1,0.99875,0.9925,0.97075,0.894,0.6605,0.32825,0.10425,0.02875,0.00625,0.00425,0.0015,0,0,0,0,0,0,0,1,1,0.999,0.9915,0.9655,0.89025,0.64675,0.3295,0.1015,0.03075,0.00525,0.0015,0.001,0,0,0,0,0,0,0,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,1993,0,7,1993,7,1993,1934,0,66,1934,66,1934,1765,8,227,1765,227,1765,1431,23,546,1431,546,1431,932,156,912,932,912,932,968,126,906,968,906,968,1426,36,538,1426,538,1426,1814,0,186,1814,186,1814,1967,0,33,1967,33,1967,1981,0,19,1981,19,1981,1993,0,7,1993,7,1993,1999,0,1,1999,1,1999,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,
600, 1,0.99975,0.99975,0.9915,0.97675,0.91275,0.68975,0.31625,0.11875,0.02875,0.003,0.00125,0.00025,0,0,0,0,0,0,0,1,1,0.99975,0.99825,0.978,0.906,0.676,0.339,0.089,0.02325,0.0065,0.00175,0,0,0,0,0,0,0,0,2000,0,0,2000,0,2000,1999,0,1,1999,1,1999,1991,0,9,1991,9,1991,1967,0,33,1967,33,1967,1819,2,179,1819,179,1819,1473,21,506,1473,506,1473,952,123,925,952,925,952,958,142,900,958,900,958,1413,32,555,1413,555,1413,1833,2,165,1833,165,1833,1961,0,39,1961,39,1961,1992,0,8,1992,8,1992,1999,0,1,1999,1,1999,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,
700, 1,0.9995,0.99825,0.99625,0.95875,0.8915,0.677,0.30125,0.0865,0.02075,0.00675,0.00025,0,0,0,0,0,0,0,0,0.999,0.997,0.9975,0.989,0.97025,0.90075,0.65675,0.31025,0.091,0.0275,0.002,0.00075,0,0,0,0,0,0,0,0,1999,0,1,1999,1,1999,1990,0,10,1990,10,1990,1983,0,17,1983,17,1983,1949,0,51,1949,51,1949,1770,6,224,1770,224,1770,1467,26,507,1467,507,1467,969,119,912,969,912,969,991,110,899,991,899,991,1498,24,478,1498,478,1498,1815,1,184,1815,184,1815,1958,0,42,1958,42,1958,1998,0,2,1998,2,1998,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,
800, 1,1,0.9985,0.99225,0.97325,0.8975,0.64725,0.31825,0.095,0.0195,0.00375,0.0005,0.00025,0,0,0,0,0,0,0,1,1,0.99775,0.993,0.9715,0.8915,0.63725,0.31925,0.095,0.0245,0.00525,0.00025,0,0,0,0,0,0,0,0,2000,0,0,2000,0,2000,1997,0,3,1997,3,1997,1985,0,15,1985,15,1985,1935,0,65,1935,65,1935,1812,5,183,1812,183,1812,1419,27,554,1419,554,1419,954,174,872,954,872,954,974,116,910,974,910,974,1431,24,545,1431,545,1431,1835,3,162,1835,162,1835,1963,0,37,1963,37,1963,1999,0,1,1999,1,1999,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,
900, 1,0.9995,0.99825,0.9915,0.971,0.90575,0.694,0.31975,0.09775,0.0285,0.006,0.0015,0.00025,0,0,0,0,0,0,0,1,0.99975,0.999,0.995,0.97425,0.898,0.68175,0.31225,0.10875,0.03225,0.0035,0.00125,0.0005,0,0,0,0,0,0,0,2000,0,0,2000,0,2000,1997,0,3,1997,3,1997,1990,0,10,1990,10,1990,1941,0,59,1941,59,1941,1814,3,183,1814,183,1814,1442,32,526,1442,526,1442,943,140,917,943,917,943,997,128,875,997,875,997,1451,30,519,1451,519,1451,1803,7,190,1803,190,1803,1953,1,46,1953,46,1953,1988,0,12,1988,12,1988,1995,0,5,1995,5,1995,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,
