gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W1, d0W0.606531, d0W1, d0W1, d0W1, d0W1, d1W1, d1W0.606531, d1W1, d1W1, d1W1, d1W1, d2W1, d2W0.606531, d2W1, d2W1, d2W1, d2W1, d3W1, d3W0.606531, d3W1, d3W1, d3W1, d3W1, d4W1, d4W0.606531, d4W1, d4W1, d4W1, d4W1, d5W1, d5W0.606531, d5W1, d5W1, d5W1, d5W1, d6W1, d6W0.606531, d6W1, d6W1, d6W1, d6W1, d7W1, d7W0.606531, d7W1, d7W1, d7W1, d7W1, d8W1, d8W0.606531, d8W1, d8W1, d8W1, d8W1, d9W1, d9W0.606531, d9W1, d9W1, d9W1, d9W1, d10W1, d10W0.606531, d10W1, d10W1, d10W1, d10W1, d11W1, d11W0.606531, d11W1, d11W1, d11W1, d11W1, d12W1, d12W0.606531, d12W1, d12W1, d12W1, d12W1, d13W1, d13W0.606531, d13W1, d13W1, d13W1, d13W1, d14W1, d14W0.606531, d14W1, d14W1, d14W1, d14W1, d15W1, d15W0.606531, d15W1, d15W1, d15W1, d15W1, d16W1, d16W0.606531, d16W1, d16W1, d16W1, d16W1, d17W1, d17W0.606531, d17W1, d17W1, d17W1, d17W1, d18W1, d18W0.606531, d18W1, d18W1, d18W1, d18W1, d19W1, d19W0.606531, d19W1, d19W1, d19W1, d19W1, 
0, 0.9715,0.9785,0.96725,0.967,0.96425,0.941,0.91125,0.8005,0.59325,0.326,0.14775,0.08175,0.03975,0.01925,0.01075,0.0095,0.003,0.004,0.00425,0.00275,0.99125,0.98675,0.98125,0.9845,0.9685,0.941,0.91,0.818,0.60725,0.31925,0.15675,0.09275,0.06,0.0225,0.0235,0.02,0.015,0.0205,0.01075,0.014,1855,1,144,1855,144,1855,1860,1,139,1860,139,1860,1800,4,196,1800,196,1800,1815,2,183,1815,183,1815,1745,5,250,1745,250,1745,1603,7,390,1603,390,1603,1441,28,531,1441,531,1441,1096,83,821,1096,821,1096,872,180,948,872,948,872,881,132,987,881,987,881,1238,58,704,1238,704,1238,1460,32,508,1460,508,1460,1670,6,324,1670,324,1670,1843,2,155,1843,155,1843,1858,0,142,1858,142,1858,1904,3,93,1904,93,1904,1923,2,75,1923,75,1923,1914,1,85,1914,85,1914,1937,0,63,1937,63,1937,1925,0,75,1925,75,1925,
100, 0.98875,0.98125,0.9765,0.9685,0.967,0.937,0.89275,0.825,0.6235,0.322,0.16625,0.108,0.059,0.03025,0.01075,0.00475,0.00975,0.0125,0.01775,0.01125,0.9935,0.99175,0.9765,0.96625,0.9585,0.9355,0.86775,0.803,0.60425,0.308,0.154,0.0945,0.07,0.0435,0.0295,0.01275,0.01275,0.008,0.00725,0.007,1927,1,72,1927,72,1927,1908,0,92,1908,92,1908,1831,0,169,1831,169,1831,1781,8,211,1781,211,1781,1720,2,278,1720,278,1720,1585,13,402,1585,402,1585,1319,47,634,1319,634,1319,1071,97,832,1071,832,1071,864,171,965,864,965,864,894,127,979,894,979,894,1154,90,756,1154,756,1154,1420,32,548,1420,548,1420,1591,8,401,1591,401,1591,1716,7,277,1716,277,1716,1850,2,148,1850,148,1850,1933,1,66,1933,66,1933,1911,0,89,1911,89,1911,1923,1,76,1923,76,1923,1907,0,93,1907,93,1907,1914,0,86,1914,86,1914,
200, 0.98875,0.9895,0.9775,0.9685,0.96825,0.93625,0.887,0.78375,0.5685,0.30925,0.164,0.07725,0.04775,0.0235,0.017,0.015,0.0025,0.006,0.00675,0.0105,0.97025,0.975,0.97,0.97025,0.97225,0.953,0.90175,0.80675,0.57925,0.3195,0.16525,0.09125,0.07025,0.054,0.03275,0.0255,0.0145,0.01225,0.017,0.0215,1849,1,150,1849,150,1849,1858,0,142,1858,142,1858,1809,0,191,1809,191,1809,1779,6,215,1779,215,1779,1777,3,220,1777,220,1777,1614,11,375,1614,375,1614,1371,26,603,1371,603,1371,1108,66,826,1108,826,1108,882,169,949,882,949,882,924,155,921,924,921,924,1166,58,776,1166,776,1166,1474,23,503,1474,503,1474,1640,12,348,1640,348,1640,1708,7,285,1708,285,1708,1830,4,166,1830,166,1830,1858,3,139,1858,139,1858,1927,1,72,1927,72,1927,1926,1,73,1926,73,1926,1914,2,84,1914,84,1914,1873,1,126,1873,126,1873,
300, 0.97575,0.974,0.98075,0.9835,0.96475,0.9425,0.89625,0.8185,0.592,0.33225,0.15825,0.09625,0.05675,0.02675,0.01925,0.014,0.0085,0.01275,0.0055,0.003,0.9935,0.99475,0.98475,0.98475,0.97075,0.9365,0.89625,0.8075,0.60075,0.32925,0.1615,0.08775,0.058,0.03875,0.03,0.026,0.016,0.02375,0.017,0.01775,1887,2,111,1887,111,1887,1875,1,124,1875,124,1875,1870,2,128,1870,128,1870,1878,0,122,1878,122,1878,1769,5,226,1769,226,1769,1562,12,426,1562,426,1562,1429,28,543,1429,543,1429,1125,88,787,1125,787,1125,847,189,964,847,964,847,915,143,942,915,942,915,1160,55,785,1160,785,1160,1414,29,557,1414,557,1414,1610,5,385,1610,385,1610,1755,7,238,1755,238,1755,1825,0,175,1825,175,1825,1864,1,135,1864,135,1864,1895,1,104,1895,104,1895,1882,1,117,1882,117,1882,1913,0,87,1913,87,1913,1899,0,101,1899,101,1899,
400, 0.977,0.9755,0.967,0.9565,0.9625,0.9335,0.8765,0.80225,0.61325,0.3285,0.178,0.08875,0.05475,0.02975,0.0225,0.01,0.00675,0.00875,0.0095,0.01475,0.99275,0.99075,0.989,0.98425,0.97025,0.93275,0.885,0.794,0.6165,0.3355,0.162,0.08575,0.054,0.02525,0.02525,0.02675,0.01875,0.017,0.01925,0.01475,1888,2,110,1888,110,1888,1861,1,138,1861,138,1861,1823,1,176,1823,176,1823,1792,3,205,1792,205,1792,1741,5,254,1741,254,1741,1521,21,458,1521,458,1521,1336,58,606,1336,606,1336,1104,87,809,1104,809,1104,904,165,931,904,931,904,900,158,942,900,942,900,1196,54,750,1196,750,1196,1426,33,541,1426,541,1426,1626,10,364,1626,364,1626,1797,4,199,1797,199,1797,1823,0,177,1823,177,1823,1838,3,159,1838,159,1838,1896,1,103,1896,103,1896,1909,2,89,1909,89,1909,1897,1,102,1897,102,1897,1900,0,100,1900,100,1900,
500, 0.99175,0.989,0.989,0.9805,0.95525,0.94175,0.9085,0.81325,0.593,0.3215,0.1445,0.0825,0.05325,0.04975,0.03075,0.0245,0.013,0.0075,0.00825,0.0075,0.97125,0.97875,0.97725,0.972,0.94825,0.92875,0.9165,0.79325,0.5955,0.32025,0.154,0.085,0.05075,0.03825,0.03125,0.014,0.0135,0.0115,0.01275,0.01,1867,1,132,1867,132,1867,1860,0,140,1860,140,1860,1862,2,136,1862,136,1862,1840,3,157,1840,157,1840,1678,11,311,1678,311,1678,1545,18,437,1545,437,1545,1455,30,515,1455,515,1455,1108,82,810,1108,810,1108,892,172,936,892,936,892,956,139,905,956,905,956,1212,65,723,1212,723,1212,1448,26,526,1448,526,1448,1612,9,379,1612,379,1612,1696,5,299,1696,299,1696,1772,2,226,1772,226,1772,1859,1,140,1859,140,1859,1905,0,95,1905,95,1905,1921,0,79,1921,79,1921,1912,0,88,1912,88,1912,1938,0,62,1938,62,1938,
600, 0.99375,0.98625,0.9805,0.959,0.955,0.954,0.893,0.79525,0.5705,0.31475,0.18625,0.112,0.07275,0.03,0.02125,0.01175,0.00575,0.00825,0.00425,0.00675,0.98775,0.988,0.9825,0.96675,0.95425,0.92425,0.88875,0.7965,0.58525,0.32875,0.1695,0.09775,0.05225,0.0235,0.015,0.00725,0.01025,0.01525,0.00825,0.00625,1919,0,81,1919,81,1919,1908,2,90,1908,90,1908,1861,3,136,1861,136,1861,1723,7,270,1723,270,1723,1676,10,314,1676,314,1676,1587,9,404,1587,404,1587,1349,37,614,1349,614,1349,1113,90,797,1113,797,1113,870,194,936,870,936,870,875,157,968,875,968,875,1146,76,778,1146,778,1146,1363,28,609,1363,609,1363,1590,12,398,1590,398,1590,1797,3,200,1797,200,1797,1862,1,137,1862,137,1862,1933,0,67,1933,67,1933,1937,1,62,1937,62,1937,1904,2,94,1904,94,1904,1959,0,41,1959,41,1959,1947,0,53,1947,53,1947,
700, 0.98725,0.981,0.97625,0.9705,0.95925,0.94225,0.89375,0.80625,0.64725,0.375,0.1565,0.086,0.05675,0.05025,0.035,0.0185,0.00875,0.01025,0.00425,0.006,0.97525,0.9795,0.958,0.9625,0.9355,0.938,0.892,0.7935,0.6525,0.35275,0.16225,0.08975,0.05925,0.03475,0.02525,0.01975,0.01375,0.0175,0.0175,0.01425,1862,2,136,1862,136,1862,1845,0,155,1845,155,1845,1768,2,230,1768,230,1768,1736,4,260,1736,260,1736,1647,4,349,1647,349,1647,1587,9,404,1587,404,1587,1403,34,563,1403,563,1403,1096,76,828,1096,828,1096,873,174,953,873,953,873,918,138,944,918,944,918,1197,73,730,1197,730,1197,1451,21,528,1451,528,1451,1593,10,397,1593,397,1593,1740,7,253,1740,253,1740,1773,3,224,1773,224,1773,1860,0,140,1860,140,1860,1917,2,81,1917,81,1917,1890,1,109,1890,109,1890,1895,1,104,1895,104,1895,1915,0,85,1915,85,1915,
800, 0.991,0.991,0.9815,0.97675,0.96725,0.94825,0.91725,0.82075,0.672,0.3885,0.1865,0.079,0.04975,0.02775,0.0215,0.0115,0.005,0.00625,0.0015,0,0.98975,0.99175,0.98675,0.981,0.98375,0.957,0.91,0.834,0.654,0.4165,0.19075,0.09425,0.0455,0.02,0.01975,0.0265,0.017,0.00725,0.01025,0.01725,1922,1,77,1922,77,1922,1929,0,71,1929,71,1929,1861,3,136,1861,136,1861,1863,0,137,1863,137,1863,1824,3,173,1824,173,1824,1674,12,314,1674,314,1674,1459,23,518,1459,518,1459,1179,74,747,1179,747,1179,920,151,929,920,929,920,843,182,975,843,975,843,1094,89,817,1094,817,1094,1471,20,509,1471,509,1471,1681,4,315,1681,315,1681,1814,7,179,1814,179,1814,1837,0,163,1837,163,1837,1854,1,145,1854,145,1854,1914,0,86,1914,86,1914,1954,0,46,1954,46,1954,1943,0,57,1943,57,1943,1928,0,72,1928,72,1928,
900, 0.99025,0.9865,0.9915,0.9845,0.97825,0.9505,0.909,0.83025,0.64075,0.38275,0.1915,0.084,0.053,0.0345,0.02925,0.0175,0.00875,0.0055,0.00525,0.0025,0.98475,0.988,0.98,0.975,0.96,0.93925,0.909,0.815,0.6405,0.356,0.18225,0.08075,0.04925,0.03,0.02275,0.0175,0.01475,0.015,0.011,0.00675,1893,0,107,1893,107,1893,1911,0,89,1911,89,1911,1891,1,108,1891,108,1891,1848,0,152,1848,152,1848,1771,4,225,1771,225,1771,1599,12,389,1599,389,1599,1473,25,502,1473,502,1473,1130,76,794,1130,794,1130,876,152,972,876,972,876,858,169,973,858,973,858,1124,71,805,1124,805,1124,1456,31,513,1456,513,1456,1641,4,355,1641,355,1641,1737,4,259,1737,259,1737,1830,1,169,1830,169,1830,1874,1,125,1874,125,1874,1904,0,96,1904,96,1904,1922,1,77,1922,77,1922,1946,0,54,1946,54,1946,1960,0,40,1960,40,1960,
