gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W1, d0W0.367879, d0W1, d0W1, d0W1, d0W1, d1W1, d1W0.367879, d1W1, d1W1, d1W1, d1W1, d2W1, d2W0.367879, d2W1, d2W1, d2W1, d2W1, d3W1, d3W0.367879, d3W1, d3W1, d3W1, d3W1, d4W1, d4W0.367879, d4W1, d4W1, d4W1, d4W1, d5W1, d5W0.367879, d5W1, d5W1, d5W1, d5W1, d6W1, d6W0.367879, d6W1, d6W1, d6W1, d6W1, d7W1, d7W0.367879, d7W1, d7W1, d7W1, d7W1, d8W1, d8W0.367879, d8W1, d8W1, d8W1, d8W1, d9W1, d9W0.367879, d9W1, d9W1, d9W1, d9W1, d10W1, d10W0.367879, d10W1, d10W1, d10W1, d10W1, d11W1, d11W0.367879, d11W1, d11W1, d11W1, d11W1, d12W1, d12W0.367879, d12W1, d12W1, d12W1, d12W1, d13W1, d13W0.367879, d13W1, d13W1, d13W1, d13W1, d14W1, d14W0.367879, d14W1, d14W1, d14W1, d14W1, d15W1, d15W0.367879, d15W1, d15W1, d15W1, d15W1, d16W1, d16W0.367879, d16W1, d16W1, d16W1, d16W1, d17W1, d17W0.367879, d17W1, d17W1, d17W1, d17W1, d18W1, d18W0.367879, d18W1, d18W1, d18W1, d18W1, d19W1, d19W0.367879, d19W1, d19W1, d19W1, d19W1, 
0, 0.98875,0.9895,0.98025,0.974,0.955,0.9275,0.83325,0.58275,0.2615,0.102,0.066,0.03025,0.0205,0.01475,0.0105,0.00375,0.00475,0.0095,0.01775,0.019,0.99575,0.9955,0.984,0.9725,0.95075,0.924,0.82725,0.586,0.26525,0.10975,0.06175,0.03525,0.0165,0.01125,0.01025,0.012,0.01375,0.01275,0.01375,0.0165,1945,0,55,1945,55,1945,1943,1,56,1943,56,1943,1880,1,119,1880,119,1880,1811,4,185,1811,185,1811,1678,7,315,1678,315,1678,1500,17,483,1500,483,1500,1187,70,743,1187,743,1187,930,146,924,930,924,930,1010,123,867,1010,867,1010,1368,37,595,1368,595,1368,1564,21,415,1564,415,1564,1792,2,206,1792,206,1792,1854,2,144,1854,144,1854,1901,2,97,1901,97,1901,1919,1,80,1919,80,1919,1945,0,55,1945,55,1945,1942,0,58,1942,58,1942,1905,1,94,1905,94,1905,1862,2,136,1862,136,1862,1865,1,134,1865,134,1865,
100, 0.985,0.98775,0.98225,0.969,0.953,0.90275,0.777,0.495,0.23125,0.0975,0.03775,0.0305,0.0285,0.017,0.01225,0.01125,0.0075,0.0125,0.016,0.01875,0.99175,0.98525,0.988,0.976,0.96425,0.9205,0.79175,0.506,0.24325,0.11175,0.05125,0.038,0.024,0.01475,0.00675,0.01075,0.014,0.007,0.00575,0.01175,1919,0,81,1919,81,1919,1890,0,110,1890,110,1890,1905,1,94,1905,94,1905,1813,2,185,1813,185,1813,1700,10,290,1700,290,1700,1496,19,485,1496,485,1496,1054,98,848,1054,848,1054,880,168,952,880,952,880,1042,118,840,1042,840,1042,1387,28,585,1387,585,1387,1695,6,299,1695,299,1695,1749,5,246,1749,246,1749,1796,4,200,1796,200,1796,1853,4,143,1853,143,1853,1933,0,67,1933,67,1933,1916,1,83,1916,83,1916,1922,0,78,1922,78,1922,1932,0,68,1932,68,1932,1902,0,98,1902,98,1902,1894,0,106,1894,106,1894,
200, 0.9795,0.977,0.9805,0.97475,0.955,0.88875,0.7345,0.47925,0.21175,0.10625,0.04075,0.022,0.015,0.00725,0.0045,0.00475,0.004,0.0015,0.00575,0.0105,0.98825,0.9865,0.97075,0.97575,0.9505,0.90925,0.7465,0.46,0.21775,0.0955,0.045,0.02625,0.0185,0.01725,0.014,0.008,0.003,0.00075,0.00025,0.002,1875,1,124,1875,124,1875,1861,0,139,1861,139,1861,1833,3,164,1833,164,1833,1784,4,212,1784,212,1784,1682,9,309,1682,309,1682,1388,29,583,1388,583,1388,1024,110,866,1024,866,1024,914,152,934,914,934,914,1055,87,858,1055,858,1055,1423,20,557,1423,557,1423,1672,10,318,1672,318,1672,1806,1,193,1806,193,1806,1895,0,105,1895,105,1895,1901,2,97,1901,97,1901,1922,0,78,1922,78,1922,1947,0,53,1947,53,1947,1975,0,25,1975,25,1975,1985,0,15,1985,15,1985,1986,0,14,1986,14,1986,1942,0,58,1942,58,1942,
300, 0.98825,0.97975,0.98025,0.96025,0.946,0.89125,0.7565,0.44275,0.185,0.08,0.05,0.0405,0.01975,0.01125,0.0065,0.00525,0.004,0.0025,0.00475,0.001,0.98,0.97875,0.973,0.96425,0.946,0.8745,0.73,0.447,0.19175,0.0855,0.04475,0.0225,0.00975,0.012,0.01425,0.012,0.005,0.002,0,0,1874,0,126,1874,126,1874,1861,0,139,1861,139,1861,1835,2,163,1835,163,1835,1724,8,268,1724,268,1724,1649,9,342,1649,342,1649,1382,35,583,1382,583,1382,1023,98,879,1023,879,1023,912,142,946,912,946,912,1106,85,809,1106,809,1106,1426,28,546,1426,546,1426,1640,14,346,1640,346,1640,1745,7,248,1745,248,1745,1897,0,103,1897,103,1897,1895,1,104,1895,104,1895,1899,0,101,1899,101,1899,1930,0,70,1930,70,1930,1967,0,33,1967,33,1967,1989,0,11,1989,11,1989,1984,0,16,1984,16,1984,1995,0,5,1995,5,1995,
400, 0.983,0.9755,0.9675,0.9595,0.9395,0.88,0.7445,0.447,0.18725,0.09675,0.0475,0.0215,0.013,0.0125,0.00925,0.01325,0.00975,0.004,0.004,0.00425,0.97525,0.98225,0.97375,0.96875,0.953,0.8795,0.751,0.43675,0.2015,0.0865,0.04,0.02075,0.017,0.0055,0.0015,0.001,0.00325,0.00175,0.00025,0.002,1853,4,143,1853,143,1853,1819,0,181,1819,181,1819,1793,2,205,1793,205,1793,1760,4,236,1760,236,1760,1615,10,375,1615,375,1615,1282,39,679,1282,679,1282,1080,108,812,1080,812,1080,910,170,920,910,920,910,1135,79,786,1135,786,1135,1455,23,522,1455,522,1455,1688,5,307,1688,307,1688,1830,2,168,1830,168,1830,1888,0,112,1888,112,1888,1932,0,68,1932,68,1932,1949,1,50,1949,50,1949,1946,0,54,1946,54,1946,1947,0,53,1947,53,1947,1984,0,16,1984,16,1984,1983,0,17,1983,17,1983,1979,0,21,1979,21,1979,
500, 0.98425,0.9875,0.987,0.97425,0.9385,0.888,0.7425,0.43625,0.16525,0.089,0.04775,0.02725,0.01525,0.01,0.01025,0.00625,0.00775,0.00425,0.00375,0.00675,0.9845,0.98275,0.97025,0.95875,0.9355,0.89025,0.75275,0.4335,0.19825,0.08425,0.04175,0.01875,0.0135,0.00875,0.00675,0.00075,0,0,0.0005,0.00325,1867,1,132,1867,132,1867,1890,1,109,1890,109,1890,1840,0,160,1840,160,1840,1767,5,228,1767,228,1767,1605,14,381,1605,381,1605,1402,34,564,1402,564,1402,1005,104,891,1005,891,1005,899,132,969,899,969,899,1133,74,793,1133,793,1133,1461,22,517,1461,517,1461,1658,12,330,1658,330,1658,1848,3,149,1848,149,1848,1888,1,111,1888,111,1888,1907,1,92,1907,92,1907,1936,0,64,1936,64,1936,1973,0,27,1973,27,1973,1973,0,27,1973,27,1973,1980,0,20,1980,20,1980,1980,0,20,1980,20,1980,1966,0,34,1966,34,1966,
600, 0.98525,0.97975,0.98175,0.9755,0.93925,0.882,0.7375,0.4835,0.19925,0.089,0.048,0.028,0.01025,0.00925,0.005,0.00175,0.00225,0.0045,0.007,0.00325,0.9895,0.98475,0.98,0.9615,0.93275,0.90175,0.7635,0.4805,0.1975,0.07775,0.047,0.03,0.0165,0.007,0.00525,0.00225,0.0025,0.001,0,0,1916,1,83,1916,83,1916,1857,2,141,1857,141,1857,1850,2,148,1850,148,1850,1757,5,238,1757,238,1757,1567,9,424,1567,424,1567,1371,38,591,1371,591,1371,1044,101,855,1044,855,1044,872,151,977,872,977,872,1151,62,787,1151,787,1151,1490,18,492,1490,492,1490,1663,9,328,1663,328,1663,1770,5,225,1770,225,1770,1889,1,110,1889,110,1889,1930,0,70,1930,70,1930,1960,0,40,1960,40,1960,1984,0,16,1984,16,1984,1982,0,18,1982,18,1982,1981,0,19,1981,19,1981,1965,0,35,1965,35,1965,1987,0,13,1987,13,1987,
700, 0.988,0.986,0.975,0.965,0.93875,0.88,0.704,0.45425,0.21,0.082,0.04975,0.025,0.02175,0.0265,0.02075,0.0135,0.0075,0.00325,0.00575,0.006,0.986,0.989,0.982,0.976,0.93925,0.89075,0.70525,0.424,0.19925,0.085,0.052,0.023,0.01375,0.01125,0.01,0.00325,0.00525,0.00075,0.00125,0.0025,1887,1,112,1887,112,1887,1910,0,90,1910,90,1910,1850,0,150,1850,150,1850,1775,2,223,1775,223,1775,1605,13,382,1605,382,1605,1355,32,613,1355,613,1355,993,111,896,993,896,993,929,137,934,929,934,929,1140,76,784,1140,784,1140,1484,31,485,1484,485,1484,1653,14,333,1653,333,1653,1791,0,209,1791,209,1791,1872,0,128,1872,128,1872,1852,0,148,1852,148,1852,1888,2,110,1888,110,1888,1950,0,50,1950,50,1950,1958,0,42,1958,42,1958,1986,0,14,1986,14,1986,1975,0,25,1975,25,1975,1975,0,25,1975,25,1975,
800, 0.985,0.98625,0.9755,0.96375,0.953,0.89175,0.72275,0.42975,0.18475,0.0955,0.05525,0.02375,0.024,0.01675,0.01275,0.0085,0.003,0.00375,0.00075,0.00025,0.9895,0.98275,0.98575,0.98325,0.94,0.87475,0.7325,0.4195,0.19825,0.08475,0.057,0.031,0.0125,0.00925,0.00825,0.00975,0.006,0.00475,0.00525,0.004,1909,1,90,1909,90,1909,1886,1,113,1886,113,1886,1837,2,161,1837,161,1837,1788,5,207,1788,207,1788,1605,16,379,1605,379,1605,1350,42,608,1350,608,1350,1002,118,880,1002,880,1002,886,146,968,886,968,886,1167,70,763,1167,763,1167,1425,24,551,1425,551,1425,1590,13,397,1590,397,1590,1787,4,209,1787,209,1787,1874,0,126,1874,126,1874,1889,0,111,1889,111,1889,1901,0,99,1901,99,1901,1929,0,71,1929,71,1929,1961,0,39,1961,39,1961,1961,0,39,1961,39,1961,1975,0,25,1975,25,1975,1983,0,17,1983,17,1983,
900, 0.98475,0.9785,0.97775,0.9675,0.93325,0.878,0.72825,0.438,0.199,0.0945,0.0495,0.018,0.0105,0.011,0.008,0.00375,0.0035,0.00525,0.003,0.00225,0.98375,0.978,0.97325,0.96625,0.9495,0.88375,0.71975,0.44725,0.206,0.091,0.0455,0.0145,0.00825,0.00675,0.00825,0.013,0.01975,0.00875,0.00475,0.00875,1855,2,143,1855,143,1855,1858,1,141,1858,141,1858,1809,2,189,1809,189,1809,1750,5,245,1750,245,1750,1610,13,377,1610,377,1610,1371,38,591,1371,591,1371,1007,137,856,1007,856,1007,866,166,968,866,968,866,1097,91,812,1097,812,1097,1433,25,542,1433,542,1433,1675,8,317,1675,317,1675,1867,1,132,1867,132,1867,1923,1,76,1923,76,1923,1926,0,74,1926,74,1926,1942,0,58,1942,58,1942,1928,0,72,1928,72,1928,1924,0,76,1924,76,1924,1941,1,58,1941,58,1941,1967,0,33,1967,33,1967,1961,0,39,1961,39,1961,
