gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W1, d0W0.367879, d0W0.778801, d0W1, d0W0.778801, d0W1, d1W1, d1W0.367879, d1W0.778801, d1W1, d1W0.778801, d1W1, d2W1, d2W0.367879, d2W0.778801, d2W1, d2W0.778801, d2W1, d3W1, d3W0.367879, d3W0.778801, d3W1, d3W0.778801, d3W1, d4W1, d4W0.367879, d4W0.778801, d4W1, d4W0.778801, d4W1, d5W1, d5W0.367879, d5W0.778801, d5W1, d5W0.778801, d5W1, d6W1, d6W0.367879, d6W0.778801, d6W1, d6W0.778801, d6W1, d7W1, d7W0.367879, d7W0.778801, d7W1, d7W0.778801, d7W1, d8W1, d8W0.367879, d8W0.778801, d8W1, d8W0.778801, d8W1, d9W1, d9W0.367879, d9W0.778801, d9W1, d9W0.778801, d9W1, d10W1, d10W0.367879, d10W0.778801, d10W1, d10W0.778801, d10W1, d11W1, d11W0.367879, d11W0.778801, d11W1, d11W0.778801, d11W1, d12W1, d12W0.367879, d12W0.778801, d12W1, d12W0.778801, d12W1, d13W1, d13W0.367879, d13W0.778801, d13W1, d13W0.778801, d13W1, d14W1, d14W0.367879, d14W0.778801, d14W1, d14W0.778801, d14W1, d15W1, d15W0.367879, d15W0.778801, d15W1, d15W0.778801, d15W1, d16W1, d16W0.367879, d16W0.778801, d16W1, d16W0.778801, d16W1, d17W1, d17W0.367879, d17W0.778801, d17W1, d17W0.778801, d17W1, d18W1, d18W0.367879, d18W0.778801, d18W1, d18W0.778801, d18W1, d19W1, d19W0.367879, d19W0.778801, d19W1, d19W0.778801, d19W1, 
0, 1,1,0.9995,0.99975,0.999,0.99825,0.9945,0.9855,0.9595,0.9075,0.81525,0.65225,0.4455,0.25325,0.14525,0.0655,0.02125,0.0115,0.00425,0.00175,1,1,0.99975,0.99875,0.99925,0.99675,0.993,0.98375,0.957,0.903,0.80925,0.663,0.45275,0.26,0.14325,0.07275,0.02175,0.0105,0.00525,0.003,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,1999,0,1,1999,1,1999,1991,0,9,1991,9,1991,1991,0,9,1991,9,1991,1979,0,21,1979,21,1979,1969,0,31,1969,31,1969,1889,2,109,1889,109,1889,1752,8,240,1752,240,1752,1500,27,473,1500,473,1500,1250,64,686,1250,686,1250,1037,106,857,1037,857,1037,1003,111,886,1003,886,1003,1153,85,762,1153,762,1153,1345,39,616,1345,616,1345,1625,15,360,1625,360,1625,1836,5,159,1836,159,1836,1923,0,77,1923,77,1923,1954,0,46,1954,46,1954,1974,0,26,1974,26,1974,
100, 1,1,1,0.99975,0.9995,0.999,0.99025,0.982,0.951,0.88975,0.762,0.61525,0.42375,0.2525,0.12725,0.05775,0.02275,0.00825,0.00225,0.00125,1,1,1,0.99975,0.99875,0.99625,0.992,0.98,0.9465,0.88925,0.77025,0.61,0.42275,0.268,0.12975,0.0555,0.02,0.0055,0.0045,0.0025,2000,0,0,2000,0,2000,1999,0,1,1999,1,1999,1998,0,2,1998,2,1998,1997,0,3,1997,3,1997,1990,0,10,1990,10,1990,1977,0,23,1977,23,1977,1946,0,54,1946,54,1946,1868,0,132,1868,132,1868,1732,6,262,1732,262,1732,1437,24,539,1437,539,1437,1201,81,718,1201,718,1201,1003,113,884,1003,884,1003,1024,116,860,1024,860,1024,1144,95,761,1144,761,1144,1418,33,549,1418,549,1418,1654,10,336,1654,336,1654,1834,3,163,1834,163,1834,1949,0,51,1949,51,1949,1966,1,33,1966,33,1966,1984,0,16,1984,16,1984,
200, 1,1,1,1,0.9995,0.99775,0.99175,0.97675,0.951,0.88675,0.782,0.61675,0.414,0.23875,0.12225,0.051,0.0205,0.0085,0.00325,0.00175,1,1,1,0.9995,0.999,0.99775,0.99175,0.97875,0.94525,0.8815,0.7785,0.60825,0.39825,0.2305,0.12125,0.06,0.02525,0.01275,0.00525,0.00375,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,1991,0,9,1991,9,1991,1981,0,19,1981,19,1981,1953,1,46,1953,46,1953,1871,2,127,1871,127,1871,1709,9,282,1709,282,1709,1488,26,486,1488,486,1488,1180,65,755,1180,755,1180,1032,102,866,1032,866,1032,1024,111,865,1024,865,1024,1201,62,737,1201,737,1201,1470,24,506,1470,506,1470,1697,12,291,1697,291,1697,1856,1,143,1856,143,1856,1925,0,75,1925,75,1925,1967,0,33,1967,33,1967,1971,0,29,1971,29,1971,
300, 1,1,1,0.99925,0.99825,0.997,0.99325,0.981,0.94875,0.89625,0.77675,0.60375,0.42475,0.238,0.11925,0.05025,0.023,0.00875,0.00525,0.00275,1,1,1,0.99975,0.999,0.9965,0.9935,0.98425,0.9525,0.889,0.77425,0.6085,0.43475,0.234,0.12375,0.0455,0.0225,0.007,0.003,0.00075,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,1993,0,7,1993,7,1993,1985,0,15,1985,15,1985,1979,0,21,1979,21,1979,1953,0,47,1953,47,1953,1866,7,127,1866,127,1866,1725,7,268,1725,268,1725,1475,24,501,1475,501,1475,1206,74,720,1206,720,1206,1041,89,870,1041,870,1041,989,86,925,989,925,989,1174,69,757,1174,757,1174,1426,29,545,1426,545,1426,1705,10,285,1705,285,1705,1841,0,159,1841,159,1841,1950,0,50,1950,50,1950,1980,0,20,1980,20,1980,1979,0,21,1979,21,1979,
400, 1,1,1,0.99975,0.99775,0.996,0.995,0.984,0.957,0.9145,0.80525,0.65275,0.456,0.26775,0.1375,0.061,0.02825,0.00875,0.003,0.0015,1,1,1,1,0.99925,0.998,0.99425,0.98525,0.95675,0.914,0.80975,0.6385,0.435,0.26275,0.13275,0.0655,0.02825,0.0125,0.00575,0.0015,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,1999,0,1,1999,1,1999,1992,0,8,1992,8,1992,1975,0,25,1975,25,1975,1949,0,51,1949,51,1949,1881,0,119,1881,119,1881,1739,6,255,1739,255,1739,1532,22,446,1532,446,1532,1241,58,701,1241,701,1241,1014,112,874,1014,874,1014,975,114,911,975,911,975,1184,81,735,1184,735,1184,1433,39,528,1433,528,1433,1620,10,370,1620,370,1620,1838,2,160,1838,160,1838,1931,1,68,1931,68,1931,1972,0,28,1972,28,1972,1982,0,18,1982,18,1982,
500, 1,1,1,1,0.999,0.996,0.99075,0.97625,0.94525,0.87775,0.758,0.56775,0.3675,0.19625,0.0965,0.046,0.01825,0.00675,0.004,0.002,1,1,1,0.9995,0.999,0.99875,0.9935,0.9775,0.9365,0.87575,0.745,0.55525,0.3755,0.19925,0.09325,0.05025,0.0205,0.008,0.003,0.00225,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,1997,0,3,1997,3,1997,1974,0,26,1974,26,1974,1933,1,66,1933,66,1933,1833,3,164,1833,164,1833,1689,8,303,1689,303,1689,1454,32,514,1454,514,1454,1150,74,776,1150,776,1150,984,117,899,984,899,984,1050,99,851,1050,851,1050,1276,53,671,1276,671,1276,1512,27,461,1512,461,1512,1720,7,273,1720,273,1720,1860,5,135,1860,135,1860,1929,0,71,1929,71,1929,1978,0,22,1978,22,1978,1988,0,12,1988,12,1988,
600, 1,1,0.99975,0.99925,0.998,0.99575,0.98975,0.9785,0.94825,0.88725,0.76675,0.6165,0.4055,0.23075,0.10825,0.06125,0.02075,0.008,0.00475,0.00175,1,1,1,1,0.99975,0.997,0.9925,0.9805,0.96025,0.883,0.77025,0.5995,0.40125,0.24825,0.114,0.05525,0.02725,0.00975,0.004,0.00275,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,1995,0,5,1995,5,1995,1989,0,11,1989,11,1989,1984,0,16,1984,16,1984,1950,0,50,1950,50,1950,1853,2,145,1853,145,1853,1692,8,300,1692,300,1692,1485,28,487,1485,487,1485,1182,66,752,1182,752,1182,1015,106,879,1015,879,1015,1025,104,871,1025,871,1025,1199,64,737,1199,737,1199,1467,24,509,1467,509,1467,1708,7,285,1708,285,1708,1868,3,129,1868,129,1868,1930,0,70,1930,70,1930,1973,0,27,1973,27,1973,1973,0,27,1973,27,1973,
700, 1,1,1,0.99975,0.9995,0.99775,0.99525,0.9825,0.9535,0.905,0.7995,0.6365,0.43075,0.25025,0.13225,0.0605,0.026,0.0105,0.00375,0.00275,1,1,1,1,0.99975,0.99825,0.9965,0.98475,0.95475,0.902,0.8005,0.64175,0.4465,0.267,0.1385,0.05725,0.0255,0.01625,0.006,0.00475,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,1995,0,5,1995,5,1995,1979,0,21,1979,21,1979,1957,0,43,1957,43,1957,1889,3,108,1889,108,1889,1744,4,252,1744,252,1744,1534,24,442,1534,442,1534,1270,57,673,1270,673,1270,1043,91,866,1043,866,1043,1009,97,894,1009,894,1009,1164,73,763,1164,763,1164,1366,36,598,1366,598,1366,1658,16,326,1658,326,1658,1816,4,180,1816,180,1816,1913,0,87,1913,87,1913,1960,0,40,1960,40,1960,1983,0,17,1983,17,1983,
800, 1,1,1,0.99975,0.999,0.99725,0.994,0.98375,0.955,0.91075,0.795,0.62825,0.44925,0.25825,0.14575,0.0585,0.0245,0.01025,0.003,0.002,1,1,1,1,0.99975,0.99825,0.993,0.98075,0.9625,0.90375,0.802,0.63075,0.4345,0.269,0.13175,0.05725,0.025,0.00875,0.0045,0.00275,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,1998,0,2,1998,2,1998,1994,0,6,1994,6,1994,1985,0,15,1985,15,1985,1944,1,55,1944,55,1944,1905,1,94,1905,94,1905,1738,6,256,1738,256,1738,1522,14,464,1522,464,1522,1257,54,689,1257,689,1257,1069,101,830,1069,830,1069,1000,120,880,1000,880,1000,1122,70,808,1122,808,1122,1402,51,547,1402,547,1402,1695,16,289,1695,289,1695,1853,4,143,1853,143,1853,1937,0,63,1937,63,1937,1974,0,26,1974,26,1974,1987,0,13,1987,13,1987,
900, 1,1,1,0.9995,0.99825,0.997,0.99375,0.98425,0.9655,0.913,0.82525,0.6745,0.513,0.3435,0.17975,0.0885,0.03325,0.01325,0.0045,0.00325,1,1,0.99925,0.9995,0.99975,0.99675,0.99475,0.984,0.96725,0.92575,0.83525,0.68375,0.51075,0.3165,0.17825,0.0765,0.02925,0.01125,0.00375,0.005,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,1998,0,2,1998,2,1998,1996,0,4,1996,4,1996,1991,0,9,1991,9,1991,1989,0,11,1989,11,1989,1961,0,39,1961,39,1961,1892,2,106,1892,106,1892,1768,4,228,1768,228,1768,1591,17,392,1591,392,1591,1315,49,636,1315,636,1315,1086,99,815,1086,815,1086,983,136,881,983,881,983,1116,83,801,1116,801,1116,1299,52,649,1299,649,1299,1573,22,405,1573,405,1573,1767,8,225,1767,225,1767,1919,1,80,1919,80,1919,1960,0,40,1960,40,1960,1975,0,25,1975,25,1975,
