gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W1, d0W0.449329, d0W0.45578, d0W1, d0W0.45578, d0W0.449329, d1W1, d1W0.449329, d1W0.45578, d1W1, d1W0.45578, d1W0.449329, d2W1, d2W0.449329, d2W0.45578, d2W1, d2W0.45578, d2W0.449329, d3W1, d3W0.449329, d3W0.45578, d3W1, d3W0.45578, d3W0.449329, d4W1, d4W0.449329, d4W0.45578, d4W1, d4W0.45578, d4W0.449329, d5W1, d5W0.449329, d5W0.45578, d5W1, d5W0.45578, d5W0.449329, d6W1, d6W0.449329, d6W0.45578, d6W1, d6W0.45578, d6W0.449329, d7W1, d7W0.449329, d7W0.45578, d7W1, d7W0.45578, d7W0.449329, d8W1, d8W0.449329, d8W0.45578, d8W1, d8W0.45578, d8W0.449329, d9W1, d9W0.449329, d9W0.45578, d9W1, d9W0.45578, d9W0.449329, d10W1, d10W0.449329, d10W0.45578, d10W1, d10W0.45578, d10W0.449329, d11W1, d11W0.449329, d11W0.45578, d11W1, d11W0.45578, d11W0.449329, d12W1, d12W0.449329, d12W0.45578, d12W1, d12W0.45578, d12W0.449329, d13W1, d13W0.449329, d13W0.45578, d13W1, d13W0.45578, d13W0.449329, d14W1, d14W0.449329, d14W0.45578, d14W1, d14W0.45578, d14W0.449329, d15W1, d15W0.449329, d15W0.45578, d15W1, d15W0.45578, d15W0.449329, d16W1, d16W0.449329, d16W0.45578, d16W1, d16W0.45578, d16W0.449329, d17W1, d17W0.449329, d17W0.45578, d17W1, d17W0.45578, d17W0.449329, d18W1, d18W0.449329, d18W0.45578, d18W1, d18W0.45578, d18W0.449329, d19W1, d19W0.449329, d19W0.45578, d19W1, d19W0.45578, d19W0.449329, 
0, 1,1,1,1,1,1,1,1,0.9975,0.8975,0.1325,0.0125,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.995,0.875,0.13,0.0125,0,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,195,2,3,195,3,2,160,14,26,160,26,14,146,25,29,146,29,25,197,2,1,197,1,2,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
10, 1,1,1,1,1,1,1,1,0.99,0.8875,0.0925,0.005,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.9975,0.8975,0.09,0.01,0.005,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,0,1,199,1,0,197,1,2,197,2,1,174,20,6,174,6,20,166,16,18,166,18,16,196,3,1,196,1,3,198,0,2,198,2,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
20, 1,1,1,1,1,1,1,1,0.995,0.8075,0.115,0.0025,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.99,0.7925,0.1125,0,0,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,2,1,197,1,2,154,30,16,154,16,30,168,22,10,168,10,22,197,2,1,197,1,2,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
30, 1,1,1,1,1,1,1,1,0.99,0.83,0.135,0.0075,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.985,0.7875,0.12,0.0125,0.0025,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,195,3,2,195,2,3,136,35,29,136,29,35,162,16,22,162,22,16,191,4,5,191,5,4,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
40, 1,1,1,1,1,1,1,1,0.9925,0.8375,0.125,0.015,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.985,0.86,0.1375,0.0025,0,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,2,1,197,1,2,148,27,25,148,25,27,155,31,14,155,14,31,193,0,7,193,7,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
50, 1,1,1,1,1,1,1,0.9975,0.9975,0.8225,0.125,0.0025,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.9975,0.995,0.8375,0.1225,0.0075,0,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,3,0,197,0,3,161,26,13,161,13,26,147,22,31,147,31,22,195,2,3,195,3,2,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
60, 1,1,1,1,1,1,1,1,0.9925,0.9225,0.1325,0.005,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.9875,0.9225,0.1125,0.005,0,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,193,4,3,193,3,4,150,24,26,150,26,24,148,22,30,148,30,22,196,1,3,196,3,1,199,0,1,199,1,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
70, 1,1,1,1,1,1,1,1,0.9925,0.895,0.15,0.0125,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.9975,0.995,0.8825,0.155,0.0125,0,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,0,1,199,1,0,197,0,3,197,3,0,163,23,14,163,14,23,149,30,21,149,21,30,194,3,3,194,3,3,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
80, 1,1,1,1,1,1,1,1,0.9925,0.8875,0.065,0.0075,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0.89,0.07,0.0075,0,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,0,3,197,3,0,158,25,17,158,17,25,165,22,13,165,13,22,196,3,1,196,1,3,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
90, 1,1,1,1,1,1,1,1,0.995,0.8775,0.1025,0.005,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.9925,0.88,0.1275,0.0075,0,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,0,1,199,1,0,194,1,5,194,5,1,156,23,21,156,21,23,157,29,14,157,14,29,197,0,3,197,3,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
