gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W1, d0W0.606531, d0W0.687289, d0W1, d0W0.687289, d0W0.606531, d1W1, d1W0.606531, d1W0.687289, d1W1, d1W0.687289, d1W0.606531, d2W1, d2W0.606531, d2W0.687289, d2W1, d2W0.687289, d2W0.606531, d3W1, d3W0.606531, d3W0.687289, d3W1, d3W0.687289, d3W0.606531, d4W1, d4W0.606531, d4W0.687289, d4W1, d4W0.687289, d4W0.606531, d5W1, d5W0.606531, d5W0.687289, d5W1, d5W0.687289, d5W0.606531, d6W1, d6W0.606531, d6W0.687289, d6W1, d6W0.687289, d6W0.606531, d7W1, d7W0.606531, d7W0.687289, d7W1, d7W0.687289, d7W0.606531, d8W1, d8W0.606531, d8W0.687289, d8W1, d8W0.687289, d8W0.606531, d9W1, d9W0.606531, d9W0.687289, d9W1, d9W0.687289, d9W0.606531, d10W1, d10W0.606531, d10W0.687289, d10W1, d10W0.687289, d10W0.606531, d11W1, d11W0.606531, d11W0.687289, d11W1, d11W0.687289, d11W0.606531, d12W1, d12W0.606531, d12W0.687289, d12W1, d12W0.687289, d12W0.606531, d13W1, d13W0.606531, d13W0.687289, d13W1, d13W0.687289, d13W0.606531, d14W1, d14W0.606531, d14W0.687289, d14W1, d14W0.687289, d14W0.606531, d15W1, d15W0.606531, d15W0.687289, d15W1, d15W0.687289, d15W0.606531, d16W1, d16W0.606531, d16W0.687289, d16W1, d16W0.687289, d16W0.606531, d17W1, d17W0.606531, d17W0.687289, d17W1, d17W0.687289, d17W0.606531, d18W1, d18W0.606531, d18W0.687289, d18W1, d18W0.687289, d18W0.606531, d19W1, d19W0.606531, d19W0.687289, d19W1, d19W0.687289, d19W0.606531, 
0, 1,1,1,1,1,1,1,0.9975,0.98,0.86,0.1925,0.0375,0.005,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.9975,0.9725,0.8275,0.1325,0.02,0.005,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,0,1,199,1,0,199,0,1,199,1,0,192,1,7,192,7,1,143,29,28,143,28,29,146,14,40,146,40,14,178,1,21,178,21,1,199,0,1,199,1,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
200, 1,1,1,1,1,1,0.995,1,0.985,0.82,0.1975,0.0175,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.985,0.8225,0.1325,0.0225,0,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,0,1,199,1,0,197,0,3,197,3,0,182,1,17,182,17,1,122,23,55,122,55,23,119,28,53,119,53,28,190,2,8,190,8,2,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
400, 1,1,1,1,1,1,1,0.9975,0.98,0.835,0.16,0.03,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.9975,0.9725,0.83,0.1425,0.0275,0,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,188,4,8,188,8,4,121,27,52,121,52,27,128,33,39,128,39,33,182,1,17,182,17,1,199,0,1,199,1,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
600, 1,1,1,1,1,1,1,0.9975,0.9875,0.845,0.1825,0.02,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.99,0.815,0.195,0.0075,0,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,183,2,15,183,15,2,125,31,44,125,44,31,133,26,41,133,41,26,185,2,13,185,13,2,198,0,2,198,2,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
800, 1,1,1,1,1,1,1,0.995,0.9725,0.755,0.155,0.005,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.9975,0.985,0.76,0.1525,0.02,0,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,198,0,2,198,2,0,188,1,11,188,11,1,103,31,66,103,66,31,127,14,59,127,59,14,190,1,9,190,9,1,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
1000, 1,1,1,1,1,1,1,0.9975,0.975,0.81,0.19,0.02,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.9975,0.9825,0.855,0.22,0.0175,0,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,0,3,197,3,0,179,2,19,179,19,2,107,28,65,107,65,28,116,31,53,116,53,31,189,3,8,189,8,3,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
1200, 1,1,1,1,1,1,1,0.9975,0.9675,0.82,0.13,0.02,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.995,0.9675,0.83,0.095,0.0175,0,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,0,1,199,1,0,199,0,1,199,1,0,200,0,0,200,0,0,185,3,12,185,12,3,121,32,47,121,47,32,145,24,31,145,31,24,197,2,1,197,1,2,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
1400, 1,1,1,1,1,1,1,1,0.9825,0.795,0.185,0.03,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.9975,0.99,0.8425,0.115,0.0125,0.0025,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,190,2,8,190,8,2,118,22,60,118,60,22,137,14,49,137,49,14,182,1,17,182,17,1,199,0,1,199,1,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
1600, 1,1,1,1,1,1,1,0.9925,0.9825,0.82,0.1725,0.005,0.005,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.975,0.8225,0.15,0.0225,0.0075,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,0,3,197,3,0,189,1,10,189,10,1,143,19,38,143,38,19,149,18,33,149,33,18,181,4,15,181,15,4,198,0,2,198,2,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
1800, 1,1,1,1,1,1,0.9975,0.9975,0.9825,0.865,0.1325,0.01,0.0025,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.985,0.8325,0.13,0.0225,0.0075,0.0025,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,1,2,197,2,1,188,2,10,188,10,2,138,25,37,138,37,25,131,24,45,131,45,24,183,1,16,183,16,1,195,0,5,195,5,0,199,0,1,199,1,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
