gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0W1, d0W0.367879, d0W0.990027, d0W1, d0W0.990027, d0W0.367879, d1W1, d1W0.367879, d1W0.990027, d1W1, d1W0.990027, d1W0.367879, d2W1, d2W0.367879, d2W0.990027, d2W1, d2W0.990027, d2W0.367879, d3W1, d3W0.367879, d3W0.990027, d3W1, d3W0.990027, d3W0.367879, d4W1, d4W0.367879, d4W0.990027, d4W1, d4W0.990027, d4W0.367879, d5W1, d5W0.367879, d5W0.990027, d5W1, d5W0.990027, d5W0.367879, d6W1, d6W0.367879, d6W0.990027, d6W1, d6W0.990027, d6W0.367879, d7W1, d7W0.367879, d7W0.990027, d7W1, d7W0.990027, d7W0.367879, 
0, 1,1,0.9525,0.98,0.0275,0,0,0,1,1,1,0.9525,0.0175,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,180,0,20,180,20,0,177,6,17,177,17,6,186,13,1,186,1,13,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
10, 1,1,0.9925,0.985,0.0125,0,0,0,1,1,1,0.9875,0.045,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,193,0,7,193,7,0,191,5,4,191,4,5,179,10,11,179,11,10,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
20, 1,1,1,0.985,0.0275,0,0,0,1,1,1,0.9875,0.0125,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,198,2,0,198,0,2,182,2,16,182,16,2,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
30, 1,1,1,0.975,0.02,0,0,0,1,1,1,0.9825,0.0375,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,194,2,4,194,4,2,186,8,6,186,6,8,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
40, 1,1,1,0.99,0.0425,0,0,0,1,1,1,0.9875,0.0175,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,198,0,2,198,2,0,178,4,18,178,18,4,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
50, 1,1,1,1,0.035,0,0,0,1,1,1,0.9975,0.0225,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,1,2,197,2,1,181,1,18,181,18,1,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
60, 1,1,1,0.99,0.015,0,0,0,1,1,1,0.975,0.0275,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,187,1,12,187,12,1,191,1,8,191,8,1,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
70, 1,1,1,1,0.02,0.0025,0,0,1,1,0.9975,0.9625,0.0375,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,1,0,199,0,1,179,0,21,179,21,0,183,2,15,183,15,2,199,0,1,199,1,0,200,0,0,200,0,0,200,0,0,200,0,0,
80, 1,1,1,1,0.0725,0,0,0,1,1,0.9975,1,0.03,0.0075,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,0,1,199,1,0,195,2,3,195,3,2,182,0,18,182,18,0,198,0,2,198,2,0,200,0,0,200,0,0,200,0,0,200,0,0,
90, 1,1,1,0.975,0.0375,0,0,0,1,1,1,0.9725,0.01,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,184,15,1,184,1,15,186,1,13,186,13,1,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
100, 1,1,1,0.99,0.0175,0.0025,0,0,1,1,0.995,0.9075,0.0225,0.0025,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,163,3,34,163,34,3,191,8,1,191,1,8,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
110, 1,1,1,0.955,0.0175,0.0025,0,0,1,1,1,0.9575,0.0075,0.005,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,172,3,25,172,25,3,189,3,8,189,8,3,199,1,0,199,0,1,200,0,0,200,0,0,200,0,0,200,0,0,
120, 1,1,1,0.9875,0.06,0,0,0,1,1,1,0.9825,0.045,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,0,1,199,1,0,182,1,17,182,17,1,181,3,16,181,16,3,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
130, 1,1,1,0.98,0.035,0,0,0,1,1,1,0.995,0.025,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,192,0,8,192,8,0,185,0,15,185,15,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
