gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0l2, d1l2, d2l2, d3l2, d4l2, d5l2, d6l2, d7l2, d0l3, d1l3, d2l3, d3l3, d4l3, d5l3, d6l3, d7l3, d0l4, d1l4, d2l4, d3l4, d4l4, d5l4, d6l4, d7l4, d0l5, d1l5, d2l5, d3l5, d4l5, d5l5, d6l5, d7l5, d0l6, d1l6, d2l6, d3l6, d4l6, d5l6, d6l6, d7l6, d0l7, d1l7, d2l7, d3l7, d4l7, d5l7, d6l7, d7l7, d0W1, d0W0.999998, d0W1, d0W0.990027, d0W0.999639, d0W0.999998, d0W0.700421, d0W0.915307, d0W0.990027, d0W0.999639, d0W0.367879, d0W0.459661, d0W0.700421, d0W0.915307, d0W0.990027, d0W0.700421, d0W0.459661, d0W0.367879, d0W0.459661, d0W0.700421, d0W0.915307, d0W0.990027, d0W0.915307, d0W0.700421, d0W0.459661, d0W0.367879, d0W0.459661, d0W0.700421, d0W0.999998, d0W0.999639, d0W0.990027, d0W0.915307, d0W0.700421, d0W0.459661, d0W0.367879, d0W0.459661, d0W1, d0W1, d0W0.999998, d0W0.999639, d0W0.990027, d0W0.915307, d0W0.700421, d0W0.459661, d0W0.367879, d1W1, d1W0.999998, d1W1, d1W0.990027, d1W0.999639, d1W0.999998, d1W0.700421, d1W0.915307, d1W0.990027, d1W0.999639, d1W0.367879, d1W0.459661, d1W0.700421, d1W0.915307, d1W0.990027, d1W0.700421, d1W0.459661, d1W0.367879, d1W0.459661, d1W0.700421, d1W0.915307, d1W0.990027, d1W0.915307, d1W0.700421, d1W0.459661, d1W0.367879, d1W0.459661, d1W0.700421, d1W0.999998, d1W0.999639, d1W0.990027, d1W0.915307, d1W0.700421, d1W0.459661, d1W0.367879, d1W0.459661, d1W1, d1W1, d1W0.999998, d1W0.999639, d1W0.990027, d1W0.915307, d1W0.700421, d1W0.459661, d1W0.367879, d2W1, d2W0.999998, d2W1, d2W0.990027, d2W0.999639, d2W0.999998, d2W0.700421, d2W0.915307, d2W0.990027, d2W0.999639, d2W0.367879, d2W0.459661, d2W0.700421, d2W0.915307, d2W0.990027, d2W0.700421, d2W0.459661, d2W0.367879, d2W0.459661, d2W0.700421, d2W0.915307, d2W0.990027, d2W0.915307, d2W0.700421, d2W0.459661, d2W0.367879, d2W0.459661, d2W0.700421, d2W0.999998, d2W0.999639, d2W0.990027, d2W0.915307, d2W0.700421, d2W0.459661, d2W0.367879, d2W0.459661, d2W1, d2W1, d2W0.999998, d2W0.999639, d2W0.990027, d2W0.915307, d2W0.700421, d2W0.459661, d2W0.367879, d3W1, d3W0.999998, d3W1, d3W0.990027, d3W0.999639, d3W0.999998, d3W0.700421, d3W0.915307, d3W0.990027, d3W0.999639, d3W0.367879, d3W0.459661, d3W0.700421, d3W0.915307, d3W0.990027, d3W0.700421, d3W0.459661, d3W0.367879, d3W0.459661, d3W0.700421, d3W0.915307, d3W0.990027, d3W0.915307, d3W0.700421, d3W0.459661, d3W0.367879, d3W0.459661, d3W0.700421, d3W0.999998, d3W0.999639, d3W0.990027, d3W0.915307, d3W0.700421, d3W0.459661, d3W0.367879, d3W0.459661, d3W1, d3W1, d3W0.999998, d3W0.999639, d3W0.990027, d3W0.915307, d3W0.700421, d3W0.459661, d3W0.367879, d4W1, d4W0.999998, d4W1, d4W0.990027, d4W0.999639, d4W0.999998, d4W0.700421, d4W0.915307, d4W0.990027, d4W0.999639, d4W0.367879, d4W0.459661, d4W0.700421, d4W0.915307, d4W0.990027, d4W0.700421, d4W0.459661, d4W0.367879, d4W0.459661, d4W0.700421, d4W0.915307, d4W0.990027, d4W0.915307, d4W0.700421, d4W0.459661, d4W0.367879, d4W0.459661, d4W0.700421, d4W0.999998, d4W0.999639, d4W0.990027, d4W0.915307, d4W0.700421, d4W0.459661, d4W0.367879, d4W0.459661, d4W1, d4W1, d4W0.999998, d4W0.999639, d4W0.990027, d4W0.915307, d4W0.700421, d4W0.459661, d4W0.367879, d5W1, d5W0.999998, d5W1, d5W0.990027, d5W0.999639, d5W0.999998, d5W0.700421, d5W0.915307, d5W0.990027, d5W0.999639, d5W0.367879, d5W0.459661, d5W0.700421, d5W0.915307, d5W0.990027, d5W0.700421, d5W0.459661, d5W0.367879, d5W0.459661, d5W0.700421, d5W0.915307, d5W0.990027, d5W0.915307, d5W0.700421, d5W0.459661, d5W0.367879, d5W0.459661, d5W0.700421, d5W0.999998, d5W0.999639, d5W0.990027, d5W0.915307, d5W0.700421, d5W0.459661, d5W0.367879, d5W0.459661, d5W1, d5W1, d5W0.999998, d5W0.999639, d5W0.990027, d5W0.915307, d5W0.700421, d5W0.459661, d5W0.367879, d6W1, d6W0.999998, d6W1, d6W0.990027, d6W0.999639, d6W0.999998, d6W0.700421, d6W0.915307, d6W0.990027, d6W0.999639, d6W0.367879, d6W0.459661, d6W0.700421, d6W0.915307, d6W0.990027, d6W0.700421, d6W0.459661, d6W0.367879, d6W0.459661, d6W0.700421, d6W0.915307, d6W0.990027, d6W0.915307, d6W0.700421, d6W0.459661, d6W0.367879, d6W0.459661, d6W0.700421, d6W0.999998, d6W0.999639, d6W0.990027, d6W0.915307, d6W0.700421, d6W0.459661, d6W0.367879, d6W0.459661, d6W1, d6W1, d6W0.999998, d6W0.999639, d6W0.990027, d6W0.915307, d6W0.700421, d6W0.459661, d6W0.367879, d7W1, d7W0.999998, d7W1, d7W0.990027, d7W0.999639, d7W0.999998, d7W0.700421, d7W0.915307, d7W0.990027, d7W0.999639, d7W0.367879, d7W0.459661, d7W0.700421, d7W0.915307, d7W0.990027, d7W0.700421, d7W0.459661, d7W0.367879, d7W0.459661, d7W0.700421, d7W0.915307, d7W0.990027, d7W0.915307, d7W0.700421, d7W0.459661, d7W0.367879, d7W0.459661, d7W0.700421, d7W0.999998, d7W0.999639, d7W0.990027, d7W0.915307, d7W0.700421, d7W0.459661, d7W0.367879, d7W0.459661, d7W1, d7W1, d7W0.999998, d7W0.999639, d7W0.990027, d7W0.915307, d7W0.700421, d7W0.459661, d7W0.367879, 
0, 1,1,1,0.96,0.0575,0,0,0,1,1,0.93,0.7075,0.025,0,0,0,1,1,1,0.92,0.025,0,0,0,1,1,1,0.84,0.15,0,0,0,1,1,0.9925,0.9775,0.1675,0.005,0,0,0.62,0.5525,0.97,0.94,0.1375,0.0125,0,0,1,1,1,0.9925,0.3175,0.0375,0,0,1,1,0.9825,0.81,0.2475,0.0825,0.0025,0,69,38,93,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,69,93,38,0,0,0,0,0,0,55,37,108,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,55,108,37,0,0,0,0,0,0,152,9,38,0,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,152,38,9,1,0,0,0,0,0,38,55,72,10,21,55,0,1,10,21,1,2,0,1,10,0,2,1,2,0,1,10,1,0,2,1,2,0,55,21,10,1,0,2,1,2,38,72,55,21,10,1,0,2,1,13,68,59,14,38,68,4,2,14,38,1,1,4,2,14,4,1,1,1,4,2,14,2,4,1,1,1,4,68,38,14,2,4,1,1,1,13,59,68,38,14,2,4,1,1,145,11,42,1,1,11,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,11,1,1,0,0,0,0,0,145,42,11,1,1,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,
10, 1,1,1,0.955,0.04,0,0,0,1,0.9975,0.9525,0.7075,0.0425,0,0,0,1,1,1,0.96,0.04,0,0,0,1,1,1,0.8075,0.145,0.0525,0,0,1,1,0.995,0.98,0.29,0.02,0,0,0.6375,0.5475,0.98,0.9425,0.17,0,0,0,1,1,1,0.99,0.3925,0.115,0.01,0,1,1,0.9825,0.8125,0.1875,0.11,0.0025,0,82,29,89,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,82,89,29,0,0,0,0,0,0,59,43,98,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,59,98,43,0,0,0,0,0,0,174,5,20,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,174,20,5,1,0,0,0,0,0,26,47,79,13,33,47,0,1,13,33,1,0,0,1,13,0,0,1,0,0,1,13,1,0,0,1,0,0,47,33,13,1,0,0,1,0,26,79,47,33,13,1,0,0,1,11,65,36,16,53,65,3,6,16,53,6,4,3,6,16,3,4,6,4,3,6,16,6,3,4,6,4,3,65,53,16,6,3,4,6,4,11,36,65,53,16,6,3,4,6,106,16,77,0,1,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,106,77,16,1,0,0,0,0,0,198,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,2,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,
20, 1,1,1,0.945,0,0,0,0,1,0.9875,0.925,0.8175,0.0225,0,0,0,1,1,1,0.9625,0.025,0,0,0,1,1,0.9975,0.7825,0.06,0.015,0,0,1,1,0.99,0.9625,0.29,0.0325,0,0,0.4875,0.7125,0.92,0.86,0.1725,0.0075,0,0,1,1,1,0.9925,0.19,0.09,0.0025,0,1,1,0.995,0.7625,0.195,0.23,0,0,40,61,99,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,40,99,61,0,0,0,0,0,0,106,15,78,0,1,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,106,78,15,1,0,0,0,0,0,137,6,57,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,137,57,6,0,0,0,0,0,0,23,68,66,8,27,68,2,5,8,27,0,1,2,5,8,2,1,0,1,2,5,8,5,2,1,0,1,2,68,27,8,5,2,1,0,1,23,66,68,27,8,5,2,1,0,32,61,55,15,28,61,1,8,15,28,0,0,1,8,15,1,0,0,0,1,8,15,8,1,0,0,0,1,61,28,15,8,1,0,0,0,32,55,61,28,15,8,1,0,0,86,23,86,1,4,23,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,23,4,1,0,0,0,0,0,86,86,23,4,1,0,0,0,0,199,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,1,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,
30, 1,1,1,0.9825,0.045,0,0,0,0.9925,0.95,0.9225,0.7025,0.0425,0,0,0,1,1,0.9975,0.98,0.0125,0,0,0,1,1,1,0.8725,0.035,0.015,0,0,1,1,0.9975,0.9775,0.34,0.06,0,0,0.4875,0.73,0.9525,0.9125,0.095,0.0125,0,0,1,1,1,0.995,0.185,0.075,0,0,1,1,0.9825,0.745,0.1525,0.2575,0,0,31,57,112,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,31,112,57,0,0,0,0,0,0,100,21,79,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,100,79,21,0,0,0,0,0,0,146,9,44,0,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,146,44,9,1,0,0,0,0,0,27,65,62,7,33,65,0,6,7,33,0,0,0,6,7,0,0,0,0,0,6,7,6,0,0,0,0,0,65,33,7,6,0,0,0,0,27,62,65,33,7,6,0,0,0,17,68,68,11,29,68,1,1,11,29,4,1,1,1,11,1,1,4,1,1,1,11,1,1,1,4,1,1,68,29,11,1,1,1,4,1,17,68,68,29,11,1,1,1,4,87,32,80,0,1,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,0,0,0,0,0,87,80,32,1,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,
40, 1,1,1,0.995,0.0125,0,0,0,1,0.9525,0.9375,0.5775,0.0225,0,0,0,1,1,1,0.985,0.0225,0,0,0,1,1,0.9975,0.9575,0.0075,0.015,0,0,1,1,1,0.975,0.3075,0.035,0.005,0,0.4675,0.7825,0.9825,0.94,0.0875,0.0025,0,0,1,1,1,0.995,0.2025,0.0625,0.0025,0,1,1,0.955,0.86,0.145,0.3,0.0225,0,47,53,100,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,47,100,53,0,0,0,0,0,0,106,17,76,0,1,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,106,76,17,1,0,0,0,0,0,146,10,42,1,1,10,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,10,1,1,0,0,0,0,0,146,42,10,1,1,0,0,0,0,33,58,83,3,17,58,2,3,3,17,0,1,2,3,3,2,1,0,1,2,3,3,3,2,1,0,1,2,58,17,3,3,2,1,0,1,33,83,58,17,3,3,2,1,0,38,62,70,3,21,62,1,5,3,21,0,0,1,5,3,1,0,0,0,1,5,3,5,1,0,0,0,1,62,21,3,5,1,0,0,0,38,70,62,21,3,5,1,0,0,74,34,90,0,2,34,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2,0,0,0,0,0,0,74,90,34,2,0,0,0,0,0,192,2,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,192,6,2,0,0,0,0,0,0,198,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,2,0,0,0,0,0,0,0,
50, 1,1,1,0.96,0.015,0,0,0,1,0.93,0.92,0.6625,0.0075,0,0,0,1,1,1,0.9825,0.0175,0,0,0,1,1,1,0.96,0.0175,0,0,0,1,1,1,0.9775,0.2825,0.02,0,0,0.435,0.635,0.98,0.865,0.05,0.0225,0,0,1,1,1,0.975,0.13,0.0775,0,0,1,1,0.9975,0.8475,0.2125,0.255,0.01,0,35,65,100,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,35,100,65,0,0,0,0,0,0,69,39,90,0,2,39,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,2,0,0,0,0,0,0,69,90,39,2,0,0,0,0,0,176,1,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,176,23,1,0,0,0,0,0,0,42,43,70,10,32,43,0,2,10,32,0,1,0,2,10,0,1,0,1,0,2,10,2,0,1,0,1,0,43,32,10,2,0,1,0,1,42,70,43,32,10,2,0,1,0,53,54,68,6,14,54,1,1,6,14,1,2,1,1,6,1,2,1,2,1,1,6,1,1,2,1,2,1,54,14,6,1,1,2,1,2,53,68,54,14,6,1,1,2,1,87,30,80,1,2,30,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,30,2,1,0,0,0,0,0,87,80,30,2,1,0,0,0,0,196,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,196,3,1,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,
60, 1,1,0.9975,0.94,0.02,0,0,0,0.9975,0.955,0.9225,0.7225,0.0075,0,0,0,1,1,0.9975,0.98,0.0275,0,0,0,1,1,1,0.945,0.005,0,0,0,1,1,1,0.96,0.3475,0.0975,0.005,0,0.5375,0.6225,0.9175,0.895,0.025,0.0125,0,0,1,1,1,0.9875,0.21,0.0825,0.005,0,1,1,0.9975,0.8475,0.1825,0.2475,0.0625,0.0175,53,34,113,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,53,113,34,0,0,0,0,0,0,75,31,90,0,4,31,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,4,0,0,0,0,0,0,75,90,31,4,0,0,0,0,0,154,5,40,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,154,40,5,1,0,0,0,0,0,47,57,67,9,14,57,0,1,9,14,1,4,0,1,9,0,4,1,4,0,1,9,1,0,4,1,4,0,57,14,9,1,0,4,1,4,47,67,57,14,9,1,0,4,1,35,60,66,5,31,60,0,3,5,31,0,0,0,3,5,0,0,0,0,0,3,5,3,0,0,0,0,0,60,31,5,3,0,0,0,0,35,66,60,31,5,3,0,0,0,82,32,83,0,3,32,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,3,0,0,0,0,0,0,82,83,32,3,0,0,0,0,0,178,2,20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,178,20,2,0,0,0,0,0,0,193,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,7,0,0,0,0,0,0,0,
70, 1,1,1,0.94,0.02,0,0,0,1,0.99,0.905,0.7025,0.01,0,0,0,1,1,1,0.9525,0.02,0,0,0,1,1,1,0.9675,0.02,0,0,0,1,1,0.9625,0.9575,0.4775,0.205,0,0,0.665,0.5475,0.8425,0.7775,0.025,0,0,0,1,1,1,0.9725,0.2875,0.085,0,0,1,1,0.9975,0.895,0.2075,0.2825,0.085,0.0175,86,25,89,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,86,89,25,0,0,0,0,0,0,53,49,98,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,53,98,49,0,0,0,0,0,0,119,19,56,2,4,19,0,0,2,4,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,19,4,2,0,0,0,0,0,119,56,19,4,2,0,0,0,0,48,56,67,2,22,56,1,0,2,22,4,0,1,0,2,1,0,4,0,1,0,2,0,1,0,4,0,1,56,22,2,0,1,0,4,0,48,67,56,22,2,0,1,0,4,23,71,51,14,36,71,0,1,14,36,1,3,0,1,14,0,3,1,3,0,1,14,1,0,3,1,3,0,71,36,14,1,0,3,1,3,23,51,71,36,14,1,0,3,1,45,55,87,1,12,55,0,0,1,12,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,55,12,1,0,0,0,0,0,45,87,55,12,1,0,0,0,0,171,3,26,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,171,26,3,0,0,0,0,0,0,193,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,7,0,0,0,0,0,0,0,
80, 1,1,1,0.9125,0.035,0,0,0,1,0.99,0.9825,0.705,0.03,0,0,0,1,1,1,0.94,0.0325,0,0,0,1,1,1,0.9875,0.025,0.0025,0,0,1,1,1,1,0.5275,0.13,0.005,0,0.6875,0.595,0.9525,0.7825,0.025,0,0,0,1,1,1,0.975,0.2325,0.0675,0,0,1,1,1,0.8625,0.2825,0.2375,0.1825,0.035,94,15,91,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,94,91,15,0,0,0,0,0,0,72,24,99,0,5,24,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,5,0,0,0,0,0,0,72,99,24,5,0,0,0,0,0,159,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,41,0,0,0,0,0,0,0,34,58,59,9,30,58,4,4,9,30,1,1,4,4,9,4,1,1,1,4,4,9,4,4,1,1,1,4,58,30,9,4,4,1,1,1,34,59,58,30,9,4,4,1,1,12,73,40,21,45,73,2,6,21,45,0,1,2,6,21,2,1,0,1,2,6,21,6,2,1,0,1,2,73,45,21,6,2,1,0,1,12,40,73,45,21,6,2,1,0,81,30,78,1,10,30,0,0,1,10,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,30,10,1,0,0,0,0,0,81,78,30,10,1,0,0,0,0,128,8,64,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,128,64,8,0,0,0,0,0,0,180,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,20,0,0,0,0,0,0,0,
90, 1,1,1,0.89,0.0225,0,0,0,1,1,0.99,0.7575,0.0125,0,0,0,1,1,1,0.985,0.0225,0,0,0,1,1,1,0.9825,0.0225,0,0,0,1,1,1,0.9925,0.5075,0.1725,0.005,0,0.73,0.5925,0.93,0.8575,0.0225,0,0,0,1,1,1,0.975,0.23,0.0925,0,0,1,1,1,0.865,0.295,0.245,0.2175,0.0825,94,13,93,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,94,93,13,0,0,0,0,0,0,69,35,96,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,69,96,35,0,0,0,0,0,0,176,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,24,0,0,0,0,0,0,0,38,53,74,11,21,53,0,2,11,21,0,1,0,2,11,0,1,0,1,0,2,11,2,0,1,0,1,0,53,21,11,2,0,1,0,1,38,74,53,21,11,2,0,1,0,27,68,46,14,40,68,1,1,14,40,1,2,1,1,14,1,2,1,2,1,1,14,1,1,2,1,2,1,68,40,14,1,1,2,1,2,27,46,68,40,14,1,1,2,1,59,39,91,1,10,39,0,0,1,10,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,39,10,1,0,0,0,0,0,59,91,39,10,1,0,0,0,0,128,5,67,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,128,67,5,0,0,0,0,0,0,167,2,31,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,167,31,2,0,0,0,0,0,0,
