gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0W1, d0W0.449329, d0W0.45578, d0W1, d0W0.45578, d0W0.449329, d1W1, d1W0.449329, d1W0.45578, d1W1, d1W0.45578, d1W0.449329, d2W1, d2W0.449329, d2W0.45578, d2W1, d2W0.45578, d2W0.449329, d3W1, d3W0.449329, d3W0.45578, d3W1, d3W0.45578, d3W0.449329, d4W1, d4W0.449329, d4W0.45578, d4W1, d4W0.45578, d4W0.449329, d5W1, d5W0.449329, d5W0.45578, d5W1, d5W0.45578, d5W0.449329, d6W1, d6W0.449329, d6W0.45578, d6W1, d6W0.45578, d6W0.449329, d7W1, d7W0.449329, d7W0.45578, d7W1, d7W0.45578, d7W0.449329, 
0, 1,0.9975,0.9925,0.875,0.145,0.015,0.0025,0.0025,1,0.9975,0.99,0.8875,0.135,0.02,0,0,200,0,0,200,0,0,200,0,0,200,0,0,195,4,1,195,1,4,142,33,25,142,25,33,159,25,16,159,16,25,191,3,6,191,6,3,199,0,1,199,1,0,200,0,0,200,0,0,
10, 1,1,0.99,0.8075,0.075,0.0125,0,0,1,1,0.99,0.805,0.08,0.01,0.0025,0,200,0,0,200,0,0,200,0,0,200,0,0,197,1,2,197,2,1,167,23,10,167,10,23,158,23,19,158,19,23,191,2,7,191,7,2,199,1,0,199,0,1,200,0,0,200,0,0,
20, 1,1,0.9975,0.8725,0.1075,0.0075,0,0,1,1,0.9925,0.8775,0.1225,0.005,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,0,3,197,3,0,161,19,20,161,20,19,169,18,13,169,13,18,194,2,4,194,4,2,200,0,0,200,0,0,200,0,0,200,0,0,
30, 1,1,0.99,0.82,0.1075,0,0,0,1,1,0.9925,0.825,0.1025,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,195,1,4,195,4,1,147,30,23,147,23,30,163,16,21,163,21,16,194,0,6,194,6,0,200,0,0,200,0,0,200,0,0,200,0,0,
40, 1,1,0.9975,0.9075,0.1025,0.01,0.0025,0,1,1,0.9925,0.9125,0.095,0.01,0,0,200,0,0,200,0,0,200,0,0,200,0,0,194,0,6,194,6,0,155,10,35,155,35,10,152,16,32,152,32,16,191,2,7,191,7,2,200,0,0,200,0,0,200,0,0,200,0,0,
50, 1,1,0.9875,0.85,0.13,0.0075,0,0,1,1,0.99,0.8575,0.1375,0.005,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,1,0,199,0,1,158,11,31,158,31,11,179,14,7,179,7,14,195,1,4,195,4,1,200,0,0,200,0,0,200,0,0,200,0,0,
60, 1,1,0.9925,0.905,0.17,0.0125,0,0,1,1,0.995,0.9025,0.1825,0.0125,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,1,2,197,2,1,183,5,12,183,12,5,162,17,21,162,21,17,193,2,5,193,5,2,199,0,1,199,1,0,200,0,0,200,0,0,
70, 1,1,0.9875,0.7875,0.175,0.005,0,0,1,1,0.9875,0.81,0.17,0.0075,0,0,200,0,0,200,0,0,200,0,0,200,0,0,198,0,2,198,2,0,146,28,26,146,26,28,167,20,13,167,13,20,197,0,3,197,3,0,200,0,0,200,0,0,200,0,0,200,0,0,
80, 1,1,1,0.86,0.11,0.005,0.0025,0,1,1,0.9975,0.84,0.11,0.0025,0.0025,0,200,0,0,200,0,0,200,0,0,200,0,0,196,1,3,196,3,1,160,20,20,160,20,20,159,19,22,159,22,19,190,4,6,190,6,4,200,0,0,200,0,0,200,0,0,200,0,0,
90, 1,0.9925,0.99,0.8875,0.185,0.0175,0.0025,0,1,1,0.9875,0.875,0.175,0.01,0.0025,0,200,0,0,200,0,0,199,0,1,199,1,0,198,2,0,198,0,2,161,20,19,161,19,20,149,27,24,149,24,27,193,2,5,193,5,2,199,0,1,199,1,0,200,0,0,200,0,0,
100, 1,1,0.9925,0.83,0.16,0.0075,0,0,1,1,0.99,0.8475,0.1525,0.0075,0,0,200,0,0,200,0,0,200,0,0,200,0,0,198,1,1,198,1,1,173,15,12,173,12,15,163,18,19,163,19,18,193,2,5,193,5,2,199,0,1,199,1,0,200,0,0,200,0,0,
110, 1,1,0.995,0.9025,0.1775,0.0125,0,0,1,1,0.9975,0.9,0.17,0.01,0.0025,0,200,0,0,200,0,0,200,0,0,200,0,0,197,1,2,197,2,1,160,14,26,160,26,14,169,15,16,169,16,15,197,3,0,197,0,3,199,0,1,199,1,0,200,0,0,200,0,0,
120, 1,0.9975,0.9875,0.865,0.1425,0.0075,0,0,1,1,0.99,0.895,0.1425,0.005,0,0,200,0,0,200,0,0,199,0,1,199,1,0,197,0,3,197,3,0,153,23,24,153,24,23,167,23,10,167,10,23,197,1,2,197,2,1,200,0,0,200,0,0,200,0,0,200,0,0,
