gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0W1, d0W0.367879, d0W0.374494, d0W1, d0W0.374494, d0W0.367879, d1W1, d1W0.367879, d1W0.374494, d1W1, d1W0.374494, d1W0.367879, d2W1, d2W0.367879, d2W0.374494, d2W1, d2W0.374494, d2W0.367879, d3W1, d3W0.367879, d3W0.374494, d3W1, d3W0.374494, d3W0.367879, d4W1, d4W0.367879, d4W0.374494, d4W1, d4W0.374494, d4W0.367879, d5W1, d5W0.367879, d5W0.374494, d5W1, d5W0.374494, d5W0.367879, d6W1, d6W0.367879, d6W0.374494, d6W1, d6W0.374494, d6W0.367879, d7W1, d7W0.367879, d7W0.374494, d7W1, d7W0.374494, d7W0.367879, 
0, 1,1,0.995,0.8625,0.145,0.0075,0.0025,0,1,1,0.9875,0.85,0.135,0.01,0,0,200,0,0,200,0,0,200,0,0,200,0,0,192,6,2,192,2,6,161,19,20,161,20,19,154,32,14,154,14,32,196,2,2,196,2,2,199,0,1,199,1,0,200,0,0,200,0,0,
10, 1,1,0.9825,0.9125,0.1225,0.005,0,0,1,1,0.985,0.9,0.1175,0.005,0,0,200,0,0,200,0,0,200,0,0,200,0,0,196,1,3,196,3,1,167,22,11,167,11,22,162,27,11,162,11,27,197,2,1,197,1,2,200,0,0,200,0,0,200,0,0,200,0,0,
20, 1,1,0.9975,0.8675,0.11,0.0025,0,0,1,1,1,0.88,0.1075,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,1,2,197,2,1,173,17,10,173,10,17,166,22,12,166,12,22,198,0,2,198,2,0,200,0,0,200,0,0,200,0,0,200,0,0,
30, 1,1,0.995,0.9225,0.11,0.005,0,0,1,1,0.9975,0.91,0.1125,0.0025,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,0,1,199,1,0,166,16,18,166,18,16,179,13,8,179,8,13,198,0,2,198,2,0,200,0,0,200,0,0,200,0,0,200,0,0,
40, 1,1,1,0.8475,0.075,0.0025,0,0,1,1,1,0.8625,0.08,0.005,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,168,25,7,168,7,25,184,11,5,184,5,11,198,0,2,198,2,0,200,0,0,200,0,0,200,0,0,200,0,0,
50, 1,1,0.995,0.935,0.155,0.01,0,0,1,1,0.99,0.93,0.155,0.0075,0,0,200,0,0,200,0,0,200,0,0,200,0,0,191,5,4,191,4,5,172,14,14,172,14,14,155,29,16,155,16,29,194,0,6,194,6,0,198,1,1,198,1,1,200,0,0,200,0,0,
60, 1,1,0.9925,0.8725,0.1225,0.0075,0,0,1,1,0.9925,0.8875,0.1175,0.0025,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,171,13,16,171,16,13,170,18,12,170,12,18,196,0,4,196,4,0,200,0,0,200,0,0,200,0,0,200,0,0,
70, 1,1,0.995,0.91,0.14,0.0025,0,0,1,1,0.9925,0.9275,0.1325,0.0025,0,0,200,0,0,200,0,0,200,0,0,200,0,0,196,2,2,196,2,2,172,16,12,172,12,16,154,21,25,154,25,21,194,0,6,194,6,0,200,0,0,200,0,0,200,0,0,200,0,0,
80, 1,1,0.9975,0.855,0.115,0.0075,0,0,1,1,0.9975,0.845,0.1125,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,181,6,13,181,13,6,175,13,12,175,12,13,197,1,2,197,2,1,200,0,0,200,0,0,200,0,0,200,0,0,
90, 1,1,0.99,0.865,0.115,0.0025,0,0,0.9975,1,0.99,0.8725,0.13,0,0,0,199,0,1,199,1,0,200,0,0,200,0,0,195,2,3,195,3,2,167,19,14,167,14,19,162,27,11,162,11,27,197,1,2,197,2,1,200,0,0,200,0,0,200,0,0,200,0,0,
100, 1,1,0.9925,0.8675,0.165,0.0225,0,0,1,1,0.9925,0.8675,0.155,0.015,0,0,200,0,0,200,0,0,200,0,0,200,0,0,194,3,3,194,3,3,165,24,11,165,11,24,166,28,6,166,6,28,197,2,1,197,1,2,200,0,0,200,0,0,200,0,0,200,0,0,
110, 1,1,0.9975,0.85,0.1725,0.015,0,0,1,1,0.9975,0.8575,0.1475,0.01,0,0,200,0,0,200,0,0,200,0,0,200,0,0,196,2,2,196,2,2,165,21,14,165,14,21,136,48,16,136,16,48,196,3,1,196,1,3,200,0,0,200,0,0,200,0,0,200,0,0,
120, 1,1,0.9975,0.895,0.12,0.0075,0,0,1,1,1,0.8975,0.105,0.005,0,0,200,0,0,200,0,0,200,0,0,200,0,0,194,1,5,194,5,1,168,16,16,168,16,16,162,23,15,162,15,23,196,2,2,196,2,2,200,0,0,200,0,0,200,0,0,200,0,0,
130, 1,1,0.995,0.8475,0.145,0.0075,0.0025,0,1,1,0.9925,0.8325,0.125,0.005,0,0,200,0,0,200,0,0,200,0,0,200,0,0,195,2,3,195,3,2,161,23,16,161,16,23,174,12,14,174,14,12,197,2,1,197,1,2,200,0,0,200,0,0,200,0,0,200,0,0,
140, 1,1,0.985,0.87,0.1525,0.0075,0,0,1,1,0.99,0.8725,0.15,0.0075,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,1,2,197,2,1,166,17,17,166,17,17,168,20,12,168,12,20,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
150, 1,0.995,0.99,0.8525,0.1275,0.01,0,0,1,0.9975,0.99,0.87,0.13,0.0075,0,0,200,0,0,200,0,0,199,0,1,199,1,0,192,3,5,192,5,3,153,31,16,153,16,31,161,26,13,161,13,26,195,2,3,195,3,2,200,0,0,200,0,0,200,0,0,200,0,0,
160, 1,1,0.9925,0.8325,0.13,0,0,0,1,1,0.9925,0.8375,0.1375,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,194,3,3,194,3,3,155,34,11,155,11,34,155,36,9,155,9,36,196,1,3,196,3,1,200,0,0,200,0,0,200,0,0,200,0,0,
170, 1,1,0.995,0.8675,0.1375,0.01,0,0,1,1,0.995,0.86,0.1075,0.0025,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,167,21,12,167,12,21,152,33,15,152,15,33,196,2,2,196,2,2,200,0,0,200,0,0,200,0,0,200,0,0,
180, 1,1,0.9875,0.8475,0.11,0.0025,0,0,1,1,0.9925,0.8475,0.115,0.0075,0,0,200,0,0,200,0,0,200,0,0,200,0,0,193,1,6,193,6,1,162,20,18,162,18,20,172,17,11,172,11,17,197,2,1,197,1,2,200,0,0,200,0,0,200,0,0,200,0,0,
190, 1,1,0.995,0.8725,0.1025,0.005,0,0,1,1,0.9925,0.885,0.105,0.0025,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,1,2,197,2,1,177,12,11,177,11,12,167,17,16,167,16,17,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
200, 1,1,0.9925,0.8125,0.1425,0.0075,0.0025,0,1,1,0.9925,0.8175,0.14,0.0075,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,2,1,197,1,2,147,38,15,147,15,38,162,17,21,162,21,17,197,2,1,197,1,2,200,0,0,200,0,0,200,0,0,200,0,0,
210, 1,1,0.99,0.8975,0.105,0.0025,0,0,1,1,0.995,0.905,0.115,0.01,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,1,0,199,0,1,174,13,13,174,13,13,167,19,14,167,14,19,196,1,3,196,3,1,200,0,0,200,0,0,200,0,0,200,0,0,
220, 1,1,0.9975,0.88,0.115,0.01,0,0,1,1,0.9975,0.875,0.1,0.005,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,3,0,197,0,3,171,19,10,171,10,19,157,32,11,157,11,32,196,0,4,196,4,0,199,0,1,199,1,0,200,0,0,200,0,0,
230, 1,1,1,0.8325,0.0775,0,0,0,1,1,1,0.8325,0.085,0,0,0,200,0,0,200,0,0,199,0,1,199,1,0,195,2,3,195,3,2,148,37,15,148,15,37,179,13,8,179,8,13,198,1,1,198,1,1,200,0,0,200,0,0,200,0,0,200,0,0,
240, 1,1,0.995,0.8675,0.1025,0.0075,0,0,1,1,0.9975,0.83,0.0975,0.005,0,0,200,0,0,200,0,0,200,0,0,200,0,0,198,1,1,198,1,1,157,29,14,157,14,29,165,29,6,165,6,29,198,1,1,198,1,1,200,0,0,200,0,0,200,0,0,200,0,0,
250, 1,1,0.995,0.905,0.1075,0,0,0,1,1,0.9925,0.8925,0.1025,0.0025,0,0,200,0,0,200,0,0,200,0,0,200,0,0,195,2,3,195,3,2,158,27,15,158,15,27,160,21,19,160,19,21,199,0,1,199,1,0,200,0,0,200,0,0,200,0,0,200,0,0,
260, 1,1,0.995,0.865,0.105,0.01,0,0,1,1,0.9975,0.8625,0.105,0.01,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,1,2,197,2,1,183,9,8,183,8,9,175,9,16,175,16,9,198,2,0,198,0,2,200,0,0,200,0,0,200,0,0,200,0,0,
270, 1,1,0.9875,0.875,0.1425,0.005,0,0,1,1,0.985,0.8725,0.1375,0.0025,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,2,1,197,1,2,168,20,12,168,12,20,144,37,19,144,19,37,198,1,1,198,1,1,200,0,0,200,0,0,200,0,0,200,0,0,
280, 1,1,0.985,0.87,0.1325,0.0075,0,0,1,1,0.9825,0.885,0.145,0.0075,0,0,200,0,0,200,0,0,200,0,0,200,0,0,193,4,3,193,3,4,167,22,11,167,11,22,147,39,14,147,14,39,199,1,0,199,0,1,200,0,0,200,0,0,200,0,0,200,0,0,
290, 1,0.9975,1,0.88,0.105,0.0025,0,0,1,0.9975,1,0.89,0.12,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,196,2,2,196,2,2,165,18,17,165,17,18,167,19,14,167,14,19,196,4,0,196,0,4,200,0,0,200,0,0,200,0,0,200,0,0,
300, 1,1,0.9925,0.9075,0.1275,0.005,0,0,1,1,0.9925,0.895,0.1275,0.0025,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,0,1,199,1,0,172,14,14,172,14,14,155,27,18,155,18,27,198,2,0,198,0,2,199,1,0,199,0,1,200,0,0,200,0,0,
310, 1,0.9975,0.9825,0.855,0.11,0.0025,0,0,1,1,0.98,0.855,0.1075,0.005,0,0,200,0,0,200,0,0,200,0,0,200,0,0,195,4,1,195,1,4,160,29,11,160,11,29,166,23,11,166,11,23,199,1,0,199,0,1,200,0,0,200,0,0,200,0,0,200,0,0,
320, 1,1,0.9975,0.855,0.095,0,0.005,0,1,0.9975,0.995,0.8475,0.0875,0.0025,0,0,200,0,0,200,0,0,200,0,0,200,0,0,194,4,2,194,2,4,152,23,25,152,25,23,174,14,12,174,12,14,195,1,4,195,4,1,199,1,0,199,0,1,200,0,0,200,0,0,
330, 1,1,0.9925,0.8425,0.1275,0.005,0,0,1,1,0.9925,0.8625,0.145,0.005,0,0,200,0,0,200,0,0,200,0,0,200,0,0,196,2,2,196,2,2,173,12,15,173,15,12,165,23,12,165,12,23,195,5,0,195,0,5,200,0,0,200,0,0,200,0,0,200,0,0,
340, 1,1,0.9975,0.87,0.11,0.0075,0,0,1,0.9975,0.995,0.875,0.105,0.0075,0,0,200,0,0,200,0,0,198,0,2,198,2,0,198,0,2,198,2,0,156,29,15,156,15,29,165,21,14,165,14,21,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
350, 1,1,0.99,0.8575,0.1175,0.0075,0,0,1,1,0.9925,0.84,0.13,0.005,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,1,0,199,0,1,165,25,10,165,10,25,170,20,10,170,10,20,196,2,2,196,2,2,200,0,0,200,0,0,200,0,0,200,0,0,
360, 1,1,0.995,0.8375,0.1325,0.0175,0,0,1,1,0.9925,0.84,0.1325,0.0125,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,1,2,197,2,1,176,17,7,176,7,17,166,16,18,166,18,16,191,3,6,191,6,3,199,0,1,199,1,0,200,0,0,200,0,0,
