gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0W1, d0W0.367879, d0W0.990027, d0W1, d0W0.990027, d0W0.367879, d1W1, d1W0.367879, d1W0.990027, d1W1, d1W0.990027, d1W0.367879, d2W1, d2W0.367879, d2W0.990027, d2W1, d2W0.990027, d2W0.367879, d3W1, d3W0.367879, d3W0.990027, d3W1, d3W0.990027, d3W0.367879, d4W1, d4W0.367879, d4W0.990027, d4W1, d4W0.990027, d4W0.367879, d5W1, d5W0.367879, d5W0.990027, d5W1, d5W0.990027, d5W0.367879, d6W1, d6W0.367879, d6W0.990027, d6W1, d6W0.990027, d6W0.367879, d7W1, d7W0.367879, d7W0.990027, d7W1, d7W0.990027, d7W0.367879, 
0, 0.98,0.975,0.9025,0.8425,0.225,0.06,0.0525,0.0425,0.995,1,0.97,0.87,0.2675,0.0625,0.005,0.0125,193,1,6,193,6,1,187,0,13,187,13,0,154,4,42,154,42,4,111,25,64,111,64,25,105,33,62,105,62,33,174,2,24,174,24,2,169,3,28,169,28,3,183,0,17,183,17,0,
10, 0.99,0.95,0.93,0.765,0.2,0.0425,0.015,0.0275,1,0.995,0.9875,0.86,0.2275,0.0775,0.0525,0.0125,199,0,1,199,1,0,184,1,15,184,15,1,159,3,38,159,38,3,132,19,49,132,49,19,98,34,68,98,68,34,160,4,36,160,36,4,176,0,24,176,24,0,177,1,22,177,22,1,
20, 0.9525,0.94,0.89,0.7675,0.18,0.02,0.0025,0.005,1,1,0.955,0.7975,0.19,0.045,0.0175,0.0075,184,0,16,184,16,0,177,0,23,177,23,0,157,0,43,157,43,0,95,35,70,95,70,35,101,26,73,101,73,26,162,7,31,162,31,7,188,1,11,188,11,1,195,0,5,195,5,0,
30, 0.9625,0.9875,0.94,0.8125,0.23,0.0225,0.005,0.0125,0.995,0.9925,0.95,0.835,0.1825,0.04,0.065,0.07,186,0,14,186,14,0,191,0,9,191,9,0,155,2,43,155,43,2,117,27,56,117,56,27,101,35,64,101,64,35,173,1,26,173,26,1,176,0,24,176,24,0,174,2,24,174,24,2,
40, 0.9825,0.9875,0.8925,0.86,0.175,0.0225,0.005,0,0.9925,0.9625,0.97,0.8875,0.18,0.0625,0.0275,0.025,191,0,9,191,9,0,184,0,16,184,16,0,156,3,41,156,41,3,128,25,47,128,47,25,125,21,54,125,54,21,174,5,21,174,21,5,186,0,14,186,14,0,192,0,8,192,8,0,
50, 0.9825,0.9875,0.98,0.835,0.19,0.0525,0.02,0.0275,0.975,0.97,0.97,0.8325,0.2175,0.055,0.0025,0.0075,183,0,17,183,17,0,190,0,10,190,10,0,178,2,20,178,20,2,113,31,56,113,56,31,97,40,63,97,63,40,166,2,32,166,32,2,195,0,5,195,5,0,189,1,10,189,10,1,
60, 0.96,0.9975,0.9875,0.8,0.185,0.0225,0.01,0.0175,0.9875,0.985,0.9725,0.7975,0.115,0.0325,0.025,0.0325,181,0,19,181,19,0,193,0,7,193,7,0,188,2,10,188,10,2,100,27,73,100,73,27,126,31,43,126,43,31,179,1,20,179,20,1,189,1,10,189,10,1,180,0,20,180,20,0,
70, 1,0.9825,0.9825,0.91,0.1975,0.0725,0.0425,0.0025,0.985,0.9925,0.955,0.9,0.16,0.0125,0.0125,0.0175,197,0,3,197,3,0,189,1,10,189,10,1,177,2,21,177,21,2,159,7,34,159,34,7,115,18,67,115,67,18,170,2,28,170,28,2,185,0,15,185,15,0,192,0,8,192,8,0,
80, 0.9975,0.985,0.96,0.8625,0.1375,0.0075,0.0175,0.0225,1,0.9975,0.965,0.845,0.155,0.0575,0.0025,0.0025,200,0,0,200,0,0,197,0,3,197,3,0,170,0,30,170,30,0,135,17,48,135,48,17,109,25,66,109,66,25,180,1,19,180,19,1,191,0,9,191,9,0,189,0,11,189,11,0,
90, 0.97,0.965,0.9725,0.8625,0.2225,0.055,0.0125,0.015,1,0.9975,0.9625,0.835,0.1675,0.0675,0.01,0,188,0,12,188,12,0,188,0,12,188,12,0,176,4,20,176,20,4,107,33,60,107,60,33,119,16,65,119,65,16,153,8,39,153,39,8,195,0,5,195,5,0,195,0,5,195,5,0,
100, 0.98,0.98,0.96,0.8675,0.1775,0.04,0.0175,0.005,0.9925,0.995,0.95,0.8375,0.17,0.0475,0.0425,0.01,190,0,10,190,10,0,188,0,12,188,12,0,163,5,32,163,32,5,134,17,49,134,49,17,107,28,65,107,65,28,173,1,26,173,26,1,186,0,14,186,14,0,198,0,2,198,2,0,
110, 0.96,0.9675,0.945,0.825,0.2325,0.035,0.01,0.01,0.9825,0.9775,0.89,0.815,0.175,0.0475,0.01,0.0175,179,1,20,179,20,1,179,0,21,179,21,0,137,7,56,137,56,7,110,31,59,110,59,31,110,32,58,110,58,32,162,3,35,162,35,3,192,0,8,192,8,0,183,0,17,183,17,0,
120, 0.9775,0.995,0.99,0.8175,0.2375,0.0425,0.0375,0.0325,0.995,0.9875,0.945,0.835,0.2275,0.0475,0.0125,0.0075,189,0,11,189,11,0,193,0,7,193,7,0,167,2,31,167,31,2,121,26,53,121,53,26,95,34,71,95,71,34,160,8,32,160,32,8,186,0,14,186,14,0,187,0,13,187,13,0,
130, 1,0.9875,0.9725,0.8075,0.18,0.05,0.0075,0.0075,0.9875,0.9925,0.9425,0.8175,0.25,0.08,0.0375,0.03,194,0,6,194,6,0,196,0,4,196,4,0,176,1,23,176,23,1,115,26,59,115,59,26,85,43,72,85,72,43,151,6,43,151,43,6,185,0,15,185,15,0,182,0,18,182,18,0,
140, 1,1,0.9675,0.835,0.1525,0.05,0.0275,0.01,0.985,0.9525,0.9275,0.7575,0.1975,0.0425,0.015,0.0325,191,0,9,191,9,0,188,0,12,188,12,0,168,5,27,168,27,5,101,37,62,101,62,37,112,24,64,112,64,24,162,1,37,162,37,1,177,1,22,177,22,1,186,0,14,186,14,0,
150, 1,1,0.9725,0.8725,0.2475,0.0375,0.0075,0.0125,0.9775,0.97,0.9475,0.79,0.2125,0.07,0.0125,0.055,193,0,7,193,7,0,186,0,14,186,14,0,173,4,23,173,23,4,125,24,51,125,51,24,106,32,62,106,62,32,159,2,39,159,39,2,192,0,8,192,8,0,179,1,20,179,20,1,
160, 0.995,0.9925,0.9725,0.7925,0.1675,0.025,0.0075,0.0175,0.9775,0.9375,0.9525,0.815,0.1825,0.055,0.03,0.0025,185,1,14,185,14,1,176,0,24,176,24,0,168,1,31,168,31,1,123,11,66,123,66,11,112,24,64,112,64,24,173,1,26,173,26,1,182,0,18,182,18,0,190,0,10,190,10,0,
170, 0.9975,0.9975,0.9675,0.795,0.1825,0.075,0.04,0.02,0.9925,0.9625,0.9375,0.855,0.12,0.0375,0.0075,0.005,197,0,3,197,3,0,193,0,7,193,7,0,159,8,33,159,33,8,94,29,77,94,77,29,124,17,59,124,59,17,162,4,34,162,34,4,187,0,13,187,13,0,191,0,9,191,9,0,
180, 1,0.99,0.9625,0.8275,0.18,0.06,0.0675,0.0425,0.9825,0.9475,0.975,0.825,0.175,0.005,0.0025,0,197,0,3,197,3,0,181,0,19,181,19,0,174,0,26,174,26,0,125,19,56,125,56,19,129,19,52,129,52,19,174,2,24,174,24,2,176,0,24,176,24,0,183,0,17,183,17,0,
190, 1,1,0.965,0.75,0.1525,0.055,0.0375,0.0125,0.975,0.9925,0.9475,0.805,0.185,0.0575,0.0275,0.0025,191,0,9,191,9,0,196,0,4,196,4,0,175,2,23,175,23,2,105,39,56,105,56,39,102,26,72,102,72,26,163,2,35,163,35,2,172,2,26,172,26,2,187,0,13,187,13,0,
200, 0.9975,0.985,0.95,0.7525,0.1875,0.0275,0.02,0.0075,0.99,0.99,0.9525,0.825,0.245,0.065,0.03,0.0125,195,0,5,195,5,0,187,0,13,187,13,0,173,1,26,173,26,1,91,35,74,91,74,35,96,23,81,96,81,23,162,3,35,162,35,3,182,1,17,182,17,1,192,0,8,192,8,0,
