gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0l2, d1l2, d2l2, d3l2, d4l2, d5l2, d6l2, d7l2, d0l3, d1l3, d2l3, d3l3, d4l3, d5l3, d6l3, d7l3, d0l4, d1l4, d2l4, d3l4, d4l4, d5l4, d6l4, d7l4, d0l5, d1l5, d2l5, d3l5, d4l5, d5l5, d6l5, d7l5, d0l6, d1l6, d2l6, d3l6, d4l6, d5l6, d6l6, d7l6, d0l7, d1l7, d2l7, d3l7, d4l7, d5l7, d6l7, d7l7, d0W1, d0W0.999999, d0W1, d0W0.992014, d0W0.999711, d0W0.999999, d0W0.75212, d0W0.931651, d0W0.992014, d0W0.999711, d0W0.449329, d0W0.53697, d0W0.75212, d0W0.931651, d0W0.992014, d0W0.75212, d0W0.53697, d0W0.449329, d0W0.53697, d0W0.75212, d0W0.931651, d0W0.992014, d0W0.931651, d0W0.75212, d0W0.53697, d0W0.449329, d0W0.53697, d0W0.75212, d0W0.999999, d0W0.999711, d0W0.992014, d0W0.931651, d0W0.75212, d0W0.53697, d0W0.449329, d0W0.53697, d0W1, d0W1, d0W0.999999, d0W0.999711, d0W0.992014, d0W0.931651, d0W0.75212, d0W0.53697, d0W0.449329, d1W1, d1W0.999999, d1W1, d1W0.992014, d1W0.999711, d1W0.999999, d1W0.75212, d1W0.931651, d1W0.992014, d1W0.999711, d1W0.449329, d1W0.53697, d1W0.75212, d1W0.931651, d1W0.992014, d1W0.75212, d1W0.53697, d1W0.449329, d1W0.53697, d1W0.75212, d1W0.931651, d1W0.992014, d1W0.931651, d1W0.75212, d1W0.53697, d1W0.449329, d1W0.53697, d1W0.75212, d1W0.999999, d1W0.999711, d1W0.992014, d1W0.931651, d1W0.75212, d1W0.53697, d1W0.449329, d1W0.53697, d1W1, d1W1, d1W0.999999, d1W0.999711, d1W0.992014, d1W0.931651, d1W0.75212, d1W0.53697, d1W0.449329, d2W1, d2W0.999999, d2W1, d2W0.992014, d2W0.999711, d2W0.999999, d2W0.75212, d2W0.931651, d2W0.992014, d2W0.999711, d2W0.449329, d2W0.53697, d2W0.75212, d2W0.931651, d2W0.992014, d2W0.75212, d2W0.53697, d2W0.449329, d2W0.53697, d2W0.75212, d2W0.931651, d2W0.992014, d2W0.931651, d2W0.75212, d2W0.53697, d2W0.449329, d2W0.53697, d2W0.75212, d2W0.999999, d2W0.999711, d2W0.992014, d2W0.931651, d2W0.75212, d2W0.53697, d2W0.449329, d2W0.53697, d2W1, d2W1, d2W0.999999, d2W0.999711, d2W0.992014, d2W0.931651, d2W0.75212, d2W0.53697, d2W0.449329, d3W1, d3W0.999999, d3W1, d3W0.992014, d3W0.999711, d3W0.999999, d3W0.75212, d3W0.931651, d3W0.992014, d3W0.999711, d3W0.449329, d3W0.53697, d3W0.75212, d3W0.931651, d3W0.992014, d3W0.75212, d3W0.53697, d3W0.449329, d3W0.53697, d3W0.75212, d3W0.931651, d3W0.992014, d3W0.931651, d3W0.75212, d3W0.53697, d3W0.449329, d3W0.53697, d3W0.75212, d3W0.999999, d3W0.999711, d3W0.992014, d3W0.931651, d3W0.75212, d3W0.53697, d3W0.449329, d3W0.53697, d3W1, d3W1, d3W0.999999, d3W0.999711, d3W0.992014, d3W0.931651, d3W0.75212, d3W0.53697, d3W0.449329, d4W1, d4W0.999999, d4W1, d4W0.992014, d4W0.999711, d4W0.999999, d4W0.75212, d4W0.931651, d4W0.992014, d4W0.999711, d4W0.449329, d4W0.53697, d4W0.75212, d4W0.931651, d4W0.992014, d4W0.75212, d4W0.53697, d4W0.449329, d4W0.53697, d4W0.75212, d4W0.931651, d4W0.992014, d4W0.931651, d4W0.75212, d4W0.53697, d4W0.449329, d4W0.53697, d4W0.75212, d4W0.999999, d4W0.999711, d4W0.992014, d4W0.931651, d4W0.75212, d4W0.53697, d4W0.449329, d4W0.53697, d4W1, d4W1, d4W0.999999, d4W0.999711, d4W0.992014, d4W0.931651, d4W0.75212, d4W0.53697, d4W0.449329, d5W1, d5W0.999999, d5W1, d5W0.992014, d5W0.999711, d5W0.999999, d5W0.75212, d5W0.931651, d5W0.992014, d5W0.999711, d5W0.449329, d5W0.53697, d5W0.75212, d5W0.931651, d5W0.992014, d5W0.75212, d5W0.53697, d5W0.449329, d5W0.53697, d5W0.75212, d5W0.931651, d5W0.992014, d5W0.931651, d5W0.75212, d5W0.53697, d5W0.449329, d5W0.53697, d5W0.75212, d5W0.999999, d5W0.999711, d5W0.992014, d5W0.931651, d5W0.75212, d5W0.53697, d5W0.449329, d5W0.53697, d5W1, d5W1, d5W0.999999, d5W0.999711, d5W0.992014, d5W0.931651, d5W0.75212, d5W0.53697, d5W0.449329, d6W1, d6W0.999999, d6W1, d6W0.992014, d6W0.999711, d6W0.999999, d6W0.75212, d6W0.931651, d6W0.992014, d6W0.999711, d6W0.449329, d6W0.53697, d6W0.75212, d6W0.931651, d6W0.992014, d6W0.75212, d6W0.53697, d6W0.449329, d6W0.53697, d6W0.75212, d6W0.931651, d6W0.992014, d6W0.931651, d6W0.75212, d6W0.53697, d6W0.449329, d6W0.53697, d6W0.75212, d6W0.999999, d6W0.999711, d6W0.992014, d6W0.931651, d6W0.75212, d6W0.53697, d6W0.449329, d6W0.53697, d6W1, d6W1, d6W0.999999, d6W0.999711, d6W0.992014, d6W0.931651, d6W0.75212, d6W0.53697, d6W0.449329, d7W1, d7W0.999999, d7W1, d7W0.992014, d7W0.999711, d7W0.999999, d7W0.75212, d7W0.931651, d7W0.992014, d7W0.999711, d7W0.449329, d7W0.53697, d7W0.75212, d7W0.931651, d7W0.992014, d7W0.75212, d7W0.53697, d7W0.449329, d7W0.53697, d7W0.75212, d7W0.931651, d7W0.992014, d7W0.931651, d7W0.75212, d7W0.53697, d7W0.449329, d7W0.53697, d7W0.75212, d7W0.999999, d7W0.999711, d7W0.992014, d7W0.931651, d7W0.75212, d7W0.53697, d7W0.449329, d7W0.53697, d7W1, d7W1, d7W0.999999, d7W0.999711, d7W0.992014, d7W0.931651, d7W0.75212, d7W0.53697, d7W0.449329, 
0, 0.91,0.88,0.7575,0.7825,0.335,0.165,0.175,0.21,0.92,0.83,0.8225,0.6675,0.325,0.3575,0.21,0.225,0.735,0.755,0.6825,0.75,0.2375,0.085,0.0725,0.025,0.915,0.86,0.825,0.78,0.3375,0.1875,0.065,0.06,0.8925,0.94,0.885,0.76,0.3425,0.215,0.16,0.1725,0.865,0.8475,0.8925,0.775,0.405,0.12,0.125,0.1025,0.8625,0.795,0.7675,0.7125,0.295,0.1325,0.09,0.0375,0.9575,0.9375,0.885,0.7575,0.395,0.2425,0.21,0.175,24,70,56,10,37,70,1,2,10,37,0,0,1,2,10,1,0,0,0,1,2,10,2,1,0,0,0,1,70,37,10,2,1,0,0,0,24,56,70,37,10,2,1,0,0,13,58,39,21,56,58,5,8,21,56,0,0,5,8,21,5,0,0,0,5,8,21,8,5,0,0,0,5,58,56,21,8,5,0,0,0,13,39,58,56,21,8,5,0,0,8,43,32,28,58,43,6,20,28,58,1,4,6,20,28,6,4,1,4,6,20,28,20,6,4,1,4,6,43,58,28,20,6,4,1,4,8,32,43,58,28,20,6,4,1,4,29,19,49,38,29,10,28,49,38,12,11,10,28,49,10,11,12,11,10,28,49,28,10,11,12,11,10,29,38,49,28,10,11,12,11,4,19,29,38,49,28,10,11,12,3,24,10,32,37,24,35,35,32,37,6,18,35,35,32,35,18,6,18,35,35,32,35,35,18,6,18,35,24,37,32,35,35,18,6,18,3,10,24,37,32,35,35,18,6,9,54,35,24,43,54,6,26,24,43,2,1,6,26,24,6,1,2,1,6,26,24,26,6,1,2,1,6,54,43,24,26,6,1,2,1,9,35,54,43,24,26,6,1,2,19,49,54,27,40,49,0,9,27,40,1,1,0,9,27,0,1,1,1,0,9,27,9,0,1,1,1,0,49,40,27,9,0,1,1,1,19,54,49,40,27,9,0,1,1,16,62,52,20,42,62,0,7,20,42,0,1,0,7,20,0,1,0,1,0,7,20,7,0,1,0,1,0,62,42,20,7,0,1,0,1,16,52,62,42,20,7,0,1,0,
10, 0.95,0.88,0.775,0.7275,0.23,0.1025,0.16,0.175,0.8675,0.88,0.8525,0.76,0.5,0.2725,0.175,0.2175,0.8125,0.7625,0.7975,0.6175,0.27,0.0925,0.0675,0.06,0.855,0.8525,0.8225,0.7175,0.195,0.2225,0.0575,0.0675,0.9575,0.94,0.9325,0.77,0.2525,0.175,0.1,0.21,0.8275,0.8275,0.835,0.7525,0.3075,0.1525,0.105,0.0825,0.915,0.8175,0.81,0.7075,0.2025,0.08,0.0525,0.0575,0.9325,0.905,0.8825,0.755,0.325,0.21,0.21,0.1775,27,56,64,17,31,56,0,5,17,31,0,0,0,5,17,0,0,0,0,0,5,17,5,0,0,0,0,0,56,31,17,5,0,0,0,0,27,64,56,31,17,5,0,0,0,21,65,40,21,39,65,5,9,21,39,0,0,5,9,21,5,0,0,0,5,9,21,9,5,0,0,0,5,65,39,21,9,5,0,0,0,21,40,65,39,21,9,5,0,0,15,51,40,28,53,51,5,8,28,53,0,0,5,8,28,5,0,0,0,5,8,28,8,5,0,0,0,5,51,53,28,8,5,0,0,0,15,40,51,53,28,8,5,0,0,2,31,14,41,47,31,16,31,41,47,3,15,16,31,41,16,15,3,15,16,31,41,31,16,15,3,15,16,31,47,41,31,16,15,3,15,2,14,31,47,41,31,16,15,3,5,19,16,40,38,19,18,31,40,38,13,20,18,31,40,18,20,13,20,18,31,40,31,18,20,13,20,18,19,38,40,31,18,20,13,20,5,16,19,38,40,31,18,20,13,13,61,31,27,44,61,9,12,27,44,1,2,9,12,27,9,2,1,2,9,12,27,12,9,2,1,2,9,61,44,27,12,9,2,1,2,13,31,61,44,27,12,9,2,1,23,56,58,20,33,56,5,5,20,33,0,0,5,5,20,5,0,0,0,5,5,20,5,5,0,0,0,5,56,33,20,5,5,0,0,0,23,58,56,33,20,5,5,0,0,12,64,62,15,40,64,0,7,15,40,0,0,0,7,15,0,0,0,0,0,7,15,7,0,0,0,0,0,64,40,15,7,0,0,0,0,12,62,64,40,15,7,0,0,0,
20, 0.895,0.9,0.815,0.635,0.2275,0.14,0.1275,0.1175,0.9375,0.88,0.8575,0.81,0.3925,0.2925,0.1875,0.225,0.7775,0.8075,0.7825,0.66,0.2625,0.1425,0.12,0.0925,0.8525,0.815,0.7225,0.7175,0.2325,0.215,0.125,0.09,0.9875,0.9725,0.9375,0.7475,0.255,0.105,0.0875,0.1125,0.9,0.8725,0.865,0.7225,0.2675,0.145,0.1425,0.1275,0.89,0.87,0.815,0.71,0.1775,0.06,0.045,0.035,0.925,0.8875,0.885,0.75,0.265,0.22,0.2075,0.155,29,63,60,13,33,63,0,1,13,33,1,0,0,1,13,0,0,1,0,0,1,13,1,0,0,1,0,0,63,33,13,1,0,0,1,0,29,60,63,33,13,1,0,0,1,22,62,55,14,39,62,1,7,14,39,0,0,1,7,14,1,0,0,0,1,7,14,7,1,0,0,0,1,62,39,14,7,1,0,0,0,22,55,62,39,14,7,1,0,0,20,44,39,27,52,44,2,12,27,52,0,4,2,12,27,2,4,0,4,2,12,27,12,2,4,0,4,2,44,52,27,12,2,4,0,4,20,39,44,52,27,12,2,4,0,2,34,19,29,42,34,18,31,29,42,11,14,18,31,29,18,14,11,14,18,31,29,31,18,14,11,14,18,34,42,29,31,18,14,11,14,2,19,34,42,29,31,18,14,11,4,31,18,42,38,31,14,24,42,38,9,20,14,24,42,14,20,9,20,14,24,42,24,14,20,9,20,14,31,38,42,24,14,20,9,20,4,18,31,38,42,24,14,20,9,17,59,28,30,44,59,4,15,30,44,0,3,4,15,30,4,3,0,3,4,15,30,15,4,3,0,3,4,59,44,30,15,4,3,0,3,17,28,59,44,30,15,4,3,0,20,61,56,24,35,61,1,3,24,35,0,0,1,3,24,1,0,0,0,1,3,24,3,1,0,0,0,1,61,35,24,3,1,0,0,0,20,56,61,35,24,3,1,0,0,20,51,59,15,48,51,2,5,15,48,0,0,2,5,15,2,0,0,0,2,5,15,5,2,0,0,0,2,51,48,15,5,2,0,0,0,20,59,51,48,15,5,2,0,0,
30, 0.97,0.9475,0.845,0.7125,0.235,0.115,0.09,0.1025,0.9425,0.895,0.9025,0.76,0.365,0.275,0.1575,0.2,0.75,0.8,0.7925,0.7,0.275,0.175,0.12,0.1325,0.89,0.7975,0.7325,0.665,0.1925,0.1175,0.11,0.07,0.99,0.9675,0.9425,0.745,0.31,0.1675,0.125,0.1025,0.83,0.8425,0.8875,0.7275,0.2725,0.1875,0.1475,0.11,0.815,0.865,0.8675,0.7675,0.235,0.0875,0.0625,0.04,0.87,0.91,0.815,0.665,0.2725,0.21,0.16,0.125,28,62,70,13,23,62,1,3,13,23,0,0,1,3,13,1,0,0,0,1,3,13,3,1,0,0,0,1,62,23,13,3,1,0,0,0,28,70,62,23,13,3,1,0,0,19,67,55,15,40,67,0,4,15,40,0,0,0,4,15,0,0,0,0,0,4,15,4,0,0,0,0,0,67,40,15,4,0,0,0,0,19,55,67,40,15,4,0,0,0,13,63,43,27,34,63,6,14,27,34,0,0,6,14,27,6,0,0,0,6,14,27,14,6,0,0,0,6,63,34,27,14,6,0,0,0,13,43,63,34,27,14,6,0,0,1,32,24,38,32,32,25,21,38,32,11,16,25,21,38,25,16,11,16,25,21,38,21,25,16,11,16,25,32,32,38,21,25,16,11,16,1,24,32,32,38,21,25,16,11,7,28,21,23,55,28,19,25,23,55,6,16,19,25,23,19,16,6,16,19,25,23,25,19,16,6,16,19,28,55,23,25,19,16,6,16,7,21,28,55,23,25,19,16,6,12,56,35,31,45,56,4,14,31,45,0,3,4,14,31,4,3,0,3,4,14,31,14,4,3,0,3,4,56,45,31,14,4,3,0,3,12,35,56,45,31,14,4,3,0,30,63,51,16,34,63,1,5,16,34,0,0,1,5,16,1,0,0,0,1,5,16,5,1,0,0,0,1,63,34,16,5,1,0,0,0,30,51,63,34,16,5,1,0,0,25,56,71,11,32,56,1,4,11,32,0,0,1,4,11,1,0,0,0,1,4,11,4,1,0,0,0,1,56,32,11,4,1,0,0,0,25,71,56,32,11,4,1,0,0,
40, 0.925,0.85,0.865,0.75,0.22,0.065,0.07,0.055,0.9275,0.91,0.8775,0.7375,0.375,0.165,0.145,0.16,0.8025,0.77,0.74,0.71,0.2225,0.1075,0.1025,0.1375,0.78,0.845,0.8475,0.715,0.205,0.1725,0.0975,0.0775,0.98,0.98,0.9425,0.775,0.38,0.235,0.1375,0.11,0.85,0.9275,0.86,0.67,0.37,0.235,0.1975,0.19,0.8725,0.87,0.84,0.6375,0.255,0.085,0.1275,0.065,0.9075,0.88,0.8475,0.6925,0.2475,0.1525,0.2275,0.17,25,64,56,15,33,64,2,5,15,33,0,0,2,5,15,2,0,0,0,2,5,15,5,2,0,0,0,2,64,33,15,5,2,0,0,0,25,56,64,33,15,5,2,0,0,33,44,58,24,36,44,0,4,24,36,0,1,0,4,24,0,1,0,1,0,4,24,4,0,1,0,1,0,44,36,24,4,0,1,0,1,33,58,44,36,24,4,0,1,0,16,54,47,22,45,54,2,10,22,45,2,2,2,10,22,2,2,2,2,2,10,22,10,2,2,2,2,2,54,45,22,10,2,2,2,2,16,47,54,45,22,10,2,2,2,7,34,21,31,44,34,14,28,31,44,8,13,14,28,31,14,13,8,13,14,28,31,28,14,13,8,13,14,34,44,31,28,14,13,8,13,7,21,34,44,31,28,14,13,8,2,21,14,43,46,21,16,30,43,46,8,20,16,30,43,16,20,8,20,16,30,43,30,16,20,8,20,16,21,46,43,30,16,20,8,20,2,14,21,46,43,30,16,20,8,15,52,35,25,50,52,4,12,25,50,1,6,4,12,25,4,6,1,6,4,12,25,12,4,6,1,6,4,52,50,25,12,4,6,1,6,15,35,52,50,25,12,4,6,1,16,59,41,28,47,59,0,9,28,47,0,0,0,9,28,0,0,0,0,0,9,28,9,0,0,0,0,0,59,47,28,9,0,0,0,0,16,41,59,47,28,9,0,0,0,22,56,71,11,34,56,1,4,11,34,0,1,1,4,11,1,1,0,1,1,4,11,4,1,1,0,1,1,56,34,11,4,1,1,0,1,22,71,56,34,11,4,1,1,0,
50, 0.8675,0.8725,0.895,0.785,0.4075,0.1125,0.0375,0.0475,0.92,0.915,0.8725,0.735,0.4325,0.1875,0.13,0.105,0.8375,0.7975,0.74,0.64,0.235,0.2025,0.12,0.1275,0.8325,0.83,0.7875,0.745,0.2925,0.17,0.175,0.1875,0.9825,0.995,0.945,0.785,0.3575,0.28,0.19,0.1525,0.8925,0.8875,0.9175,0.8075,0.3175,0.24,0.1775,0.1325,0.87,0.905,0.8025,0.7125,0.2475,0.14,0.0775,0.0825,0.89,0.9125,0.9025,0.7675,0.24,0.13,0.13,0.2175,30,55,62,14,35,55,1,3,14,35,0,0,1,3,14,1,0,0,0,1,3,14,3,1,0,0,0,1,55,35,14,3,1,0,0,0,30,62,55,35,14,3,1,0,0,33,51,58,20,33,51,2,3,20,33,0,0,2,3,20,2,0,0,0,2,3,20,3,2,0,0,0,2,51,33,20,3,2,0,0,0,33,58,51,33,20,3,2,0,0,14,45,52,17,52,45,9,9,17,52,1,1,9,9,17,9,1,1,1,9,9,17,9,9,1,1,1,9,45,52,17,9,9,1,1,1,14,52,45,52,17,9,9,1,1,11,42,15,28,46,42,13,26,28,46,6,13,13,26,28,13,13,6,13,13,26,28,26,13,13,6,13,13,42,46,28,26,13,13,6,13,11,15,42,46,28,26,13,13,6,3,25,11,33,33,25,32,31,33,33,5,27,32,31,33,32,27,5,27,32,31,33,31,32,27,5,27,32,25,33,33,31,32,27,5,27,3,11,25,33,33,31,32,27,5,9,44,32,39,47,44,7,18,39,47,1,3,7,18,39,7,3,1,3,7,18,39,18,7,3,1,3,7,44,47,39,18,7,3,1,3,9,32,44,47,39,18,7,3,1,21,50,58,17,39,50,4,10,17,39,0,1,4,10,17,4,1,0,1,4,10,17,10,4,1,0,1,4,50,39,17,10,4,1,0,1,21,58,50,39,17,10,4,1,0,24,60,48,20,36,60,0,12,20,36,0,0,0,12,20,0,0,0,0,0,12,20,12,0,0,0,0,0,60,36,20,12,0,0,0,0,24,48,60,36,20,12,0,0,0,
60, 0.885,0.8725,0.8725,0.7325,0.3425,0.15,0.0775,0.0525,0.86,0.92,0.9475,0.7525,0.3725,0.23,0.14,0.1225,0.81,0.855,0.775,0.6475,0.3175,0.17,0.1525,0.0925,0.88,0.8125,0.775,0.72,0.24,0.165,0.205,0.2425,0.97,0.9825,0.89,0.715,0.35,0.1725,0.1375,0.135,0.9225,0.91,0.875,0.8175,0.4025,0.265,0.15,0.205,0.875,0.875,0.89,0.6775,0.275,0.105,0.0625,0.0825,0.9225,0.9325,0.9025,0.7925,0.345,0.12,0.0875,0.1225,29,63,58,12,33,63,1,4,12,33,0,0,1,4,12,1,0,0,0,1,4,12,4,1,0,0,0,1,63,33,12,4,1,0,0,0,29,58,63,33,12,4,1,0,0,29,63,59,14,31,63,1,3,14,31,0,0,1,3,14,1,0,0,0,1,3,14,3,1,0,0,0,1,63,31,14,3,1,0,0,0,29,59,63,31,14,3,1,0,0,27,45,53,23,41,45,5,6,23,41,0,0,5,6,23,5,0,0,0,5,6,23,6,5,0,0,0,5,45,41,23,6,5,0,0,0,27,53,45,41,23,6,5,0,0,11,35,13,39,41,35,17,30,39,41,5,9,17,30,39,17,9,5,9,17,30,39,30,17,9,5,9,17,35,41,39,30,17,9,5,9,11,13,35,41,39,30,17,9,5,4,23,9,33,33,23,25,30,33,33,17,26,25,30,33,25,26,17,26,25,30,33,30,25,26,17,26,25,23,33,33,30,25,26,17,26,4,9,23,33,33,30,25,26,17,10,53,29,37,44,53,9,14,37,44,3,1,9,14,37,9,1,3,1,9,14,37,14,9,1,3,1,9,53,44,37,14,9,1,3,1,10,29,53,44,37,14,9,1,3,15,66,39,26,44,66,2,8,26,44,0,0,2,8,26,2,0,0,0,2,8,26,8,2,0,0,0,2,66,44,26,8,2,0,0,0,15,39,66,44,26,8,2,0,0,28,53,54,11,42,53,3,8,11,42,0,1,3,8,11,3,1,0,1,3,8,11,8,3,1,0,1,3,53,42,11,8,3,1,0,1,28,54,53,42,11,8,3,1,0,
70, 0.885,0.9125,0.8425,0.7875,0.345,0.1575,0.1375,0.0525,0.905,0.9725,0.91,0.745,0.35,0.22,0.145,0.1325,0.9025,0.86,0.7625,0.615,0.2275,0.09,0.0425,0.045,0.865,0.845,0.83,0.73,0.355,0.1575,0.135,0.16,0.9875,0.9575,0.8175,0.7025,0.36,0.175,0.085,0.115,0.91,0.9125,0.9,0.72,0.3375,0.2525,0.13,0.1325,0.8725,0.87,0.8575,0.7375,0.265,0.1075,0.0425,0.025,0.9575,0.955,0.915,0.76,0.4075,0.0925,0.075,0.1,42,61,59,13,25,61,0,0,13,25,0,0,0,0,13,0,0,0,0,0,0,13,0,0,0,0,0,0,61,25,13,0,0,0,0,0,42,59,61,25,13,0,0,0,0,49,48,75,6,22,48,0,0,6,22,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,48,22,6,0,0,0,0,0,49,75,48,22,6,0,0,0,0,15,50,42,30,47,50,5,9,30,47,1,1,5,9,30,5,1,1,1,5,9,30,9,5,1,1,1,5,50,47,30,9,5,1,1,1,15,42,50,47,30,9,5,1,1,0,35,20,39,45,35,20,22,39,45,8,11,20,22,39,20,11,8,11,20,22,39,22,20,11,8,11,20,35,45,39,22,20,11,8,11,0,20,35,45,39,22,20,11,8,2,25,9,41,36,25,26,24,41,36,9,28,26,24,41,26,28,9,28,26,24,41,24,26,28,9,28,26,25,36,41,24,26,28,9,28,2,9,25,36,41,24,26,28,9,17,48,41,24,49,48,6,10,24,49,0,5,6,10,24,6,5,0,5,6,10,24,10,6,5,0,5,6,48,49,24,10,6,5,0,5,17,41,48,49,24,10,6,5,0,39,59,62,11,27,59,0,2,11,27,0,0,0,2,11,0,0,0,0,0,2,11,2,0,0,0,0,0,59,27,11,2,0,0,0,0,39,62,59,27,11,2,0,0,0,35,67,54,10,29,67,0,5,10,29,0,0,0,5,10,0,0,0,0,0,5,10,5,0,0,0,0,0,67,29,10,5,0,0,0,0,35,54,67,29,10,5,0,0,0,
80, 0.8925,0.88,0.8125,0.7075,0.3275,0.2475,0.1575,0.145,0.915,0.9375,0.87,0.6675,0.2,0.14,0.1475,0.125,0.875,0.8425,0.795,0.65,0.205,0.06,0.0825,0.02,0.88,0.84,0.815,0.5425,0.22,0.1875,0.085,0.14,0.98,0.9275,0.84,0.66,0.3,0.17,0.07,0.09,0.93,0.935,0.87,0.6125,0.2525,0.255,0.1425,0.1175,0.835,0.87,0.845,0.6325,0.2225,0.095,0.055,0.035,0.9675,0.92,0.8775,0.725,0.2725,0.1125,0.04,0.08,42,56,66,5,25,56,1,5,5,25,0,0,1,5,5,1,0,0,0,1,5,5,5,1,0,0,0,1,56,25,5,5,1,0,0,0,42,66,56,25,5,5,1,0,0,33,73,58,13,18,73,0,4,13,18,0,1,0,4,13,0,1,0,1,0,4,13,4,0,1,0,1,0,73,18,13,4,0,1,0,1,33,58,73,18,13,4,0,1,0,19,55,44,16,47,55,4,13,16,47,0,2,4,13,16,4,2,0,2,4,13,16,13,4,2,0,2,4,55,47,16,13,4,2,0,2,19,44,55,47,16,13,4,2,0,5,29,17,35,33,29,19,34,35,33,9,19,19,34,35,19,19,9,19,19,34,35,34,19,19,9,19,19,29,33,35,34,19,19,9,19,5,17,29,33,35,34,19,19,9,6,30,18,43,41,30,12,26,43,41,10,14,12,26,43,12,14,10,14,12,26,43,26,12,14,10,14,12,30,41,43,26,12,14,10,14,6,18,30,41,43,26,12,14,10,19,46,34,26,56,46,4,13,26,56,1,1,4,13,26,4,1,1,1,4,13,26,13,4,1,1,1,4,46,56,26,13,4,1,1,1,19,34,46,56,26,13,4,1,1,32,66,69,12,20,66,1,0,12,20,0,0,1,0,12,1,0,0,0,1,0,12,0,1,0,0,0,1,66,20,12,0,1,0,0,0,32,69,66,20,12,0,1,0,0,45,59,61,11,22,59,1,1,11,22,0,0,1,1,11,1,0,0,0,1,1,11,1,1,0,0,0,1,59,22,11,1,1,0,0,0,45,61,59,22,11,1,1,0,0,
90, 0.89,0.8075,0.8375,0.735,0.2925,0.18,0.1775,0.1375,0.9375,0.9175,0.865,0.74,0.31,0.1225,0.145,0.1525,0.8575,0.8075,0.73,0.6725,0.16,0.0825,0.0525,0.07,0.8,0.8525,0.8,0.605,0.26,0.1825,0.1125,0.18,0.8975,0.9325,0.8675,0.675,0.2225,0.1075,0.0925,0.085,0.955,0.9075,0.8,0.72,0.255,0.1975,0.15,0.1525,0.8975,0.88,0.85,0.735,0.2175,0.075,0.055,0.02,0.93,0.905,0.9125,0.755,0.2525,0.06,0.1,0.0675,27,50,75,8,35,50,0,5,8,35,0,0,0,5,8,0,0,0,0,0,5,8,5,0,0,0,0,0,50,35,8,5,0,0,0,0,27,75,50,35,8,5,0,0,0,21,50,54,26,43,50,2,4,26,43,0,0,2,4,26,2,0,0,0,2,4,26,4,2,0,0,0,2,50,43,26,4,2,0,0,0,21,54,50,43,26,4,2,0,0,17,52,43,28,36,52,5,14,28,36,2,3,5,14,28,5,3,2,3,5,14,28,14,5,3,2,3,5,52,36,28,14,5,3,2,3,17,43,52,36,28,14,5,3,2,1,37,21,31,44,37,17,25,31,44,7,17,17,25,31,17,17,7,17,17,25,31,25,17,17,7,17,17,37,44,31,25,17,17,7,17,1,21,37,44,31,25,17,17,7,5,33,26,38,44,33,11,24,38,44,9,10,11,24,38,11,10,9,10,11,24,38,24,11,10,9,10,11,33,44,38,24,11,10,9,10,5,26,33,44,38,24,11,10,9,21,60,45,20,45,60,2,6,20,45,0,1,2,6,20,2,1,0,1,2,6,20,6,2,1,0,1,2,60,45,20,6,2,1,0,1,21,45,60,45,20,6,2,1,0,32,60,64,13,30,60,0,1,13,30,0,0,0,1,13,0,0,0,0,0,1,13,1,0,0,0,0,0,60,30,13,1,0,0,0,0,32,64,60,30,13,1,0,0,0,35,49,68,12,32,49,0,4,12,32,0,0,0,4,12,0,0,0,0,0,4,12,4,0,0,0,0,0,49,32,12,4,0,0,0,0,35,68,49,32,12,4,0,0,0,
