gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0l2, d1l2, d2l2, d3l2, d4l2, d5l2, d6l2, d7l2, d0l3, d1l3, d2l3, d3l3, d4l3, d5l3, d6l3, d7l3, d0l4, d1l4, d2l4, d3l4, d4l4, d5l4, d6l4, d7l4, d0l5, d1l5, d2l5, d3l5, d4l5, d5l5, d6l5, d7l5, d0l6, d1l6, d2l6, d3l6, d4l6, d5l6, d6l6, d7l6, d0l7, d1l7, d2l7, d3l7, d4l7, d5l7, d6l7, d7l7, d0W1, d0W0.999998, d0W1, d0W0.990027, d0W0.999639, d0W0.999998, d0W0.700421, d0W0.915307, d0W0.990027, d0W0.999639, d0W0.367879, d0W0.459661, d0W0.700421, d0W0.915307, d0W0.990027, d0W0.700421, d0W0.459661, d0W0.367879, d0W0.459661, d0W0.700421, d0W0.915307, d0W0.990027, d0W0.915307, d0W0.700421, d0W0.459661, d0W0.367879, d0W0.459661, d0W0.700421, d0W0.999998, d0W0.999639, d0W0.990027, d0W0.915307, d0W0.700421, d0W0.459661, d0W0.367879, d0W0.459661, d0W1, d0W1, d0W0.999998, d0W0.999639, d0W0.990027, d0W0.915307, d0W0.700421, d0W0.459661, d0W0.367879, d1W1, d1W0.999998, d1W1, d1W0.990027, d1W0.999639, d1W0.999998, d1W0.700421, d1W0.915307, d1W0.990027, d1W0.999639, d1W0.367879, d1W0.459661, d1W0.700421, d1W0.915307, d1W0.990027, d1W0.700421, d1W0.459661, d1W0.367879, d1W0.459661, d1W0.700421, d1W0.915307, d1W0.990027, d1W0.915307, d1W0.700421, d1W0.459661, d1W0.367879, d1W0.459661, d1W0.700421, d1W0.999998, d1W0.999639, d1W0.990027, d1W0.915307, d1W0.700421, d1W0.459661, d1W0.367879, d1W0.459661, d1W1, d1W1, d1W0.999998, d1W0.999639, d1W0.990027, d1W0.915307, d1W0.700421, d1W0.459661, d1W0.367879, d2W1, d2W0.999998, d2W1, d2W0.990027, d2W0.999639, d2W0.999998, d2W0.700421, d2W0.915307, d2W0.990027, d2W0.999639, d2W0.367879, d2W0.459661, d2W0.700421, d2W0.915307, d2W0.990027, d2W0.700421, d2W0.459661, d2W0.367879, d2W0.459661, d2W0.700421, d2W0.915307, d2W0.990027, d2W0.915307, d2W0.700421, d2W0.459661, d2W0.367879, d2W0.459661, d2W0.700421, d2W0.999998, d2W0.999639, d2W0.990027, d2W0.915307, d2W0.700421, d2W0.459661, d2W0.367879, d2W0.459661, d2W1, d2W1, d2W0.999998, d2W0.999639, d2W0.990027, d2W0.915307, d2W0.700421, d2W0.459661, d2W0.367879, d3W1, d3W0.999998, d3W1, d3W0.990027, d3W0.999639, d3W0.999998, d3W0.700421, d3W0.915307, d3W0.990027, d3W0.999639, d3W0.367879, d3W0.459661, d3W0.700421, d3W0.915307, d3W0.990027, d3W0.700421, d3W0.459661, d3W0.367879, d3W0.459661, d3W0.700421, d3W0.915307, d3W0.990027, d3W0.915307, d3W0.700421, d3W0.459661, d3W0.367879, d3W0.459661, d3W0.700421, d3W0.999998, d3W0.999639, d3W0.990027, d3W0.915307, d3W0.700421, d3W0.459661, d3W0.367879, d3W0.459661, d3W1, d3W1, d3W0.999998, d3W0.999639, d3W0.990027, d3W0.915307, d3W0.700421, d3W0.459661, d3W0.367879, d4W1, d4W0.999998, d4W1, d4W0.990027, d4W0.999639, d4W0.999998, d4W0.700421, d4W0.915307, d4W0.990027, d4W0.999639, d4W0.367879, d4W0.459661, d4W0.700421, d4W0.915307, d4W0.990027, d4W0.700421, d4W0.459661, d4W0.367879, d4W0.459661, d4W0.700421, d4W0.915307, d4W0.990027, d4W0.915307, d4W0.700421, d4W0.459661, d4W0.367879, d4W0.459661, d4W0.700421, d4W0.999998, d4W0.999639, d4W0.990027, d4W0.915307, d4W0.700421, d4W0.459661, d4W0.367879, d4W0.459661, d4W1, d4W1, d4W0.999998, d4W0.999639, d4W0.990027, d4W0.915307, d4W0.700421, d4W0.459661, d4W0.367879, d5W1, d5W0.999998, d5W1, d5W0.990027, d5W0.999639, d5W0.999998, d5W0.700421, d5W0.915307, d5W0.990027, d5W0.999639, d5W0.367879, d5W0.459661, d5W0.700421, d5W0.915307, d5W0.990027, d5W0.700421, d5W0.459661, d5W0.367879, d5W0.459661, d5W0.700421, d5W0.915307, d5W0.990027, d5W0.915307, d5W0.700421, d5W0.459661, d5W0.367879, d5W0.459661, d5W0.700421, d5W0.999998, d5W0.999639, d5W0.990027, d5W0.915307, d5W0.700421, d5W0.459661, d5W0.367879, d5W0.459661, d5W1, d5W1, d5W0.999998, d5W0.999639, d5W0.990027, d5W0.915307, d5W0.700421, d5W0.459661, d5W0.367879, d6W1, d6W0.999998, d6W1, d6W0.990027, d6W0.999639, d6W0.999998, d6W0.700421, d6W0.915307, d6W0.990027, d6W0.999639, d6W0.367879, d6W0.459661, d6W0.700421, d6W0.915307, d6W0.990027, d6W0.700421, d6W0.459661, d6W0.367879, d6W0.459661, d6W0.700421, d6W0.915307, d6W0.990027, d6W0.915307, d6W0.700421, d6W0.459661, d6W0.367879, d6W0.459661, d6W0.700421, d6W0.999998, d6W0.999639, d6W0.990027, d6W0.915307, d6W0.700421, d6W0.459661, d6W0.367879, d6W0.459661, d6W1, d6W1, d6W0.999998, d6W0.999639, d6W0.990027, d6W0.915307, d6W0.700421, d6W0.459661, d6W0.367879, d7W1, d7W0.999998, d7W1, d7W0.990027, d7W0.999639, d7W0.999998, d7W0.700421, d7W0.915307, d7W0.990027, d7W0.999639, d7W0.367879, d7W0.459661, d7W0.700421, d7W0.915307, d7W0.990027, d7W0.700421, d7W0.459661, d7W0.367879, d7W0.459661, d7W0.700421, d7W0.915307, d7W0.990027, d7W0.915307, d7W0.700421, d7W0.459661, d7W0.367879, d7W0.459661, d7W0.700421, d7W0.999998, d7W0.999639, d7W0.990027, d7W0.915307, d7W0.700421, d7W0.459661, d7W0.367879, d7W0.459661, d7W1, d7W1, d7W0.999998, d7W0.999639, d7W0.990027, d7W0.915307, d7W0.700421, d7W0.459661, d7W0.367879, 
0, 0.98,0.9375,0.92,0.79,0.4375,0.2625,0.2075,0.23,0.9275,0.865,0.8975,0.7975,0.3375,0.1725,0.1075,0.14,0.88,0.8525,0.82,0.6675,0.26,0.165,0.19,0.18,0.975,0.9625,0.8925,0.8125,0.265,0.165,0.125,0.1225,0.89,0.9025,0.85,0.8125,0.3025,0.085,0.075,0.0225,0.9675,0.885,0.8475,0.6925,0.3075,0.15,0.1975,0.1,0.775,0.69,0.8175,0.6625,0.265,0.1775,0.0775,0.0625,0.9125,0.9275,0.8825,0.8025,0.2625,0.1525,0.185,0.085,32,53,82,9,23,53,0,1,9,23,0,0,0,1,9,0,0,0,0,0,1,9,1,0,0,0,0,0,53,23,9,1,0,0,0,0,32,82,53,23,9,1,0,0,0,24,53,60,14,43,53,1,5,14,43,0,0,1,5,14,1,0,0,0,1,5,14,5,1,0,0,0,1,53,43,14,5,1,0,0,0,24,60,53,43,14,5,1,0,0,19,61,50,18,39,61,3,10,18,39,0,0,3,10,18,3,0,0,0,3,10,18,10,3,0,0,0,3,61,39,18,10,3,0,0,0,19,50,61,39,18,10,3,0,0,6,58,26,32,32,58,14,13,32,32,8,11,14,13,32,14,11,8,11,14,13,32,13,14,11,8,11,14,58,32,32,13,14,11,8,11,6,26,58,32,32,13,14,11,8,2,36,18,36,37,36,20,21,36,37,11,19,20,21,36,20,19,11,19,20,21,36,21,20,19,11,19,20,36,37,36,21,20,19,11,19,2,18,36,37,36,21,20,19,11,14,48,36,27,54,48,7,13,27,54,0,1,7,13,27,7,1,0,1,7,13,27,13,7,1,0,1,7,48,54,27,13,7,1,0,1,14,36,48,54,27,13,7,1,0,18,57,43,24,48,57,3,7,24,48,0,0,3,7,24,3,0,0,0,3,7,24,7,3,0,0,0,3,57,48,24,7,3,0,0,0,18,43,57,48,24,7,3,0,0,28,46,56,22,39,46,0,8,22,39,0,1,0,8,22,0,1,0,1,0,8,22,8,0,1,0,1,0,46,39,22,8,0,1,0,1,28,56,46,39,22,8,0,1,0,
10, 0.965,0.9575,0.895,0.785,0.405,0.2325,0.23,0.2375,0.9525,0.9525,0.9425,0.85,0.3125,0.1725,0.105,0.0825,0.935,0.865,0.845,0.7575,0.235,0.1725,0.205,0.175,0.9775,0.9825,0.94,0.855,0.3175,0.1525,0.1825,0.13,0.83,0.91,0.8825,0.79,0.2225,0.0925,0.045,0.02,0.9425,0.93,0.89,0.725,0.36,0.2275,0.2,0.175,0.6625,0.72,0.7625,0.6625,0.3025,0.2525,0.2,0.0975,0.91,0.9075,0.88,0.765,0.2175,0.2075,0.235,0.18,33,61,62,13,29,61,0,2,13,29,0,0,0,2,13,0,0,0,0,0,2,13,2,0,0,0,0,0,61,29,13,2,0,0,0,0,33,62,61,29,13,2,0,0,0,27,55,77,10,29,55,1,1,10,29,0,0,1,1,10,1,0,0,0,1,1,10,1,1,0,0,0,1,55,29,10,1,1,0,0,0,27,77,55,29,10,1,1,0,0,23,73,60,20,22,73,1,1,20,22,0,0,1,1,20,1,0,0,0,1,1,20,1,1,0,0,0,1,73,22,20,1,1,0,0,0,23,60,73,22,20,1,1,0,0,8,45,35,30,37,45,14,20,30,37,5,6,14,20,30,14,6,5,6,14,20,30,20,14,6,5,6,14,45,37,30,20,14,6,5,6,8,35,45,37,30,20,14,6,5,3,23,17,44,41,23,19,28,44,41,8,17,19,28,44,19,17,8,17,19,28,44,28,19,17,8,17,19,23,41,44,28,19,17,8,17,3,17,23,41,44,28,19,17,8,6,48,23,46,44,48,8,21,46,44,1,3,8,21,46,8,3,1,3,8,21,46,21,8,3,1,3,8,48,44,46,21,8,3,1,3,6,23,48,44,46,21,8,3,1,9,59,30,33,54,59,2,12,33,54,0,1,2,12,33,2,1,0,1,2,12,33,12,2,1,0,1,2,59,54,33,12,2,1,0,1,9,30,59,54,33,12,2,1,0,22,53,50,23,42,53,2,8,23,42,0,0,2,8,23,2,0,0,0,2,8,23,8,2,0,0,0,2,53,42,23,8,2,0,0,0,22,50,53,42,23,8,2,0,0,
20, 0.995,0.955,0.87,0.745,0.3125,0.195,0.185,0.1725,0.9425,0.9625,0.91,0.79,0.3225,0.1575,0.08,0.09,0.9475,0.87,0.835,0.6825,0.28,0.0975,0.12,0.1225,0.9925,0.995,0.9275,0.7875,0.3625,0.1825,0.16,0.1175,0.8925,0.89,0.8525,0.725,0.2375,0.075,0.0525,0.0225,0.95,0.9325,0.935,0.7875,0.3025,0.1925,0.17,0.2725,0.7225,0.6975,0.76,0.65,0.21,0.19,0.175,0.115,0.93,0.9125,0.885,0.74,0.215,0.2175,0.17,0.19,47,58,74,2,17,58,0,2,2,17,0,0,0,2,2,0,0,0,0,0,2,2,2,0,0,0,0,0,58,17,2,2,0,0,0,0,47,74,58,17,2,2,0,0,0,40,63,72,8,17,63,0,0,8,17,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,63,17,8,0,0,0,0,0,40,72,63,17,8,0,0,0,0,19,63,47,18,41,63,1,6,18,41,0,5,1,6,18,1,5,0,5,1,6,18,6,1,5,0,5,1,63,41,18,6,1,5,0,5,19,47,63,41,18,6,1,5,0,6,36,27,35,38,36,20,18,35,38,7,13,20,18,35,20,13,7,13,20,18,35,18,20,13,7,13,20,36,38,35,18,20,13,7,13,6,27,36,38,35,18,20,13,7,8,34,11,34,34,34,20,32,34,34,8,19,20,32,34,20,19,8,19,20,32,34,32,20,19,8,19,20,34,34,34,32,20,19,8,19,8,11,34,34,34,32,20,19,8,12,57,32,30,53,57,1,14,30,53,0,1,1,14,30,1,1,0,1,1,14,30,14,1,1,0,1,1,57,53,30,14,1,1,0,1,12,32,57,53,30,14,1,1,0,23,50,50,31,33,50,0,12,31,33,0,1,0,12,31,0,1,0,1,0,12,31,12,0,1,0,1,0,50,33,31,12,0,1,0,1,23,50,50,33,31,12,0,1,0,18,59,46,21,48,59,2,6,21,48,0,0,2,6,21,2,0,0,0,2,6,21,6,2,0,0,0,2,59,48,21,6,2,0,0,0,18,46,59,48,21,6,2,0,0,
30, 0.965,0.97,0.9225,0.775,0.2725,0.195,0.15,0.1025,0.9725,0.9775,0.97,0.81,0.2775,0.125,0.0775,0.0575,0.95,0.9275,0.835,0.74,0.2825,0.0975,0.07,0.055,1,0.99,0.9525,0.8075,0.27,0.1425,0.1325,0.125,0.92,0.9325,0.85,0.715,0.3125,0.1,0.0525,0.0225,0.9625,0.9425,0.905,0.7525,0.2875,0.1575,0.155,0.235,0.745,0.8025,0.735,0.7175,0.2675,0.1325,0.1175,0.125,0.8925,0.8825,0.8525,0.7325,0.2075,0.185,0.16,0.315,52,46,83,4,13,46,1,1,4,13,0,0,1,1,4,1,0,0,0,1,1,4,1,1,0,0,0,1,46,13,4,1,1,0,0,0,52,83,46,13,4,1,1,0,0,60,30,80,6,24,30,0,0,6,24,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,30,24,6,0,0,0,0,0,60,80,30,24,6,0,0,0,0,23,56,70,15,29,56,1,4,15,29,0,2,1,4,15,1,2,0,2,1,4,15,4,1,2,0,2,1,56,29,15,4,1,2,0,2,23,70,56,29,15,4,1,2,0,5,32,25,32,45,32,15,20,32,45,12,14,15,20,32,15,14,12,14,15,20,32,20,15,14,12,14,15,32,45,32,20,15,14,12,14,5,25,32,45,32,20,15,14,12,3,26,23,38,41,26,13,28,38,41,11,17,13,28,38,13,17,11,17,13,28,38,28,13,17,11,17,13,26,41,38,28,13,17,11,17,3,23,26,41,38,28,13,17,11,23,57,38,21,44,57,6,10,21,44,1,0,6,10,21,6,0,1,0,6,10,21,10,6,0,1,0,6,57,44,21,10,6,0,1,0,23,38,57,44,21,10,6,0,1,24,60,63,21,26,60,0,6,21,26,0,0,0,6,21,0,0,0,0,0,6,21,6,0,0,0,0,0,60,26,21,6,0,0,0,0,24,63,60,26,21,6,0,0,0,13,61,51,24,41,61,5,5,24,41,0,0,5,5,24,5,0,0,0,5,5,24,5,5,0,0,0,5,61,41,24,5,5,0,0,0,13,51,61,41,24,5,5,0,0,
40, 0.9675,0.9725,0.835,0.7125,0.2225,0.2,0.1325,0.08,0.9775,0.995,0.955,0.8175,0.325,0.1725,0.1025,0.0525,0.925,0.865,0.7925,0.69,0.2375,0.1875,0.055,0.09,0.9925,0.985,0.935,0.74,0.195,0.1375,0.12,0.0925,0.9575,0.845,0.8375,0.7625,0.3175,0.0525,0.035,0.0275,0.985,0.975,0.9,0.695,0.3175,0.15,0.2025,0.1025,0.7725,0.8175,0.7625,0.6575,0.315,0.1,0.165,0.1475,0.8625,0.84,0.85,0.79,0.2625,0.1175,0.17,0.25,45,53,77,8,16,53,0,1,8,16,0,0,0,1,8,0,0,0,0,0,1,8,1,0,0,0,0,0,53,16,8,1,0,0,0,0,45,77,53,16,8,1,0,0,0,47,43,75,4,29,43,0,2,4,29,0,0,0,2,4,0,0,0,0,0,2,4,2,0,0,0,0,0,43,29,4,2,0,0,0,0,47,75,43,29,4,2,0,0,0,26,45,46,25,44,45,5,6,25,44,0,3,5,6,25,5,3,0,3,5,6,25,6,5,3,0,3,5,45,44,25,6,5,3,0,3,26,46,45,44,25,6,5,3,0,4,38,12,45,32,38,21,28,45,32,7,13,21,28,45,21,13,7,13,21,28,45,28,21,13,7,13,21,38,32,45,28,21,13,7,13,4,12,38,32,45,28,21,13,7,6,36,25,24,48,36,11,26,24,48,14,10,11,26,24,11,10,14,10,11,26,24,26,11,10,14,10,11,36,48,24,26,11,10,14,10,6,25,36,48,24,26,11,10,14,15,58,50,17,47,58,2,8,17,47,1,2,2,8,17,2,2,1,2,2,8,17,8,2,2,1,2,2,58,47,17,8,2,2,1,2,15,50,58,47,17,8,2,2,1,23,50,69,22,34,50,1,1,22,34,0,0,1,1,22,1,0,0,0,1,1,22,1,1,0,0,0,1,50,34,22,1,1,0,0,0,23,69,50,34,22,1,1,0,0,32,56,64,9,37,56,0,2,9,37,0,0,0,2,9,0,0,0,0,0,2,9,2,0,0,0,0,0,56,37,9,2,0,0,0,0,32,64,56,37,9,2,0,0,0,
50, 0.9575,0.93,0.8775,0.6675,0.2375,0.1275,0.0875,0.07,0.9975,0.9775,0.9025,0.845,0.2775,0.1825,0.0825,0.0675,0.9475,0.9,0.85,0.765,0.2525,0.145,0.1775,0.1425,0.965,0.9275,0.925,0.745,0.195,0.165,0.1025,0.04,0.8925,0.82,0.8925,0.725,0.2,0.07,0.0175,0.0275,0.9925,0.98,0.915,0.67,0.2925,0.1725,0.13,0.1625,0.6875,0.745,0.7975,0.715,0.2225,0.1075,0.1375,0.1725,0.8525,0.9225,0.8175,0.7425,0.28,0.1325,0.1175,0.1975,38,70,71,3,18,70,0,0,3,18,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,70,18,3,0,0,0,0,0,38,71,70,18,3,0,0,0,0,27,67,77,7,21,67,0,1,7,21,0,0,0,1,7,0,0,0,0,0,1,7,1,0,0,0,0,0,67,21,7,1,0,0,0,0,27,77,67,21,7,1,0,0,0,19,59,52,15,43,59,2,9,15,43,0,1,2,9,15,2,1,0,1,2,9,15,9,2,1,0,1,2,59,43,15,9,2,1,0,1,19,52,59,43,15,9,2,1,0,6,38,19,39,31,38,25,22,39,31,8,12,25,22,39,25,12,8,12,25,22,39,22,25,12,8,12,25,38,31,39,22,25,12,8,12,6,19,38,31,39,22,25,12,8,4,45,18,23,35,45,18,34,23,35,5,18,18,34,23,18,18,5,18,18,34,23,34,18,18,5,18,18,45,35,23,34,18,18,5,18,4,18,45,35,23,34,18,18,5,16,67,40,19,41,67,6,9,19,41,0,2,6,9,19,6,2,0,2,6,9,19,9,6,2,0,2,6,67,41,19,9,6,2,0,2,16,40,67,41,19,9,6,2,0,27,67,63,12,26,67,0,5,12,26,0,0,0,5,12,0,0,0,0,0,5,12,5,0,0,0,0,0,67,26,12,5,0,0,0,0,27,63,67,26,12,5,0,0,0,40,53,56,14,36,53,0,1,14,36,0,0,0,1,14,0,0,0,0,0,1,14,1,0,0,0,0,0,53,36,14,1,0,0,0,0,40,56,53,36,14,1,0,0,0,
60, 0.94,0.8975,0.875,0.7175,0.215,0.1075,0.07,0.0425,0.99,0.9625,0.8825,0.7825,0.2525,0.055,0.0575,0.075,0.9575,0.92,0.8425,0.7425,0.2925,0.2025,0.1125,0.1225,0.99,0.9475,0.9025,0.81,0.2825,0.1025,0.0875,0.055,0.735,0.7775,0.8075,0.7175,0.195,0.035,0.0425,0.0425,0.965,0.94,0.8725,0.6925,0.235,0.2075,0.2025,0.15,0.6925,0.765,0.7825,0.7525,0.2625,0.085,0.1275,0.1775,0.8025,0.8125,0.86,0.8,0.2825,0.1375,0.145,0.2025,30,57,64,15,30,57,0,4,15,30,0,0,0,4,15,0,0,0,0,0,4,15,4,0,0,0,0,0,57,30,15,4,0,0,0,0,30,64,57,30,15,4,0,0,0,23,57,55,17,42,57,2,3,17,42,0,1,2,3,17,2,1,0,1,2,3,17,3,2,1,0,1,2,57,42,17,3,2,1,0,1,23,55,57,42,17,3,2,1,0,20,46,43,27,56,46,4,2,27,56,1,1,4,2,27,4,1,1,1,4,2,27,2,4,1,1,1,4,46,56,27,2,4,1,1,1,20,43,46,56,27,2,4,1,1,10,39,11,28,59,39,11,28,28,59,5,9,11,28,28,11,9,5,9,11,28,28,28,11,9,5,9,11,39,59,28,28,11,9,5,9,10,11,39,59,28,28,11,9,5,7,46,32,27,43,46,15,17,27,43,3,10,15,17,27,15,10,3,10,15,17,27,17,15,10,3,10,15,46,43,27,17,15,10,3,10,7,32,46,43,27,17,15,10,3,19,54,61,23,38,54,1,4,23,38,0,0,1,4,23,1,0,0,0,1,4,23,4,1,0,0,0,1,54,38,23,4,1,0,0,0,19,61,54,38,23,4,1,0,0,23,68,65,17,26,68,0,1,17,26,0,0,0,1,17,0,0,0,0,0,1,17,1,0,0,0,0,0,68,26,17,1,0,0,0,0,23,65,68,26,17,1,0,0,0,36,51,70,13,26,51,0,3,13,26,0,1,0,3,13,0,1,0,1,0,3,13,3,0,1,0,1,0,51,26,13,3,0,1,0,1,36,70,51,26,13,3,0,1,0,
70, 0.9475,0.925,0.9125,0.8,0.1425,0.0675,0.0775,0.0475,0.9425,0.955,0.9225,0.785,0.22,0.0925,0.07,0.035,0.9525,0.95,0.915,0.825,0.2275,0.18,0.12,0.125,0.935,0.945,0.91,0.845,0.265,0.1025,0.04,0.005,0.7225,0.7575,0.785,0.7425,0.135,0.06,0.035,0.0125,0.975,0.96,0.8475,0.7175,0.2525,0.265,0.22,0.2025,0.75,0.7175,0.735,0.6475,0.2075,0.155,0.165,0.0875,0.7675,0.8275,0.845,0.8475,0.2225,0.15,0.125,0.1325,20,52,45,23,53,52,0,7,23,53,0,0,0,7,23,0,0,0,0,0,7,23,7,0,0,0,0,0,52,53,23,7,0,0,0,0,20,45,52,53,23,7,0,0,0,20,60,54,20,37,60,3,6,20,37,0,0,3,6,20,3,0,0,0,3,6,20,6,3,0,0,0,3,60,37,20,6,3,0,0,0,20,54,60,37,20,6,3,0,0,21,56,40,26,45,56,2,9,26,45,0,1,2,9,26,2,1,0,1,2,9,26,9,2,1,0,1,2,56,45,26,9,2,1,0,1,21,40,56,45,26,9,2,1,0,8,45,29,33,37,45,13,16,33,37,6,13,13,16,33,13,13,6,13,13,16,33,16,13,13,6,13,13,45,37,33,16,13,13,6,13,8,29,45,37,33,16,13,13,6,12,53,38,25,41,53,4,14,25,41,5,8,4,14,25,4,8,5,8,4,14,25,14,4,8,5,8,4,53,41,25,14,4,8,5,8,12,38,53,41,25,14,4,8,5,16,68,54,18,37,68,1,6,18,37,0,0,1,6,18,1,0,0,0,1,6,18,6,1,0,0,0,1,68,37,18,6,1,0,0,0,16,54,68,37,18,6,1,0,0,39,59,65,14,21,59,0,2,14,21,0,0,0,2,14,0,0,0,0,0,2,14,2,0,0,0,0,0,59,21,14,2,0,0,0,0,39,65,59,21,14,2,0,0,0,39,63,77,3,17,63,0,1,3,17,0,0,0,1,3,0,0,0,0,0,1,3,1,0,0,0,0,0,63,17,3,1,0,0,0,0,39,77,63,17,3,1,0,0,0,
80, 0.9275,0.9225,0.9575,0.7475,0.24,0.0425,0.035,0.0625,0.98,0.98,0.95,0.8,0.2425,0.065,0.025,0.055,0.9625,0.975,0.8775,0.8475,0.26,0.1425,0.14,0.115,0.9725,0.985,0.94,0.765,0.195,0.1225,0.075,0.0425,0.75,0.7975,0.7275,0.6675,0.1375,0.0625,0.025,0.03,0.9575,0.9225,0.8625,0.7075,0.27,0.175,0.1475,0.2175,0.815,0.715,0.7075,0.67,0.225,0.195,0.1375,0.1175,0.915,0.87,0.8625,0.8,0.2125,0.195,0.1325,0.19,38,63,60,12,25,63,1,1,12,25,0,0,1,1,12,1,0,0,0,1,1,12,1,1,0,0,0,1,63,25,12,1,1,0,0,0,38,60,63,25,12,1,1,0,0,32,60,67,8,30,60,1,2,8,30,0,0,1,2,8,1,0,0,0,1,2,8,2,1,0,0,0,1,60,30,8,2,1,0,0,0,32,67,60,30,8,2,1,0,0,21,70,46,19,30,70,2,10,19,30,1,1,2,10,19,2,1,1,1,2,10,19,10,2,1,1,1,2,70,30,19,10,2,1,1,1,21,46,70,30,19,10,2,1,1,13,46,37,25,40,46,14,17,25,40,2,6,14,17,25,14,6,2,6,14,17,25,17,14,6,2,6,14,46,40,25,17,14,6,2,6,13,37,46,40,25,17,14,6,2,10,55,30,22,41,55,9,12,22,41,4,17,9,12,22,9,17,4,17,9,12,22,12,9,17,4,17,9,55,41,22,12,9,17,4,17,10,30,55,41,22,12,9,17,4,24,57,55,18,42,57,0,4,18,42,0,0,0,4,18,0,0,0,0,0,4,18,4,0,0,0,0,0,57,42,18,4,0,0,0,0,24,55,57,42,18,4,0,0,0,43,64,62,10,20,64,0,1,10,20,0,0,0,1,10,0,0,0,0,0,1,10,1,0,0,0,0,0,64,20,10,1,0,0,0,0,43,62,64,20,10,1,0,0,0,38,60,59,13,28,60,0,2,13,28,0,0,0,2,13,0,0,0,0,0,2,13,2,0,0,0,0,0,60,28,13,2,0,0,0,0,38,59,60,28,13,2,0,0,0,
90, 0.9575,0.915,0.8525,0.7425,0.22,0.1075,0.115,0.04,0.98,0.92,0.93,0.8375,0.235,0.065,0.0075,0.0125,0.9775,0.955,0.865,0.815,0.3025,0.2125,0.24,0.1425,0.995,0.975,0.9725,0.82,0.2825,0.1225,0.065,0.03,0.75,0.83,0.7325,0.6675,0.1725,0.0625,0.05,0.0425,0.89,0.9475,0.9125,0.705,0.26,0.1775,0.1925,0.2,0.7725,0.76,0.6525,0.585,0.21,0.0875,0.17,0.105,0.8825,0.89,0.8825,0.855,0.2675,0.2325,0.2375,0.1875,36,58,64,11,29,58,1,1,11,29,0,0,1,1,11,1,0,0,0,1,1,11,1,1,0,0,0,1,58,29,11,1,1,0,0,0,36,64,58,29,11,1,1,0,0,34,60,71,7,26,60,0,2,7,26,0,0,0,2,7,0,0,0,0,0,2,7,2,0,0,0,0,0,60,26,7,2,0,0,0,0,34,71,60,26,7,2,0,0,0,26,60,35,20,43,60,8,8,20,43,0,0,8,8,20,8,0,0,0,8,8,20,8,8,0,0,0,8,60,43,20,8,8,0,0,0,26,35,60,43,20,8,8,0,0,6,37,17,33,44,37,14,28,33,44,6,15,14,28,33,14,15,6,15,14,28,33,28,14,15,6,15,14,37,44,33,28,14,15,6,15,6,17,37,44,33,28,14,15,6,5,28,26,27,50,28,16,26,27,50,6,16,16,26,27,16,16,6,16,16,26,27,26,16,16,6,16,16,28,50,27,26,16,16,6,16,5,26,28,50,27,26,16,16,6,13,60,57,16,44,60,1,7,16,44,1,1,1,7,16,1,1,1,1,1,7,16,7,1,1,1,1,1,60,44,16,7,1,1,1,1,13,57,60,44,16,7,1,1,1,15,63,57,14,41,63,3,6,14,41,0,1,3,6,14,3,1,0,1,3,6,14,6,3,1,0,1,3,63,41,14,6,3,1,0,1,15,57,63,41,14,6,3,1,0,48,57,62,8,19,57,1,5,8,19,0,0,1,5,8,1,0,0,0,1,5,8,5,1,0,0,0,1,57,19,8,5,1,0,0,0,48,62,57,19,8,5,1,0,0,
