gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0W1, d0W0.606531, d0W0.606531, d0W1, d0W0.606531, d0W0.606531, d1W1, d1W0.606531, d1W0.606531, d1W1, d1W0.606531, d1W0.606531, d2W1, d2W0.606531, d2W0.606531, d2W1, d2W0.606531, d2W0.606531, d3W1, d3W0.606531, d3W0.606531, d3W1, d3W0.606531, d3W0.606531, d4W1, d4W0.606531, d4W0.606531, d4W1, d4W0.606531, d4W0.606531, d5W1, d5W0.606531, d5W0.606531, d5W1, d5W0.606531, d5W0.606531, d6W1, d6W0.606531, d6W0.606531, d6W1, d6W0.606531, d6W0.606531, d7W1, d7W0.606531, d7W0.606531, d7W1, d7W0.606531, d7W0.606531, 
0, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,
100, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,
200, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,
300, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,
400, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,
500, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,
600, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,
700, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,
800, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,
900, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,20,0,0,
