trait	loc	mut_effect	dom
0	0	-1.06711	0.5
1	0	-0.628575	0.5
2	0	0.156947	0.5
3	0	-0.924452	0.5
4	0	-0.798237	0.5
0	1	0.386361	0.5
1	1	0.410054	0.5
2	1	0.579084	0.5
3	1	0.177981	0.5
4	1	-0.966394	0.5
0	2	-0.00457939	0.5
1	2	-0.454216	0.5
2	2	-1.04473	0.5
3	2	-0.605827	0.5
4	2	-0.830397	0.5
0	3	1.46771	0.5
1	3	0.885229	0.5
2	3	0.717365	0.5
3	3	-1.02223	0.5
4	3	0.86942	0.5
0	4	-1.47301	0.5
1	4	2.43571	0.5
2	4	-1.93405	0.5
3	4	-0.521536	0.5
4	4	-0.654887	0.5
0	5	-0.50921	0.5
1	5	0.075193	0.5
2	5	1.50373	0.5
3	5	-0.703551	0.5
4	5	-0.122069	0.5
0	6	-0.747749	0.5
1	6	1.0779	0.5
2	6	-1.17238	0.5
3	6	0.0898877	0.5
4	6	0.396024	0.5
0	7	0.50928	0.5
1	7	0.42101	0.5
2	7	-0.306919	0.5
3	7	-0.437515	0.5
4	7	1.80622	0.5
0	8	-1.07734	0.5
1	8	-0.68372	0.5
2	8	-0.212167	0.5
3	8	0.514359	0.5
4	8	0.561801	0.5
0	9	0.504467	0.5
1	9	1.09532	0.5
2	9	-0.00270126	0.5
3	9	0.519869	0.5
4	9	0.859376	0.5
0	10	1.14646	0.5
1	10	0.524497	0.5
2	10	0.420455	0.5
3	10	0.753741	0.5
4	10	0.745317	0.5
0	11	-1.15539	0.5
1	11	-0.247852	0.5
2	11	0.86714	0.5
3	11	0.556818	0.5
4	11	-0.00638625	0.5
0	12	-0.911067	0.5
1	12	0.704065	0.5
2	12	-1.39132	0.5
3	12	-0.0625293	0.5
4	12	1.98542	0.5
0	13	0.0448766	0.5
1	13	1.76451	0.5
2	13	0.0267839	0.5
3	13	0.0828325	0.5
4	13	-0.531071	0.5
0	14	-0.702964	0.5
1	14	-0.206054	0.5
2	14	0.170073	0.5
3	14	-1.02394	0.5
4	14	-1.37055	0.5
0	15	-0.207062	0.5
1	15	-0.101571	0.5
2	15	-2.00361	0.5
3	15	-0.199129	0.5
4	15	0.84537	0.5
0	16	0.761431	0.5
1	16	0.916241	0.5
2	16	-1.12927	0.5
3	16	0.712507	0.5
4	16	-0.819329	0.5
0	17	0.564485	0.5
1	17	-0.784635	0.5
2	17	0.842219	0.5
3	17	-0.697507	0.5
4	17	-0.316497	0.5
0	18	-0.094734	0.5
1	18	0.937628	0.5
2	18	0.731736	0.5
3	18	0.9282	0.5
4	18	-0.0158092	0.5
0	19	-0.625304	0.5
1	19	-1.04155	0.5
2	19	-0.265296	0.5
3	19	-1.82531	0.5
4	19	-0.618734	0.5
0	20	0.177001	0.5
1	20	0.862512	0.5
2	20	0.53773	0.5
3	20	0.563936	0.5
4	20	0.762718	0.5
0	21	-0.0171013	0.5
1	21	-0.207051	0.5
2	21	-0.580927	0.5
3	21	1.31188	0.5
4	21	-1.37618	0.5
0	22	0.897488	0.5
1	22	-0.249327	0.5
2	22	-0.415638	0.5
3	22	0.554238	0.5
4	22	-1.21606	0.5
0	23	0.991297	0.5
1	23	-0.1143	0.5
2	23	-0.0553974	0.5
3	23	1.4002	0.5
4	23	1.14261	0.5
0	24	-0.439764	0.5
1	24	-1.54515	0.5
2	24	-1.45855	0.5
3	24	-1.68885	0.5
4	24	0.826968	0.5
0	25	0.115812	0.5
1	25	0.392611	0.5
2	25	1.75047	0.5
3	25	-0.33494	0.5
4	25	1.28172	0.5
0	26	0.264835	0.5
1	26	0.820643	0.5
2	26	-0.893476	0.5
3	26	-0.653178	0.5
4	26	0.165172	0.5
0	27	-0.266476	0.5
1	27	0.963724	0.5
2	27	-0.191254	0.5
3	27	-0.0213198	0.5
4	27	1.63344	0.5
0	28	-0.665223	0.5
1	28	-0.243279	0.5
2	28	-0.433169	0.5
3	28	0.384739	0.5
4	28	1.52325	0.5
0	29	-0.42248	0.5
1	29	0.876497	0.5
2	29	-1.31593	0.5
3	29	-1.27555	0.5
4	29	1.9225	0.5
0	30	-2.67185	0.5
1	30	-1.84151	0.5
2	30	-2.42821	0.5
3	30	0.429114	0.5
4	30	0.841443	0.5
0	31	2.54702	0.5
1	31	-1.61239	0.5
2	31	-0.528774	0.5
3	31	-0.220797	0.5
4	31	-0.758157	0.5
0	32	-0.641949	0.5
1	32	0.115962	0.5
2	32	0.00815266	0.5
3	32	1.62477	0.5
4	32	-1.52835	0.5
0	33	-0.0655391	0.5
1	33	0.334047	0.5
2	33	0.398409	0.5
3	33	0.1375	0.5
4	33	-1.11854	0.5
0	34	2.42079	0.5
1	34	0.981253	0.5
2	34	0.304816	0.5
3	34	0.0645201	0.5
4	34	0.681286	0.5
0	35	-0.0826561	0.5
1	35	0.208514	0.5
2	35	1.11119	0.5
3	35	0.0442405	0.5
4	35	-0.105309	0.5
0	36	-0.198154	0.5
1	36	0.699369	0.5
2	36	-0.310918	0.5
3	36	-0.439542	0.5
4	36	0.102246	0.5
0	37	0.685753	0.5
1	37	-0.718715	0.5
2	37	-1.02774	0.5
3	37	-0.906982	0.5
4	37	0.932411	0.5
0	38	-0.100965	0.5
1	38	1.36972	0.5
2	38	0.943947	0.5
3	38	-0.858244	0.5
4	38	-0.549298	0.5
0	39	-0.401671	0.5
1	39	0.0739453	0.5
2	39	1.52629	0.5
3	39	-1.53108	0.5
4	39	-1.60189	0.5
0	40	1.19945	0.5
1	40	-0.347121	0.5
2	40	0.674433	0.5
3	40	-1.40735	0.5
4	40	1.07362	0.5
0	41	0.0943697	0.5
1	41	0.495527	0.5
2	41	-0.953077	0.5
3	41	-0.439629	0.5
4	41	-0.750219	0.5
0	42	-1.3153	0.5
1	42	0.552012	0.5
2	42	0.477475	0.5
3	42	0.317601	0.5
4	42	1.28203	0.5
0	43	2.3459	0.5
1	43	-0.0947383	0.5
2	43	-0.0727926	0.5
3	43	0.392507	0.5
4	43	-0.602772	0.5
0	44	2.04294	0.5
1	44	-1.72508	0.5
2	44	-1.22608	0.5
3	44	0.0874784	0.5
4	44	0.141468	0.5
0	45	-0.277722	0.5
1	45	-1.20368	0.5
2	45	0.121183	0.5
3	45	1.15877	0.5
4	45	-0.159221	0.5
0	46	0.660702	0.5
1	46	-0.614583	0.5
2	46	-0.799732	0.5
3	46	1.27655	0.5
4	46	-0.0443626	0.5
0	47	0.939652	0.5
1	47	1.47436	0.5
2	47	-0.803408	0.5
3	47	0.166759	0.5
4	47	-1.06516	0.5
0	48	0.800377	0.5
1	48	0.236313	0.5
2	48	0.605319	0.5
3	48	0.129102	0.5
4	48	1.69486	0.5
0	49	0.658792	0.5
1	49	-0.420991	0.5
2	49	0.15496	0.5
3	49	-2.41815	0.5
4	49	0.767202	0.5
0	50	0.249823	0.5
1	50	-0.859388	0.5
2	50	1.97834	0.5
3	50	1.32386	0.5
4	50	1.60616	0.5
0	51	1.21829	0.5
1	51	0.174786	0.5
2	51	-0.109734	0.5
3	51	-1.14645	0.5
4	51	-1.39937	0.5
0	52	0.184721	0.5
1	52	0.141243	0.5
2	52	-1.12747	0.5
3	52	-0.332419	0.5
4	52	-0.0883822	0.5
0	53	1.01047	0.5
1	53	-0.392627	0.5
2	53	1.04829	0.5
3	53	0.180147	0.5
4	53	-0.0349052	0.5
0	54	0.850602	0.5
1	54	-0.631888	0.5
2	54	0.259057	0.5
3	54	1.86326	0.5
4	54	-0.0734941	0.5
0	55	0.752788	0.5
1	55	0.142102	0.5
2	55	-0.0107798	0.5
3	55	-0.90579	0.5
4	55	0.540141	0.5
0	56	0.0973046	0.5
1	56	1.46744	0.5
2	56	0.555101	0.5
3	56	-2.7723	0.5
4	56	0.580203	0.5
0	57	-0.172229	0.5
1	57	0.68377	0.5
2	57	1.16793	0.5
3	57	0.875135	0.5
4	57	0.728454	0.5
0	58	-1.12559	0.5
1	58	-0.805666	0.5
2	58	-0.213056	0.5
3	58	1.5514	0.5
4	58	0.739671	0.5
0	59	1.65304	0.5
1	59	0.68628	0.5
2	59	-0.560718	0.5
3	59	-1.59074	0.5
4	59	-1.77549	0.5
0	60	-1.0212	0.5
1	60	0.175645	0.5
2	60	1.09229	0.5
3	60	-0.694033	0.5
4	60	0.880794	0.5
0	61	-1.30821	0.5
1	61	0.536799	0.5
2	61	0.258633	0.5
3	61	1.05222	0.5
4	61	-0.329311	0.5
0	62	0.750258	0.5
1	62	1.39072	0.5
2	62	0.405277	0.5
3	62	0.494466	0.5
4	62	-2.0346	0.5
0	63	1.28675	0.5
1	63	0.478633	0.5
2	63	1.60225	0.5
3	63	0.0212372	0.5
4	63	0.51661	0.5
0	64	1.36176	0.5
1	64	1.62042	0.5
2	64	-0.338303	0.5
3	64	-0.649069	0.5
4	64	0.546968	0.5
0	65	-2.02359	0.5
1	65	-0.608007	0.5
2	65	-1.48378	0.5
3	65	-0.222424	0.5
4	65	-1.80197	0.5
0	66	-0.647412	0.5
1	66	0.0880717	0.5
2	66	-0.410457	0.5
3	66	0.189163	0.5
4	66	0.30975	0.5
0	67	0.943274	0.5
1	67	0.659158	0.5
2	67	0.976588	0.5
3	67	1.06761	0.5
4	67	-1.05193	0.5
0	68	0.124385	0.5
1	68	1.60689	0.5
2	68	0.144481	0.5
3	68	-0.681146	0.5
4	68	-1.05876	0.5
0	69	0.512862	0.5
1	69	-0.885809	0.5
2	69	0.382402	0.5
3	69	-0.884182	0.5
4	69	-0.0738083	0.5
0	70	1.1561	0.5
1	70	0.474323	0.5
2	70	0.259362	0.5
3	70	1.0992	0.5
4	70	-0.89231	0.5
0	71	0.744307	0.5
1	71	-0.606753	0.5
2	71	0.870528	0.5
3	71	-1.46913	0.5
4	71	2.14075	0.5
0	72	-0.198717	0.5
1	72	0.456826	0.5
2	72	0.156617	0.5
3	72	1.46972	0.5
4	72	0.0967707	0.5
0	73	-0.587836	0.5
1	73	-0.296897	0.5
2	73	0.642002	0.5
3	73	1.69497	0.5
4	73	-0.692605	0.5
0	74	1.60245	0.5
1	74	-0.486955	0.5
2	74	-1.45544	0.5
3	74	-1.64706	0.5
4	74	1.40438	0.5
0	75	0.958569	0.5
1	75	0.36079	0.5
2	75	1.43411	0.5
3	75	2.11585	0.5
4	75	0.694868	0.5
0	76	0.072089	0.5
1	76	-0.251779	0.5
2	76	0.0271574	0.5
3	76	-1.10872	0.5
4	76	0.886814	0.5
0	77	-0.266599	0.5
1	77	-0.518244	0.5
2	77	0.887687	0.5
3	77	0.916197	0.5
4	77	0.0905793	0.5
0	78	-0.252416	0.5
1	78	0.579824	0.5
2	78	-0.223633	0.5
3	78	-0.838598	0.5
4	78	-1.24953	0.5
0	79	0.706062	0.5
1	79	0.149435	0.5
2	79	-1.87026	0.5
3	79	0.709212	0.5
4	79	-2.14704	0.5
0	80	1.03728	0.5
1	80	3.17368	0.5
2	80	-0.943047	0.5
3	80	-1.00796	0.5
4	80	0.445513	0.5
0	81	-0.0291762	0.5
1	81	-0.613801	0.5
2	81	-0.569126	0.5
3	81	-2.25099	0.5
4	81	-0.395305	0.5
0	82	0.148937	0.5
1	82	1.38911	0.5
2	82	-0.774858	0.5
3	82	1.0974	0.5
